ѝ	i
а	a
а	a
а	ɐ
а	ə
А	a
абаджии	ˌabəˈdʒii
абаджиите	ˌabəˈdʒi.it̪ɛ
абаджийката	ˌabəˈd̪ʒijkət̪ə
абаджийки	ˌabəˈd̪ʒijkʲi
абаджийките	ˌabəˈd̪ʒijkʲit̪ɛ
абаджийко	ˌabəˈd̪ʒijko
абаджийства	ˌabəˈd̪ʒijst̪və
абаджийствата	ˌabəˈd̪ʒijst̪vət̪ə
абаджийството	ˌabəˈd̪ʒijst̪vot̪o
абаджията	ˌabəˈdʒijət̪ə
абажур	əbəˈʒur
абажура	ˌabəˈʒuɾə
абажуре	ˌabəˈʒuɾɛ
абажури	ˌabəˈʒuɾi
абажурите	ˌabəˈʒuɾit̪ɛ
абажурът	ˌabəˈʒuɾət̪
абазийо	ˌaˈbazijo
абазия	əˈbazijə
абазията	ˌaˈbazijət̪ə
абак	əˈbak
абака	ˌaˈbakə
абако	aˈbako
абакът	ˌaˈbakət̪
абанос	əbəˈnɔs
абаноса	əbəˈnɔsə
абаносе	əbəˈnɔsɛ
абаносов	əbəˈnɔsof
абаносова	ˌabəˈnɔsovə
абаносовата	ˌabəˈnɔsovət̪ə
абаносови	ˌabəˈnɔsovi
абаносовите	ˌabəˈnɔsovit̪ɛ
абаносовия	ˌabəˈnɔsovijə
абаносовият	ˌabəˈnɔsovijət̪
абаносово	ˌabəˈnɔsovo
абаносовото	ˌabəˈnɔsovot̪o
абаносът	ˌabəˈnɔsət̪
абата	əˈbat̪ə
абатска	ˌaˈbat̪skə
абатската	ˌaˈbat̪skət̪ə
абатски	əˈbatski
абатский	aˈbatskij
абатските	ˌaˈbat̪skʲit̪ɛ
абатския	ˌaˈbat̪skʲijə
абатският	ˌaˈbat̪skʲijət̪
абатско	ˌaˈbat̪sko
абатското	ˌaˈbat̪skot̪o
абатства	ˌaˈbat̪st̪və
абатствата	ˌaˈbat̪st̪vət̪ə
абатство	əˈbatstvo
абатството	ˌaˈbat̪st̪vot̪o
абаци	ˌaˈbat͡si
абаците	ˌaˈbat͡sit̪ɛ
абдал	əbˈdaɫ
абдала	ˌaˈbd̪aɫə
абдале	ˌaˈbd̪alɛ
абдали	ˌaˈbd̪ali
абдалите	ˌaˈbd̪alit̪ɛ
абдалът	ˌaˈbd̪aɫət̪
абдикации	ˌabd̪iˈkatsi.i
абдикациите	ˌabd̪iˈkatsi.it̪ɛ
абдикацийо	ˌabd̪iˈkat͡sijo
абдикация	abdiˈkat͡sijə
абдикацията	ˌabd̪iˈkatsijət̪ə
абдикира	ˌabd̪iˈkʲirə
абдикирай	ˌabd̪iˈkʲirəj
абдикирайки	ˌabd̪iˈkirəjkʲi
абдикирайте	ˌabd̪iˈkʲirəjt̪ɛ
абдикирал	ˌabd̪iˈkʲirəɫ
абдикирала	ˌabd̪iˈkʲirəɫə
абдикиралата	ˌabd̪iˈkʲirəɫət̪ə
абдикирали	ˌabd̪iˈkʲirəli
абдикиралите	ˌabd̪iˈkʲirəlit̪ɛ
абдикиралия	ˌabd̪iˈkʲirəlijə
абдикиралият	ˌabd̪iˈkʲirəlijət̪
абдикирало	ˌabd̪iˈkʲirəɫo
абдикиралото	ˌabd̪iˈkʲirəɫot̪o
абдикирам	əbdiˈkirəm
абдикираме	ˌabd̪iˈkʲirəmɛ
абдикиране	əbdiˈkʲirənɛ
абдикиранета	ˌabd̪iˈkʲirənɛt̪ə
абдикиранетата	ˌabd̪iˈkʲirənɛt̪ət̪ə
абдикирането	ˌabd̪iˈkʲiɾənɛt̪o
абдикирания	ˌabd̪iˈkʲiɾənijə
абдикиранията	ˌabd̪iˈkʲiɾənijət̪ə
абдикират	ˌabd̪iˈkʲirət̪
абдикирате	ˌabd̪iˈkʲirət̪ɛ
абдикирах	ˌabd̪iˈkʲirəx
абдикираха	ˌabd̪iˈkʲirəxə
абдикирахме	ˌabd̪iˈkʲirəxmɛ
абдикирахте	ˌabd̪iˈkʲirəxt̪ɛ
абдикираш	ˌabd̪iˈkʲirəʃ
абдикираше	ˌabd̪iˈkʲirəʃɛ
абдикиращ	ˌabd̪iˈkʲirəʃt̪
