agurktid	ɑɡʉɾktiː
aksent	ɑksɒŋ
alaskar	ɑlɑskɑɾ
alaskisk	ɑlɑskɪsk
alfabet	ɑlfɑbeːt
bakbord	baːkbuʷːɾ
banan	bɑnaːn
bart	bɑʈ
benektelse	bənɛktəlsə
binær	bɪnæːɾ
blant	blɑnt
blemme	blɛmmə
bløffe	²blœffə
boms	bʊms
bongotromme	bʊŋɡʊtɾʊmmə
brekkjern	bɾɛkjæːɳ
datamus	daːtɑmʉʷːs
diskotek	dɪskʊteːk
dovendyr	doːʋəndyːɾ
drosje	dɾɔʷʂə
dumming	dʊmmɪŋ
dysleksi	dʏslɛksiː
døgn	dœŋn
døgn	dœjn
eplepai	ɛpləpɑɪ̯
faen	fɑːən
fagidiot	faːɡɪdɪu͍ːt
fagidiot	faːɡɪdɪ̯u͍ːt
fallskjermhopping	fɑlʂæɾmhɔppɪŋ
fasan	fɑsaːn
fele	feːlə
fennek	fɛnnək
fjes	fjeːs
fjære	fjæːɾə
fjøl	fjøʷːl
flått	flɔt
fårikål	foʷːɾɪkɔʷl
gatekjøken	ɡaːtəçøːkən
gatekjøkken	ɡaːtəçœkən
gaule	ɡæu̯lə
gissel	ɡɪssəl
gissel	ɡɪssl̩
gjennomsnittsfart	jɛnnʊmsnɪtsfɑʈ
grateng	ɡɾɑtɛŋ
gruvedrift	ɡɾʉʷːʋədɾɪft
halvøy	hɑlːœj
hammar	hɑːmmɑɾ
herme	²hæɾmə
homofili	hʊmʊfɪliː
hovuddel	huʷːʋʉddeːl
hovudinngang	huʷːʋʉdɪŋɡɑŋ
hundemat	hʉʷnnəmaːt
industriland	ɪndʉʷstɾiːlɑn
inkje	²ɪɲc͡çə
intim	ɪntiːm
joletid	juʷːlətiːd
jovial	jʊʋɪaːl
karboksylsyre	kɑɾbʊksyʷːlsyʷːɾə
keton	kɛtuʷːn
kilo	çiːlʊ
kjele	çeːlə
kjip	çiːp
kjøken	çøːkən
klassekamerat	klɑssəkɑmməɾaːt
klubbe	klʉbbə
knebel	kneːbəl
knebel	kneːbl̩
knivstikk	kniːʋstɪk
kokain	kʊkɑiːn
kreft	kɾɛft
krige	kɾiːɡə
kro	kɾuʷː
krokodilletåre	kɾʊkʊdɪllətoʷːɾə
krydder	kɾʏʷdəɾ
kvantefysikk	kʋɑntəfʏʷsɪk
kviskre	kʋɪskɾə
lapp	lɑp
lem	lɛm
ljosår	ljuʷːsoʷːɾ
lundehund	lʉndəhʉn
lykke	lʏʷkə
mamma	mɑmːa
mandolin	mɑndʊliːn
matematikk	mɑtəmɑtɪk
matpakke	maːtpɑkkə
middagskvil	mɪdɑkskvːil
middagskvild	mɪdɑkskvɪld
middagskvild	mɪdɑkskvɪl
middelalderlitteratur	mɪdəlɑldəɭɪtəɾɑtʉʷːɾ
middelalderlitteratur	mɪdl̩ɑldəɭɪtɾɑtʉʷːɾ
modig	muːdɪ
motgift	muʷːtjɪft
muse	mʉʷseː
musling	mʉʷʂlɪŋ
musé	mʉʷseː
målføre	moːlføːɾə
møy	møʏ̯
namnedag	nɑmnədaːɡ
nettvett	nɛtʋɛt
nordnorsk	nuːɳɔʂk
nysgjerrigper	nʏʂæɾɪpeːɾ
omsorgsfull	ʊmsɔɾɡsfʉl
onomatopoetikon	ʊnʊmɑtʊpʊeːtɪkɔn
ordstilling	uʷːʂtɪllɪŋ
partnarskap	paːrtnarskaːp
person	pæʂʂuʷːn
pilleskrukketroll	pɪlləskɾʊʷkkətɾɔʷl
primær	pɾɪmæːɾ
pult	pʉʷlt
pult	pʉʷːlt
reindrift	ɾæɪ̯ndɾɪft
reklame	ɾɛklaːmə
revehi	ɾeːʋəhiː
rime	ɾiːmə
romvesen	ɾʊmʋeːsən
romvesen	ɾʊmʋeːsn̩
selle	sɛllə
sidesyn	siːdəsyʷːn
sikksakk	sɪksɑk
sirka	sɪɾkɑ
sitron	sitɾùːn
sitron	sitɾûːn
sitron	sitɾuːn
sitron	sitʁûːn
skaldyr	skaːldyʷːɾ
skapning	skaːpnɪŋ
skjegg	ʂɛɡ
skyss	ʂʏs
skøyte	ʂœʏ̯ʷtə
sol	suːɽ
solbær	suːlbæːɾ
spanjol	spɑnjuʷːl
språkforsking	spɾoʷːkfɔʂkɪŋ
steinbit	stæɪ̯nbiːt
stikkontakt	stɪkkʊntɑkt
strandflate	stɾɑnflaːtə
støvel	stœʷʋəl
svalbardrein	svaːlbɑɖɾæɪ̯n
svalbardrein	svaːlbɑɾɾæɪ̯n
sykkel	sʏʷkel
syklus	syʷːklʉʷs
tispe	tɪspə
tosk	tɔsk
trillebår	tɾɪlləboʷːɾ
tv	têːʋěː
udyr	ʉʷːdyʷːɾ
ungkar	ʊŋkaːɾ
vaskebjørn	ʋɑskəbjøʷːɳ
vassavkjølt	ʋɑsɑʋçøːlt
vassblemme	ʋɑsblɛmmə
vassdrag	vɑsdɾaːɡ
vassmelon	ʋɑsmɛluːn
vern	ʋæɾn
vern	ʋæɳ
viskelêr	ʋɪskəleːɾ
ørkenrev	œʷɾkənɾeːʋ
