абдулла	ɑbduɫːɑ
абруй	ɑbruj
австралия	äfsträlʲijä
автономиялы	äftänomʲijäɫɯ̞
адрес	ädrʲɪs
аждаһа	ɑʐdɑhɑ
азамат	ɑzɑmɑt
азия	äzʲijä
азия	äzʲiʲä
ай	ɑj
айгөл	äjɡʏ̞l
айныҡ	ɑjnɯ̞q
айран	ajran
айрат	ɑjrɑt
айырма	ɑjɯ̞rmɑ
айырым	ɑjɯ̞rɯ̞m
айыҡ	ɑjɯ̞q
айғолаҡ	ɑjʁʊ̞ɫɑq
айғыр	ɑjʁɯ̞r
айҙар	ɑjðɑr
айҙар	ɑjðɑr
айһылыу	ɑjhɯ̞ɫɯ̞w
ал	ɑɫ
алабута	ɑɫɑbutɑ
алабуға	ɑɫɑbuʁɑ
алдаҡсы	ɑɫdɑqsɯ̞
алдынғы	ɑɫdɯ̞ŋɢɯ̞
алйырҙан	ɑɫjɯ̞rðɑn
алла	ɑɫːɑ
алма	ɑɫmɑ
алмас	ɑɫmɑs
алмас	ɑɫmɑs
алмаш	ɑɫmɑʂ
алмағас	ɑɫmɑʁ̞ɑs
алты	ɑɫtɯ̞
алтын	ɑɫtɯ̞n
алъяпҡыс	ɑɫjɑpqɯ̞s
алыҫ	ɑɫɯ̞θ
алға	ɑɫʁɑ
алҡа	ɑɫqɑ
алҡыш	ɑɫqɯ̞ʂ
ант	ɑnt
аныҡ	ɑnɯ̞q
апай	ɑpɑj
араҡы	ɑrɑqɯ̞
арба	ɑrβɑ
арзан	ɑrzɑn
арпа	ɑrpɑ
арт	ɑrt
артабан	ɑrtɑβɑn
артылыш	ɑrtɯ̞ɫɯ̞ʂ
артыҡ	ɑrtɯ̞q
арыш	ɑrɯ̞ʂ
арыҫлан	ɑrɯ̞θɫɑn
арыҫлан	ɑrɯ̞θɫɑn
арҡа	ɑrqɑ
арҡан	ɑrqɑn
арҡаһында	arqɑhɯ̞ndɑ
ас	ɑs
аслыҡ	ɑsɫɯ̞q
асы	ɑsɯ̞
асыу	ɑsɯ̞w
асыҡ	ɑsɯ̞q
асҡыс	ɑsqɯ̞s
ат	ɑt
атай	ɑtɑj
атай	ätäj
атама	ɑtɑmɑ
ау	ɑw
ауыл	ɑwɯ̞ɫ
ауырыу	ɑwɯ̞rɯ̞w
ауырыу	ɑwrɯ̞w
ауыҙ	ɑwɯ̞ð
ауһаҡ	ɑwhɑq
ахыры	ɑχɯ̞rɯ̞
ахырызаман	ɑχɯ̞rɯ̞zɑmɑn
аш	ɑʂ
ашхана	ɑʂχɑnɑ
ашъяулыҡ	ɑʂjɑwɫɯ̞q
ашыу	ɑʂɯ̞w
ашҡаҙан	ɑʂqɑðɑn
аят	ɑjɑt
аяуһыҙ	ɑjɑwhɯ̞ð
аяҙ	ɑjɑð
аяҡ	ɑjɑq
