abhag	afak
acair	axkəɾ
acras	aʰkʰɾəs̪
adhbhar	ɤːvəɾ
adhbharaich	ɤːvəɾɪç
adhbran	ɤːpɾan
adhbrann	ɤːpɾən̪ˠ
agallamh	akəl̪ˠəv
agam	akəm
aghaidh	ɤːɪ
aibhne	aivɲɪ
àicheadh	aːçəɣ
àicheidh	aːçɪ
aig	ek
aighearach	aɪərəx
aillse	aɪlʃʲə
ailp	aɫp
ailt	altʲ
aimhreid	aivɾʲɪtʲ
aimsir	ɛmɛʃɪɾʲ
aimsir	ɛmiʃɪɾʲ
ainbheach	ɛnɛvəx
aindeònach	aɲɔnəx
aingeal	ãĩŋʲkʲəl̪ˠ
ainmich	ɛnɛmjɪç
ainneamh	an̪ˠəv
ainneart	aɲəɾʃt̪
ainneartaich	aɲəɾʃt̪ɪç
air	ɛrʲ
àird	aːɾʃt̪
àite	aːʰtʰʲɪ
àl	aːl̪ˠ
àlainn	aːɫ̪ɪɲ
àlas	aːl̪ˠəs̪
alba	aɫ̪apə
albàinis	aɫ̪pɛːnɪʃ
allmharach	al̪ˠavərəx
àmhainn	aːvɪɲ
an	an
an	ən
anabarrach	anaparˠəx
ann	aun̪ˠ
annag	an̪ˠak
aodach	ɯːt̪əx
aodh	ɯːɣ
aoibhneas	ɤjɲəs
aoigh	ɯiʲ
aon	ɯːn
aontamhach	ɯːn̪t̪ʰəvəx
aontamhachd	ɯːn̪t̪ʰəvəxɡ
aosda	ɯsdə
arc	arxk
àrd	aːrˠt̪
àrd	aːrʃt̪
àrd	aːrˠsˠt̪
arm	aɾam
athair	ahəɾʲ
bacadh	paʰkəɣ
baile	palɪ
bainne	paɲɪ
bainne	pɔɲə
bainne	pɛɲə
baintighearna	bant͡ʃjarnə
bàirneach	paːɾʲɲəx
baist	baʃtʃ
balach	paɫ̪əx
balla	paɫ̪ə
banail	pɑnəl
bann	paun̪ˠ
baoghalta	bɯːəltə
baoiseachd	pɯːʃaxk
baoth	pɯː
barail	baral
bàrd	paːrʃt̪
bàrr	paːrˠ
barra	parˠə
bàta	paːʰt̪ə
beach	pɛx
beachan	pɛxan
beag	pek
beagan	pekan
bealach	pjaɫ̪əx
bealaruisis	bjal̪ˠəruʃɪʃ
bealltainn	b̥jauɫ̪t̪ɪɲ
bean	pɛn
beann	pjaun̪ˠ
beatha	pɛhə
beathag	pʲahak
beathan	pʲahan
beinn	beiɲ
beinne	beɲə
beò	pjɔː
beul	piaɫ̪
beurla	bjɤːrˠl̪ˠə
beus	peːs
bhean	vɛn
bheil	vel
bhun	vun
biastag	piəstak
bigein	pikʲɪɲ
binn	piːɲ
bior	piɾ
bò	poː
bó	poː
boc	pɔxk
bòc	bɔːxɡ
bocan	bɔxɡan
bòcan	bɔːxɡan
bodach	pɔt̪əx
bògas	pɔːkəs
bogha	poə
bòid	b̊ɔːd̊ʲ
bòid	pɔːtʲ
boireannach	pɔɾʲən̪ˠəx
bonnach	bonəx
borb	pɔrɔp
bòrd	pɔːɾʃt̪
bradan	bratən
bratach	prahtəx
bratag	prahtak
breisleachail	brɛʃlʲaxal
briathrach	prʲiərəx
brice	prʲiʰkʰʲə
brìghde	pɾʲiːʝtʲə
broinn	pɾəiɲ
brùid	b̥ruːdʲ
bruidhinn	pɾiɪɲ
buabhaill	puəəl
buabhall	puəəl̪ˠ
buadhair	puəɣɛɾʲ
buail	buɪl
buidhe	b̥ujə
buidseachd	budʲʃəxɡ
bun	pun
bùrach	puːrəx
bùrn	burn
burras	pʊrˠəs
cabhag	kʰavak
cabhlach	kʰauɫ̪əx
cadal	kʰat̪aɫ̪
caidreach	kʰatʲɾʲəx
caifean	kɛfan
caifein	kʰafɛɲ
càil	kʰaːl
caileag	kʰalak
caill	kʰaiʎ
cailleach	kʰaʎəx
caillte	kʰaiʎtʰʲɪ
càin	kʰaːɲ
càineadh	kʰaːɲəɣ
cainnt	kʰaiɲtʰʲ
càise	kʰaːʃə
cait	kʰɛʰtʲ
caitrìona	katʲɾiənə
calltainn	kʰauɫ̪t̪ʰɪɲ
calpach	kʰal̪ˠpəx
cam	kaːm
cam	kʰaum
càmhal	kãːəl̪ˠ
campa	kʰaumpʰə
cana	kʰanə
caoimhe	kʰɤivə
caoimhe	kɤivə
caoimhneas	kʰɯivɲəs̪
caoin	kɯːn
caol	kʰɯːɫ̪
caomh	kʰɯːv
caraich	kʰaɾɪç
caran	kʰaɾan
càrnadh	kʰaːɾnəɣ
cas	kʰas
casag	kʰasak
casaid	kasadʲ
casan	kʰas̪ən
cat	kʰaʰt̪
cead	kʲʰet̪
ceannaich	kʰʲan̪ˠɪç
ceannard	kʰʲan̪ˠaɾʃt̪
ceannasach	kʰʲan̪ˠəs̪əx
cearclach	kʰʲɛrxkl̪ˠəx
ceàrnach	kʰʲaːrˠn̪ˠəx
cearr	kʰʲaːrˠ
ceàrr	kʰʲaːrˠ
ceart	kʲʰarˠʃt
ceart	kʲʰarˠst
ceathrar	kʲɛɾəɾ
cèile	kʰʲeːlə
cèilidh	kʰʲeːliʝ
cèireach	kʰʲeːɾʲəx
ceòl	kʰʲɔːɫ̪
