almyghty	almiçtiː
chosling	t͡ʃoːzliŋɡ
dingen	diŋɡən
donge	duŋɡ
fright	friçtə
frighten	friçtən
fynger	fiŋɡər
houre	ʊwɾ
hunger	huŋɡər
hungren	huŋɡrən
hungry	huŋɡriː
knight	kniçt
lynx	liŋks
misgang	misɡaŋɡ
myght	miçt
myght	mauxt
myghty	miçtiː
myghty	mauxtiː
nighte	niçt
nihterne	niçtərnə
niȝt	niçt
nothyng	noːθiŋɡ
nyȝtly	niçtliː
outwardes	ʊwtwaɾdz
right	riçt
spring	spriŋɡ
spynx	spiŋks
stynkynge	stiŋkiŋɡ
stynkynge	stiŋkiŋɡ
thyng	θiŋɡ
tronke	truŋk
tung	tuŋɡ
tuo	twʊː
wrong	wrɔŋɡ
wrong	rɔŋɡ
wrongful	wrɔŋɡful
wrongful	rɔŋɡful
wrongfully	wrɔŋɡfuliː
wrongfully	rɔŋɡfuliː
yong	juŋɡ
