ігла	jiɣɫa
іголка	jiɣoɫka
ілгаць	jiɫɣat͡sʲ
імгла	jimɣɫa
імя	jimʲa
інцэст	jint͡sest
іншаземец	jinʂazʲemʲet͡s
іншы	jinʂɨ
іржа	jirʐa
іржавы	jirʐavɨ
іскра	jiskra
істотны	jistotnɨ
італія	jitalʲija
аўтобус	au̯tobus
аўторак	au̯torak
абавязак	abavʲazak
абавязацельства	abavʲazat͡sʲelʲstva
абавязковы	abavʲaskovɨ
абарачацца	abarat͡ʂat͡sːa
абарона	abarona
абвінаваціць	abvʲinavat͡sʲit͡sʲ
аблічча	ablʲit͡ʂːa
абрыдлівы	abrɨdlʲivɨ
абцугі	apt͡suɣʲi
абяцаць	abʲat͡sat͡sʲ
авантурны	avanturnɨ
авёс	avʲos
агіда	aɣʲida
агароджа	aɣarod͡ʐa
агонь	aɣonʲ
агульны	aɣulʲnɨ
агурок	aɣurok
адвага	advaɣa
адважны	advaʐnɨ
адвольны	advolʲnɨ
адгаварыць	adɣavarɨt͡sʲ
адзіны	ad͡zʲin
адзежа	ad͡zʲeʐa
адказны	atkaznɨ
адклад	atkɫat
адкуль	atkulʲ
аднавокі	adnavokʲi
аднакаляровы	adnakalʲarovɨ
аднашлюбнасць	adnaʂlʲubnasʲt͡sʲ
аднашлюбны	adnaʂlʲubnɨ
адносны	adnosnɨ
адрас	adras
адрозны	adroznɨ
адсутнічаць	atsutnʲit͡ʂat͡sʲ
адсутны	atsutnɨ
адчыніць	atː͡ʂɨnʲit͡sʲ
айцец	ajt͡sʲet͡s
акно	akno
акула	akuɫa
акуляры	akulʲarɨ
але	alʲe
алень	alʲenʲ
аловак	aɫovak
амерыканец	amʲerɨkanʲet͡s
ангеліна	anɣʲelʲina
апісанне	apʲisanʲːe
апісаць	apʲisat͡sʲ
апарыш	aparɨʂ
апошні	apoʂnʲi
апранаць	apranat͡sʲ
аранжавы	aranʐavɨ
арол	aroɫ
арэх	arex
аса	asa
асаблівы	asablʲivɨ
асёл	asʲoɫ
аселы	asʲeɫɨ
аснова	asnova
асноватворны	asnovatvornɨ
асоба	asoba
астраном	astranom
асяроддзе	asʲarod͡zʲːe
атрута	atruta
атрутны	atrutnɨ
ахвяра	axvʲara
бірузовы	bʲiruzovɨ
