інквілін	inkvilin
інколи	inkolɪ
інший	inʃɪj
ї	ji
їсти	jistɪ
багатий	bɑɦɑtɪj
бездоганно	bɛzdoɦɑnːo
блискавка	blɪskɑfkɑ
богдан	boɣdɑn
властивість	vlɑstɪvistʲ
вперше	fpɛrʃe
г	ɦ
гілка	ɦilkɑ
гал	ɦɑl
галиця	ɦɑlɪt͡sʲɑ
гарбуз	ɦɑrbuz
гвинтівка	ɦwɪntifkɑ
голий	ɦɔlɪj
горілки	ɦorilkɪ
горілки	ɦorilkɪ
гріх	ɦrix
гранат	ɦranɑt
дев'ять	dɛu̯jɐc
десь	dɛsʲ
джерело	d͡ʒɛrɛlɔ
дзвіниця	d͡zvinɪt͡sʲɑ
дим	dɪm
довідник	dovidnɪk
докторат	doktorat
допомога	dopomɔɦɑ
дощ	dɔʃt͡ʃ
дружина	druʐɪnɑ
жадібний	ʒɑdibnɪj
жадний	ʒɑdnɪj
жарт	ʒɑrt
житло	ʒɪtlɔ
життя	ʒɪtʲːɑ
жовч	ʒɔwt͡ʃ
з	z
з	s
завзяття	zɑʋzʲɑtʲːɑ
зараз	zɑrɑz
захворіти	zɑxvɔritɪ
звати	zvɑtɪ
зерно	zɛrno
зерно	zɛrno
зоопарк	zoopɑrk
зошит	zɔʃɪt
зрозуміти	zrɔzumitɪ
кілька	kilʲka
кір	kir
кішка	kʲiʃkɑ
квартира	kvɑrtɪrɑ
кинджал	kɪnd͡ʒɑl
клітина	klʲitɪnɑ
ковбаса	koʋbasa
кожух	koʒux
комаха	kɔmɑxɑ
коріння	korʲinʲːɑ
корінь	kɔrʲinʲ
корабел	kɔrɑbɛl
корабель	korɑbɛlʲ
корито	kɔrɪtɔ
корова	kɔrɔvɐ
космос	kɔsmɔs
кошик	kɔʃɪk
крісло	krislo
крок	krɔk
куля	kulʲɑ
купа	kupɑ
купець	kupɛt͡sʲ
куток	kutɔk
ліжко	liʒko
лихоманка	lɪxomɑnkɑ
льоха	lʲɔxɑ
м'ясорубка	mjɑsorubkɑ
м'яч	mjɑt͡ʃ
мікроскоп	mikroskɔp
міністр	ministər
мітла	mitlɑ
мітоз	mitɔz
мітотичний	mitɔtɪt͡ʃnɪj
мітохондрія	mitoxɔndrijɑ
міф	mif
мішок	miʃɔk
магазин	mɑɦɑzɪn
мало	mɑlo
машина	mɑʃɪnɑ
медсестра	mɛdsɛstrɑ
медуза	mɛduzɑ
мер	mɛr
мережа	mɛrɛʒɑ
металург	metɑlurɦ
метро	mɛtrɔ
меч	mɛt͡ʃ
мешкання	mɛʃkɑnʲːɑ
михайло	mɪxɑɪ̯lo
множення	mnɔʒɪnʲːɑ
мовознавство	movoznɑvstvo
модрина	modrɪnɑ
мозок	mɔzɔk
молитовник	mɔlɪtɔvnɪk
мужність	muʒnistʲ
ніколи	nikɔlɪ
ніхто	nixtɔ
навіть	nɑvitʲ
надійність	nɑdijnisʲtʲ
насінина	nɑsʲinɪnɑ
насіння	nɑsinʲːɑ
натовп	nɑtɔvp
незабаром	nezɑbɑrom
нейробіологія	nɛjrɔbiɔlɔɦijɑ
один	odɪn
підвіконня	pidvikɔnʲːɑ
підлога	pidlɔɦɑ
підручник	pidrut͡ʃnɪk
підсумок	pitsumɔk
пісня	pisnʲɑ
падати	padatɪ
пам'ять	pɑmjɑtʲ
папуга	papuɦa
парашут	pɑrɑʃut
печера	pet͡ʃɛrɑ
пиво	pɪvo
пляшка	plʲɑʃkɑ
поїзд	pɔjizd
поверх	pɔvɛrx
повстання	pɔwstɑnʲːɑ
поезія	poɛzijɑ
поет	poɛt
помешкання	pomɛʃkɑnʲːɑ
поріг	poriɦ
посібник	posibnɪk
постіль	pɔstilʲ
похітливий	pɔxitlɪvɪj
припадати	prɪpadatɪ
провінціальний	provint͡siɑlʲnɪj
програма	proɦrɑmɑ
проект	proɛkt
проживання	proʒɪvɑnʲːɑ
пташка	ptɑʃkɑ
пустеля	pustɛlʲɑ
р	r
рій	rij
радіоактивний	rɑdiɔɑktɪvnɪj
раптом	rɑptom
релігія	rɛliɦijɑ
риса	rɪsɑ
розділ	rɔzdil
розташовувати	roztɑʃɔvuvɑtɪ
розташувати	roztɑʃuvɑtɪ
розуміти	rɔzumitɪ
російська	rosʲijsʲkɑ
російський	rosʲijsʲkɪ̞j
рослина	rɔslɪnɑ
рушниця	ruʃnɪt͡sʲɑ
світанок	svʲitɑnok
свиня	svɪnʲɑ
сентиментальний	sentɪmentɑlʲnɪj
серед	sɛred
серп	serp
скеля	skɛlʲɑ
скоро	skɔro
сміливість	smilɪvistʲ
смерть	smɛrtʲ
собор	sobɔr
сонце	sɔnt͡sɛ
сонце	sɔnt͡sɛ
сонячний	sɔnʲɑt͡ʃnɪj
соняшник	sɔnʲɑʃnɪk
сосна	sosnɑ
спальня	spɑlʲnʲɑ
спеціальний	spet͡siɑlʲnɪj
спис	spɪs
спрага	sprɑɦɑ
стіл	stil
стілець	stilɛt͡sʲ
станіслав	stɑɲislɑu̯
стеля	stɛlʲɑ
сто	stɔ
сторінка	storinkɑ
стрічка	strʲit͡ʃkɐ
стрічки	strʲit͡ʃkɪ
стрічки	strʲit͡ʃkɪ
студент	studɛnt
суддя	sudʲːɑ
суспільство	suspilʲstvo
та	tɑ
таблиця	tɑblɪt͡sʲɑ
тарган	tɑrɦɑn
текст	tɛkst
телевізор	tɛlɛvizor
ткати	tkatɪ
тобто	tɔpto
тощо	tɔʃt͡ʃo
тріщина	triʃt͡ʃɪnɑ
