אבא	ʔɛbɑʔ
אבאשותא	ʔabeʔɑʃutɑʔ
אבדא	ʔabdɑʔ
אבדלתא	ʔabdɑltɑʔ
אבדנא	ʔabdɑnɑʔ
אבהתא	ʔabɑhɑtɑʔ
אבובא	ʔabubɑʔ
אבטא	ʔabtˤɑʔ
אבידא	ʔæbidaʔ
אבידתא	ʔæbidtaʔ
אבלא	ʔɛblɑʔ
אבקא	ʔabqɑʔ
אברא	ʔabɑrɑʔ
אברא	ʔɛbrɑʔ
אברהם	ʔabrɑhɑm
אגוגא	ʔaɡoɡɑʔ
אגונא	ʔaɡonɑʔ
אגנא	ʔaɡɑnɑʔ
אגרא	ʔɛɡɑrɑʔ
אגרא	ʔaɡrɑʔ
אגרתא	ʔɛɡartɑʔ
אדם	ʔɑdɑm
אדמתא	ʔadɛmtɑʔ
אדנא	ʔɛdnɑʔ
אהרון	ʔahron
או	ʔaw
או	ʔo
אוחדנא	ʔuħdɑnɑʔ
אוכלא	ʔuklɑʔ
אוכמא	ʔukamaʔ
אוכמתא	ʔukamtaʔ
אולצנא	ʔulsˤɑnɑʔ
אומתא	ʔumtɑʔ
אונגליון	ʔɛwanɡɛlɛjon
אוצרא	ʔawsˤrɑʔ
אוקינוס	ʔoqɛjanos
אורגנון	ʔorɡanon
אורדעא	ʔurdʕɑʔ
אורהי	ʔurhaj
אורחא	ʔurħɑʔ
אוריא	ʔorjɑʔ
אורכא	ʔurkɑʔ
אורשלם	ʔurɪʃlɛm
אחריא	ʔħrajaʔ
אחריתא	ʔħrajtaʔ
אחרנא	ʔħrɛnaʔ
אחרתא	ʔħrɛtaʔ
אידא	ʔidɑʔ
אידא	ʔajdɑʔ
איך	ʔajk
איכנא	ʔajkɑnɑʔ
איל	ʔil
אילא	ʔajlɑ
אילין	ʔajlejn
אילנא	ʔilɑnɑʔ
אילתא	ʔajəlθɑ
אינא	ʔajnɑʔ
איקרא	ʔiqɑrɑʔ
איתותא	ʔitutɑʔ
אכדנא	ʔɑkɛdnɑʔ
אכחדא	ʔakħdɑʔ
אכילא	ʔækilaʔ
אכילתא	ʔækiltaʔ
אכלוס	ʔɑklos
אכסניא	ʔaksnɑjɑʔ
אכסניא	ʔaksɛnjɑʔ
אכסניתא	ʔaksnɑjtɑʔ
אכרא	ʔikːɑrɑ
אלעא	ʔɛlʕɑʔ
אלפא	ʔɛlpɑʔ
אלפא	ʔalpɑʔ
אמא	ʔɛmɑʔ
אמין	ʔɑmejn
אמין	ʔamin
אמינא	ʔæminaʔ
אמינתא	ʔæmintaʔ
אמירא	ʔamirɑʔ
אמרא	ʔɛmrɑʔ
אן	ʔɛn
אנכא	ʔɑnkɑʔ
אנשא	ʔnɑʃɑʔ
אנשיא	ʔnaʃajaʔ
אנשיתא	ʔnaʃajtaʔ
אסא	ʔɑsɑ
אסא	ʔăsɑ
אסא	ʔɑsɑ
אסורא	ʔasurɑʔ
אסטוא	ʔɛstˤwɑʔ
אסטומכא	ʔɛstˤomkɑʔ
אסטרטיוטא	ʔɛstˤratˤjotˤɑʔ
אסיא	ʔɑsjɑ
אסיא	ʔasijɑ
אסיתא	ʔɑsitɑ
אסכולא	ʔɛskoleʔ
אסכימא	ʔɛskemɑʔ
אסכמא	ʔɛskemɑʔ
אספוגא	ʔɛspoɡɑʔ
אף	ʔɑp
אפא	ʔapeʔ
אפדנא	ʔɑpadnɑʔ
אפיסקופא	ʔɛpisqopɑʔ
ארדכלא	ʔardeklɑʔ
ארזא	ʔarzɑʔ
ארזפתא	ʔarzaptɑʔ
אריא	ʔarjɑʔ
אריותא	ʔarjotɑʔ
אריותא	ʔarjawɑtɑʔ
אריכא	ʔærikaʔ
אריכתא	ʔæriktaʔ
אריסא	ʔăriːsɑ
ארישא	ʔăriːʃɑ
ארם	ʔɑrɑm
ארנבא	ʔarnbɑʔ
אשכתא	ʔɛʃktɑʔ
אשתא	ʔɛʃɑtɑʔ
אשתא	ʔɛʃtɑʔ
אתא	ʔɑtɑʔ
אתמלי	ʔɛtmɑlj
אתרא	ʔatrɑʔ
ב־	b-
בבתא	bɑbtɑʔ
בדל	bdæl
בזא	bɛzɑʔ
בזא	bazɑʔ
בטלתא	batˤɑltɑʔ
בטן	btˤɛn
בטנא	batˤnɑʔ
בינת	bajnɑt
ביעתא	bajʕtɑʔ
בישא	biʃaʔ
בישתא	biʃtɑʔ
בלוטא	balutˤɑʔ
בליא	blajaʔ
בליעא	bliʕaʔ
בליעתא	bliʕtaʔ
בליתא	blajtaʔ
בלעא	blɑʕɑʔ
בנא	bnaʔ
בניא	banɑjɑʔ
בניא	bnajɑʔ
בנתא	bnɑtɑʔ
בסימא	bæsimaʔ
בסימותא	basimutɑʔ
בסימתא	bæsimtaʔ
בסמא	bsɑmɑʔ
בסמא	bɛsmɑʔ
בסמא	basɑmɑʔ
בעירא	bʕirɑʔ
בעלא	baʕlɑʔ
בעלדבבא	bʕɛldbɑbɑʔ
בצירא	bsˤiraʔ
בצירתא	bsˤirtaʔ
בקא	bɑqɑʔ
בקא	bqɑʔ
בקרא	baqrɑʔ
בקרא	baqɑrɑʔ
ברא	brɑː
ברונא	bronɑʔ
ברותא	bəroθɑ
בריכא	brikaʔ
בריכתא	briktaʔ
בריתא	bɛritɑʔ
ברם	bram
ברקא	barqɑʔ
ברתא	bratɑ
ברתא	bərɑθɑ
בשילא	bʃilaʔ
בשילתא	bʃiltaʔ
בתולא	btulɑʔ
בתולותא	btulutɑʔ
בתר	bɑtar
בתרכן	bɑtarkɛn
גביא	ɡabɑjɑʔ
גבינא	ɡbinɑʔ
גברא	ɡabrɑʔ
גברותא	ɡabrutɑʔ
גבתא	ɡbɛtɑʔ
גהנא	ɡehanɑʔ
גוא	ɡawɑʔ
גודא	ɡudɑʔ
גוזא	ɡawzɑʔ
גוחכא	ɡuħkɑʔ
גולתא	ɡultɑʔ
גושמא	ɡuʃmɑʔ
גזא	ɡazɑʔ
גזא	ɡɑzɑʔ
גזא	ɡɛzɑʔ
גזא	ɡɑzɑʔ
גזא	ɡɛzeʔ
גזורתא	ɡzurtɑʔ
גזרא	ɡəzɑrɑ
גזרא	ɡɪzrɑ
גזתא	ɡɛztɑʔ
גחיכא	ɡħikaʔ
גחיכתא	ɡħiktaʔ
גידא	ɡjɑdɑʔ
גיסא	ɡajsɑʔ
גיסא	ɡajɑsɑʔ
גיר	ɡejr
גלדא	ɡɛldɑʔ
גלידא	ɡlidɑʔ
גמורתא	ɡmurtɑʔ
גמלא	ɡamlɑʔ
גמלא	ɡamɑlɑʔ
גמרא	ɡmɑrɑʔ
גנבא	ɡanɑbɑʔ
גנברא	ɡanbɑrɑʔ
גנבתא	ɡanɑbtɑʔ
גנסא	ɡɛnsɑʔ
גנתא	ɡantɑʔ
גרבא	ɡarbɑ
גרבא	ɡrɑbɑ
גרבא	ɡrabɑ
גריצתא	ɡrisˤtɑʔ
גרמא	ɡarmɑʔ
ד־	d-
דאבתא	deʔbtɑʔ
דבבא	dɛbɑbɑʔ
דבורתא	dɛbortɑʔ
דבחא	dɛbħɑʔ
דברא	dabrɑʔ
דבשא	dɛbʃɑʔ
דדא	dɑdɑʔ
דדתא	dɑdtɑʔ
דוחנא	duħnɑʔ
דויד	dawid
דוכא	dukɑʔ
דוכרנא	dukrɑnɑʔ
דוכתא	duktɑʔ
דולא	dawlɑʔ
דונבא	dunbɑʔ
דונבתא	dunbtɑʔ
דחילא	dħilaʔ
דחילתא	dħiltaʔ
דחלתא	dɛħltɑʔ
דחשא	daħʃɑʔ
דיותא	djotɑʔ
דיל־	dil-
דין	dejn
דינא	dinɑʔ
דינא	dajɑnɑʔ
דירא	dajrɑʔ
דירא	dajɑrɑʔ
דכיא	dækjaʔ
דכיתא	dkitaʔ
דכרא	dixrɑʔ
דלקא	dalqɑʔ
דמא	dmɑʔ
דמיא	dmajɑʔ
דמיכא	dmikaʔ
דמיכתא	dmiktaʔ
דמכא	dmɑkɑʔ
דמן	dman
דמעתא	dɛmʕtɑʔ
דנחא	dɛnħɑʔ
דפא	dapɑʔ
דקוקא	dɑqoqɑʔ
דקלת	dɪqlæt
דקנא	diqnɑʔ
דקקא	dqɑqɑʔ
דרגא	darɡɑʔ
דרדרא	dardrɑʔ
דרמסוק	dærmsuq
דרתא	dɑrtɑʔ
הא	hɑʔ
הדא	hɑdeʔ
הדמא	hadɑmɑʔ
הו	hu
הוננא	hæwnanaʔ
הוננתא	hæwnantaʔ
הי	hi
הידין	hɑjdejn
היכלא	heːxlɑ
הימנותא	hajmɑnutɑʔ
הכנא	hɑkanɑʔ
הלין	hɑlejn
הנא	hɑnɑʔ
הנון	hɛnon
הנין	hɛnejn
ו־	w-
וי	wɑj
ועדא	waʕdɑʔ
ורדא	wardɑʔ
ורידא	waridɑʔ
זבלא	zɛblɑʔ
זבנא	zabnɑʔ
זגגא	zaɡɑɡɑʔ
זגוגיתא	zɡuɡitɑʔ
זדיקא	zædiqaʔ
זדיקתא	zædiqtaʔ
זוגא	zawɡɑʔ
זוזא	zuzɑʔ
זועא	zawʕɑʔ
זינא	zajnɑʔ
זיתא	zajtɑʔ
זמנא	zamnɑʔ
זמרא	zmɑrɑʔ
זמרא	zamɑrɑʔ
זמרתא	zamɑrtɑʔ
זנא	znɑʔ
זעורא	zʕoraʔ
זעורתא	zʕortaʔ
זקיפא	zqipaʔ
זקיפתא	zqiptaʔ
זקר	zqær
זקתא	zɛqtɑʔ
זרועא	zɑruʕɑʔ
זרניכא	zarnikɑʔ
זרעא	zarʕɑʔ
זרתא	zartɑʔ
חארא	ħɛʔraʔ
חארתא	ħɛʔrtaʔ
חביבא	ħæbibaʔ
חביבתא	ħæbibtaʔ
חבלא	ħablɑʔ
חבלא	ħɛblɑʔ
חבלא	ħbɑlɑʔ
חבלא	ħabɑlɑʔ
חבננא	ħbænanaʔ
חבננתא	ħbænantaʔ
חברותא	ħabrutɑʔ
חברתא	ħbartɑʔ
חגירא	ħɡiraʔ
חגירתא	ħɡirtaʔ
חדותא	ħadutɑʔ
חדיא	ħadjɑʔ
חדיא	ħadɑjɑʔ
חדיתא	ħædajtaʔ
חדתא	ħædtaʔ
חדתא	ħdætaʔ
חדתתא	ħædtataʔ
חוא	ħawɑʔ
חובא	ħubɑʔ
חובא	ħawbɑʔ
חוגתא	ħuɡtɑʔ
חוחא	ħoħɑʔ
חוטא	ħutˤɑʔ
חוטמא	ħutˤmɑʔ
חוטרא	ħutˤrɑʔ
חומא	ħumɑʔ
חופא	ħawpɑʔ
חורא	ħɪwaraʔ
חורבא	ħurbɑʔ
חורתא	ħɪwartaʔ
חושבא	ħuʃɑbɑʔ
חזונא	ħɛzwɑnɑʔ
חזיא	ħzɑjɑʔ
חזיא	ħazɑjɑʔ
חזירא	ħzirɑʔ
חזירתא	ħzirtɑʔ
חטא	ħɛtˤeʔ
חטא	ħtˤɑʔ
חטהא	ħtˤɑhɑʔ
חטיא	ħatˤɑjɑʔ
חטיתא	ħtˤitɑʔ
חטיתא	ħatˤɑjtɑʔ
חטתא	ħɛtˤtɑʔ
חיא	ħajeʔ
חיא	ħjɑʔ
חיותא	ħajutɑʔ
חילא	ħajlɑʔ
חכימא	ħækimaʔ
חכימתא	ħækimtaʔ
חכמתא	ħɛkmtɑʔ
חלא	ħalɑʔ
חלא	ħɑlɑʔ
חלא	ħɛlɑʔ
חלבא	ħalbɑʔ
חליא	ħæljaʔ
חליותא	ħaljutɑʔ
חלימא	ħlimaʔ
חלימתא	ħlimtaʔ
חליתא	ħlitaʔ
חללא	ħlɑlɑʔ
חלתא	ħɑltɑ
חלתא	ħɛlːəθɑ
חלתא	ħalːəθɑ
חלתא	ħalːəθɑ
חמא	ħmɑʔ
חמוצא	ħæmusˤaʔ
חמוצתא	ħæmusˤtaʔ
חמורתא	ħmurtɑʔ
חמימא	ħæmimaʔ
חמימתא	ħæmimtaʔ
חמיעא	ħamiʕɑʔ
חמיעתא	ħæmiʕtaʔ
חמירא	ħmirɑ
חמרתא	ħamɑrtɑʔ
חמתא	ħmɑtɑʔ
חמתא	ħɛmtɑʔ
חנוכתא	ħanuktɑʔ
חנכא	ħɛnkɑʔ
חנקא	ħnɑqɑʔ
חס	ħɑs
חסינא	ħæsinaʔ
חסינתא	ħæsintaʔ
חצד	ħsˤæd
חצדא	ħsˤɑdɑʔ
חצינא	ħasˤːinɑ
חציפותא	ħasˤiputɑʔ
חקלא	ħaqlɑʔ
חרבא	ħarbɑʔ
חרדלא	ħardlɑʔ
חרשא	ħarʃɑʔ
חרשא	ħarɑʃɑʔ
חרשתא	ħarʃtɑʔ
חרשתא	ħarɑʃtɑʔ
חשכא	ħɛʃkɑʔ
חשכתא	ħɛʃktɑʔ
טבחא	tˤabɑħɑʔ
טבחתא	tˤabɑħtɑʔ
טביתא	tˤabitɑʔ
טהרא	tˤahrɑʔ
טובא	tˤubɑʔ
טוסא	tˤawsɑʔ
טופסא	tˤupsɑʔ
