abad	ɑbɑd
abadanlıq	ɑbɑdɑnɫɯχ
abadlıq	ɑbɑdɫɯχ
abajur	ɑbɑʒur
abdal	ɑbdɑɫ
abidə	ɑːbidæ
ac	ɑd͡ʒ
ac	ɑd͡z
ad	ɑd
ada	ɑdɑ
addım	ɑdːɯm
adlanmaq	ɑdɫɑmːɑχ
afət	ɑːfæt
aktyor	ɑktyor
aldanmaq	ɑɫdɑnmɑχ
aldanmaq	ɑɫːɑnmɑχ
aldatmaq	ɑɫdɑtmɑχ
aldatmaq	ɑɫːɑtmɑχ
alış	ɑɫɯʃ
almaniya	ɑɫmɑnijɑ
almaq	ɑɫmɑχ
almaz	ɑɫmɑz
alqış	ɑɫɡɯʃ
alqış	ɑɫɣɯʃ
alqışlamaq	ɑɫɡɯʃɫɑmɑχ
alqışlamaq	ɑɫɣɯʃɫɑmɑχ
altıncı	ɑltɯnd͡ʒɯ
altında	ɑɫtɯndɑ
altmış	ɑɫtmɯʃ
altmışıncı	ɑltmɯʃɯnd͡ʒɯ
alver	ɑlver
alət	ɑːlæt
amma	ɑmːɑ
amma	ɑmbɑ
ancaq	ɑnd͡ʒɑχ
ancaq	ɑnd͡zɑχ
and	and
anlamaq	ɑnɫɑmɑχ
anlayış	ɑnɫɑjɯʃ
anqut	ɑŋɡut
anqutboğaz	ɑŋɡutboɣɑz
aparmaq	ɑpɑrmɑχ
arabir	ɑrɑbir
arasında	ɑrɑsɯndɑ
arıq	ɑrɯɣ
artıq	ɑrtɯχ
artmaq	ɑrtmɑχ
arxasında	ɑrχɑsɯndɑ
arxaik	ɑrχɑik
arxiv	ɑɾxiv
arğac	ɑrɣɑd͡ʒ
arğac	ɑrɣɑd͡z
ata	ɑtɑ
atelye	ɑtelje
atım	ɑtɯm
atmaq	ɑtmɑχ
atqı	ɑtɡɯ
avqust	ɑvɟust
avtomatik	aftomatik
avtoqraf	ɑftoɡraf
avtoş	ɑftoʃ
axır	ɑχɯr
axsamaq	ɑχsɑmɑχ
axtarış	ɑχtɑrɯʃ
axtarmaq	ɑχtɑrmɑχ
axşam	aχʃam
ayaq	ɑjɑχ
ayaqqabı	ɑjɑχkɑbɯ
ayaqqabı	ɑjɑkːɑbɯ
ayaqyalın	ɑjɑɣjɑɫɯn
ayaqyolu	ɑjɑɣjolu
ayaz	ɑjɑz
aydın	ɑjdɯn
aydınlıq	ɑjdɯnɫɯχ
ayıq	ɑjɯχ
ayıqlıq	ɑjɯɣɫɯχ
ayırmaq	ɑjɯrmɑχ
aylanmaq	ɑjɫɑnmɑχ
aylanmaq	ɑjɫɑmːɑχ
aylıq	ɑjɫɯχ
ayran	ɑjrɑn
az	ɑz
azad	ɑzɑd
azadlıq	ɑzɑdɫɯχ
azlıq	ɑzɫɯχ
azlıq	ɑzdɯχ
azmaq	ɑzmɑχ
azyaşlı	ɑzjɑʃɫɯ
azərbaycan	ɑːzæɾbɑjd͡ʒɑn
azərbaycan	ɑːzærbɑjd͡zɑn
açar	ɑt͡ʃɑr
açar	ɑt͡sɑr
açılış	ɑt͡ʃɯlɯʃ
