!kung	kʌŋ
!kung	ǃkʌŋ
$deity	diːɪti
$deity	deɪɪti
++	plʌsplʌs
.com	dɒtkɒm
.com	dɑtkɑm
.int	dɒtɪnt
@	æt
@	ət
@	itʃæt
a	eɪ̯
a	æɪ
a	eɪ
a	æɪ
a	eɪ
a	ə
a	ə
a	ə
a	ə
a	ə
a	ɑ
a	ə
a	ɑː
a	ə
a	ɔ
aa	ɑːɑː
aa	ɑɑ
aaawesome	ɔːːːsəm
aabomycin	æboʊmaɪsɪn
aachen	ɑːkən
aachen	ɑkən
aachen	ɑxən
aacu	ækʊ
aacu	eɪeɪkeɪjʊ
aalborg	ɔːlbɔːɹ
aalborg	ɔːlbɔːɡ
aalborg	ɔlbɔɹ
aalborg	ɔlbɔɹɡ
aalii	ɑːliːiː
aalii	ɑlii
aalst	ɑlst
aalst	ɑːlst
aam	ɑːm
aam	ɔːm
aam	ɑm
aam	ɔm
aandblom	ɑːntblɒm
aandblom	ɑntblɑm
aar	ɑɹ
aar	ɑːɹ
aarau	aːɹau
aardvark	ɑːdvɑːk
aardvark	ɑɹdvɑɹk
aardwolf	ɑːdwʊlf
aardwolf	ɑɹdwʊlf
aardwolves	ɑɹdwʊlvz
aare	ɑɹə
aare	ɑːɹə
aarhus	ɔːhuːs
aarhus	ɔɹhus
aaron	ɛɹən
aaron	æɹən
aaron	ɛəɹən
aaronic	æɹɒnɪk
aaronic	ɛːɹɒnɪk
aaronic	æɹɑnɪk
aaronic	ɛɹɑnɪk
aaronical	æɹɑnɪkəl
aaronical	ɛːɹɑnɪkəl
aaronical	æɹɑnɪkəl
aaronical	ɛɹɑnɪkəl
aaronite	æɹənaɪt
aaronite	ɛɹənaɪt
aaronite	eəɹn̩aɪt
aasvoel	ɑsfoʊəl
aasvogel	ɑːsfəʊɡəl
aasvogel	ɑsfoʊɡəl
aaxten	aːkstən
ab	æb
ab	ɑb
ab	æb
ab	æb
aba	əbɑː
aba	əbɑ
aba	æbə
ababdeh	əbæbdɛ
abaca	æbəkɑ
abaca	æbəkɑ
abacate	æbəkɑti
abacavir	əbækəvɪəɹ
abacaxi	æbəkəʃi
abacaxi	æbəkəʃi
abaci	æbəsaɪ
abaci	æbəkaɪ
abaci	əbækaɪ
abacinate	æbæsɪneɪt
abacisci	æbəsɪsaɪ
abacisci	æbəkɪski
abacisci	æbəkɪskaɪ
abaciscus	æbəsɪskəs
abaciscus	æbəsɪskɪs
abacist	æbəsɪst
abacist	æbəsəst
abacist	æbəkəst
abacist	əbækəst
abacist	əbɑkəst
aback	əbæk
aback	əbæk
abackward	əbækwəd
abackward	əbækwəd
abaco	æbəkoʊ
abaco	æbækoʊ
abacost	æbəkɒst
abacost	æbəkɑst
abacterial	eɪbæktɪɹiəl
abactinal	æbæktənl̩
abactinal	æbæktənl̩
abactinal	æbæktaɪnl̩
abactinal	æbæktaɪnl̩
abactinally	æbæktənl̩i
abactor	æbæktɚ
abactor	æbæktɚ
abaculi	əbækjəlaɪ
abaculi	əbækjəli
abaculus	əbækjələs
abacus	æbəkəs
abacus	əbækəs
abacus	əbɑkəs
abacus	æbəkəs
abacus	əbækəs
abacus	əbɑkəs
abadan	ɑbɑdɑn
abadan	ɑbədɑn
abadan	æbədæn
abaddon	əbædn̩
abaft	əbæft
abaft	əbɑːft
abaft	əbæft
abaft	əbɑft
abaht	əbɑːt
abaht	əbɑt
abaiser	əbeɪsɚ
abaisse	əbeɪs
abaissé	əbeɪseɪ
abakan	ʌbʌkan
abakan	ɑbəkɑn
abalienate	æbeɪljəneɪt
abalienate	æbeɪliəneɪt
abalienation	æbeɪljəneɪʃən
abalienation	æbeɪliəneɪʃən
abalone	æbələʊni
abalone	æbəloʊni
abamp	æbæmp
abampere	æbæmpiːɹ
aband	əbænd
aband	əbænd
aband	aːbɑnt
abandon	əbændn̩
abandon	əbændn̩
abandon	əbændən
abandoned	əbændn̩d
abandoned	əbændn̩d
abandonedly	əbændn̩ədli
abandonedly	əbændn̩ədli
abandonee	əbændəni
abandonment	əbændn̩mn̩t
abandonment	əbændn̩mn̩t
abañeeme	əbɑnjəeɪmi
abänn	aːbæn
abaptiston	æbæptɪstɒn
abaptiston	æbæptɪstɑn
abarognosis	æbəɹəɡnəʊsɪs
abarognosis	æbəɹəɡnoʊsɪs
abarticular	æbɑɹtɪkjulə
abarticular	æbɑɹtɪkjələ
abarticular	æbɑtɪkjulə
abarticular	æbɑtɪkjələ
abarticulation	æbɑɹtɪkjʊleɪʃən
abarticulation	æbɑtɪkjʊleɪʃən
abarticulation	æbɑɹtɪkjəleɪʃən
abarticulation	æbɑtɪkjəleɪʃən
abas	əbɑs
abase	əbeɪs
abased	əbeɪst
abased	əbeɪst
abasedly	əbeɪsɪdli
abasedly	əbeɪsədli
abasement	əbeɪsmənt
abaser	əbeɪsɚ
abash	əbæʃ
abash	əbæʃ
abashed	əbæʃt
abashedly	əbæʃɪdli
abashedly	əbæʃɪdli
abashedness	əbæʃɪdnɪs
abashedness	əbæʃɪdnɪs
abashless	əbæʃlɪs
abashless	əbæʃləs
abashlessly	əbæʃləsli
abashment	əbæʃmənt
abashment	əbæʃmənt
abasia	əbeɪʒə
