अ	ə
अँ	ə̃
अँगड़ाई	ə̃ɡɽɑːiː
अँगरेज़	ə̃ɡɾeːz
अँगरेज़ी	ə̃ɡɾeːziː
अँगहीन	ə̃ɡʱiːn
अँगिया	ə̃ɡiːjɑː
अँगीठी	ə̃ɡiːʈʰiː
अँगूठी	ə̃ɡuːʈʰiː
अँग्रेज़	ə̃ɡɾeːz
अँग्रेज़ी	ə̃ɡɾeːziː
अँटना	ə̃ʈnɑː
अं	ə̃
अंक	əŋk
अंकन	əŋkən
अंकल	əŋkəl
अंकित	əŋkɪt̪
अंकुर	əŋkʊɾ
अंकुरित	əŋkʊɾɪt̪
अंकुश	əŋkʊʃ
अंग	əŋɡ
अंगच्छेद	əŋɡət͡ʃt͡ʃʰeːd̪
अंगड़ाई	əŋɡɽɑːiː
अंगदान	əŋɡd̪ɑːn
अंगना	əŋɡənɑː
अंगहीन	əŋɡʱiːn
अंगार	əŋɡɑːɾ
अंगारा	əŋɡɑːɾɑː
अंगिया	əŋɡiːjɑː
अंगीकार	əŋɡiːkɑːɾ
अंगुल	əŋɡʊl
अंगुली	əŋɡʊliː
अंगूठा	əŋɡuːʈʰɑː
अंगूर	əŋɡuːɾ
अंगोछा	əŋɡoːt͡ʃʰɑː
अंगोट	əŋɡoːʈ
अंगोला	əŋɡoːlɑː
अंग्रेज़	əŋɡɾeːz
अंग्रेज़ियत	əŋɡɾeːziːjət̪
अंग्रेज़ी	əŋɡɾeːziː
अंग्रेजी	əŋɡɾeːd͡ʒiː
अंचल	əɲt͡ʃəl
अंछर	əɲt͡ʃʰəɾ
अंजन	əɲd͡ʒən
अंजाम	əɲd͡ʒɑːm
अंजीर	əɲd͡ʒiːɾ
अंजु	əɲd͡ʒuː
अंटार्कटिका	ənʈɑːɾkʈɪkɑː
अंडकोष	ənɖkoːʃ
अंडा	ənɖɑː
अंडोरा	ənɖoːɾɑː
अंत	ənt̪
अंतःक्षेप	ənt̪əʰkʃeːp
अंतड़ी	ənt̪ɽiː
अंतरंगता	ənt̪əɾəŋɡt̪ɑː
अंतरजाल	ənt̪əɾd͡ʒɑːl
अंतरराष्ट्रीयता	ənt̪əɾɾɑːʃʈɾiːjət̪ɑː
अंतरा	ənt̪ɾɑː
अंतरा	ənt̪əɾɑː
अंतराल	ənt̪əɾɑːl
अंतरिक्ष	ənt̪ɾɪkʃ
अंतरिम	ənt̪ɾɪm
अंतर्गत	ənt̪əɾɡət̪
अंतर्जातीय	ənt̪əɾd͡ʒɑːt̪iːj
अंतर्जाल	ənt̪əɾd͡ʒɑːl
अंतर्देशीय	ənt̪əɾd̪eːʃiːj
अंतर्धान	ənt̪əɾd̪ʱɑːn
अंतर्निहित	ənt̪əɾnɪɦɪt̪
अंतर्राष्ट्रीय	ənt̪əɾɾɑːʃʈɾiːj
अंतर्वासी	ənt̪əɾʋɑːsiː
अंताक्षरी	ənt̪ɑːkʃəɾiː
अंतिम	ənt̪ɪm
अंत्येष्टि	ənt̪jeːʃʈiː
अंदर	ənd̪əɾ
अंदाज़	ən̪d̪az
अंदाज़ा	ənd̪ɑːzɑː
अंधड़	ənd̪ʱəɽ
अंधविश्वास	ənd̪ʱʋɪʃʋɑːs
अंधाधुंध	ənd̪ʱɑːd̪ʱʊnd̪ʱ
अंधेरा	ənd̪ʱeːɾɑː
अंबर	əmbəɾ
अंश	ənʃ
अंशकालिक	ənʃkɑːlɪk
अंशतः	ənʃt̪əʰ
अः	əʰ
अए	əeː
अकड़	əkəɽ
अकड़न	əkɽən
अकड़ना	əkəɽnɑː
अकर्म	əkəɾm
अकर्मक	əkəɾmək
अकर्मण्यता	əkəɾmənjət̪ɑː
अकस्मात्	əkəsmɑːt̪
अक़्ल	əkl
अक़्ल	əql
अक़्ल	əkəl
अक़्ल	əqəl
अक़्लमंद	əkəlmənd̪
अक़्लमंद	əqəlmənd̪
अक़्लमंद	əklmənd̪
अक़्लमंद	əqlmənd̪
अकाज	əkɑːd͡ʒ
अकादमिक	əkɑːd̪mɪk
अकादमी	əkɑːd̪miː
अकारण	əkɑːɾən
अकारथ	əkɑːɾət̪ʰ
अकाल	əkɑːl
अकूत	əkuːt̪
अकेला	əkeːlɑː
अकेलापन	əkeːlɑːpən
अक्खड़	əkkʰəɽ
अक्खा	əkkʰɑː
अक्टूबर	əkʈuːbəɾ
अक्तूबर	əkt̪uːbəɾ
अक्षत	əkʃət̪
अक्षय	əkʃəj
अक्षय	əkʃɛ
अक्षरारंभ	əkʃəɾɑːɾəmbʱ
अक्स	əks
अक्सर	əksəɾ
अखंड	əkʰəɳɖ
अखंडता	əkʰənɖt̪ɑː
अखरना	əkʰəɾnɑː
अख़बार	əkʰbɑːɾ
अख़बार	əxbɑːɾ
अख़बारवाला	əkʰbɑːɾʋɑːlɑː
अख़बारवाला	əxbɑːɾʋɑːlɑː
अख़रोट	əkʰɾoːʈ
अख़रोट	əxɾoːʈ
अखाड़ा	əkʰɑːɽɑː
अखिल	əkʰɪl
अगणित	əɡənɪt̪
अगर	əɡəɾ
अगरचे	əɡəɾt͡ʃeː
अगरतला	əɡəɾt̪əlɑː
अगरबत्ती	əɡəɾbət̪t̪iː
अगला	əɡlɑː
अगवानी	əɡʋɑːniː
अगस्त	əɡəst̪
अगाऊ	əɡɑːuː
अगिन	əɡɪn
अगुआ	əɡʊɑː
अग्नि	əɡniː
