amerykański	ãmɛrɨkãĩ̯s̪ʲkʲi
ą	ɔw̃
dokądś	dɔkɔ̃ntʲɕ
drzewo	d͡ʐʐɛvɔ
duńczyk	d̪ũĩ̯nt͡ʂɨk
duński	d̪ũĩ̯s̪ʲkʲi
ę	ɛw̃
ę	ɛj̃
gdańsk	ɡd̪ãĩ̯s̪k
geminata	ɡɛ̃mʲĩnata
hiszpański	xʲiʂpãĩ̯s̪ʲkʲi
inny	ĩn̪n̪ɘ̟
intercyza	ĩntɛrt͡sɨza
japoński	japɔ̃ĩ̯s̪ʲkʲi
końskie	kɔ̃j̃sʲcɛ
księżyc	kʲɕɛw̃ʐɨt͡s
lankijski	lãŋʲkʲijs̪ʲkʲi
ł	ɫ
ł	ɫ
mąż	mɔ̃w̃ʂ
mięsień	mʲjẽĩ̯ɕẽɲ
mięso	mʲjɛ̃w̃s̪ɔ
mięśniowy	mʲjẽĩ̯ɕɲɔvɨ
następny	n̪as̪t̪ɛ̃mpn̪ɨ
nasza	n̪aʂa
naszą	n̪aʂɔ̃w̃
nasze	n̪aʂɛ
naszego	n̪aʂɛɡɔ
naszej	n̪aʂɛj
naszemu	n̪aʂɛ̃mu
naszych	n̪aʂɨx
naszym	n̪aʂɨ̃m
parking	parkʲĩŋk
pięść	pʲjɛ̝̃ĩ̯ɕt͡ɕ
poczdam	pɔd͡ʐdam
pomysł	pɔ̃mɨsw̥
potrzeba	pɔt͡ʂʂɛba
potrzebny	pɔt͡ʂʂɛbnɨ
przypadek	pʂɘpäd̪ɛk
są	s̪ɔ̃w̃
słońce	s̪wɔ̃ĩ̯n̪t͡s̪ɛ
socynianin	sɔt͡sɨ̃ɲä̃ɲĩn
socyniański	sɔt͡sɨ̃ɲä̃j̃sʲci
szczęście	ʂt͡ʂɛ̃ĩ̯ɕt͡ɕɛ
tańczyć	t̪ãĩ̯nt͡ʂɨt͡ɕ
tom	t̪ɔ̃m
triumf	trʲjũw̃f
trwoga	trfɔɡa
tryumf	trʲjũw̃f
trzech	t͡ʂʂɛx
trzepać	t͡ʂʂɛpat͡ɕ
trzy	t͡ʂʂɨ
trzydziesty	t͡ʂʂɨd͡ʑɛstɨ
trzymać	t͡ʂʂɨ̃mat͡ɕ
trzynasty	t͡ʂʂɨnastɨ
trzysta	t͡ʂʂɨsta
umięśniony	ũmʲjẽĩ̯ɕɲɔ̃n̪ɨ
umysł	ũmɨsw̥
wąż	vɔ̃w̃ʂ
wąż	vɔ̃w̃ʂ
winny	vʲĩn̪n̪ɘ̟
wysiąść	vɨɕɔ̃ĩ̯ɕt͡ɕ
zając	z̪ajɔ̃n̪t͡s̪
zajonc	z̪ajɔ̃n̪t͡s̪
zdążyć	z̪d̪ɔ̃w̃ʐɨt͡ɕ
żeński	ʐɛ̃ĩ̯s̪ʲci
