ёл	jɔɮ
ёотон	jɔːtʰɔŋ
ёс	jɔs
ёслол	jɔsɮɔɮ
ёстой	jɔstʰɔi
аав	aːw
ааг	aːɡ
аадар	aːdər
аалз	aːɮts
ааруул	aːrʊːɮ
ав	aw
авга	awəɢ
авдар	awtər
авс	aws
австрали	afstʰraɮ
австри	aw̜stʰr
автобус	aftʰɔpʊs
автобус	aftʰʊːs
автомашин	aftʰəmaʃiŋ
авьяас	awjas
агаар	aɢaːr
агшин	aɡʃiŋ
ад	at
адал	atəɮ
адил	atʲəɮ
аз	at͡s
айл	aiɮ
айлчлах	aiɮt͡ɕʰɮəx
айраг	airaɡ
академич	akdemt͜ɕ
алба	aɮp
албадах	aɮpətəx
албадлага	aɮpətɮəɢ
албани	aɮpan
алга	aɮəɢ
алжир	aɮt͡ʃir
алим	aɮim
аллах	aɮɮax
алт	aɮtʰ
алтан	aɮtʰəŋ
алтгана	aɮtʰɢən
алх	aɮx
аль	aɮʲ
ам	am
амжилт	amt͡ʃiɮtʰ
амжих	amt͡ɕəx
амь	amʲ
амьдрал	amʲtraɮ
амьсгалах	amʲsɢəɮəx
анги	aŋɡ
англи	aŋɡiɮ
англи	aŋɡiɮ
анекдот	ɔniɡɔː
анх	aŋx
анхилга	aŋʲxʲəɮəɢ
анчин	ant͡ʃʰiŋ
аппарат	apʰratʰ
аптек	apʰtʰekʰ
арвай	arwai
арга	arəɢ
аргентин	arɡentʰiŋ
архи	arʲx
арьс	arʲs
асуух	asʊx
атаа	atʰa
атаархах	atʰarxəx
афганистан	afɡanistʰaŋ
ах	ax
ац	at͡sʰ
баатар	paːtʰər
баах	paːx
баг	paɡ
бага	paɢ
багаж	paɢt͡ɕ
багс	paɡs
багш	paɡʃ
байгаль	paiɡaɮʲ
байна	pain
байх	paix
байц	pait͡sʰ
байцаа	pait͡saː
бангладеш	paŋɡɮateʃ
бар	par
барамнас	paramnas
барих	parʲəx
баруун	parʊːŋ
бассейн	pasejŋ
баялаг	bajălaɢ
баяр	pajr
баярлалаа	pajərɮa
баяртай	pajartʰai
беларусь	peɮarʊsʲ
би	pi
бид	pit
бийр	piːr
битлз	pitʰəɮt͡s
богино	pɔɡʲən
бойжих	pɔit͡ɕəx
бол	pɔɮ
болгар	pɔɮɡar
болор	pɔɮər
болох	pɔɮəx
больниц	pɔɮʲnʲət͡sʰ
боов	pɔːw
боол	pɔːɮ
боомт	pɔːmt
боорцог	pɔːrt͡sʰəɡ
боошиг	pɔːʃiɡ
борной	pɔrnɔi
бороо	pɔrɔː
бослого	pɔsɮəɢ
босох	pɔsəx
бохь	pɔxʲ
бразил	prat͡siɮ
будда	pʊtta
буйдан	pʊitaŋ
буйл	pʊiɮ
