alle	ɑ̂lːə̌
automat	æʉtʊmaːt
campingvogn	kæmpiŋvɔŋn
cd	sêːděː
diabetes	dɪɑbeːteːs
diabetes	dɪɑbeːteːs
dyreplageri	dyʷːɾəplaɡəɾiː
einhyrning	æɪ̯nhyʷːɳɪŋ
fe	feː
fiktiv	fiktiːʋ
føniks	føʷːnɪks
føniks	føʷːnɪks
gapahuk	ɡaːpɑhʉʷːk
gjort	jʊʈ
gnom	ɡnuːm
gnom	ɡnuːm
havfru	haːʋfɾʉʷː
havfrue	haːʋfɾʉʷːə
hevn	hɛvn
hvi	ʋi
hårsår	hoːʂoːɾ
hårsår	hoːʂoːɾ
jesus	jeːsʉs
johan	jʊhɑnː
kik	çiːk
kikke	çɪkːə
kirsten	²çɪʂʈⁿɳ̩
kjartan	çɑːɻtan
kode	kuːdə
lian	lɪaːn
lian	lɪaːn
ligning	lɪŋnɪŋ
likning	lɪŋnɪŋ
likning	lɪŋnɪŋ
ludder	luddˀɐr
magnus	mɑŋːnʉs
maja	mɑjːa
neshorn	neːshuːɳ
niks	nɪks
niks	nɪks
nymfe	nʏɱfə
opphavsrett	ʊphɑfsɾɛt
pensum	pʰɛnsɔm
primitiv	pɾimitiːʋ
regn	ɾɛŋn
regn	ɾæɪ̯n
rein	ɾæɪ̯n
reingjøre	ɾæɪ̯njøʷːɾə
slott	ʂlɔt
slått	ʂlɔt
smaragd	smɑɾɑɡd
softis	sɔftiːs
softis	sɔftiːs
spille	spɪllə
spilleautomat	spɪlləæʉtʊmaːt
syv	syːv
tavle	tɑʋlə
uten	ʉːtən
uten	ʉːtn̩
