ँ	ə̃
ं	ə̃ŋ
ं	ə̃ɲ
ं	ə̃ɳ
ं	ə̃n
ं	ə̃m
अंदाज़	ən̪d̪äːz
अच्छापन	ət͡ʃːäpən
अतिथि	ət̪ɪt̪ʰi
अधर्म	ədʱərm
अधिकारी	ədʱɪkari
अनदेखा	ənd̪ekʰa
अनाम	ənaːm
अनुकरण	ənʊkərəɳ
अनुच्छेद	ənʊtʃʰːeːd
अनुपम	ənʊpəm
अफीम	əpʰim
अलार्म	əl̪ɑːɾm
अलार्म	əl̪ɑːɾəm
अश्लीलता	əʃliːlt̪aː
असामाजिक	ɑsɑmɑːdʒɪk
आ	äː
आटा	ɑːʈɑ
आदि	ɑːd̪i
आना	ɑːn̪ɑː
आराम	ɑːɾɑːm
ई	iː
उंस	ʊns
उपयोगिता	ʊpjoɡɪt̪aː
ऐतिहासिक	ɛt̪ɪɦaːsɪk
और	ɔːɾ
औसत	ɔːsət̪
कंजूस	kə̃ɲd͡ʒuːs
कठिनता	kəʈʰɪnt̪ɑː
कपाल	kəpal
कब	kəb
कमी	kəmi
करके	kərke
करण	kərəɳ
करता	kərta
करती	kərti
करते	kərte
करनेवाला	kərneʋaːlaː
कला	kəlɑː
कामी	kaːmiː
कामुक	kamʊk
कामुकता	kamʊkt̪a
कारण	käːrəɳ
कालिज	kɒlɪd͡ʒ
कालिज	kälɪd͡ʒ
काव्य	kaːʋjə
कि	kɪ
किशोरा	kɪʃora
कुरता	kʊɾt̪ɑ
केंद्रीकरण	ken̪d̪ɾiːkəɾəɳ
क्योंकि	kjũki
खड़ा	kʰəɽaː
खड़ी	kʰəɽiː
खड़े	kʰəɽeː
खरोंचना	kʱəɾõt͡ʃna
ख़ुदावंद	xʊd̪aʋənd̪
खिलाना	kʰɪlɑnɑ
गणतंत्र	ɡəɳt̪ənt̪rə
गणराज्य	ɡəɳɾɑːd͡ʒjə
गांव	ɡɑ̃ːʊ
गाली	ɡɑːliː
गीला	ɡiːlaː
गुरमुखी	ɡʊrmʊkʰi
गौरवशाली	ɡəʊrəʋʃaːliː
घड़ी	ɡʱəɽiː
चाटना	tʃaːʈn̪aː
चित्र	tʃɪt̪rə
चूतर	tʃut̪ər
चूमना	tʃuːmna
चोद	tʃod̪
चोदना	tʃod̪na
छत	tʃʰət̪
छवि	tʃʰəʋi
छायाकार	t̪ʃʰaːjaːkaːr
छुपा	tʃʰʊpaː
छोटी	tʃʰoʈi
छोटे	tʃʰoʈe
छौंक	t͡ʃʰɔːŋk
जपना	d͡ʒəpn̪ɑː
जल	dʒəl
जलचालित	d͡ʒəlt͡ʃaːlɪt̪
जलाना	d͡ʒəl̪ɑ̟ːn̪ɑ̟ː
जवान	dʒəʋäːn
जानकारी	dʒɑnkɑri
जानवरो	dʒanʋəro
जानवरों	dʒanʋərõ
जीना	d͡ʒina
जीवन	d͡ʒiːʋən
जूलाई	dʒulai
झगड़ना	d͡ʒʱəɡəɽna
डिल्डो	ɖɪlɖo
तल	t̪əl
तलवार	t̪əlʋar
तुलसीदास	t̪ʊls̪iːd̪aːs̪
थी	t̪ʰi
थे	t̪ʰe
दबंग	d̪əbə̃ŋɡ
दाहिना	daːɦɪnaː
दिलरुबा	d̪ɪlrʊbaː
देख	dekʰ
देखकर	dekʰər
देखके	dekʰe
देखने	dekʰne
देखनेवाला	dekʰneʋala
देखिए	dekʰɪe
देखो	dekʰo
धूप	d̪ʱuːp
धूल	d̪ʱuːl
नंगापन	nə̃ŋɡapən
नदियाँ	nədijɑ̃ː
नदियो	nədijo
नामोत्पत्ति	nɑːmoːtpət̪i
निंदासा	nĩnd̪aːsaː
निरोध	nɪrod̪ʱ
निहत्था	nɪɦət̪t̪ʰaː
पतंग	pət̪əŋɡ
पता	pət̪ä
पराठा	pəɾäːʈʰäː
परिवार	pərɪʋaːr
पवन	pəʋən̪
पाँव	pɑ̃ːʊ
पाकिस्तानी	paːkɪst̪aːn̪iː
पागलख़ाना	pɑːɡəlxɑːnɑː
पूंछ	pũːt͡ʃʰ
पूंजीवाद	pũːndʒiːʋaːd̪
पूजा	pud͡ʒɑ
पेय	peː
पोंछना	põt͡ʃʰna
पोत	poːt̪
प्रकार	prəkar
प्रतिशोध	pɾət̪ɪʃod̪ʱ
प्रभु	pɾəbʱuː
