aadje	aːcə
aalspeer	aːlspɪːr
aanbrengertje	aːnbrɛŋərcə
aardpeer	aːrtpɪːr
acupunctuur	ɑkypʏŋktyːr
agga	ɑɡa
allemaal	ɑləmaːɫ
allemaal	ɑɫəmaːɫ
als	ɑɫs
alweer	ɑlʋɪːr
alweer	ɑlβ̞ɪːr
annulering	ɑnylɪːrɪŋ
apostel	ɑpɔstəl
architectuur	-tyːr
arthur	ɑrtyːr
asbak	ɑzbɑk
asbak	ɑsbɑk
augurk	ɑu̯ɣʏrk
augurk	ɑu̯ɣʏrək
avontuur	aːvɔntyːr
baal	baːl
badjas	bɑcɑs
badjuf	bɑtjʏf
badjuf	bɑcʏf
badjuffrouw	bɑtjʏfrɑu̯
badjuffrouw	bɑcʏfrɑu̯
bagdad	bɑɣdɑt
bakbanaan	bɑɡbaːnaːn
bakbanaan	bɑkbaːnaːn
bakje	bɑkjə
bakje	bɑcə
bammetje	bɑməcə
barcelona	bɑrsəloːna
barcelona	bɑrsəloʊ̯na
barcelona	bɑrsəloːna
barcelona	bɑrsəloʊ̯na
basket	bɑːskət
basketbal	bɑːskətbɑl
basketballen	bɑːskətbɑlən
beamen	bəʔaːmən
beantwoorden	bəʔɑntʋoːrdən
bedierf	bədirf
beer	bɪːr
begeerlijkheid	bəɣɪːrləkɦɛi̯t
begeerlijkheid	bəxɪːrləkɦɛi̯t
begon	bəxɔn
beroerd	bəruːrt
beroeren	bəruːrən
besturen	bəstyːrən
bevel	-vɛɫ
bevel	-fɛɫ
bewoonbaar	bəβ̞oːnbaːr
bewoonbaar	bəʋoʊ̯nbaːr
bezeerd	bəzɪːrt
bier	biːr
bijltje	bɛi̯lcə
binnenpretje	bɪnənprɛcə
bisdom	bɪzdɔm
bisdom	bɪsdɔm
blaze	blaːzə
blijheid	blɛːɦɛːt
blijheid	blɛiɦɛit
bloedplaatje	blutplaːcə
boei	bui̯
boekestijntje	bukəstɛi̯ncə
boer	ɦuːr
bolhoop	bɔlɦoːp
bolhoop	bɔlɦoʊ̯p
bolhoop	bɔlhoʊ̯p
bombardeergaljoot	bɔmbɑrdɪːrɣɑljoʊ̯t
bontjas	bɔncɑs
boom	boːm
boomblad	boːmblɑt
boomblad	boʊ̯mblɑt
boon	boːn
boon	boʊ̯n
boot	boːt
boot	boʊt
borduren	bɔrdyːrən
brandewijn	brɑndəβ̞ɛi̯n
brandewijn	brɑndəβ̞ɛːn
brandewijn	brɑndəʋɛi̯n
brandweer	brɑntʋɪːr
breed	breːt
buidel	bœy̯dəl
buideldier	bœy̯dəldiːr
buideldier	bœːdəldiːr
buit	bɜʏ̯t
buit	bœːt
buit	bɜʏ̯t
buit	bœːt
buitenvrouw	bœytəfrʌu
buitenvrouw	bœytənvrʌu̯
buitenvrouw	bœytənvrɑu̯
buitenwipper	bœːtənβ̞ɪpər
cambodja	kɑmbɔca
carnaval	kɑrnəvɑl
cast	kɑːst
centrifuge	sɛntrifyːʒə
cesium	seːziʏm
cheers	tʃɪːrs
chirurg	ʃirʏrx
chirurg	ʃirʏrəx
coach	koːtʃ
coach	koʊ̯tʃ
condensator	kɔndɛnsaːtɔr
constitueren	kɔnstityɥeːrən
cornelis	kɔrnei̯lɪs
cornelis	kɔrneːlɪs
coulomb	kulɔ̃
croissant	krʋɑsɑ̃
croissant	krɑsɑ̃
cultuur	kʏltyːr
daalder	daldər
daarstraks	daːrstrɑks
deel	deːɫ
deerne	dɪːrnə
deur	dʏːr
diamagnetisch	dijamɑxneːtis
dier	diːr
dier	diər
docent	doʊ̯sɛnt
docent	doːsɛnt
docente	doʊ̯sɛntə
docente	doːsɛntə
dominee	doʊ̯mineɪ̯
dominee	doːmineː
dope	doːpə
drij	dɾa̠ː
dronk	drɔŋk
druif	drœy̯f
drukkend	drʏkənt
duisburg	dœysbʏrx
duitsland	dœːtslɑnt
duitsland	dœy̯tslɑnt
duitsland	dʌy̯tslɑnt
duomoeder	dyɥoːmudər
duren	dyːrən
duur	dyːr
duur	dyər
een	eːn
een	eɪ̯n
eend	ei̯nt
eend	eːnt
eenhoorn	eːnɦoːrn
eenhoorn	eːnɦoːrən
eerst	ɪːrst
eet	eːt
eet	eɪ̯t
eeuwig	eːʋəx
eeuwig	eːʋɪx
elfde	ɛlvdə
elfde	ɛlfdə
elkaar	ɛʊ̯kaːɻ
emmer	ɛmər
ete	eːtə
ete	eɪ̯tə
etend	eːtənt
etend	eɪ̯tənt
etui	etʋi
europa	øˑroːpaˑ
europa	ʏˑroːpaˑ
europees	øːroˑpeːs
europees	ʏːroˑpeɪ̯s
fabelleer	faːbəɫlɪːr
fier	fiːr
fiets	fits
fluor	flyɥɔr
frankrijk	frɑŋkrɛːk
frankrijk	frɑŋkrɛi̯k
frankrijk	frɑŋkræɪ̯k
frederik	freːdərɪk
frederik	frei̯dərɪk
frituren	frityːrən
gapend	ɣaːpənt
gebbetje	xɛbəcə
gedacht	ʝədɑçt
gedacht	ɣədɑxt
geen	ɣeɪn
geen	xeɪn
geen	χeɪn
geen	ʝeːn
geen	xeːn
geintje	ɣɛi̯ncə
geld	xɛlt
geld	ɣɛlt
genootje	-cə
genootjes	-cəs
genève	ʒənɛːvə
geschiedkunde	ɣəsxitkʏndə
geschut	ɣəsxœt
geschutskoepel	ɣəsxœtskupəl
geslapen	ɣəslaːpən
gespierd	xəspiːrt
gespierd	ʝəspiːrt
getikt	ɣətɪkt
gevoelig	xəvuːləx
gezegevierd	-viːrt
goal	ɡoːl
goldrush	ɡɔltɹʌʃ
golfen	ɡɔlfən
golfen	ɣɔlfən
goodwill	ɡutʋɪl
goodwill	ɡudwɪl
grootmeester	xroʊ̯tmeɪ̯stər
guur	ɣyːr
haarlemmermeer	ɦaːrlɛmərmɪːr
halte	ɦɑɫtə
heerlijk	ɦeːrlək
heeroom	ɦɪːroːm
heeroom	ɦɪːroʊ̯m
herfst	ɦɛrfst
herfst	ɦɛrəfst
herfst	h-
hier	ɦiːr
hier	ɦiər
hoer	ɦuːr
hommel	hɔməɫ
hoofddoek	ɦoːvduk
hoofddoek	ɦoːfduk
hoofddoek	ɦoʊ̯fduk
hoornaar	ɦoːrnaːr
houdoe	ɦɑudu
houdoe	ɑudu
huid	ɦœy̯t
huid	ɦœːt
huizinga	hœy̯zɪŋɣa
huizinga	ɦœy̯zɪŋɣa
hulp	ɦʏɫp
huren	ɦyːrən
huur	ɦyːr
ideaal	idejaːl
idee	ideː
ijsje	ɛi̯ʃə
infecteren	ɪɱfɛktɪːrən
integendeel	ɪnteːɣəndeːl
investituur	ɪnvɛstityːr
jager	jaːxər
jager	jaːɣər
jager	jaːʝər
jam	ʒɛm
joegoslavië	juxoʊ̯slaːvijə
joegoslavië	juxoʊ̯slaːfijə
jury	ʒyːri
karikatuur	kaːrikaːtyːr
karper	kɑrpər
kauw	kʌu̯
keel	keːɫ
keerzang	kɪːrzɑŋ
kermodebeer	kɜɹmoʊ̯dbɪːr
kernonderzeeër	kɛrənɔndərzeːjər
kleermaakster	klɪːrmaːkstər
kleermaker	klɪːrmaːkər
kleermakerij	klɪːrmaːkərɛi̯
kleineren	klɛinɪːrən
klemtoon	klɛmton
kleur	klʏːr
knijp	knɛi̯p
koelcel	kuɫsɛɫ
koepel	kupəl
konijnenvoer	-nəɱvuːr
kookboek	koːɡbuk
kookboek	koːkbuk
kookboek	koʊ̯ɡbuk
kookboek	koʊ̯kbuk
koper	koːpər
koper	koʊ̯pər
korset	kɔrsɛt
kraanvogel	kraːɱvoːɣəl
kuur	kyːr
laagst	laːxst
laars	laːrs
leegst	leːxst
leerling	lɪːrlɪŋ
leerlinge	lɪːrlɪŋə
leerstellig	lɪːrstɛləx
leerstuk	lɪːrstʏk
legeren	ləɣɪːrən
lelijk	leːlək
lelijk	leɪ̯lək
lemmetje	lɛməcə
lemmetje	lɛmɛcə
leraar	lɪːraːr
lerares	leːraːrɛs
lief	lif
liefde	lifdə
liefde	livdə
lier	liːr
lier	liə̯r
lier	liːr
lier	liə̯r
lier	liːr
lier	liə̯r
lieverd	liːvərt
literatuur	liːtəraːtyːr
locomotief	loːkoːmoːtif
locomotief	loʊ̯koʊ̯moʊ̯tif
lul	lʏɫ
manier	mɑniːr
markeerboei	mɑrkɪːrbui̯
markt	mɑrkt
markt	mɑrt
markt	mɑrəkt
meedelen	meːdeːlən
meedeling	meːdeːlɪŋ
meer	mɪːr
meerboei	mɪːrbui̯
