က	ka̰
ကက်စီနို	kɛʔsìnò
ကက်သလစ်	kɛʔθəlɪʔ
ကကြီး	ka̰d͡ʑí
ကချင်	kət͡ɕʰɪ̀ɴ
ကချေသည်	ka̰d͡ʑèðè
ကင်ဆာရောဂါ	kɪ̀ɴsʰàjɔ́ɡà
ကင်ညာ	kɪ̀ɴɲà
ကင်ပွန်း	kɪ̀ɴbʊ́ɴ
ကင်မရာ	kɪ̀ɴməɹà
ကင်မရွန်း	kɪ̀ɴma̰ɹʊ́ɴ
ကင်း	kɪ́ɴ
ကင်းခြေများ	kɪ́ɴt͡ɕìmjá
ကင်းမြီးကောက်	kɪ́ɴmjíɡaʊʔ
ကင်းမွန်	kɪ́ɴmʊ̀ɴ
ကစား	ɡəzá
ကစားစရာ	ɡəzázəjà
ကဆုန်	kəsʰòʊɴ
ကဆုန်လပြည့်နေ့	kəsʰòʊɴla̰pjḭnḛ
ကညာ	kəɲà
ကဏန်း	ɡənáɴ
ကဏ္ဍ	kànda̰
ကတည်းက	ɡədɛ́ɡa̰
ကတိ	ɡədḭ
ကတော့	ɡədɔ̰
ကတ္တား	kaʔtá
ကတ္တီပါ	ɡədìbà
ကတ်	kaʔ
ကတ်ကြေး	kaʔt͡ɕí
ကတ်ကြေးကိုက်	kaʔt͡ɕíkaɪʔ
ကတ်ပြား	kaʔpjá
ကတ်သလိတ်	kaʔθəleɪʔ
ကတွတ်ယို	kədʊʔjò
ကထိန်	kətʰèɪɴ
ကဒ်	kàd
ကနခို	kənəkʰò
ကနစိုး	kənəzó
ကနုတ်	kənoʊʔ
ကနေဒါ	ka̰nèdà
ကန့်	ka̰ɴ
ကန့်လန့်ကာ	kələɡà
ကန္တာရ	kàɴtàja̰
ကန်	kàɴ
ကန်စွန်းဥ	ɡəzʊ́ɴʔṵ
ကန်တော့	ɡədɔ̰
ကပ္ပလီ	kaʔpəlì
ကပ်	kaʔ
ကပ်	kaʔ
ကပ်ကြီးသုံးပါး	kaʔd͡ʑíθóʊɴbá
ကပ်ပယ်	kaʔpɛ̀
ကပ်ပါး	kaʔpá
ကပွဲရုံ	ka̰bwɛ́jòʊɴ
ကဖီး	kəpʰí
ကဗျာ	ɡəbjà
ကမန်	ka̰màɴ
ကမာ	kəmà
ကမာရွတ်	kəmàjʊʔ
ကမ္ဗလာ	ɡəbəlà
ကမ္ဘာ	ɡəbà
ကမ္ဘာဂြိုဟ်	ɡəbàd͡ʑò
ကမ္ဘာလုံးခြမ်း	ɡəbàlóʊɴd͡ʑàɴ
ကမ္ဘောဒီးယား	kàɴbɔ́díjá
ကမ်း	káɴ
ကမ်းခြေ	káɴd͡ʑè
ကယား	kəjá
ကယ်တင်ရှင်	kɛ̀tɪ̀ɴʃɪ̀ɴ
ကရင်	kəjɪ̀ɴ
ကရစ်ကက်	kəɹɪʔkɛʔ
ကရဝိက်	kəɹa̰weɪʔ
ကရိန်း	kəɹéɪɴ
ကလပ်	kəlaʔ
ကလမောင်း	kələmáʊɴ
ကလာပ်စည်း	kəlaʔsí
ကလိုရင်း	kəlòɹɪ́ɴ
ကလီစာ	kəlìzà
ကလောင်	kəlàʊɴ
ကလေး	kʰəlé
ကလျာ	ka̰jà
ကလျာဏမိတ္တ	kələjàna̰meɪʔta̰
ကသည်း	kəθí
ကာ	kà
ကာကွယ်	kàɡwɛ̀
ကာကွယ်ဆေး	kàɡwɛ̀zé
ကာကွယ်ရေး	kàɡwɛ̀jé
ကာဂစ်စတန်	kəɡɪʔsətàɴ
ကာဂျစ္စတန်	kəd͡ʑɪʔsətàɴ
ကာဇက်စတန်	kàzɛʔsətàɴ
ကာတာ	kàtà
ကာတွန်း	kàtʊ́ɴ
ကာဗွန်	kàbʊ̀ɴ
ကာမ	kàma̰
ကာယ	kəja̰
ကာယကံ	kàjəɡàɴ
ကာယပညာ	kàja̰pa̰ɲà
ကာရန်	kəjàɴ
ကာလ	kàla̰
ကာလသား	kàləðá
ကာလသားရောဂါ	kàla̰θájɔ́ɡà
ကာလာမသုတ်	kàlàma̰θoʊʔ
ကာလီဖိုးနီးယား	kàlìpʰóníjá
ကား	ká
ကားဂိတ်	káɡeɪʔ
ကားရုံ	kájòʊɴ
ကိစ္စ	keɪʔsa̰
ကိတ်ဗာဒီ	keɪʔbədì
ကိတ်မုန့်	keɪʔmo̰ʊɴ
ကိန္နရာ	kèɪɴnəjà
ကိန္နရီ	kèɪɴnəjì
ကိန်း	kéɪɴ
ကိမိလဗေဒ	kḭmḭla̰bèda̰
ကိရိယာ	kəɹḭjà
ကိလေသာ	kḭlèθà
ကို	kò
ကို	kò
ကို	kò
ကို	ʔ
ကို	ɡò
ကို	ɴ
ကိုက်	kaɪʔ
ကိုက်လန်	kaɪʔlàɴ
ကိုင်	kàɪɴ
ကိုဘော့	kòbɔ̰
ကိုမိုရို	kòmòɹò
ကိုယ်	kò
ကိုယ်စားလှယ်	kòjzəl̥ɛ̀
ကိုယ်ဝန်	kòjwʊ̀ɴ
ကိုယ်ဝန်ဆောင်	kòjwʊ̀ɴsʰàʊɴ
ကိုယ်ဝန်ရှိ	kòjwʊ̀ɴʃḭ
ကိုရမ်ကျမ်း	kòɹàɴt͡ɕáɴ
ကိုရီးယား	kòɹíjá
ကိုလိုနီ	kòlònì
ကိုလံဘီယာ	kòlàɴbìjà
ကိုး	kó
ကိုးကန့်	kóɡa̰ɴ
ကီလိုဂရမ်	kìlòɡəɹàɴ
ကီးမား	kímá
ကုဋေ	ɡədè
ကုတ်	koʊʔ
ကုတ်ဟီးနာ	koʊʔhínà
ကုန်	kòʊɴ
ကုန်ကား	kòʊɴɡá
ကုန်ကုန်	kòʊɴɡòʊɴ
ကုန်စည်	kòʊɴzì
