.f	ʔɛf
.fj	ʔɛfi
.j	aj
.j	aj
.j	ʔ
.j	aj
.j	aj
.j	ʔ
.j	t
.j	ɾ
.j	ʔi
.j	ʔi
.jn	ʔin
.k	k
.k	k
.k	k
.k	k
.k	k
.k	k
.k	ʔɛk
.kj	ʔki
.kj	ʔɛki
.kw	ku
.kw	ʔkuː
.kꜣ	ʔkɑ
.n	ʔɛn
.n	ʔɛn
.nj	ʔɛni
.nw	ʔnuː
.s	ʔɛs
.sj	ʔɛsi
.sn	ʔsɛn
.snj	ʔsɛni
.st	ʔsɛt
.sw	ʔsuː
.t	ʔɛt
.tj	ʔti
.tjwn	ʔtiuːn
.tjwnj	ʔtiuːni
.tn	ʔtɛn
.tnj	ʔtɛni
.tw	ʔtuː
.twn	ʔtuːn
.ty	ʔtiː
.w	ʔuː
.wj	ʔuːi
.wjn	ʔuːin
.wn	ʔuːn
.wy	ʔuːiː
.y	ʔiː
.ḫr	ʔxɛr
.ṯ	c
.ṯ	ʔ
.ṯ	ʔ
.ṯ	c
.ṯ	ʔ
.ṯ	t
.ṯ	ʔ
.ṯ	ʔɛt͡ʃ
.ṯn	ʔt͡ʃɛn
.ṯnj	ʔt͡ʃɛni
bbr	bɛbɛr
bdt	bɛdɛt
bdš	bɛdɛʃ
bjk	bik
bjn	baːjin
bjn	baːjin
bjn	baːʔən
bjn	βoːʔən
bjn	baːjin
bjn	baːjin
bjn	baːʔən
bjn	βoːʔən
bjn	bin
bjnt	binɛt
bjnt	bajnVt
bjnt	bajnVʔ
bjnt	βajnə
bjnt	bajnVt
bjnt	bajnVʔ
bjnt	βajnə
bjnt	binɛt
bjrwnygꜣt	biruːniːɡɑt
bjt	bit
bjtj	biti
bjꜣt	biɑt
bkꜣ	bɛkɑ
bnbnt	bɛnbɛnɛt
bnr	bɛnɛr
bnw	bɛnuː
bnš	bɛnɛʃ
btj	bɛti
bw	buː
bwt	buːt
bwtj	buːti
bzj	bɛzi
bšj	bɛʃi
bšṯ	bɛʃɛt͡ʃ
bḥs	bɛħɛs
bḥz	bɛħɛz
bṯ	bɛt͡ʃ
bẖbẖ	bɛçbɛç
bꜣ	bɑ
bꜣgj	bɑɡi
bꜣk	bɑk
bꜣk	baːʀak
bꜣk	baːʀak
bꜣk	βoːk
bꜣk	baːʀak
bꜣk	baːʀak
bꜣk	βoːk
bꜣkt	baʀkat
bꜣkt	baʀkaʔ
bꜣkt	baːka
bꜣkt	βoːkə
bꜣkt	baʀkat
bꜣkt	baʀkaʔ
bꜣkt	baːka
bꜣkt	βoːkə
bꜣkt	bɑkɛt
bꜣst	bɑsɛt
bꜣstt	buʀistit
bꜣstt	buʀistiʔ
bꜣstt	ʔuβestə
bꜣstt	buʀistit
bꜣstt	buʀistiʔ
bꜣstt	ʔuβestə
bꜣstt	bɑstɛt
bꜣt	baːʀat
bꜣt	baːʀaʔ
bꜣt	βoːʔə
bꜣt	baːʀat
bꜣt	baːʀaʔ
bꜣt	βoːʔə
bꜣt	bɑt
bꜥr	bɑːr
db	tʼib
db	tʼib
db	tʼep
db	tʼib
db	tʼib
db	tʼep
db	dɛb
dbn	tʼiːban
dbn	tʼiːban
dbn	tʼiːβən
dbn	tʼiːban
dbn	tʼiːban
dbn	tʼiːβən
dbn	dɛbɛn
dbn	dɛbɛn
dbn	dɛbɛn
dbḥ	dɛbɛħ
ddw	dɛduː
dgj	dɛɡi
dgm	tʼuːkʼVm
dgm	tʼuːkʼVm
dgm	tʼeːkʼəm
dgm	tʼuːkʼVm
dgm	tʼuːkʼVm
dgm	tʼeːkʼəm
dgm	dɛɡɛm
dj	di
djnw	dinuː
djw	tʼiːjaw
djw	tʼiːjaw
djw	tʼiːw
djw	tʼiːjaw
djw	tʼiːjaw
djw	tʼiːw
djw	diuː
dm	dɛm
dmj	tʼiːmij
dmj	tʼiːmiʔ
dmj	tʼiːmə
dmj	tʼiːmij
dmj	tʼiːmiʔ
dmj	tʼiːmə
dmj	dɛmi
dmḏj	tʼaːmacʼ
dmḏj	tʼaːmatʼ
dmḏj	tʼoːmətʼ
dmḏj	tʼaːmacʼ
dmḏj	tʼaːmatʼ
dmḏj	tʼoːmətʼ
dmḏj	dɛmɛd͡ʒi
dmꜣt	dɛmɑt
dn	dɛn
dnd	dɛnɛd
dnjt	dɛnit
dnjt	tʼanjut
dnjt	tʼanjuʔ
dnjt	tʼanʔə
dnjt	tʼanjut
dnjt	tʼanjuʔ
dnjt	tʼanʔə
dnjt	dɛnit
dns	dɛnɛs
dp	dɛp
dpt	tʼVːput
dpt	tʼVːpuʔ
dpt	tʼVːpə
dpt	tʼVːput
dpt	tʼVːpuʔ
dpt	tʼVːpə
dpt	dɛpɛt
dpt	tʼiːpVt
dpt	tʼiːpVʔ
dpt	tʼiːpə
dpt	tʼiːpVt
dpt	tʼiːpVʔ
dpt	tʼiːpə
dpt	dɛpɛt
dpt	dɛpɛt
dpy	dɛpiː
dqr	dɛkɛr
dr	dɛr
drp	dɛrɛp
ds	dɛs
ds	dɛs
dsj	tʼiːsit
dsj	tʼiːsiʔ
dsj	tʼiːsə
dsj	tʼiːsit
dsj	tʼiːsiʔ
dsj	tʼiːsə
dsj	dɛsi
dwn	tʼaːwan
dwn	tʼaːwan
dwn	tʼoːwən
dwn	tʼaːwan
dwn	tʼaːwan
dwn	tʼoːwən
dwn	duːn
dwꜣ	duːɑ
dwꜣt	tʼuwʀat
dwꜣt	tʼuwʀaʔ
dwꜣt	tʼuːʔa
dwꜣt	tʼeːʔə
dwꜣt	tʼuwʀat
dwꜣt	tʼuwʀaʔ
dwꜣt	tʼuːʔa
dwꜣt	tʼeːʔə
dwꜣt	duːɑt
dwꜣtj	duːɑti
dwꜣw	duːɑuː
dyw	diːuː
dšr	tʼaːʃiɾ
dšr	tʼaːʃiʔ
dšr	tʼoːʃə
dšr	tʼaːʃiɾ
dšr	tʼaːʃiʔ
dšr	tʼoːʃə
dšr	dɛʃɛr
dšrt	tʼaʃɾat
dšrt	tʼaʃɾaʔ
dšrt	tʼaʃɾə
dšrt	tʼaʃɾat
dšrt	tʼaʃɾaʔ
dšrt	tʼaʃɾə
dšrt	dɛʃrɛt
dꜣb	dɑb
dꜣr	dɑr
Reconstruction:Egyptian/tꜣšj	taʀʃij
Reconstruction:Egyptian/tꜣšj	taʀʃij
Reconstruction:Egyptian/tꜣšj	təʔʃeʔ
Reconstruction:Egyptian/tꜣšj	təʃeʔ
Reconstruction:Egyptian/tꜣšj	taʀʃij
Reconstruction:Egyptian/tꜣšj	taʀʃijwaw
Reconstruction:Egyptian/tꜣšj	taʀʃij
Reconstruction:Egyptian/tꜣšj	taʀʃijwaw
Reconstruction:Egyptian/tꜣšj	təʔʃeʔ
Reconstruction:Egyptian/tꜣšj	təʔʃejwəʔ
Reconstruction:Egyptian/tꜣšj	təʃeʔ
Reconstruction:Egyptian/tꜣšj	təʃeʔw
Reconstruction:Egyptian/tꜣšj	tɑʃi
