аба	ɐba
абаджийка	əbɐdʒijkə
абаджийство	əbɐdʒijstvo
абаджия	əbɐdʒijə
абсолютен	ɐps̪olʲut̪ɛn̪
абсолютно	ɐps̪olʲut̪n̪o
автомобил	əftomobiɫ
ангелина	əŋɡɛlʲinə
арамия	ərɐmijə
арзухал	ərzuxaɫ
бардак	bɐrdak
бахар	bɐxar
баща	bɐʃta
бей	bɛj
була	buɫə
буля	bulʲə
бъбрек	bɤbrɛk
версия	vɛrsijə
войвода	vojvɔdə
гербераст	ɡɛrbɛrast
града	ɡrɐda
града	ɡradə
гръбнак	ɡrəbnak
денес	dɛnɛs
денес	dɛnɛs
диканя	dikanʲə
дилянка	dilʲa̟ŋkə
дремя	drɛmʲə
дума	dumə
дявол	dʲa̟voɫ
дяволски	dʲa̟voɫskʲi
европа	ɛvrɔpə
език	ɛzik
жилище	ʒilʲiʃtɛ
как	kak
калай	kɐɫaj
канджа	kandʒə
комитет	komitɛt
котка	kɔtkə
крал	kraɫ
лале	ɫaɫɛ
лъжица	ɫəʒit͡sə
магазин	mɐɡɐzin
майка	majkə
малина	mɐlʲinə
мангуна	mɐŋɡunə
маса	masə
ментовка	mɛntɔfkə
мирта	mirtə
мушама	mʊʃɐma
мъгла	məɡɫa
нахален	nɐxaɫɛn
негър	nɛɡɤr
някои	nʲɐkɔi
някой	nʲɐkɔj
оман	oman
панджар	pɐndʒa̟r
паткан	patkan
плута	pɫutə
положение	poɫoʒeniɛ
речник	rɛt͡ʃnik
саксия	sɐksijə
самун	sɐmun
сарма	sɐrma
седмица	sɛdmit͡sə
седмица	sɛdmit͡sə
селвия	sɛɫvijə
сомун	somun
суроватка	sʊrovatkə
таен	taɛn
твърд	t̪fɤ̯rt̪
тимар	timar
то	t̪ɔ
уикипедия	ʊikʲipɛdijə
хава	xavə
хамбар	xɐmbar
харамия	xərɐmijə
харзувал	xərzuvaɫ
хляб	xʎap
хребет	xrɛbɛt
чивия	t͡ʃivijə
чини	t͡ʃinʲi
чотра	t͡ʃɔtrə
чотура	t͡ʃɔtʊrə
чоха	t͡ʃo̟xa
чукундур	t͡ʃʊkundur
чутура	t͡ʃu̟tʊrə
шкембе	ʃkɛmbɛ
шомпол	ʃɔmpoɫ
що	ʃtɔ
ъ	ɤ̞
ъгъл	ɤɡəɫ
япония	jɐpɔnijə
