abilità	ɐbɪlɪta
abjad	ɐbjɐt
abraham	abraːm
addoċċ	ɑdːɔtɕː
af	aːf
agħar	aːr
agħar	aˤːr
agħma	aːma
agħma	aˤːma
alla	alla
alla	alla
allat	allaːt
allerġiku	ɐlːɛrdʑɪkʊ
allerġiku	alːerdʑiku
alluċinazzjoni	ɐlːʊtɕɪnɐt̚tsʲɔːnɪ
alluċinazzjoni	alːutɕinatsʲːoni
amar	amar
ambaxxata	ambaʃʃaːta
ammira	ɐmːiːrɐ
anġeliku	ɑndʑɛliku
anġeliku	andʑeliku
applikazzjoni	ɐpːlɪkɐtːsjɔːnɪ
arloġġ	ɐrlɔtɕː
arloġġ	arlot̚tɕ
armel	ɐrmɛl
armenjan	ɑmɛrnʲɑn
armenjan	amernʲan
armla	ɐrmlɐ
assoċjazzjoni	ɑsːɔtɕʲɑtsʲːɔni
assoċjazzjoni	asːotɕʲatsʲːoni
astroloġija	ɑstrɔlɔdʑijɑ
astroloġija	astrolodʑija
asturjan	ɐsturʲɐːn
asturjan	asturʲan
attiv	ɐtːiːf
attività	ɐtːɪvɪta
attriċi	ɑt̚tritɕi
attriċi	at̚tritɕi
avverbju	ɐvvɛrbjʊ
awrina	ɐwriːnɐ
awstralja	ɑwstrɑlʲɑ
azzjoni	ɐt͡t͡sʲɔːnɪ
azzjoni	atsʲːoni
azzjonijiet	ɐt͡t͡sjɔnɪjɪːt
aġġastja	add͡ʒastja
aġġettiv	ɐd͡dʑɛttiːv
aħbar	ɐħbaːr
aħbarijiet	ɐħbɐrɪjɪːt
aħdar	ɐħdɐr
aħjar	aħjar
aħmar	ɐħmɐr
aħna	ɐħnɐ
aħrax	aħraʃ
aħwa	aħwa
ażerbajġan	ɑzɛrbɑjdʑɑn
ażerbajġan	azerbajdʑan
ażerbajġani	ɑzɛrbɑjdʑɑni
ażerbajġani	azerbajdʑani
ażotu	ɐzɔːtʊ
bagħad	baːt
bagħad	baˤːt
bagħal	baːl
bagħal	baˤːl
bagħat	baːt
bagħat	baˤːt
bajda	bɐjdɐ
bala'	bɐlɐ
ballun	bɐlːuːn
bandiera	bɐndɪːrɐ
baqa'	bɐʔɐ
baqar	baʔar
baqra	baʔra
baqriet	baʔrɪːt
bard	bart
barmil	bɐrmiːl
barrani	barraːnɪ
bastun	bɐstuːn
bata	baːta
baħar	baħar
baħri	baħri
bebbuxu	bɛbbuːʃʊ
beda	bɛdɐ
begħna	bɛːna
begħna	bɛˤːna
begħt	bɛːt
begħt	bɛˤːt
begħtu	bɛːtʊ
begħtu	bɛˤːtʊ
bejgħ	bɛjħ
bejjiegħ	bɛjjɪːħ
bejjiegħa	bɛjjɪːja
bejjiegħa	bɛjjɪˤːaˤ
bejn	bɛjn
bejt	bɛjt
bejta	bɛjtɐ
beka	bɛka
bekkum	bɛkːuːm
bela'	bɛlɐ
belbul	bɛlbuːl
belt	bɛlt
belti	bɛltɪ
beltija	bɛltiːjɐ
belġju	bɛldʑʲu
berger	bərɡər
bergħud	bɛrɔwt
bergħud	bɛrɛˤwt
berquq	bɛrʔuːʔ
berquqa	bɛrʔuːʔɐ
bettieħa	bɛttɪːħa
bews	bɛws
bewsa	bɛwsa
bewsiet	bɛwsɪːt
beċċun	bɛtt͡ʃuːn
beża'	bɛza
beżaq	bɛzaʔ
beżżula	bɛzzuːla
bgħad	baːt
bgħad	baˤːt
bgħid	bɛjt
bgħid	bɛˤjt
bgħida	bɛjda
bgħida	bɛˤjda
bhima	biːma
bibbja	ɪlbɪbːjɐ
bidel	bɪdɛl
bidwi	bɪdwɪ
bieb	bɪːp
biegħ	bɪːħ
biegħet	bɪːjɛt
biegħet	bɪˤːɛˤt
biegħu	bɪːjɔw
biegħu	bɪˤːɛˤw
bies	bɪːs
biex	bɪːʃ
bigħ	bɪːħ
bigħu	biːjɔw
bigħu	biˤːɛˤw
bilqiegħda	bɪlʔɛːda
bilqiegħda	bɪlʔɛˤːda
bint	bɪnt
birra	bɪrːɐ
biċċa	bɪttʃa
biża'	bɪza
biżgħa	bɪza
biżgħat	bɪzaːt
biżgħat	bɪzaˤːt
bjut	bjuːt
blalen	blɐːlɛn
bliebel	blɪːbɛl
bliet	blɪːt
blu	bluː
bnadar	bnɐːdɐr
bnedmin	bnɛdmiːn
bniedem	bnɪːdɛm
bniet	bnɪːt
bogħod	bɔːt
bogħod	bɔˤːt
borża	bɔrzɐ
bramel	brɐːmɛl
briegħed	brɪːjɛt
briegħed	brɪˤːɛˤt
brimba	brɪmba
bsaten	bsɐːtɛn
bugħarwien	bʊwarwɪːn
bugħarwien	bʊˤaˤrwɪːn
but	buːt
butir	bʊtiːr
buttuna	bʊttuːna
buza	buːt͡sa
bużżieqa	bʊzːɪːʔɐ
bwiet	bwɪːt
bxara	pʃaːra
bċieċen	pt͡ʃɪːt͡ʃɛn
bħalma	pħaːlma
bżieq	bzɪːʔ
bżieżaq	bzɪːzɐʔ
bżonn	bzɔnn
dafar	daːfɐr
dagħa	daː
dagħa	daˤː
dagħwa	daːwa
dagħwa	daˤːwa
dahar	daːr
dan	daːn
daqshekk	daʔsɛːk
daqshekk	daʔsɛk
dar	daːr
darba	darba
darbtejn	darptɛjn
darsa	darsa
dawl	dawl
dawn	dɐwn
dawra	dɐwrɐ
daħak	daːħɐk
daħal	daːħɐl
dbieben	dbɪːbɛn
ddawnlowdja	ddawnlɔwdja
ddejjaq	ddɛjjaʔ
ddeskriva	ddɛskriːva
debba	dɛbːɐ
definizzjoni	dɛfɪnɪt͡t͡sjɔːnɪ
definizzjonijiet	dɛfɪnɪt͡t͡sjɔnɪjɪːt
dehbi	dɛːbɪ
deheb	dɛːp
deher	dɛːr
dejjaq	dɛjjaʔ
delizzjuż	dɛlɪtːsjuːs
delużjonali	dɛlʊzjɔnaːlɪ
delużjoni	dɛlʊzjɔːnɪ
demagħtejn	dɛmatɛjn
demagħtejn	dɛmaˤːtɛjn
demel	dɛːmɛl
demgħa	dɛma
demgħa	dɛmaˤː
demm	dɛmm
demokratikament	dɛmɔkratɪkɐmɛnt
demokratiku	dɛmɔkratɪkʊ
demokrazija	dɛmɔkratsɪjɐ
denb	dɛmp
denfil	dɛnfiːl
dgħajfa	dajfa
dgħajfa	daˤjfa
dgħajfin	dajfiːn
dgħajfin	daˤjfiːn
dgħajjef	dajjɛf
dgħajjef	daˤjjɛf
dgħajjes	dajjɛs
dgħajjes	daˤjjɛs
dgħajsa	dajsa
dgħajsa	daˤjsa
dgħjufija	djʊfiːja
dgħufija	dɔwfiːja
dgħufija	dɛˤwfiːja
dhur	duːr
dib	diːp
difer	dɪfɛr
diffikultajiet	dɪffɪkʊltajɪːt
diffikultà	dɪffɪkʊltaː
diffiċli	dɪffiːt͡ʃlɪ
difrejn	dɪfrɛjn
din	dɪn
dineb	dɪnɛp
dinja	dɪnjɐ
direzzjoni	dɪrɛtːsjɔːnɪ
dirgħajn	dɪrajn
dirgħajn	dɪraˤjn
disa'	dɪsa
disat	dɪsat
disgħa	dɪsa
disgħa	dɪsaˤː
disgħin	dɪsɛjn
disgħin	dɪsɛˤjn
diskussjoni	dɪskʊsːjɔːnɪ
dixx	dɪʃʃ
dixxijiet	dɪʃʃɪjɪːt
dmugħ	dmuːħ
dniefel	dnɪːfɛl
dnub	dnuːp
drabi	draːbɪ
driegħ	drɪːħ
dsatax	t͡sataːʃ
dubbiena	dʊbbɪːna
dubbiniet	dʊbbɪnɪːt
duttur	dʊtːuːr
dwieb	dwɪːp
dwiefer	dwɪːfɛr
ebda	ɛbda
edizzjoni	ɛdɪt͡t͡sjɔːnɪ
ejja	ɛjja
eki	ɛːkɪ
ekijiet	ɛkɪjɪːt
eklissi	ɛklɪsːɪ
eku	ɛːkʊ
ekujiet	ɛkʊjɪːt
emmen	ɛmmɛn
emozzjonali	ɛmɔtːsjɔnaːlɪ
emozzjonalment	ɛmɔtːsjɔnɐlmɛnt
emozzjoni	ɛmɔtːsjɔːnɪ
enċiklopedija	ɛnt͡ʃɪklɔpɛdiːjɐ
erba'	ɛrba
erbat	ɛrbat
erbatax	ɛrbataːʃ
erbgħa	ɛrba
erbgħa	ɛrbaˤː
erbgħin	ɛrbɛjn
erbgħin	ɛrbɛˤjn
erotiku	ɛrɔːtɪkʊ
erwieħ	ɛrwɪːħ
esperjenza	ɛspɛrjɛntsɐ
espressjoni	ɛsprɛsːjɔːnɪ
essenza	ɛsːɛntsɐ
essenzjali	ɛsːɛntsjaːlɪ
essenzjalment	ɛsːɛntsjɐlmɛnt
etimoloġija	ɛtɪmɔlɔd͡ʒiːjɐ
etimoloġiji	ɛtɪmɔlɔd͡ʒiːjɪ
evoluzzjoni	ɛvɔlʊtːsjɔːnɪ
ewieq	ɛwɪːʔ
ewlieni	ɛwlɪːnɪ
ewropa	ɛwrɔpɐ
eċċezzjoni	ɛtːʃɛtːsjɔːnɪ
eċċitament	ɛtːʃɪtɐmɛnt
eċċitazzjoni	ɛtːʃɪtɐtːsjɔːnɪ
eħżen	ɛħzɛn
eżempju	ɛzɛmpjʊ
eżerċita	ɛzɛrtʃɪtɐ
eżerċizzju	ɛzɛrtʃɪtːsjʊ
fada	fada
falkun	fɐlkuːn
falla	falla
fannad	fannat
far	fɐːr
farfett	fɐrfɛtː
fariżew	farɪzɛw
farrak	farrak
farruġ	farruːt͡ʃ
faċli	faːt͡ʃlɪ
feda	fɛda
feddej	fɛddɛj
fehem	fɛːm
fehmet	fɛːmɛt
fejjaq	fɛjjaʔ
fekruna	fɛkruːnɐ
fellus	fɛlluːs
felu	fɛlʊ
feragħtejn	fɛratɛjn
feragħtejn	fɛraˤːtɛjn
fergħa	fɛra
fergħa	fɛraˤː
fergħat	fɛraːt
fergħat	fɛraˤːt
fergħun	fɛrɔwn
fergħun	fɛrɛˤwn
ferħ	fɛrħ
fetaħ	fɛtɐħ
fidda	fɪdːɐ
fieq	fɪːʔ
fieragħ	fɪːraħ
filgħodu	fɪlɔːdʊ
filgħodu	fɪlɔˤːdʊ
fired	fɪrɛt
fissed	fɪssɛt
fittex	fɪtːɛʃ
fixkel	fɪʃkɛl
fjura	fjuːrɐ
fkieren	fkɪːrɛn
flieles	flɪːlɛs
flimkien	flɪmkɪːn
fniek	fnɪːk
fomm	fɔmm
fond	fɔnt
forogħ	fɔrɔħ
forsi	fɔrsɪ
fost	fɔst
fqir	fʔiːr
franċiż	frɐnt͡ʃiːs
frareġ	frɐːrɛt͡ʃ
friefet	frɪːfɛt
friegħen	frɪːjɛn
friegħen	frɪˤːɛˤn
friegħi	frɪːjɛj
friegħi	frɪˤːɛˤj
frieħ	frɪːħ
frisk	frɪsk
frott	frɔtː
fsied	fsɪːt
ftakar	ftakar
ftaħar	ftaħar
ftit	ftiːt
gawwija	ɡɐwːiːjɐ
gendus	ɡɛnduːs
gerżuma	ɡɛrzuːmɐ
gideb	ɡɪdɛp
gidem	ɡɪdɛm
gidi	ɡɪdɪ
gniedes	ɡnɪːdɛs
gremxula	ɡrɛmʃuːlɐ
grieg	ɡrɪːk
gwerra	ɡwɛrra
għ	-
għ	ː
għ	ˤ
għ	ɛ
għ	ɔ
għ	j
għ	w
għ	ħ
għabex	aːbɛʃ
għabex	aˤːbɛʃ
għad	aːt
għad	aˤːt
għada	aːda
għada	aˤːda
għadajjar	adajjar
għadajjar	aˤːdajjar
għadam	aːdam
għadam	aˤːdam
għadira	adiːra
għadira	aˤːdiːra
għadma	aːdma
għadma	aˤːdma
għadmiet	admɪːt
għadmiet	aˤːdmɪːt
għads	aːt͡s
għads	aˤːt͡s
għadsa	aːtt͡sa
għadsa	aˤːtt͡sa
għadsiet	att͡sɪːt
għadsiet	aˤːtt͡sɪːt
għadu	aːdʊ
għadu	aˤːdʊ
għajjur	ajjuːr
għajjur	aˤjjuːr
għajjura	ajjuːra
għajjura	aˤjjuːra
għajjurin	ajjʊriːn
għajjurin	aˤjjʊriːn
għajn	ajn
għajn	aˤjn
għajnuna	ajnuːna
għajnuna	aˤjnuːna
għajxien	ajʃɪːn
għajxien	aˤjʃɪːn
għakreb	aːkrɛp
għakreb	aˤːkrɛp
għakrux	akruːʃ
għakrux	aˤːkruːʃ
għaksa	aːksa
għaksa	aˤːksa
għaksiet	aksɪːt
għaksiet	aˤːksɪːt
għal	aːl
għal	aˤːl
għalaq	aːlaʔ
għalaq	aˤːlaʔ
għaldaqstant	aldaʔstant
għaldaqstant	aˤːldaʔstant
għalhekk	alɛːk
għalhekk	aˤːlɛːk
għalla	aːlla
għalla	aˤːlla
għallem	aːllɛm
għallem	aˤːllɛm
għalqa	aːlʔa
għalqa	aˤːlʔa
għama	aːma
għama	aˤːma
għamel	aːmɛl
għamel	aˤːmɛl
għamieq	amɪːʔ
għamieq	aˤːmɪːʔ
għamja	aːmja
għamja	aˤːmja
għammed	aːmmɛt
għammed	aˤːmmɛt
għammieq	ammɪːʔ
għammieq	aˤːmmɪːʔ
għand	aːnt
għand	aˤːnt
għandek	aːndɛk
għandek	aˤːndɛk
għandha	aːnda
għandha	aˤːnda
għandhom	aːndɔm
għandhom	aˤːndɔm
għandi	aːndɪ
għandi	aˤːndɪ
għandkom	aːntkɔm
għandkom	aˤːntkɔm
għandna	aːnna
għandna	aˤːnna
għandu	aːndʊ
għandu	aˤːndʊ
għani	aːnɪ
għani	aˤːnɪ
għanja	aːnja
għanja	aˤːnja
għanna	aːnna
għanna	aˤːnna
għanqbut	anʔbuːt
għanqbuta	anʔbuːta
għanqbuta	aˤːnʔbuːta
għanqbutiet	anʔbʊtɪːt
għaqal	aːʔal
għaqal	aˤːʔal
għaqda	aːʔda
għaqda	aˤːʔda
għaqdiet	aʔdɪːt
għaqdiet	aˤːʔdɪːt
għaqqad	aːʔʔat
għaqqad	aˤːʔʔat
għar	aːr
għar	aˤːr
għarab	aːrap
għarab	aˤːrap
għarajjes	arajjɛs
għarajjes	aˤːrajjɛs
għaraq	aːraʔ
għaraq	aˤːraʔ
għarbi	aːrbɪ
