abort	ɑbɔʈː
agurktid	ɑɡʉɾktiː
aksent	ɑksɒŋ
alasker	ɑlɒskəɾ
alaskisk	ɑlɑskɪsk
alfabet	ɑlfɑbeːt
andesbjørn	ɑndəsbjøʷːɳ
armbrøst	armbrøst
arrig	ɑʁɪ
artilleri	ɑʁtɪləʁiː
astmatiker	ɑstmɑːtɪkər
at	ɑt
aula	æʉlɑ
autorisasjon	æʉtʊʁɪsɑʃuːn
avfallspapir	ɑʋfɑlspʰɑːpər
banan	bɑnaːn
bart	bɑʈ
bart	baːʈ
bekreftelse	bəkrɛftəlsə
benektelse	bənɛktəlsə
bengalrev	bɛŋɡaːlɾeːʋ
bestyrtelse	bəstʏʁtəlsə
betatt	bətʰɑt
binær	bɪnæːɾ
blant	blɑnt
blemme	blɛmmə
blomstbukket	blɔmstbʊkʰɛt
blå	bɽo̞ː
blåe	bɽô̞ːɛ̝
blåere	bɽô̞ːæɾɛ̝
blåest	bɽó̞ːɑst
blåeste	bɽô̞ːɑstɛ̝
blått	bɽɔtː
bløffe	²blœffə
boms	bʊms
bongotromme	bʊŋɡʊtɾʊmmə
breke	bʁe̞ːkə
brekkjern	bɾɛkjæːɳ
brem	bʁe̞ːm
brillebjørn	bɾɪlləbjøʷːɳ
brokk	bʁɔk
brolegge	bʁuːlɛɡə
broøgle	bɾuʷːœɡlə
brødskive	bɾøːʂiːʋə
by	byː
datamus	daːtɑmʉʷːs
diskotek	dɪskʊteːk
dovendyr	doːʋəndyːɾ
drosje	dɾɔʷʂə
drøvtygge	dʁø̽ːʋtʰʏɡə
dublett	dʉblɛt
dukkert	dʊkəʁt
dukketeaterforestilling	dʊkətəɑːtəʁfɔʁəstɪlɪŋ
dumming	dʊmmɪŋ
dumsnill	dʉmsnɪl
dvele	dʋe̞ːlə
dydig	dʏːdɪ
dykkerdekk	dʏkəʁdɛk
dykkerdrakt	dʏkəʁdʁɑkt
dynge	dʏŋə
dynn	dʏn
dyrekjøtt	dʏːʁəçœt
dyrlege	dʏːʁle̞ːɡə
dysleksi	dʏslɛksiː
dysse	dʏsə
dyvåt	dʏːʋo̞ːt
dådyr	do̞ːdʏːʁ
dåne	do̞ːnə
dårskap	do̞ːʁskɑːp
døgn	dœŋn
døgn	dœjn
dømmekraft	dœməkʰʁɑft
dømmesyk	dœməsʏːk
døpefont	dø̽ːpəfɔnt
dørhank	dø̽ːʁhɑŋk
dørk	dœʁk
dørterskel	dø̽ːʁtʰæʁskl̩
døs	dø̽ːs
døye	dœʏə
døyve	dœʏʋə
elg	æɽj
elgen	ǽɽjɛn
elgene	æ̂ɽjænɛ
elger	æ̂ɽjæɾ
eplepai	ɛpləpɑɪ̯
faen	fɑːən
fagidiot	faːɡɪdɪu͍ːt
fagidiot	faːɡɪdɪ̯u͍ːt
fallitt	fɑlɪt
fallskjermhopping	fɑlʂæɾmhɔppɪŋ
familiesammenkomst	fɑmiːlɪəsɑmənkʰɔmst
farang	fɑʁɑŋ
fasan	fɑsaːn
fedme	fɛdmə
fele	feːlə
fenalår	feːnɑloːɾ
fennek	fɛnnək
fjellrev	fjɛlɾeːʋ
fjes	fjeːs
fjord	fjuːɾ
fjære	fjæːɾə
fjøl	fjøʷːl
flammekaster	flɑmməkɑstəɾ
flekkhyene	flɛkhʏeːnə
flo	fluʷː
flyge	flyʷːɡə
flått	flɔt
forbasket	fɔʁbɑskət
forgjengelig	fɔʁjɛŋəli
freidig	fʁæɪdɪ
frihet	fɾiːheːt
fårikål	foʷːɾɪkɔʷl
følge	fœlɡə
følge	fœllə
gatekjøkken	ɡaːtəçœkən
gaule	ɡæu̯lə
gaupe	ɡæʉ̯ːpə
gissel	ɡɪssəl
gissel	ɡɪssl̩
gjennomsnittsfart	jɛnnʊmsnɪtsfɑʈ
gjømme	jœmmə
glupende	ɡlʉːpəndə
god	ɡuʷː
gode	ɡuʷːə
godmodig	ɡuːmuːdɪ
godsnakke	ɡuːsnɑkə
grateng	ɡɾɑtɛŋ
gresselig	ɡʁɛsəlɪ
grovbrød	ɡʁo̞ːʋbʁø̽ː
grums	ɡʁʉms
gruvedrift	ɡɾʉʷːʋədɾɪft
grå	ɡɾo̞ː
gråe	ɡɾô̞ːɛ̝
gråere	ɡɾô̞ːæɾɛ̝
gråest	ɡɾó̞ːɑst
gråeste	ɡɾô̞ːɑstɛ̝
grått	ɡɾɔtː
grønn	ɡɾœnː
grønne	ɡɾœ̂nnɛ̝
grønnere	ɡɾœ̂nnæɾɛ̝
grønnest	ɡɾœ́nnɑst
grønneste	ɡɾœ̂nnɑstɛ̝
grønt	ɡɾœnːt
gul	ɡʉːɽ
gule	ɡʉ̂ːɽɛ̝
gulere	ɡʉ̂ːɽæɾɛ̝
gulest	ɡʉ́ːɽɑst
guleste	ɡʉ̂ːɽɑstɛ̝
gult	ɡʉːʈʰ
halvøy	hɑlːœj
hammar	hɑːmmɑɾ
hand	hɑn
havn	haʉn
herme	²hæɾmə
herregård	hæʁəɡo̞ːʁ
hesteveddeløp	hɛstəʋɛdəlø̽ːp
himmelblå	hɪml̩blo̞ː
himmelsk	hɪml̩sk
hjelpemann	jɛlpəmɑn
hjelpeverb	jɛlpəʋæʁb
hjemmeseier	jɛməsæɪər
hjertelammelse	jæʁtəlɑməlsə
homofili	hʊmʊfɪliː
hovedinngang	huʷːʋədɪŋɡɑŋ
hundemat	hʉʷnnəmaːt
hus	hʉʷːs
hvit	ʋiːt
hvite	ʋîːtɛ̝
hvitere	ʋîːtæɾɛ̝
hvitest	ʋíːtɑst
hviteste	ʋîːtɑstɛ̝
hvitt	ʋɪtː
høytid	hœʏ̯tiː
identifikasjon	ɪdəntɪfɪkɑʃuːn
ilbrev	iːlbʁe̞ːʋ
ille	ɪ̂l̺l̺ɛ̝
industriland	ɪndʉʷstɾiːlɑn
intim	ɪntiːm
jeg	jæɪ̯
jeg	jæ
jovial	jʊʋɪaːl
juge	jʉʷːɡə
jøde	jøʷːdə
kaffer	kɑffəɾ
karboksylsyre	kɑɾbʊksyʷːlsyʷːɾə
keik	çæɪk
keton	kɛtuʷːn
kilo	çiːlʊ
kjele	çeːlə
kjip	çiːp
klassekamerat	klɑssəkɑmməɾaːt
klubbe	klʉbbə
knebel	kneːbəl
knebel	kneːbl̩
kneble	kneːblə
kneble	kneːbɽə
knivstikk	kniːʋstɪk
kokain	kʊkɑiːn
korint	kʊʁɪnt
kosteskaft	kʰɔstəskɑft
kraftanlegg	kʰʁɑftɑnlɛɡ
kraniebrudd	kʰʁɑːnɪəbʁʉd
kreft	kɾɛft
kreftsvulst	kʁɛftsʋʉlst
kremmer	kʰrɛmər
kretse	kʰrɛtsə
krible	kʰʁɪblə
krige	kɾiːɡə
kro	kɾuʷː
krokodilletåre	kɾʊkʊdɪllətoʷːɾə
krydder	kɾʏʷdəɾ
kull	kʰøːɽ
