a	ˈɒ
a-dúr	ˈaːduːr
aba	ˈɒbɒ
abakusszá	ˈɒbɒkusːaː
abakusszal	ˈɒbɒkusːɒl
abakusz	ˈɒbɒkus
abakusza	ˈɒbɒkusɒ
abakuszai	ˈɒbɒkusɒʲi
abakuszaid	ˈɒbɒkusɒʲid
abakuszaik	ˈɒbɒkusɒʲik
abakuszaim	ˈɒbɒkusɒʲim
abakuszaink	ˈɒbɒkusɒʲiŋk
abakuszaitok	ˈɒbɒkusɒʲitok
abakuszba	ˈɒbɒkuzbɒ
abakuszban	ˈɒbɒkuzbɒn
abakuszból	ˈɒbɒkuzboːl
abakuszért	ˈɒbɒkuseːrt
abakuszhoz	ˈɒbɒkushoz
abakuszig	ˈɒbɒkusiɡ
abakuszként	ˈɒbɒkuskeːnt
abakusznak	ˈɒbɒkusnɒk
abakusznál	ˈɒbɒkusnaːl
abakuszod	ˈɒbɒkusod
abakuszok	ˈɒbɒkusok
abakuszokat	ˈɒbɒkusokɒt
abakuszokba	ˈɒbɒkusoɡbɒ
abakuszokban	ˈɒbɒkusoɡbɒn
abakuszokból	ˈɒbɒkusoɡboːl
abakuszokért	ˈɒbɒkusokeːrt
abakuszokhoz	ˈɒbɒkusokhoz
abakuszokig	ˈɒbɒkusokiɡ
abakuszokká	ˈɒbɒkusokːaː
abakuszokkal	ˈɒbɒkusokːɒl
abakuszokként	ˈɒbɒkusokːeːnt
abakuszoknak	ˈɒbɒkusoknɒk
abakuszoknál	ˈɒbɒkusoknaːl
abakuszokon	ˈɒbɒkusokon
abakuszokra	ˈɒbɒkusokrɒ
abakuszokról	ˈɒbɒkusokroːl
abakuszoktól	ˈɒbɒkusoktoːl
abakuszom	ˈɒbɒkusom
abakuszon	ˈɒbɒkuson
abakuszotok	ˈɒbɒkusotok
abakuszra	ˈɒbɒkusrɒ
abakuszról	ˈɒbɒkusroːl
abakuszt	ˈɒbɒkust
abakusztól	ˈɒbɒkustoːl
abakuszuk	ˈɒbɒkusuk
abakuszunk	ˈɒbɒkusuŋk
abba	ˈɒbːɒ
abbahagy	ˈɒbːɒhɒɟ
abbamarad	ˈɒbːɒmɒrɒd
abban	ˈɒbːɒn
abból	ˈɒbːoːl
ábécé	ˈaːbeːt͡seː
ábécék	ˈaːbeːt͡seːk
ábécét	ˈaːbeːt͡seːt
ábel	ˈaːbɛl
aberráció	ˈɒbɛrːaːt͡siʲoː
aberrációk	ˈɒbɛrːaːt͡siʲoːk
abház	ˈɒphaːz
abházok	ˈɒphaːzok
