アイアイ	ai-ai
アイアン	aian
アイオワ	aiowa
アイコン	aikon
アイシング	aishingu
アイスランド	aisurando
アイダホ	aidaho
アイテム	aitemu
アイルランド	airurando
アイロン	airon
アインスタイニウム	ainsutainiumu
アヴィニョン	avinyon
アウグスタ	augusuta
アウグストゥス	augusutusu
アウシュヴィッツ	aushuvittsu
アカシア	akashia
アキレウス	akireusu
アキレス	akiresu
アクチノイド	akuchinoido
アクロバット	akurobatto
アケイシャ	akeisha
アシスタント	ashisutanto
アジア	ajia
アスタリスク	asutarisuku
アスパラガス	asuparagasu
アスピリン	asupirin
アセンズ	asenzu
アダム	adamu
アッシリア	asshiria
アップ	appu
アテネ	atene
アトム	atomu
アトランタ	atoranta
アドバイザー	adobaizā
アドベ	adobe
アナキスト	anakisuto
アナキズム	anakizumu
アナトリア	anatoria
アナポリス	anaporisu
アナル	anaru
アニオン	anion
アニメ	anime
アヌビス	anubisu
アビシニアン	abishinian
アビジャン	abijan
アブジャ	abuja
アボカド	abokado
アポストロフ	aposutorofu
アマゾーン	amazōn
アムステルダム	amusuterudamu
アメシスト	ameshisuto
アメピン	amepin
アメリカ	amerika
アメリカグマ	amerikaguma
アメリシウム	amerishiumu
アラジン	arajin
アラスカ	arasuka
アラバマ	arabama
アリストテレス	arisutoteresu
アリゾナ	arizona
アリバイ	aribai
アルキメデス	arukimedesu
アルゴリズム	arugorizumu
アルジェ	aruje
アルジェリア	arujeria
アルテミス	arutemisu
アルバータ	arubāta
アルパカ	arupaka
アルファ	arufa
アルファベット	arufabetto
アルヘシラス	aruheshirasu
アルマジロ	arumajiro
アルミナ	arumina
アリステア	arisutea
アレキサンダー	arekisandā
アレクサンダー	arekusandā
アレキサンドライト	arekisandoraito
アレクサンドロス	arekusandorosu
アレス	aresu
アレルギー	arerugī
アロン	aron
アンカレッジ	ankarejji
アンジャベル	anjaberu
アンチエイリアス	anchi-eiriasu
アンチック	anchikku
アンティグア	antigua
アンテナ	antena
アンデレ	andere
アントニウス	antoniusu
アンド	ando
アンドーラ	andōra
アンドラ	andora
アンドロゲン	andorogen
アンドロメダー	andoromedā
アンナ	anna
アンニュイ	annyui
アンパサンド	anpasando
アンペア	anpea
アンモナイト	anmonaito
イ	i
イヴ	ivu
イエス	iesu
イオタ	iota
イオニア	ionia
イオン	ion
イカルイト	ikaruito
イギリス	igirisu
イクラ	ikura
イグアナ	iguana
イサク	isaku
イスラム	isuramu
イズム	izumu
イタリア	itaria
イヌツゲ	inutsuge
イヤリング	iyaringu
イリノイ	irinoi
インキ	inki
インク	inku
イングランド	ingurando
インジウム	injiumu
インスタント	insutanto
インテル	interu
インディアナ	indiana
インディアナポリス	indianaporisu
インド	indo
インポテンス	inpotensu
インポテンツ	inpotentsu
インマヌエル	inmanueru
ウ	u
ウィキペディア	wikipedia
ウィザード	wizādo
ウィルドビースト	wirudobīsuto
ウィングレット	winguretto
ウィントフック	wintofukku
ウィンドウ	windō
ウイルス	uirusu
ウインク	uinku
ウインドー	uindō
ウェイトレス	weitoresu
ウェスタ	wesuta
ウェヌス	wenusu
ウェブサイト	webusaito
ウォッカ	wokka
ウォリック	worikku
ウォン	won
ウォンバット	wonbatto
ウオッチ	uotchi
ウクライナ	ukuraina
ウクレレ	ukurere
ウシバエ	ushibae
ウッドチャック	uddochakku
ウプサラ	upusara
ウプシロン	upushiron
ウラヌス	uranusu
ウラン	uran
ウルフ	urufu
エアコン	eakon
エアロビクス	earobikusu
エイチ	eichi
エイト	eito
エイリアン	eirian
エウクレイデス	eukureidesu
エウテルペー	euterupē
エキスパート	ekisupāto
エクアドル	ekuadoru
エクトプラズム	ekutopurazumu
エジプト	ejiputo
エス	esu
エスカルゴ	esukarugo
エストニア	esutonia
エストロゲン	esutorogen
エスプレッソ	esupuresso
エゼキエル	ezekieru
エチオピア	echiopia
エチレン	echiren
エックス	ekkusu
エッグノッグ	eggunoggu
エッチ	etchi
エテン	eten
エディンバラ	edinbara
エデン	eden
エトピリカ	etopirika
エヌ	enu
エネルギー	enerugī
エフ	efu
エプシロン	epushiron
エプロン	epuron
ヱホバ	ehoba
エム	emu
エメラルド	emerarudo
エリ	eri
エリサベト	erisabeto
エリヤ	eriya
エル	eru
エルフ	erufu
エレキ	ereki
エレキテル	erekiteru
エレボス	erebosu
エレミヤ	eremiya
エンチャント	enchanto
オアシス	oashisu
オイディプース	oidipūsu
オカリナ	okarina
オガネソン	oganeson
オクラホマ	okurahoma
オシキャット	oshikyatto
オシリス	oshirisu
オスロ	osuro
オセアニア	oseania
オセロット	oserotto
オタリア	otaria
オタワ	otawa
オデュッセイア	odyusseia
オデュッセウス	odyusseusu
オハイオ	ohaio
オプス	opusu
オベリスク	oberisuku
オポッサム	opossamu
オミクロン	omikuron
オムライス	omuraisu
オメガ	omega
オランダ	oranda
オリュンピアス	oryunpiasu
オリンピア	orinpia
オリンピック	orinpikku
オリンポス	orinposu
オルゴール	orugōru
オルニトミムス	orunitomimusu
オルレアン	orurean
オレガノ	oregano
オンス	onsu
オンタリオ	ontario
カ	ka
カイ	kai
カイマン	kaiman
カウチ	kauchi
カクテル	kakuteru
カケス	kakesu
カザフスタン	kazafusutan
カシミア	kashimia
カチオン	kachion
カッパ	kappa
カトリシズム	katorishizumu
カトリック	katorikku
カナダ	kanada
カナリア	kanaria
カニクイイヌ	kanikuiinu
