アイアイ	ai-ai
アイアン	aian
アイオワ	aiowa
アイコン	aikon
アイシング	aishingu
アイスランド	aisurando
アイダホ	aidaho
アイテム	aitemu
アイルランド	airurando
アイロン	airon
アインスタイニウム	ainsutainiumu
アヴィニョン	avinyon
アウグスタ	augusuta
アウグストゥス	augusutusu
アウシュヴィッツ	aushuvittsu
アカシア	akashia
アキレウス	akireusu
アキレス	akiresu
アクチノイド	akuchinoido
アクロバット	akurobatto
アケイシャ	akeisha
アシスタント	ashisutanto
アジア	ajia
アスタリスク	asutarisuku
アスパラガス	asuparagasu
アスピリン	asupirin
アセンズ	asenzu
アダム	adamu
アッシリア	asshiria
アップ	appu
アテネ	atene
アトム	atomu
アトランタ	atoranta
アドバイザー	adobaizā
アドベ	adobe
アナキスト	anakisuto
アナキズム	anakizumu
アナトリア	anatoria
アナポリス	anaporisu
アナル	anaru
アニオン	anion
アニメ	anime
アヌビス	anubisu
アビシニアン	abishinian
アビジャン	abijan
アブジャ	abuja
アボカド	abokado
アマゾーン	amazōn
アムステルダム	amusuterudamu
アメリカグマ	amerikaguma
アメリシウム	amerishiumu
アラジン	arajin
アラスカ	arasuka
アリゾナ	arizona
アルキメデス	arukimedesu
アルジェリア	arujeria
アルテミス	arutemisu
アルパカ	arupaka
アルファ	arufa
アルファベット	arufabetto
アルヘシラス	aruheshirasu
アルミナ	arumina
アリステア	arisutea
アレキサンダー	arekisandā
アレクサンダー	arekusandā
アレキサンドライト	arekisandoraito
アレクサンドロス	arekusandorosu
アレス	aresu
アロン	aron
アンカレッジ	ankarejji
アンジャベル	anjaberu
アンチック	anchikku
アンティグア	antigua
アンテナ	antena
アンデレ	andere
アントニウス	antoniusu
アンド	ando
アンドロゲン	andorogen
アンナ	anna
アンパサンド	anpasando
アンペア	anpea
アンモナイト	anmonaito
イ	i
イヴ	ivu
イエス	iesu
イオタ	iota
イオニア	ionia
イオン	ion
イカルイト	ikaruito
イギリス	igirisu
イサク	isaku
イスラム	isuramu
イズム	izumu
イタリア	itaria
イヌツゲ	inutsuge
イヤリング	iyaringu
インク	inku
イングランド	ingurando
インジウム	injiumu
インスタント	insutanto
インテル	interu
インディアナポリス	indianaporisu
インド	indo
インポテンス	inpotensu
インポテンツ	inpotentsu
インマヌエル	inmanueru
ウ	u
ウィキペディア	wikipedia
ウィルドビースト	wirudobīsuto
ウィングレット	winguretto
ウィントフック	wintofukku
ウィンドウ	windō
ウインドー	uindō
ウェイトレス	weitoresu
ウェスタ	wesuta
ウォッカ	wokka
ウォリック	worikku
ウォン	won
ウオッチ	uotchi
ウクライナ	ukuraina
ウシバエ	ushibae
ウプサラ	upusara
ウラヌス	uranusu
ウルフ	urufu
エアロビクス	earobikusu
エイチ	eichi
エイト	eito
エイリアン	eirian
エウクレイデス	eukureidesu
エウテルペー	euterupē
エキスパート	ekisupāto
エクトプラズム	ekutopurazumu
エジプト	ejiputo
エスカルゴ	esukarugo
エストニア	esutonia
エスプレッソ	esupuresso
エチオピア	echiopia
エチレン	echiren
エックス	ekkusu
エッグノッグ	eggunoggu
エッチ	etchi
エテン	eten
エディンバラ	edinbara
エデン	eden
エヌ	enu
エネルギー	enerugī
エフ	efu
エプシロン	epushiron
エプロン	epuron
エム	emu
エメラルド	emerarudo
エリサベト	erisabeto
エリヤ	eriya
エルフ	erufu
エレキ	ereki
エレボス	erebosu
オアシス	oashisu
オイディプース	oidipūsu
オカリナ	okarina
オガネソン	oganeson
オクラホマ	okurahoma
オシキャット	oshikyatto
オシリス	oshirisu
オスロ	osuro
オセロット	oserotto
オタリア	otaria
オデュッセイア	odyusseia
オベリスク	oberisuku
オポッサム	opossamu
オミクロン	omikuron
オムライス	omuraisu
オメガ	omega
オランダ	oranda
オリュンピアス	oryunpiasu
オリンピア	orinpia
オリンポス	orinposu
オルニトミムス	orunitomimusu
オルレアン	orurean
オレガノ	oregano
カイ	kai
カイマン	kaiman
カウチ	kauchi
カクテル	kakuteru
カザフスタン	kazafusutan
カシミア	kashimia
カチオン	kachion
カッパ	kappa
カトリック	katorikku
カナダ	kanada
カナリア	kanaria
カニクイイヌ	kanikuiinu
カノン	kanon
カバディ	kabadi
カフェイン	kafein
カプサイシン	kapusaishin
カプセル	kapuseru
カメレオン	kamereon
カヤック	kayakku
カラカス	karakasu
カラカル	karakaru
カラクン	karakun
カラメル	karameru
カリウム	kariumu
カリオペー	kariopē
カリグラ	karigura
カリフォルニア	kariforunia
カリホルニウム	karihoruniumu
カルカッタ	karukatta
カリカット	karikatto
カルタ	karuta
カルテル	karuteru
カロライナ	karoraina
カンカイ	kankai
カンザス	kanzasu
カンブリア	kanburia
キオスク	kiosuku
キス	kisu
キッパ	kippa
キッパー	kippā
キプロス	kipurosu
キマイラ	kimaira
キムリック	kimurikku
キャバクラ	kyabakura
キャビア	kyabia
キャラメル	kyarameru
キャロル	kyaroru
キャンディ	kyandi
キャンバス	kyanbasu
キャンパス	kyanpasu
キャンプ	kyanpu
キャンペーン	kyanpēn
キュビスム	kyubisumu
キュリウム	kyuriumu
カンビュセス	kanbyusesu
キュロス	kyurosu
キリスト	kirisuto
キログラム	kiroguramu
キングスタウン	kingusutaun
クピードー	kupīdō
クラリネット	kurarinetto
クラブ	kurabu
クリスマス	kurisumasu
クレイオス	kureiosu
クレッシェンド	kuresshendo
クロノス	kuronosu
