アーバーダーン	ābādān
アバカン	abakan
アバカス	abakasu
アバクロ	abakuro
アバンチュール	abanchūru
アバター	abatā
アバウト	abauto
アッバース	abbāsu
アベック	abekku
アベノミクス	abenomikusu
アベル	aberu
アビ	abi
アビジャン	abijan
アビニョン	abinyon
アビシニア	abishinia
アビシニアン	abishinian
アボカド	abokado
アボリジニ	aborijini
アボット	abotto
アブ	abu
アブドラ	abudora
アブギダ	abugida
アブハジア	abuhajia
アブジャ	abuja
アブジャド	abujado
アブラボウズ	aburabōzu
アブラハム	aburahamu
アブラムシ	aburamushi
アブラツノザメ	aburatsunozame
アブサン	abusan
アーチェリー	ācherī
アーチ	āchi
アダム	adamu
アダプタ	adaputa
アダプター	adaputā
アダルト	adaruto
アデン	aden
アデニン	adenin
アデレード	aderēdo
アディダス	adidasu
アディゲ	adige
アドバイス	adobaisu
アドバイザー	adobaizā
アドベ	adobe
アドベンチャー	adobenchā
アドベンチュア	adobenchua
アドボ	adobo
アドレナリン	adorenarin
アドレス	adoresu
アドレスバー	adoresubā
アドリブ	adoribu
アドルフ	adorufu
アードウルフ	ādourufu
アデュー	adyū
アエロフロート	aerofurōto
アーフェンピンシャー	āfenpinshā
アフィリエイト	afirieito
アフガニスタン	afuganisutan
アフマダーバード	afumadābādo
アフレコ	afureko
アフリカ	afurika
アフリカーナー	afurikānā
アフロディテ	afurodite
アフロディーテ	afurodīte
アフターバーナー	afutābānā
アーガイル	āgairu
アガメムノン	agamemunon
アガメムノーン	agamemunōn
アガパンサス	agapansasu
アガルタラ	agarutara
アゲハ	ageha
アゲハチョウ	agehachō
アグー	agū
アーグラ	āgura
アグレッシブ	aguresshibu
アーヘン	āhen
アヒル	ahiru
アホ	aho
アホウドリ	ahōdori
アホロートル	ahorōtoru
アイ	ai
アイアイ	ai-ai
アイアン	aian
アイダホ	aidaho
アイデア	aidea
アイデンティティ	aidentiti
アイディア	aidia
アイドル	aidoru
アイフォン	aifon
アイフォーン	aifōn
アイホン	aihon
アイカ	aika
アイコン	aikon
アイキャッチ	aikyatchi
アイマック	aimakku
アイマラ	aimara
アイマス	aimasu
アイマスク	aimasuku
アインスタイニウム	ainsutainiumu
アイヌ	ainu
アイオーン	aiōn
アイオロス	aiorosu
アイオワ	aiowa
アイランド	airando
アイロン	airon
アイロニー	aironī
アイルランド	airurando
アイシャドー	aishadō
アイシング	aishingu
アイソーポス	aisōposu
アイス	aisu
アイスプラント	aisupuranto
アイスランド	aisurando
アイテム	aitemu
アイテル	aiteru
アイテール	aitēru
アイツ	aitsu
アイザウル	aizauru
アジア	ajia
アジサイ	ajisai
アジサシ	ajisashi
アジスアベバ	ajisuabeba
アジト	ajito
アカ	aka
アカアシクロトキ	akaashikurotoki
アカデミー	akademī
アカゲザル	akagezaru
アカギツネ	akagitsune
アーカイブ	ākaibu
アカミミガメ	akamimigame
アカニシ	akanishi
アーカンソー	ākansō
アカオオカミ	akaōkami
アカシャ	akasha
アカシア	akashia
アカシカ	akashika
アカシヤ	akashiya
アカシュモクザメ	akashumokuzame
アカウミガメ	akaumigame
アカウント	akaunto
アーケード	ākēdo
アケイシャ	akeisha
アケローン	akerōn
アキ	aki
アキバ	akiba
アーキビスト	ākibisuto
アキンボ	akinbo
アーキオロジー	ākiorojī
アキレス	akiresu
アキレウス	akireusu
アーキテクチャ	ākitekucha
アキテーヌ	akitēnu
アキツ	akitsu
アキズ	akizu
アックス	akkusu
アコーデオン	akōdeon
