.f	ʔ ɛ f
.fj	ʔ ɛ f i
.j	a j
.j	t
.j	ɾ
.j	ʔ
.j	ʔ i
.jn	ʔ i n
.k	k
.k	ʔ ɛ k
.kj	ʔ k i
.kj	ʔ ɛ k i
.kw	k u
.kw	ʔ k uː
.kꜣ	ʔ k ɑ
.n	ʔ ɛ n
.nj	ʔ ɛ n i
.nw	ʔ n uː
.s	ʔ ɛ s
.sj	ʔ ɛ s i
.sn	ʔ s ɛ n
.snj	ʔ s ɛ n i
.st	ʔ s ɛ t
.sw	ʔ s uː
.t	ʔ ɛ t
.tj	ʔ t i
.tjwn	ʔ t i uː n
.tjwnj	ʔ t i uː n i
.tn	ʔ t ɛ n
.tnj	ʔ t ɛ n i
.tw	ʔ t uː
.twn	ʔ t uː n
.ty	ʔ t iː
.w	ʔ uː
.wj	ʔ uː i
.wjn	ʔ uː i n
.wn	ʔ uː n
.wy	ʔ uː iː
.y	ʔ iː
.ṯ	c
.ṯ	t
.ṯ	ʔ
.ṯ	ʔ ɛ t͡ʃ
.ṯn	ʔ t͡ʃ ɛ n
.ṯnj	ʔ t͡ʃ ɛ n i
.ḫr	ʔ x ɛ r
Reconstruction:Egyptian/tꜣšj	t a ʀ ʃ i j
Reconstruction:Egyptian/tꜣšj	t a ʀ ʃ i j w a w
Reconstruction:Egyptian/tꜣšj	t ə ʃ e ʔ
Reconstruction:Egyptian/tꜣšj	t ə ʃ e ʔ w
Reconstruction:Egyptian/tꜣšj	t ɑ ʃ i
Reconstruction:Egyptian/tꜣšj	t ə ʔ ʃ e j w ə ʔ
Reconstruction:Egyptian/tꜣšj	t ə ʔ ʃ e ʔ
bbr	b ɛ b ɛ r
bdt	b ɛ d ɛ t
bdš	b ɛ d ɛ ʃ
bjk	b i k
bjn	b aː j i n
bjn	b aː ʔ ə n
bjn	b i n
bjn	β oː ʔ ə n
bjnt	b a j n V t
bjnt	b a j n V ʔ
bjnt	b i n ɛ t
bjnt	β a j n ə
bjrwnygꜣt	b i r uː n iː ɡ ɑ t
bjt	b a j a t
bjt	b a j a ʔ
bjt	b i t
bjt	β ə j a ʔ
bjtj	b i t i
bjꜣ	b i ɑ
bjꜣt	b i ɑ t
bkꜣ	b ɛ k ɑ
bnbnt	b ɛ n b ɛ n ɛ t
bnr	b ɛ n ɛ r
bnw	b ɛ n uː
bnš	b ɛ n ɛ ʃ
btj	b ɛ t i
bw	b uː
bwt	b uː t
bwtj	b uː t i
bzj	b ɛ z i
bꜣ	b ɑ
bṯ	b ɛ t͡ʃ
bẖbẖ	b ɛ ç b ɛ ç
bꜣbꜣrw	b ɑ b ɑ r uː
bꜣgj	b ɑ ɡ i
bꜣgsw	b ɑ ɡ s uː
bꜣj	b ɑ i
bšj	b ɛ ʃ i
bꜣjr	b ɑ i r
bꜣk	b aː ʀ a k
bꜣk	b ɑ k
bꜣk	β oː k
bꜣkt	b a ʀ k a t
bꜣkt	b a ʀ k a ʔ
bꜣkt	b aː k a
bꜣkt	b ɑ k ɛ t
bꜣkt	β oː k ə
bꜣkw	b ɑ k uː
bꜣkꜣ	b ɑ k ɑ
bꜥr	b ɑː r
bḥs	b ɛ ħ ɛ s
bꜣst	b ɑ s ɛ t
bꜣstt	b u ʀ i s t i t
bꜣstt	b u ʀ i s t i ʔ
bꜣstt	b ɑ s t ɛ t
bꜣstt	ʔ u β e s t ə
bꜣt	b aː ʀ a t
bꜣt	b aː ʀ a ʔ
bꜣt	b ɑ t
bꜣt	β oː ʔ ə
bꜣw	b ɑ uː
bḥz	b ɛ ħ ɛ z
bšṯ	b ɛ ʃ ɛ t͡ʃ
bꜥḥ	b ɑː ħ
bꜣẖw	b a ʀ ç a w
bꜣẖw	b aː ç ə ʔ
bꜣẖw	b ɑ ç uː
bꜣẖw	β oː ç
db	d ɛ b
db	t ʼ e p
db	t ʼ i b
dbn	d ɛ b ɛ n
dbn	t ʼ iː b a n
dbn	t ʼ iː β ə n
dbḥ	d ɛ b ɛ ħ
ddw	d ɛ d uː
dgj	d ɛ ɡ i
dgm	d ɛ ɡ ɛ m
dgm	t ʼ eː k ʼ ə m
dgm	t ʼ uː k ʼ V m
dj	d i
djnw	d i n uː
djw	d i uː
djw	t ʼ iː j a w
djw	t ʼ iː w
djw	t ʼ iː w ə ʔ
dm	d ɛ m
dmj	d ɛ m i
dmj	t ʼ iː m i j
dmj	t ʼ iː m i ʔ
dmj	t ʼ iː m ə
dmḏj	d ɛ m ɛ d͡ʒ i
dmḏj	t ʼ aː m a c ʼ
dmḏj	t ʼ aː m a t ʼ
dmḏj	t ʼ oː m ə t ʼ
dmꜣt	d ɛ m ɑ t
dn	d ɛ n
dnd	d ɛ n ɛ d
dnjt	d ɛ n i t
dnjt	t ʼ a n j u t
dnjt	t ʼ a n j u ʔ
dnjt	t ʼ a n ʔ ə
dns	d ɛ n ɛ s
dp	d ɛ p
dpt	d ɛ p ɛ t
dpt	t ʼ Vː p u t
dpt	t ʼ Vː p u ʔ
dpt	t ʼ Vː p ə
dpt	t ʼ iː p V t
dpt	t ʼ iː p V ʔ
dpt	t ʼ iː p ə
dpy	d ɛ p iː
dqr	d ɛ k ɛ r
dr	d ɛ r
drp	d ɛ r ɛ p
ds	d ɛ s
dsj	d ɛ s i
dsj	t ʼ iː s i t
dsj	t ʼ iː s i ʔ
dsj	t ʼ iː s ə
dwn	d uː n
dwn	t ʼ aː w a n
dwn	t ʼ oː w ə n
dwꜣ	d uː ɑ
dwꜣt	d uː ɑ t
dwꜣt	t ʼ eː ʔ ə
dwꜣt	t ʼ u w ʀ a t
dwꜣt	t ʼ u w ʀ a ʔ
dwꜣt	t ʼ uː ʔ a
dwꜣtj	d uː ɑ t i
dwꜣw	d uː ɑ uː
dyw	d iː uː
dꜣb	d ɑ b
dꜣr	d ɑ r
dšr	d ɛ ʃ ɛ r
dšr	t ʼ aː ʃ i ɾ
dšr	t ʼ aː ʃ i ʔ
dšr	t ʼ oː ʃ ə
dšrt	d ɛ ʃ r ɛ t
dšrt	t ʼ a ʃ ɾ a t
dšrt	t ʼ a ʃ ɾ a ʔ
dšrt	t ʼ a ʃ ɾ ə
dꜣt	d ɑ t
fgn	f ɛ ɡ ɛ n
fk	f ɛ k
fn	f ɛ n
fnṯ	f e n t
fnṯ	f i n c u w
fnṯ	f i n t a ʔ
fnṯ	f i n t u w
fnḏ	f ɛ n ɛ d͡ʒ
fnṯ	f ɛ n ɛ t͡ʃ
fnḫw	f ɛ n ɛ x uː
ftft	f ɛ t f ɛ t
fḫ	f ɛ x
fꜣj	f ɑ i
gbb	k ʼ eː β
gbb	k ʼ uː b a b
gbb	ɡ ɛ b ɛ b
gbtjw	ɡ ɛ b t i uː
gbꜣ	ɡ ɛ b ɑ
gm	ɡ ɛ m
gmgm	ɡ ɛ m ɡ ɛ m
gmj	k ʼ iː m i t
gmj	k ʼ iː m i ʔ
gmj	k ʼ iː m ə
gmj	ɡ ɛ m i
gmt	ɡ ɛ m ɛ t
