က	k a̰
ကက်စီနို	k ɛ ʔ s ì n ò
ကက်သလစ်	k ɛ ʔ θ ə l ɪ ʔ
ကကြီး	k a̰ d͡ʑ í
ကချင်	k ə t͡ɕʰ ɪ̀ ɴ
ကချေသည်	k a̰ d͡ʑ è ð è
ကင်ဆာရောဂါ	k ɪ̀ ɴ sʰ à j ɔ́ ɡ à
ကင်ညာ	k ɪ̀ ɴ ɲ à
ကင်ပွန်း	k ɪ̀ ɴ b ʊ́ ɴ
ကင်မရာ	k ɪ̀ ɴ m ə ɹ à
ကင်မရွန်း	k ɪ̀ ɴ m a̰ ɹ ʊ́ ɴ
ကင်း	k ɪ́ ɴ
ကင်းခြေများ	k ɪ́ ɴ t͡ɕ ì m j á
ကင်းပုံ	k ɪ́ ɴ b ò ʊ ɴ
ကင်းမြီးကောက်	k ɪ́ ɴ m j í ɡ a ʊ ʔ
ကင်းမွန်	k ɪ́ ɴ m ʊ̀ ɴ
ကစား	ɡ ə z á
ကစားစရာ	ɡ ə z á z ə j à
ကဆုန်	k ə sʰ ò ʊ ɴ
ကဆုန်လပြည့်နေ့	k ə sʰ ò ʊ ɴ l a̰ p j ḭ n ḛ
ကညာ	k ə ɲ à
ကညွတ်ရိုး	k ə ɲ ʊ ʔ j ó
ကဏန်း	ɡ ə n á ɴ
ကဏ္ဍ	k à n d a̰
ကတည်းက	ɡ ə d ɛ́ ɡ a̰
ကတိ	ɡ ə d ḭ
ကတော့	ɡ ə d ɔ̰
ကတ္တား	k a ʔ t á
ကတ္တီပါ	ɡ ə d ì b à
ကတ်	k a ʔ
ကတ်ကြေး	k a ʔ t͡ɕ í
ကတ်ကြေးကိုက်	k a ʔ t͡ɕ í k a ɪ ʔ
ကတ်ပြား	k a ʔ p j á
ကတ်သလိတ်	k a ʔ θ ə l e ɪ ʔ
ကတွတ်ယို	k ə d ʊ ʔ j ò
ကထိန်	k ə tʰ è ɪ ɴ
ကဒ်	k à d
ကနခို	k ə n ə kʰ ò
ကနစိုး	k ə n ə z ó
ကနုကမာ	k ə n ṵ k ə m à
ကနုတ်	k ə n o ʊ ʔ
ကနေဒါ	k a̰ n è d à
ကန့်	k a̰ ɴ
ကန့်လန့်ကာ	k ə l ə ɡ à
ကန္တာရ	k à ɴ t à j a̰
ကန်	k à ɴ
ကန်စွန်း	ɡ ə z ʊ́ ɴ
ကန်စွန်းဥ	ɡ ə z ʊ́ ɴ ʔ ṵ
ကန်တော့	ɡ ə d ɔ̰
ကန်ထရိုက်	k à ɴ tʰ ə ɹ a ɪ ʔ
ကပ္ပလီ	k a ʔ p ə l ì
ကပ်	k a ʔ
ကပ်	k a ʔ
ကပ်ကြီးသုံးပါး	k a ʔ d͡ʑ í θ ó ʊ ɴ b á
ကပ်ပယ်	k a ʔ p ɛ̀
ကပ်ပါး	k a ʔ p á
ကပွဲရုံ	k a̰ b w ɛ́ j ò ʊ ɴ
ကဖီး	k ə pʰ í
ကဗျာ	ɡ ə b j à
ကမန်	k a̰ m à ɴ
ကမာ	k ə m à
ကမာရွတ်	k ə m à j ʊ ʔ
ကမ္ဗလာ	ɡ ə b ə l à
ကမ္ဘာ	ɡ ə b à
ကမ္ဘာဂြိုဟ်	ɡ ə b à d͡ʑ ò
ကမ္ဘာလုံးခြမ်း	ɡ ə b à l ó ʊ ɴ d͡ʑ à ɴ
ကမ္ဘောဒီးယား	k à ɴ b ɔ́ d í j á
ကမ်စော်	k à ɴ z ɔ̀
ကမ်း	k á ɴ
ကမ်းခြေ	k á ɴ d͡ʑ è
ကယား	k ə j á
ကယ်တင်ရှင်	k ɛ̀ t ɪ̀ ɴ ʃ ɪ̀ ɴ
ကရင်	k ə j ɪ̀ ɴ
ကရစ်ကက်	k ə ɹ ɪ ʔ k ɛ ʔ
ကရဝိက်	k ə ɹ a̰ w e ɪ ʔ
ကရိန်း	k ə ɹ é ɪ ɴ
ကလပ်	k ə l a ʔ
ကလမောင်း	k ə l ə m á ʊ ɴ
ကလာပ်စည်း	k ə l a ʔ s í
ကလိုရင်း	k ə l ò ɹ ɪ́ ɴ
ကလီစာ	k ə l ì z à
ကလောင်	k ə l à ʊ ɴ
ကလေး	kʰ ə l é
ကလျာ	k a̰ j à
ကလျာဏမိတ္တ	k ə l ə j à n a̰ m e ɪ ʔ t a̰
ကဝိ	k ə w ḭ
ကဝေ	k ə w è
ကသည်း	k ə θ í
ကာ	k à
ကာကွယ်	k à ɡ w ɛ̀
ကာကွယ်ဆေး	k à ɡ w ɛ̀ z é
ကာကွယ်ရေး	k à ɡ w ɛ̀ j é
ကာဂစ်စတန်	k ə ɡ ɪ ʔ s ə t à ɴ
ကာဂျစ္စတန်	k ə d͡ʑ ɪ ʔ s ə t à ɴ
ကာဇက်စတန်	k à z ɛ ʔ s ə t à ɴ
ကာတာ	k à t à
ကာတွန်း	k à t ʊ́ ɴ
ကာဗွန်	k à b ʊ̀ ɴ
ကာမ	k à m a̰
ကာယ	k ə j a̰
ကာယကံ	k à j ə ɡ à ɴ
ကာယပညာ	k à j a̰ p a̰ ɲ à
ကာရန်	k ə j à ɴ
ကာလ	k à l a̰
ကာလသား	k à l ə ð á
ကာလသားရောဂါ	k à l a̰ θ á j ɔ́ ɡ à
ကာလာမသုတ်	k à l à m a̰ θ o ʊ ʔ
ကာလီဖိုးနီးယား	k à l ì pʰ ó n í j á
ကား	k á
ကားဂိတ်	k á ɡ e ɪ ʔ
ကားရုံ	k á j ò ʊ ɴ
ကိစ္စ	k e ɪ ʔ s a̰
ကိတ်ဗာဒီ	k e ɪ ʔ b ə d ì
ကိတ်မုန့်	k e ɪ ʔ m o̰ ʊ ɴ
ကိန္နရာ	k è ɪ ɴ n ə j à
ကိန္နရီ	k è ɪ ɴ n ə j ì
ကိန်း	k é ɪ ɴ
ကိမိလဗေဒ	k ḭ m ḭ l a̰ b è d a̰
ကိရိယာ	k ə ɹ ḭ j à
ကိလေသာ	k ḭ l è θ à
ကို	k ò
ကို	k ò
ကို	k ò
ကို	ʔ
ကို	ɡ ò
ကို	ɴ
ကိုက်	k a ɪ ʔ
ကိုက်လန်	k a ɪ ʔ l à ɴ
ကိုင်	k à ɪ ɴ
ကိုဘော့	k ò b ɔ̰
ကိုမိုရို	k ò m ò ɹ ò
ကိုယ်	k ò
ကိုယ်စားလှယ်	k ò j z ə l̥ ɛ̀
ကိုယ်ဝန်	k ò j w ʊ̀ ɴ
ကိုယ်ဝန်ဆောင်	k ò j w ʊ̀ ɴ sʰ à ʊ ɴ
ကိုယ်ဝန်ရှိ	k ò j w ʊ̀ ɴ ʃ ḭ
ကိုရမ်ကျမ်း	k ò ɹ à ɴ t͡ɕ á ɴ
ကိုရီးယား	k ò ɹ í j á
ကိုလိုနီ	k ò l ò n ì
ကိုလံဘီယာ	k ò l à ɴ b ì j à
ကိုး	k ó
ကိုးကန့်	k ó ɡ a̰ ɴ
ကီလိုဂရမ်	k ì l ò ɡ ə ɹ à ɴ
ကီးမား	k í m á
ကီးယက်	k í j ɛ ʔ
ကုဋေ	ɡ ə d è
ကုတ်	k o ʊ ʔ
ကုတ်ဟီးနာ	k o ʊ ʔ h í n à
ကုန်	k ò ʊ ɴ
ကုန်ကား	k ò ʊ ɴ ɡ á
ကုန်ကုန်	k ò ʊ ɴ ɡ ò ʊ ɴ
ကုန်စည်	k ò ʊ ɴ z ì
ကုန်တင်ကား	k ò ʊ ɴ d ɪ̀ ɴ ɡ á
ကုန်သည်	k ò ʊ ɴ ð è
ကုန်း	k ó ʊ ɴ
ကုန်းနှီး	k ó ʊ ɴ n̥ í
ကုဗ	k ṵ b a̰
ကုမ္ပဏီ	k ò ʊ ɴ p ə n ì
ကုလသမဂ္ဂ	k ṵ l a̰ θ a̰ m ɛ ʔ ɡ a̰
ကုလား	k ə l á
ကုလားထိုင်	k ə l ə tʰ à ɪ ɴ
ကုလားနို့	k ə l ə n o̰
ကုလားပဲ	k ə l ə p ɛ́
ကုလားဖြူ	k ə l ə pʰ j ù
ကုလားအုတ်	k ə l ə ʔ o ʊ ʔ
ကုသိုလ်	k ṵ θ ò
ကုသိုလ်ကံ	k ṵ ð ò ɡ à ɴ
ကုသိုလ်ရှင်	k ṵ θ ò ʃ ɪ̀ ɴ
ကူ	k ù
ကူညီ	k ù ɲ ì
ကူဖီ	k ù pʰ ì
ကူလီ	k ù l ì
ကူဝိတ်	k ù w e ɪ ʔ
ကူး	k ú
ကူးစက်ရောဂါ	k ú z ɛ ʔ j ɔ́ ɡ à
ကူးတို့	ɡ ə d o̰
ကူးတို့ဆိပ်	ɡ ə d o̰ z e ɪ ʔ
ကူးပြောင်း	k ú p j á ʊ ɴ
ကေ	k è
ကေသ	k è θ a̰
ကော	k ɔ́
ကော	ɡ ɔ́
ကောက်	k a ʊ ʔ
ကောက်ညှင်း	k a ʊ ʔ ɲ̊ ɪ́ ɴ
ကောက်ညှင်းပေါင်း	k a ʊ ʔ ɲ̊ ɪ́ ɴ b á ʊ ɴ
ကောက်ရိုး	k a ʊ ʔ j ó
ကောင်	k à ʊ ɴ
ကောင်ငယ်	k à ʊ ɴ ŋ ɛ̀
ကောင်စစ်ဝန်	k à ʊ ɴ s ɪ ʔ w ʊ̀ ɴ
ကောင်စစ်ဝန်ရုံး	k à ʊ ɴ s ɪ ʔ w ʊ̀ ɴ j ó ʊ ɴ
ကောင်စီ	k à ʊ ɴ s ì
ကောင်တာ	k à ʊ ɴ t à
ကောင်မငယ်	k à ʊ ɴ m a̰ ŋ ɛ̀
ကောင်မလေး	k à ʊ ɴ m a̰ l é
ကောင်း	k á ʊ ɴ
ကောင်းကင်	k á ʊ ɴ ɡ ɪ̀ ɴ
ကောင်းကင်ကြိုး	k á ʊ ɴ ɡ ɪ̀ ɴ d͡ʑ ó
ကောင်းကင်တမန်	k á ʊ ɴ ɡ ɪ̀ ɴ t ə m à ɴ
ကောင်းကင်ဘုံ	k á ʊ ɴ ɡ ɪ̀ ɴ b ò ʊ ɴ
ကောင်းကောင်း	k á ʊ ɴ ɡ á ʊ ɴ
ကောလာဟလ	k ɔ́ l à h a̰ l a̰
ကောလိပ်	k ɔ́ l e ɪ ʔ
ကောလိသိန်	k ɔ́ l ḭ θ è ɪ ɴ
ကော့စတာရီကာ	k ɔ̰ s ə t à ɹ ì k à
ကော်	k ɔ̀
ကော်ဇော	k ɔ̀ z ɔ́
ကော်တွန်	k ɔ̀ t ʊ̀ ɴ
ကော်ပီ	k ɔ̀ p ì
ကော်ပီစာအုပ်	k ɔ̀ p ì s à ʔ o ʊ ʔ
ကော်ပြန့်	k ɔ̀ p j a̰ ɴ
ကော်ပြန့်ကြော်	k ɔ̀ p j a̰ ɴ d͡ʑ ɔ̀
ကော်ပြန့်စိမ်း	k ɔ̀ p j a̰ ɴ z é ɪ ɴ
ကော်ဖီ	k ɔ̀ pʰ ì
ကော်မတီ	k ɔ̀ m ə t ì
ကော်ရည်ခေါက်ဆွဲ	k ɔ̀ j ì kʰ a ʊ ʔ sʰ w ɛ́
ကော်လာ	k ɔ̀ l à
ကဲ့	k ɛ̰
ကံ	k à ɴ
ကံကြမ္မာ	k à ɴ t͡ɕ ə m à
ကံသုံးပါး	k à ɴ θ ó ʊ ɴ b á
ကံ့ကူတံ	k a̰ ɴ ɡ ù d à ɴ
ကံ့ကော်	ɡ a̰ ɴ ɡ ɔ̀
က္ယူးဘား	k ə j ú b á
ကျ	t͡ɕ a̰
ကျက်သရေ	t͡ɕ ɛ ʔ θ ə j è
ကျင်ကြီး	t͡ɕ ɪ̀ ɴ d͡ʑ í
ကျင်ချောင်း	t͡ɕ ɪ̀ ɴ t͡ɕʰ á ʊ ɴ
ကျင်စွယ်	t͡ɕ ɪ̀ ɴ z w ɛ̀
ကျဉ်း	t͡ɕ ɪ́ ɴ
ကျဉ်းကျပ်	t͡ɕ ɪ́ ɴ t͡ɕ a ʔ
ကျည်	t͡ɕ ì
ကျည်ကပ်	t͡ɕ ì ɡ a ʔ
ကျည်ဖူး	t͡ɕ ì b ú
ကျနော်	t͡ɕ ə n ɔ̀
ကျန်	t͡ɕ à ɴ
ကျန်း	t͡ɕ á ɴ
ကျန်းမာရေး	t͡ɕ á ɴ m à j é
ကျပ်	t͡ɕ a ʔ
ကျပ်သား	t͡ɕ a ʔ θ á
ကျမ	t͡ɕ ə m a̰
ကျယ်	t͡ɕ ɛ̀
ကျယ်ဝန်း	t͡ɕ ɛ̀ w ʊ́ ɴ
ကျား	t͡ɕ á
ကျားမ	t͡ɕ á m a̰
ကျားသစ်	t͡ɕ ə θ ɪ ʔ
ကျိန္တလီ	t͡ɕ è ɪ ɴ t a̰ l ì
ကျိန်း	t͡ɕ é ɪ ɴ
ကျို	t͡ɕ ò
ကျိုက္ခမီ	t͡ɕ a ɪ ʔ kʰ ə m ì
ကျိုက်ထို	t͡ɕ a ɪ ʔ tʰ ò
ကျိုက်ထီးရိုး	t͡ɕ a ɪ ʔ tʰ í j ó
ကျိုက်မရော	t͡ɕ a ɪ ʔ m ə ɹ ɔ́
ကျိုင်းတုံ	t͡ɕ á ɪ ɴ t ò ʊ ɴ
ကျီးအ	t͡ɕ í ʔ a̰
ကျုပ်	t͡ɕ o ʊ ʔ
ကျုပ်တို့	t͡ɕ o ʊ ʔ t o̰
ကျူးဘား	k j ú b á
ကျော	t͡ɕ ɔ́
ကျောက်	t͡ɕ a ʊ ʔ
ကျောက်ကပ်	t͡ɕ a ʊ ʔ k a ʔ
ကျောက်ဂွမ်း	t͡ɕ a ʊ ʔ ɡ ʊ́ ɴ
ကျောက်စိမ်း	t͡ɕ a ʊ ʔ s é ɪ ɴ
ကျောက်နီ	t͡ɕ a ʊ ʔ n ì
ကျောက်ပွင့်သုပ်	t͡ɕ a ʊ ʔ p w ɪ̰ ɴ θ o ʊ ʔ
ကျောက်ဖရုံ	t͡ɕ a ʊ ʔ pʰ ə j ò ʊ ɴ
ကျောက်ဖြူ	t͡ɕ a ʊ ʔ pʰ j ù
ကျောက်မီး	t͡ɕ a ʊ ʔ m í
ကျောက်မီးသွေး	t͡ɕ a ʊ ʔ m í ð w é
ကျောက်သင်ပုန်း	t͡ɕ a ʊ ʔ θ ɪ̀ ɴ b ó ʊ ɴ
ကျောင်း	t͡ɕ á ʊ ɴ
ကျောင်းသား	t͡ɕ á ʊ ɴ ð á
ကျောင်းသုံးစာအုပ်	t͡ɕ á ʊ ɴ ð ó ʊ ɴ s à ʔ o ʊ ʔ
ကျောင်းသူ	t͡ɕ á ʊ ɴ ð ù
ကျောပိုးအိတ်	t͡ɕ ɔ́ b ó ʔ e ɪ ʔ
ကျောရိုး	t͡ɕ ɔ́ j ó
ကျေးဇူး	t͡ɕ é z ú
ကျေးဇူးတင်	t͡ɕ é z ú t ɪ̀ ɴ
ကျေးဇူးတင်ပါတယ်	t͡ɕ é z ú t ɪ̀ ɴ b à d ɛ̀
ကျေးဇူးပြု၍	t͡ɕ é z ú p j ṵ j w ḛ
ကျေးဇူးရှင်	t͡ɕ é z ú ʃ ɪ̀ ɴ
ကျဲ	t͡ɕ ɛ́
ကျွန်	t͡ɕ ʊ̀ ɴ
ကျွန်တော့်	t͡ɕ ʊ̀ ɴ d ɔ̰
ကျွန်တော်	t͡ɕ ʊ̀ ɴ d ɔ̀
ကျွန်တော်တို့	t͡ɕ ʊ̀ ɴ d ɔ̀ d o̰
ကျွန်မ	t͡ɕ ʊ̀ ɴ m a̰
ကျွန်မတို့	t͡ɕ ʊ̀ ɴ m a̰ d o̰
ကျွန်း	t͡ɕ ʊ́ ɴ
ကျွန်းကလေး	t͡ɕ ʊ́ ɴ ɡ ə l é
ကျွန်းဆွယ်	t͡ɕ ʊ́ ɴ z w ɛ̀
ကျွဲ	t͡ɕ w ɛ́
ကျွဲကော	t͡ɕ w ɛ́ ɡ ɔ́
ကျွဲပြည့်စင်	t͡ɕ w ɛ́ p j ḭ z ɪ̀ ɴ
ကြက်	t͡ɕ ɛ ʔ
ကြက်ခြေ	t͡ɕ ɛ ʔ t͡ɕʰ è
ကြက်ဆင်	t͡ɕ ɛ ʔ sʰ ɪ̀ ɴ
ကြက်ဆီထမင်း	t͡ɕ ɛ ʔ sʰ ì tʰ ə m ɪ́ ɴ
ကြက်ဆူ	t͡ɕ ɛ ʔ sʰ ù
ကြက်တူရွေး	t͡ɕ ɛ ʔ t ù j w é
ကြက်ဖ	t͡ɕ ɛ ʔ pʰ a̰
ကြက်မ	t͡ɕ ɛ ʔ m a̰
ကြက်မောက်	t͡ɕ ɛ ʔ m a ʊ ʔ
ကြက်မောက်သီး	t͡ɕ ɛ ʔ m a ʊ ʔ θ í
ကြက်သား	t͡ɕ ɛ ʔ θ á
ကြက်သွန်	t͡ɕ ɛ ʔ θ ʊ̀ ɴ
ကြက်သွန်နီ	t͡ɕ ɛ ʔ θ ʊ̀ ɴ n ì
ကြက်သွန်ဖြူ	t͡ɕ ɛ ʔ θ ʊ̀ ɴ b j ù
ကြက်သွန်မြိတ်	t͡ɕ ɛ ʔ θ ʊ̀ ɴ m j e ɪ ʔ
ကြက်ဟင်းခါးသီး	t͡ɕ ɛ ʔ h ɪ́ ɴ ɡ á ð í
ကြက်အူချောင်း	t͡ɕ ɛ ʔ ʔ ù d͡ʑ á ʊ ɴ
ကြငှန်း	t͡ɕ ə ŋ̊ á ɴ
ကြဉ်	t͡ɕ ɪ̀ ɴ
ကြည့်	t͡ɕ í
ကြည့်မြင်တိုင်	t͡ɕ ḭ m j ɪ̀ ɴ d à ɪ ɴ
ကြည်	t͡ɕ ì
ကြည်	t͡ɕ ɪ̀ ɴ
ကြည်းတပ်	t͡ɕ í d a ʔ
ကြမ္မာ	t͡ɕ ə m à
ကြမ်း	t͡ɕ á ɴ
ကြယ်	t͡ɕ ɛ̀
ကြယ်စု	t͡ɕ ɛ̀ z ṵ
ကြယ်တံခွန်	t͡ɕ ɛ̀ d ə ɡ ʊ̀ ɴ
ကြယ်သီး	t͡ɕ ɛ̀ θ í
ကြာ	t͡ɕ à
ကြာကြာ	t͡ɕ à d͡ʑ à
ကြာဆံ	t͡ɕ à z à ɴ
ကြာဆံသုပ်	t͡ɕ à z à ɴ θ o ʊ ʔ
ကြာညို့	t͡ɕ à ɲ o̰
ကြာသပတေး	t͡ɕ à θ a̰ p a̰ d é
ကြား	t͡ɕ á
ကြိမ်	t͡ɕ è ɪ ɴ
ကြိယာ	k ə ɹ ḭ j à
ကြိယာဝိသေသန	k ə ɹ ḭ j à w ḭ θ è θ ə n a̰
ကြိုက်	t͡ɕ a ɪ ʔ
ကြိုဆိုပါ၏	t͡ɕ ò z ò b à ʔ ɛ̰
ကြို့	t͡ɕ o̰
ကြိုး	t͡ɕ ó
ကြိုးကြာ	d͡ʑ ó d͡ʑ à
ကြီး	t͡ɕ í
ကြီးကြီး	t͡ɕ í d͡ʑ í
ကြီးမား	t͡ɕ í m á
ကြောက်	t͡ɕ a ʊ ʔ
ကြောင့်	d͡ʑ a̰ ʊ ɴ
ကြောင်	t͡ɕ à ʊ ɴ
ကြောင်ကလေး	t͡ɕ à ʊ ɴ ɡ ə l é
ကြောင်ထီး	t͡ɕ à ʊ ɴ d í
ကြောင်မ	t͡ɕ à ʊ ɴ m a̰
ကြောင်အိမ်	t͡ɕ à ʊ ɴ ʔ è ɪ ɴ
ကြော်	t͡ɕ ɔ̀
ကြော်ငြာ	t͡ɕ ɔ̀ ɲ à
ကြော်ငြာစာ	t͡ɕ ɔ̀ ɲ à z à
ကြေး	t͡ɕ é
ကြေးကြီး	t͡ɕ é t͡ɕ í
ကြေးငွေ	t͡ɕ é ŋ w è
ကြေးစည်	t͡ɕ é z ì
ကြေးနန်း	t͡ɕ é n á ɴ
ကြေးနီ	t͡ɕ é n ì
ကြေးမုံ	t͡ɕ é m ò ʊ ɴ
ကြေးဝါ	t͡ɕ é w à
ကြေးအိုး	t͡ɕ é ʔ ó
ကြံ	t͡ɕ à ɴ
ကြံ့	t͡ɕ a̰ ɴ
ကြံ့လျော်	t͡ɕ a̰ ɴ ʃ ɔ̀
ကြွ	t͡ɕ w a̰
ကြွက်	t͡ɕ w ɛ ʔ
ကြွက်နို့	t͡ɕ w ɛ ʔ n o̰
ကြွက်သား	t͡ɕ w ɛ ʔ θ á
ကြွင်း	t͡ɕ w ɪ́ ɴ
ကြွပ်	t͡ɕ ʊ ʔ
ကြွယ်	t͡ɕ w ɛ̀
ကြွေ	t͡ɕ w è
ကြွေး	t͡ɕ w é
ကွင်း	k w ɪ́ ɴ
ကွင်းထိုးဖိနပ်	ɡ w ɪ́ ɴ d ó pʰ ə n a ʔ
ကွတ်	k ʊ ʔ
ကွန်	k ʊ̀ ɴ
ကွန်ကရစ်	k ʊ̀ ɴ ɡ ə ɹ ɪ ʔ
ကွန်ဂို	k ʊ̀ ɴ ɡ ò
ကွန်ဒုံး	k ʊ̀ ɴ d ó ʊ ɴ
ကွန်ပါ	k ʊ̀ ɴ p à
ကွန်ပျူတာ	k ʊ̀ ɴ p j ù t à
ကွန်ဖရင့်	k ʊ̀ ɴ pʰ ə ɹ ɪ̰ ɴ
ကွန်ဖြူးရှပ်	k ʊ̀ ɴ pʰ j ú ʃ a ʔ
ကွန်ရက်	k ʊ̀ ɴ j ɛ ʔ
ကွမ်ရင်	k w à ɴ j ɪ̀ ɴ
ကွမ်ရင်မယ်တော်	k w à ɴ j ɪ̀ ɴ m ɛ̀ d ɔ̀
ကွမ်းတောင်	k ʊ́ ɴ d à ʊ ɴ
