abhag	a f a k
acair	a x k ə ɾ
acras	aʰ kʰ ɾ ə s̪
adhbhar	ɤː v ə ɾ
adhbharaich	ɤː v ə ɾ ɪ ç
adhbran	ɤː p ɾ a n
adhbrann	ɤː p ɾ ə n̪ˠ
agallamh	a k ə l̪ˠ ə v
agam	a k ə m
aghaidh	ɤː ɪ
aibhne	a i v ɲ ɪ
àicheadh	aː ç ə ɣ
àicheidh	aː ç ɪ
aig	e k
aighearach	a ɪ ə r ə x
aillse	a ɪ l ʃʲ ə
ailp	a ɫ p
ailt	a l tʲ
aimhreid	a i v ɾʲ ɪ tʲ
aimsir	ɛ m ɛ ʃ ɪ ɾʲ
aimsir	ɛ m i ʃ ɪ ɾʲ
ainbheach	ɛ n ɛ v ə x
aindeònach	a ɲ ɔ n ə x
aingeal	ã ĩ ŋʲ kʲ ə l̪ˠ
ainmich	ɛ n ɛ m j ɪ ç
ainneamh	a n̪ˠ ə v
ainneart	a ɲ ə ɾ ʃ t̪
ainneartaich	a ɲ ə ɾ ʃ t̪ ɪ ç
air	ɛ rʲ
àird	aː ɾ ʃ t̪
àite	aːʰ tʰʲ ɪ
àl	aː l̪ˠ
àlainn	aː ɫ̪ ɪ ɲ
àlas	aː l̪ˠ ə s̪
alba	a ɫ̪ a p ə
albàinis	a ɫ̪ p ɛː n ɪ ʃ
allmharach	a l̪ˠ a v ə r ə x
àmhainn	aː v ɪ ɲ
an	a n
an	ə n
anabarrach	a n a p a rˠ ə x
ann	a u n̪ˠ
annag	a n̪ˠ a k
aodach	ɯː t̪ ə x
aodh	ɯː ɣ
aoibhneas	ɤ j ɲ ə s
aoigh	ɯ iʲ
aon	ɯː n
aontamhach	ɯː n̪ t̪ʰ ə v ə x
aontamhachd	ɯː n̪ t̪ʰ ə v ə x ɡ
aosda	ɯ s d ə
arc	a r x k
àrd	aː rˠ t̪
àrd	aː r ʃ t̪
àrd	aː rˠ sˠ t̪
arm	a ɾ a m
athair	a h ə ɾʲ
bacadh	p aʰ k ə ɣ
baile	p a l ɪ
bainne	p a ɲ ɪ
bainne	p ɔ ɲ ə
bainne	p ɛ ɲ ə
baintighearna	b a n t͡ʃ j a r n ə
bàirneach	p aː ɾʲ ɲ ə x
baist	b a ʃ t ʃ
balach	p a ɫ̪ ə x
balla	p a ɫ̪ ə
banail	p ɑ n ə l
bann	p a u n̪ˠ
baoghalta	b ɯː ə l t ə
baoiseachd	p ɯː ʃ a x k
baoth	p ɯː
barail	b a r a l
bàrd	p aː r ʃ t̪
bàrr	p aː rˠ
barra	p a rˠ ə
bàta	p aːʰ t̪ ə
beach	p ɛ x
beachan	p ɛ x a n
beag	p e k
beagan	p e k a n
bealach	p j a ɫ̪ ə x
bealaruisis	b j a l̪ˠ ə r u ʃ ɪ ʃ
bealltainn	b̥ j a u ɫ̪ t̪ ɪ ɲ
bean	p ɛ n
beann	p j a u n̪ˠ
beatha	p ɛ h ə
beathag	pʲ a h a k
beathan	pʲ a h a n
beinn	b e i ɲ
beinne	b e ɲ ə
beò	p j ɔː
beul	p i a ɫ̪
beurla	b j ɤː rˠ l̪ˠ ə
beus	p eː s
bhean	v ɛ n
bheil	v e l
bhun	v u n
biastag	p i ə s t a k
bigein	p i kʲ ɪ ɲ
binn	p iː ɲ
bior	p i ɾ
bò	p oː
bó	p oː
boc	p ɔ x k
bòc	b ɔː x ɡ
bocan	b ɔ x ɡ a n
bòcan	b ɔː x ɡ a n
bodach	p ɔ t̪ ə x
bògas	p ɔː k ə s
bogha	p o ə
bòid	b̊ ɔː d̊ʲ
bòid	p ɔː tʲ
boireannach	p ɔ ɾʲ ə n̪ˠ ə x
bonnach	b o n ə x
borb	p ɔ r ɔ p
bòrd	p ɔː ɾ ʃ t̪
brà	p ɾ aː
bradan	b r a t ə n
bratach	p r a h t ə x
bratag	p r a h t a k
breisleachail	b r ɛ ʃ lʲ a x a l
briathrach	p rʲ i ə r ə x
brice	p rʲ iʰ kʰʲ ə
brìghde	p ɾʲ iː ʝ tʲ ə
broinn	p ɾ ə i ɲ
brùid	b̥ r uː dʲ
bruidhinn	p ɾ i ɪ ɲ
buabhaill	p u ə ə l
buabhall	p u ə ə l̪ˠ
buadhair	p u ə ɣ ɛ ɾʲ
buail	b u ɪ l
buidhe	b̥ u j ə
buidseachd	b u dʲ ʃ ə x ɡ
bun	p u n
bùrach	p uː r ə x
bùrn	b u r n
burras	p ʊ rˠ ə s
cabhag	kʰ a v a k
cabhlach	kʰ a u ɫ̪ ə x
cadal	kʰ a t̪ a ɫ̪
caidreach	kʰ a tʲ ɾʲ ə x
caifean	k ɛ f a n
caifein	kʰ a f ɛ ɲ
càil	kʰ aː l
caileag	kʰ a l a k
caill	kʰ a i ʎ
cailleach	kʰ a ʎ ə x
caillte	kʰ a i ʎ tʰʲ ɪ
càin	kʰ aː ɲ
càineadh	kʰ aː ɲ ə ɣ
cainnt	kʰ a i ɲ tʰʲ
càise	kʰ aː ʃ ə
cait	kʰ ɛʰ tʲ
caitrìona	k a tʲ ɾ i ə n ə
calltainn	kʰ a u ɫ̪ t̪ʰ ɪ ɲ
