а	a
б	b
д	d
ђ	d͡ʑ
џ	d͡ʒ
џ	d͡ʒ ə
е	e
ф	f
и	i
ј	j
к	k
л	l
м	m
н	n
о	o
п	p
р	r
с	s
т	t
ц	t͡s
ћ	t͡ɕ
у	u
х	x
з	z
в	ʋ
г	ɡ
ж	ʐ
ш	ʂ
љ	ʎ
њ	ɲ
ч	ʈ͡ʂ
до	d ô
до	d ôː
им	i m
их	i x
из	i z
је	j e
ју	j u
ја	j â
ја	j âː
ко	k ô
ли	l i
ми	m îː
на	n a
не	n e
но	n o
но	n ôː
па	p a
пи	p îː
по	p ô
по	p ôː
рт	r̂ t
се	s e
си	s i
со	s ôː
ти	t îː
уз	u z
за	z a
ас	â s
од	ô d
он	ôː n
ос	ôː s
ум	ûː m
уш	ûː ʃ
ша	ʃ â
ње	ɲ êː
ви	ʋ îː
во	ʋ ôː
го	ɡ ôː l
њу	ɲ ûː
брк	b r̂ː k
брз	b r̂ː z
бар	b â r
бас	b â s
бат	b â t
баш	b â ʃ
бањ	b â ɲ
бан	b âː n
бар	b âː r
бат	b âː t
бео	b ê o
без	b ê z
бел	b êː l
бес	b êː s
беч	b êː t ʃ
био	b î o
бит	b î t
бич	b î t ʃ
бит	b îː t
боб	b ô b
бод	b ôː d
бој	b ôː j
бол	b ôː l
бор	b ôː r
бос	b ôː s
бог	b ôː ɡ
буђ	b û d͡ʑ
бут	b û t
бућ	b û t͡ɕ
бук	b ûː k
дах	d â x
дан	d âː n
дар	d âː r
дед	d ê d
деф	d ê f
део	d ê o
дим	d î m
дио	d î o
див	d î ʋ
док	d ô k
дом	d ô m
дол	d ôː l
дуд	d û d
дух	d û x
дуг	d û ɡ
дуж	d û ʒ
дуг	d ûː ɡ
дуж	d ûː ʒ
два	d ʋ âː
џак	d ʒ âː k
џез	d ʒ ê z
две	d ʋ êː
џин	d ʒ î n
ђул	d ʑ ûː l
ђак	d͡ʑ âː k
џем	d͡ʒ ê m
џеп	d͡ʒ ê p
џин	d͡ʒ î n
фуј	f u j
фил	f î l
фил	f îː l
фин	f îː n
иза	i z a
јој	j o j
јад	j â d
јак	j â k
јак	j âː k
јал	j âː l
јар	j âː r
јав	j âː ʋ
јер	j ê r
јед	j êː d
јек	j êː k
јеж	j êː ʒ
јок	j ô k
још	j ô ʃ
јој	j ôː j
југ	j û ɡ
јур	j ûː r
крф	k r̂ f
крк	k r̂ k
крш	k r̂ ʃ
крњ	k r̂ ɲ
крв	k r̂ː ʋ
кћи	k t ɕ îː
кад	k â d
као	k â o
кат	k â t
кад	k âː d
кал	k âː l
кам	k âː m
кан	k âː n
кас	k âː s
кеш	k ê ʃ
кељ	k ê ʎ
кер	k êː r
кец	k êː t͡s
ким	k î m
кич	k î t ʃ
ким	k îː m
кип	k îː p
код	k ô d
ком	k ô m
ког	k ô ɡ
коњ	k ô ɲ
коб	k ôː b
код	k ôː d
кос	k ôː s
кук	k û k
кум	k û m
кул	k ûː l
кум	k ûː m
кус	k ûː s
кут	k ûː t
ком	k ǒ m
кьт	k ə t
лак	l â k
лав	l â ʋ
лаж	l âː ʒ
лед	l êː d
лен	l êː n
леп	l êː p
лес	l êː s
лет	l êː t
лењ	l êː ɳ
лик	l îː k
лос	l ô s
лош	l ô ʃ
лој	l ôː j
лом	l ôː m
лов	l ôː ʋ
лог	l ôː ɡ
луд	l ûː d
луч	l ûː t͡ʃ
мрк	m r̂ k
мрс	m r̂ː s
мај	m â j
мак	m â k
мач	m â t ʃ
мал	m âː l
мар	m âː r
маљ	m âː ʎ
мек	m ê k
мед	m êː d
мех	m êː x
мио	m î o
миш	m î ʃ
мир	m îː r
мој	m ôː j
мол	m ôː l
моћ	m ôː t ɕ
мук	m ûː k
муж	m ûː ʒ
муљ	m ûː ʎ
над	n â d
нар	n â r
нас	n âː s
наг	n âː ɡ
нем	n êː m
низ	n î z
ниш	n î ʃ
нит	n îː t
низ	n îː z
нов	n ô ʋ
нос	n ôː s
пре	p r ê
при	p r î
прч	p r̂ t ʃ
пак	p â k
пас	p â s
пад	p âː d
пар	p âː r
пас	p âː s
пањ	p âː ɲ
пет	p êː t
пев	p êː ʋ
пик	p î k
под	p ô d
поп	p ô p
пол	p ôː l
пуб	p û b
пун	p û n
пуп	p û p
пут	p û t
пуч	p û t ʃ
пух	p û x
пуб	p ûː b
пук	p ûː k
пут	p ûː t
рад	r â d
рат	r â t
рад	r âː d
рај	r âː j
ран	r âː n
раж	r âː ʒ
рен	r ê n
ред	r êː d
реп	r êː p
реч	r êː t ʃ
рез	r êː z
рис	r î s
риђ	r îː d ʑ
рим	r îː m
роб	r ô b
род	r ô d
род	r ôː d
ром	r ôː m
рог	r ôː ɡ
рус	r û s
руб	r ûː b
руд	r ûː d
руј	r ûː j
срж	s r̂ː ʒ
сто	s t ôː
сад	s â d
сан	s â n
сач	s â t͡ʃ
сав	s â ʋ
сад	s âː d
саг	s âː ɡ
сеф	s ê f
сед	s êː d
сев	s êː ʋ
син	s î n
сир	s î r
сиц	s î t͡s
сић	s î t͡ɕ
син	s îː n
сој	s ô j
сом	s ô m
сол	s ôː l
сос	s ôː s
суп	s û p
суд	s ûː d
сур	s ûː r
сув	s ûː ʋ
све	s ʋ ê
тко	t k ô
тло	t l ô
три	t r îː
трп	t r̂ p
трс	t r̂ s
трг	t r̂ ɡ
трк	t r̂ː k
трн	t r̂ː n
црн	t s r̂ː n
црв	t s r̂ː ʋ
цар	t s â r
цео	t s ê o
цех	t s ê x
цио	t s î o
циљ	t s îː ʎ
цол	t s ôː l
тад	t â d
таџ	t â d͡ʒ
так	t â k
тат	t â t
тај	t âː j
так	t âː k
тек	t ê k
тел	t ê l
тен	t ê n
тек	t êː k
тег	t êː ɡ
тих	t î x
тип	t îː p
топ	t ô p
ток	t ôː k
тон	t ôː n
тор	t ôː r
туђ	t û d ʑ
туф	t û f
туп	t ûː p
тур	t ûː r
чап	t ʃ a p
чак	t ʃ â k
чап	t ʃ â p
чад	t ʃ âː d
ћао	t ɕ âː o
чар	t ʃ âː r
чек	t ʃ ê k
чем	t ʃ ê m
чеп	t ʃ ê p
чех	t ʃ ê x
