apa	a p ə
puputan	p u p u t a n
ᬩᬧ	b a p ə
ᬤᬦ	d a n ə
ᬥᬦ	d a n ə
ᬤᬰ	d a s ə
ᬓᬚ	k a d ʒ ə
ᬓᬮ	k a l ə
ᬓᬦ	k a n ə
ᬓᬭ	k a r ə
ᬫᬭ	m a r ə
ᬫᬢ	m a t ə
ᬫᬣ	m a t ə
ᬦᬦ	n a n a
ᬦᬭ	n a r ə
ᬧᬤ	p a d ə
ᬧᬥ	p a d ə
ᬧᬮ	p a l ə
ᬨᬮ	p a l ə
ᬭᬚ	r a d͡ʒ ə
ᬭᬢ	r a t ə
ᬭᬣ	r a t ə
ᬭᬕ	r a ɡ ə
ᬰᬓ	s a k ə
ᬲᬓ	s a k ə
ᬰᬧ	s a p ə
ᬲᬧ	s a p ə
ᬰᬭ	s a r ə
ᬲᬭ	s a r ə
ᬰᬢ	s a t ə
ᬲᬢ	s a t ə
ᬢᬭ	t a r ə
ᬯᬭ	w a r ə
ᬯᬰ	w a s ə
ᬕᬡ	ɡ a n ə
ᬕᬦ	ɡ a n ə
ᬖᬦ	ɡ a n ə
ᬕᬢ	ɡ a t ə
ᬖᬝ	ɡ a t ə
ᬕᬕ	ɡ a ɡ ə
ᬅᬥᬶ	a d i
ᬆᬤᬶ	a d i
ᬳᬤᬶ	a d i
ᬅᬭᬶ	a r i
ᬳᬭᬶ	a r i
ᬅᬃᬣ	a r t ə
ᬤᬵᬦ	d a n ə
ᬥᬵᬦ	d a n ə
ᬥᬃᬫ	d a r m ə
ᬤᬰᬶ	d a s i
ᬤᬲᬶ	d a s i
ᬤᬵᬰ	d a s ə
ᬤᬵᬲ	d a s ə
ᬤᬶᬦ	d i n ə
ᬤᬷᬦ	d i n ə
ᬤᬶᬧ	d i p ə
ᬥᬷᬧ	d i p ə
ᬓᬮᬵ	k a l ə
ᬓᬵᬮ	k a l ə
ᬓᬦᬵ	k a n ə
ᬓᬵᬭ	k a r ə
ᬓᬹᬝ	k u t ə
ᬮᬶᬫ	l i m ə
ᬫᬵᬬ	m a j ə
ᬫᬦᬯ	m a n a w ə
ᬫᬵᬭ	m a r ə
ᬫᭀᬖ	m o ɡ ə
ᬦᬦᬵ	n a n a
ᬦᬵᬭ	n a r ə
ᬦᬵᬝ	n a t ə
ᬦᬵᬣ	n a t ə
ᬧᬵᬤ	p a d ə
ᬧᬵᬮ	p a l ə
ᬧᬢᬶ	p a t i
ᬭᬵᬚ	r a d͡ʒ ə
ᬭᬵᬣ	r a s ə
ᬭᬵᬲ	r a s ə
ᬭᬵᬕ	r a ɡ ə
ᬲᬫᬭ	s a m a r ə
ᬲᬭᬶ	s a r i
ᬲᬵᬭ	s a r ə
ᬲᬶᬤ	s i d ə
ᬰᬶᬮ	s i l ə
ᬲᬶᬮ	s i l ə
ᬰᭀᬘ	s o t͡ʃ ə
ᬲᭀᬘ	s o t͡ʃ ə
ᬰᬸᬪ	s u b ə
ᬲᬸᬩ	s u b ə
ᬰᬹᬮ	s u l ə
ᬲᬸᬮ	s u l ə
ᬰᬹᬭ	s u r ə
ᬲᬸᬭ	s u r ə
ᬲᬸᬢ	s u t ə
ᬲᬹᬢ	s u t ə
ᬰ᭄ᬯ	s w a
ᬲ᭄ᬯ	s w a
ᬰ᭄ᬯ	s w ə
ᬲ᭄ᬯ	s w ə
ᬢᬭᬵ	t a r ə
ᬢᭀᬬ	t o j ə
ᬢᬸᬃ	t u r
ᬢᬹᬃ	t u r
ᬉᬱᬥ	u s a d ə
ᬯᬮᬸ	w a l u
ᬯᬮᬹ	w a l u
ᬯᬵᬭ	w a r ə
ᬯᬵᬲ	w a s ə
ᬯᬢᬂ	w a t a ŋ
ᬬᬸᬥ	y u d ə
ᬕᬵᬦ	ɡ a n ə
ᬕᭀᬭ	ɡ o r ə
ᬖᭀᬭ	ɡ o r ə
ᬳᬤᬦ᭄	a d a n
ᬳᬮᬲ᭄	a l a s
ᬅᬡ᭄ᬥ	a n d ə
ᬅᬦ᭄ᬤ	a n d ə
ᬅᬦ᭄ᬥ	a n d ə
ᬅᬃᬘᬵ	a r t͡ʃ ə
ᬅᬱ᭄ᬝ	a s t ə
ᬅᬲ᭄ᬢ	a s t ə
ᬅᬲ᭄ᬣ	a s t ə
ᬳᬲ᭄ᬢ	a s t ə
ᬅᬗ᭄ᬰ	a ŋ s ə
ᬪᬵᬱᬵ	b a s a
ᬤᬦ᭄ᬢ	d a n t ə
ᬤᬯᬸᬄ	d a w u h
ᬥᬯᬸᬄ	d a w u h
ᬫᬵᬬᬵ	m a j ə
ᬫᬵᬦᬯ	m a n a w ə
ᬫᬢ᭄ᬢ	m a t ə
ᬫᭀᬖᬵ	m o ɡ ə
ᬧᬸᬮᭀ	p u l o
ᬧᬸᬧᬸ	p u p u
ᬧᬸᬧᬹ	p u p u
ᬰᬵᬓᬵ	s a k ə
ᬰᬭᬢ᭄	s a r a t
ᬲᬭᬢ᭄	s a r a t
ᬲᬵᬭᬶ	s a r i
ᬲᬗ᭄ᬕ	s a ŋ ɡ ə
ᬲᬗ᭄ᬖ	s a ŋ ɡ ə
ᬰᬶᬓᬶ	s i k i
ᬲᬶᬓᬶ	s i k i
ᬰᬶᬮᬵ	s i l ə
ᬲ᭄ᬫᬭ	s m a r ə
ᬲᬸᬭᬵ	s u r ə
ᬲᬸᬢᬵ	s u t ə
ᬰ᭄ᬯᬭ	s w a r ə
ᬲ᭄ᬯᬭ	s w a r ə
ᬲ᭄ᬫᬭ	s ə m a r ə
ᬳᬸᬓᬸ	u k u
ᬯ᭄ᬯᬭ	w a r ə
ᬯᬵᬢᬂ	w a t a ŋ
ᬕᬵᬕᬵ	ɡ a ɡ ə
ᬯᬸᬓᬸ	ʋ u k u
ᬅᬗ᭄ᬕᬭ	a ŋ ɡ a r ə
ᬘᬾᬮᬾᬂ	c ɛ l ɛ ŋ
ᬤᬵᬦ᭄ᬢ	d a n t ə
ᬧᬢ᭄ᬢᬶ	p a t i
ᬲᬾᬢ᭄ᬭ	s e t r a
ᬲᬶᬤ᭄ᬥ	s i d ə
ᬬᬸᬤ᭄ᬥ	y u d ə
ᬕᭂᬢᬶᬄ	ɡ ə t i h
ᬧᭂᬓᭂᬦ᭄	p ə k ə n
ᬢᭀᬕᭀᬕ᭄	t o ɡ o ɡ
ᬘᭂᬦᬶᬓ᭄	t ʃ ə n i k
ᬳᬸᬯᬸᬲ᭄	u w u s
ᬳᬸᬯᬸᬲ᭄	u ʋ u s
ᬯᬸᬯᬸᬲ᭄	w u w u s
ᬯᬸᬯᬸᬲ᭄	ʋ u ʋ u s
ᬧᬾᬜ᭄ᬚᭀᬃ	p e ɲ d͡ʒ o r
ᬰᬵᬲ᭄ᬢ᭄ᬭ	s a s t r ə
ᬲᬵᬲ᭄ᬢ᭄ᬭ	s a s t r ə
