ав	a w̜
авга	a w̜ ə ɢ
авдар	a w̜ t ɐ r
авс	a f s
автобус	a w̜ tʰʷ p ʊ s
авьяас	a w̜ʲ j aː s
ад	ɑ t
адал	a t ɐ ɮ
адил	a tʲ ɪ ɮ
ажил	ä t͜ɕ ɪ ɬ
ажилтан	ä t͜ɕ ɪ̆ ɬ tʰ ŋ̍
аз	a t͡s
айлчлах	æ e̯ ɮ t͡ɕʰ ɮ ɐ χ
айраг	a e̯ r ə k
албадах	a ɮ p ɐ t ɐ χ
албадлага	a ɮ p ɐ t ɮ ɐ q
алт	a ɬ t
алтан	a ɬ t ɐ ɴ
алтгана	a ɬ t ʁ ɐ n
алх	a ɮ χ
амжих	a m t͡ɕ ɐ χ
амьсгалах	a mʲ s ɢ ɐ ɮ ɐ χ
анх	a ɴ χ
арвай	a r w̜ æ e
арьс	æ rʲ s
атаа	aʰ t a
атаархах	aʰ t a r χ ɐ χ
ац	aʰ t͡s
байна	p æ e n
байх	p æ e χ
байц	p æ eʰ t͡s
баяр	p a i r
баярлалаа	p a i r ɮ a
богино	p ɞ ɟ ɪ n
бол	p ɔ̙ ɮ
болох	p ɔ̙ ɮ ɞ̙ χ
боов	p ɔ̙ː w̜
боомт	p ɔ̙ː m t
боорцог	p ɔ̙ː r̥ t͡s ɞ̙ k
борной	p ɔ̙ r n ɞ e
бохь	p ɞ ç
буу	p o̙ː
бууз	p o̙ː t͡s
бууралтах	p o̙ː r ɵ̙ ɬ t ɵ̙ χ
бух	p o̙ χ
бэрс	p i r s
бэх	p i ç
бяруу	pʲ a ɾ o̙
бясалгал	pʲ a s ɐ ɮ ʁ ɐ ɮ
бясалгах	pʲ a s ɐ ɮ ʁ ɐ χ
бүйлс	p u e ɮ s
бөднө	p ʊ t ʊ̈ n
гадил	ɢ æ tʲ ɪ ɮ
гал	ɢ a ɮ
галт	ɢ a ɬ t
галуу	ɢ a ɮ o̙
ганц	ɢ a n̥ t͡s
гар	ɢ a r
гарах	ɢ a r ɐ χ
гарчиг	ɢ a r̥ t͡ɕʰ ɪ k
гатлах	ɢ aʰ t ɮ ɐ χ
гоймон	ɢ ɞ e m ɞ̙ ɴ
гурил	ɢ o̙ rʲ ɪ ɮ
гэлэн	ɡ i ɮ ɪ ŋ
гэлэнмаа	ɡ i ɮ ɪ m m a
гэмших	ɡ i m ʃ ɪ ç
гүүр	ɡ uː r
даваа	t a w̜ a
дайгдах	d æː k t ɐ χ
дайх	t æ e χ
далай	t a ɮ æ e
дасах	t a s ɐ χ
дахин	t æ ç ɪ ŋ
догшин	t ɔ̙ x ʃ ɪ ŋ
дотор	t ɔ̙ʰ t ɞ̙ r
дох	t ɔ̙ χ
дохих	t ɞ ç ɪ ç
дудран	t o̙ t r ɵ̙ ɴ
дурдах	t o̙ r t ɵ̙ χ
дуудлага	t o̙ː t ɮ ɵ̙ q
дуулга	d ʊ̞ ɬ q ə
дуулгавар	t o̙ː ɮ ʁ ɵ̙ w̜ ɵ̙ r
дуурь	t ɵː rʲ
дэвших	t i w̜ ʃ ɪ ç
дэлүү	t i ɮ u
дээр	t eː r
еэвэн	j eː w̜ ɪ ŋ
жигнэмэг	t͡ɕ i ɡ n ɪ m ɪ k
жижүүр	t͡ɕ i t͡ɕ u r
жорлон	t͡ɕ ɔ̙ r ɮ ɞ̙ ɴ
жууцай	t͡ɕ o̙ːʰ t͡s æ e
завь	t͡s æ w̜ʲ
загасчин	t͡s a ɢ ə s t͡ʃʰ i ŋ
зайдуу	t͡s æ e t o̙
залах	t͡s a ɮ ɐ χ
залгамал	t͡s a ɮ ʁ ɐ m ɐ ɮ
залгах	t͡s a ɮ ʁ ɐ χ
залгих	t͡s a ɮ ɟ ɪ x
залгуур	t͡s a ɮ ʁ o̙ r
залуу	t͡s a ɮ o̙
залуур	t͡s a ɮ o̙ r
зан	t͡s a ŋ
зангиа	t͡s a ŋ ɟ ə
зарим	t͡s æ ɾʲ ɪ m
заримдаа	t͡s æ ɾʲ ɪ m t a
засаг	t͡s a s ɐ k
зах	t͡s a χ
зовлон	t͡s ɔ̙ w̜ ɮ ɞ̙ ɴ
золбин	t͡s ɞ ɮʲ pʲ ɪ ŋ
зориг	t͡s ɞ ɾʲ ɪ k
зориглох	t͡s ɞ ɾʲ ɪ ɡ ɮ ɞ̙ χ
зоригоор	t͡s ɞ ɾʲ ɪ ɡ ɔ̙ r
зоригт	t͡s ɞ ɾʲ ɪ x t
зорилго	t͡s ɞ ɾʲ ɪ ɮ ɞ̙ q
зорилт	t͡s ɞ ɾʲ ɪ ɬ t
зоримгой	t͡s ɞ ɾʲ ɪ m ʁ ɞ e
зоримог	t͡s ɞ ɾʲ ɪ m ɞ k
зориуд	t͡s ɞ ɾʲ o̙ t
зориулах	t͡s ɞ ɾʲ o̙ ɮ ɐ χ
зорих	t͡s ɞ ɾʲ ɪ χ
зул	t͡s o̙ ɮ
зураг	t͡s ʊ r ə k
зурвас	t͡s o̙ r w̜ ɵ̙ s
зуух	t͡s o̙ː χ
зэвсэг	t͡s i f s ɪ k
зэрэг	t͡s i r ɪ k
зээргэнэ	t͡s eː r ɡ ɪ n
зүйр	t͡s u e r
зүйрлэл	t͡s u e r ɮ ɪ ɮ
зүйрлэх	t͡s u e r ɮ ɪ x
зүү	t͡s uː
зүүд	t͡s uː t
зүүдлэх	t͡s uː t ɮ ɪ ç
идэх	i t ɪ ç
имрэх	i m r ɪ ç
ирвэс	i r w̜ ɪ s
ирц	i r̥ t͡s
ирэх	i r ɪ ç
ихэр	i ç ɪ r
лхагва	ɬ a w̜ ɐ k
мал	m a ɮ
малгай	m a ɮ ʁ æ e
маллах	m a ɮ ɮ ɐ χ
малчин	m a ɬ t͡ɕ ɐ ɴ
манж	m a ɲ t͡ɕ
мах	m a χ
махийх	m æ ç i χ
махчин	m a χ t͡ɕ ɪ ɴ
маш	m a ʃ
могой	m ɔ̙ ʁ ɞ e
модоч	m ɔ̙ t ɞ̙ʰ t͡ɕ
молтогчин	m ɔ̙ ɮ tʰ ɞ̙ ɣ t͡ɕ ɪ n
монгол	m ɔ̙ ɴ ɢ ɞ̙ ɮ
морилох	m ɞ rʲ ɮ ɞ̙ χ
муж	m o̙ t͡ɕ
мэдэрхэх	m i t ɪ r ç ɪ ç
мэдэх	m i t ɪ ç
мэдээлэл	m i t e ɮ ɪ ɮ
мэлхий	m i ɬ ç i
мэргэжил	m i r ɪ ɡ t͡ɕ ɪ ɮ
мэргэжилтэн	m i r ɪ ɡ t͡ɕ ɪ ɬ t ɪ ŋ
мэс	m i s
мэт	m iʰ t
мэхээр	m i x e r
мөн	m ʊ ŋ
мөнгө	m ʊ ŋ k
мөнх	m ʊ ŋ x
мөр	m ʊ r
мөрөөдөл	m ʊ ɾ ʊ t ʊ̈ ɮ
надад	n a t ɐ t
найз	n æ e t͡s
найтаах	n æ eʰ t a χ
нам	n a m
нарийн	n æ rʲ i ɴ
нийтгэх	n iːʰ t k ɪ ç
нил	n i ɮ
ном	n ɔ̙ m
нохой	n ɔ̙ χ ɞ e
ноён	n ɔ̙ i ɴ
нэг	n i k
нэхмэл	n i ç m ɪ ɮ
нялх	nʲ a ɬ χ
нөлөө	n ʊ ɮ ʊ
овьёос	ɔ̙ w̜ ɪ j ɔ̙ s
огих	ɞ ɟ ɪ x
огурцы	ʊ ɡ ʊ̈ r̥ t͡s i
одоо	ɔ̙ t ɔ̙
ойлгох	ɞ e ɮ ʁ ɞ̙ χ
оймс	ɞ e m s
ойрад	œː r̥ tʰ
олон	ɔ̙ ɮ ɞ̙ ɴ
омог	ɔ̙ m ɞ̙ k
онгоц	ɔ̙ ɴ ɢ ɞ̙ʰ t͡s
онигоо	ɞ nʲ ʁ ɔ̙
оноо	ɔ̙ n ɔ̙
онь	ɞ̙ nʲ
оньс	ɞ nʲ s
ор	ɔ̙ r
орой	ɔ̙ ɾ ɞ e
оройвч	ɔ̙ ɾ ɞ e f t͡ɕ
ором	ɔ̙ ɾ ɞ̙ m
орон	ɔ̙ ɾ ɞ̙ ɴ
орох	ɔ̙ ɾ ɞ̙ χ
очих	ɔ̙ʰ t͡ɕ ɞ̙ χ
оюутан	ɔ̙ j o̙ʰ t ɐ ɴ
оёдол	ɔ̙ i t ɞ̙ ɮ
пигүүж	pʰ i ɡ u t͡ɕ
пийшин	pʰ iː ʃ ɪ ŋ
порнографи	p ə r n ɐ ɡ r a fʲ ɪ
савар	s a w̜ ɐ r
салах	s a ɮ ɐ χ
салхи	s æ ɮʲ ç
самбар	s a m p ɐ r
санах	s a n ɐ χ
сансар	s a n s ɐ r
сар	s a r
сармис	s æ rʲ mʲ ɪ s
сойз	s ɞ e t͡s
солих	s ɞ ɮʲ ɪ x
солонго	s ɔ̙ ɮ ɞ̙ ɴ q
сонгууль	s ɔ̙ ɴ ɢ ɵ ɮʲ
сорих	s ɞ ɾʲ ɪ χ
соёл	s ɔ̙ i ɮ
сум	s o̙ m
сурвалж	s o̙ r w̜ ɵ̙ ɮ t͡ɕ
сэтгэл	s iʰ t ɡ ɪ ɮ
сүрэг	s u ɾ ɪ k
сүү	s uː
сүүдэр	s uː t ɪ r
тавих	tʰ æ w̜ʲ ɪ χ
тамах	tʰ a m ɐ χ
танц	tʰ a n̥ t͡s
тарвага	tʰ a r w̜ ɐ q
тархи	tʰ æ rʲ ç
татах	t ḁ t ɐ χ
таяг	tʰ a i k
тогтоол	tʰ ɔ̙ x t ɔ̙ ɮ
тогтоомж	tʰ ɔ̙ x t ɔ̙ m t͡ɕ
тогтоох	tʰ ɔ̙ x t ɔ̙ χ
тойруу	tʰ ɞ e ɾ o̙
толь	tʰ œ ɬ
том	tʰ ɔ̙ m
томох	tʰ ɔ̙ m ɞ̙ χ
томсох	tʰ ɔ̙ m s ɞ̙ χ
тоормос	tʰ ɔ̙ː r m ɞ̙ s
торго	tʰ ɔ̙ ɾ ɞ̙ q
тулуй	tʰ o̙ ɮ ɵ e
тусламж	t o̙ s ɮ ɵ̙ m t͡ɕ
туулай	tʰ o̙ː ɮ æ e
тухай	tʰ o̙ χ æ e
тухайд	tʰ o̙ χ æ e t
тухайн	tʰ o̙ χ æ e ɴ
тэвнэ	tʰ i w̜ ɪ n
тэвэр	tʰ i w̜ ɪ r
тэг	tʰ i k
тэмээ	tʰ i m e
тэнгис	tʰ i ŋ ɡ ɪ s
тэрс	tʰ i r s
тэрэг	tʰ i r ɪ k
тэс	tʰ i s
түймэр	tʰ u e m ɪ r
төстэй	tʰ ʊ s t e
уг	o̙ k
удган	̙ o̙ t ʁ ɵ̙ ɴ
улаанцав	o̙ ɮ a n̥ t͡s ɐ w̜
уламжлалт	o̙ ɮ ɵ̙ m t͡ɕ ɮ ɵ̙ ɬ t
улиас	ɵ̙ ɮʲ a s
ус	o̙ s
утас	o̙ʰ t ɵ̙ s
утга	o̙ʰ t ɵ̙ q
уул	o̙ː ɮ
хаалга	χ aː ɮ ɐ q
хавч	χ a f t͡ɕʰ
хавчих	χ a f t͡ɕ ɐ χ
хаг	χ a k
хага	χ a q
хад	χ a t
хазах	χ a t͡s ɐ χ
хайлмаг	χ æ e ɮ m ɐ k
хайнаг	χ æ e n ɐ k
халаад	x a ɮ a t
хар	χ a r̊
харваа	χ a r w̜ a
харваач	χ a r w̜ aʰ t͡ɕ
харгана	χ a r ʁ ɐ n
харин	χ æ ɾʲ ɪ ɴ
хатмал	χ aʰ t m ɐ ɮ
хаялах	χ a i ɮ ɐ χ
хижээл	ç i t͡ɕ e ɮ
хиймэл	ç iː m ɪ ɮ
хийх	ç iː ç
хил	ç i ɮ
хонь	χ ɞ ɲ
хоол	χ ɔ̙ː ɮ
хорвоо	χ ɔ̙ r w̜ ɔ̙
хордох	χ ɔ̙ r t ɞ̙ χ
хотын	χ ɔ̙ʰ t i ŋ
хоёр	χ ɔ̙ i r
хувь	χ ɵ w̜ʲ
худал	χ o̙ t ɵ̙ ɮ
худалч	χ o̙ t ɵ̙ ɬ t͡ɕ
хударга	χ o̙ t r ɵ̙ q
хулгана	χ o̙ ɮ ʁ ɵ̙ n
хулхи	x ɵ ɬʲ ç
хумс	χ o̙ m s
хурга	χ o̙ ɾ ɵ̙ q
хурим	χ ɵ ɾʲ ɪ m
хуруу	χ o̙ ɾ o̙
хуруувч	χ o̙ ɾ o̙ f t͡ɕ
хусах	χ o̙ s ɵ̙ χ
хутга	χ o̙ʰ t ɵ̙ q
хууль	χ ɵː ɮʲ
хуурах	χ o̙ː ɾ ɵ̙ χ
хуурга	χ o̙ː ɾ ɵ̙ q
хуушуур	x o̙ː ʃ o̙ r
хэдэрлэх	ç i t ɪ r ɮ ɪ ç
хэлэх	ç i ɮ ɪ ç
хэмжээ	ç i m t͡ɕ e
хэрэг	ç i ɾ ɪ k
хэрэг	kʰ e r e ɡ
хэрэглэгдэх	ç i ɾ ɪ ɡ ɮ ɪ ɡ t ɪ ç
хэрэглэл	ç i ɾ ɪ ɡ ɮ ɪ ɮ
хэрэглэх	ç i ɾ ɪ ɡ ɮ ɪ ç
хэрэглэх	kʰ e r e ɡ l eʰ k͡x ʉ
хэрэглээ	ç i ɾ ɪ ɡ ɮ e
хэрэглүүр	ç i ɾ ɪ ɡ ɮ u r
хэрэгтэй	ç i ɾ ɪ x t e
хэрүүл	ç i ɾ u ɮ
хялгас	ç a ɮ ʁ a s
хүзүү	x u t͡s u
хүрэл	x u̘ r ɵ̘ ɬ
хүрэлзгэнэ	x u r ɪ ɮ t͡s ɡ ɪ n
хүрэх	x u ɾ ɪ x
хүч	x uʰ t͡ɕ
хүүхэд	x uː ç ɪ t
хөдлөх	x ʊ t ɮ ʊ̈ x
хөмрүүлэх	x ʊ m r u ɮ ɪ ç
хөмрөх	x ʊ m r ʊ̈ x
хөмүүн	x ʊ m u ŋ
хөрс	x ʊ r s
хөрөө	x ʊ ɾ ʊ
хөхүүр	x ʊ x u r
хөөмий	x uː m iː
хөөрөг	x oː ɾ ʊ k
цаасан	t͡sʰ aː s ɐ ɴ
цадиг	t͡sʰ æ tʲ ɪ k
цайр	t͡sʰ æ e r
цангах	t͡sʰ a ɴ ɢ ɐ χ
цогц	t͡sʰ ɔ̙ x t͡s
цогцос	t͡sʰ ɔ̙ x t͡s ɞ̙ s
цуйван	t͡sʰ ɵ e w̜ ɵ̙ ɴ
цус	t͡sʰ ʊ̙ s
цүүц	t͡sʰ uːʰ t͡s
цөл	t͡sʰ ʊ ɮ
цөцгий	t͡s ʊ̥ t͡s ɡ i
чагнаал	t͡ɕʰ a ɡ n a ɮ
чингис	t͡ɕʰ i ŋ ɡ ɪ s
чухаг	t͡ɕʰ o̙ χ ɵ̙ k
чухал	t͡ɕʰ o̙ χ ɵ̙ ɮ
шаазгай	ʃ aː t͡s ʁ æ e
шаардах	ʃ aː r t ɐ χ
шаардлага	ʃ aː r t ɮ ɐ q
шалгах	ʃ a ɮ ʁ ɐ χ
шалгуур	ʃ a ɮ ʁ o̙ r
шанаа	ʃ a n a
шанд	ʃ a n t
шанз	ʃ a n t͡s
шар	ʃ a r
шатар	ʃ aʰ t ɐ r
шахах	ʃ a χ ɐ χ
шийдвэр	ʃ iː t w̜ ɪ r
шингэн	ʃ i ŋ ɡ ɪ ŋ
шинэлэг	ʃ i n ɮ ɪ k
ширээ	ʃ i ɾ e
шодой	ʃ ɔ̙ t ɞ e
шонхор	ʃ ɔ̙ ɴ χ ɞ̙ r
шорлог	ʃ ɔ̙ r ɮ ɞ̙ k
шувуу	ʃ o̙ w̜ o̙
шулуун	ʃ o̙ ɮ o̙ ɴ
шүд	ʃ u d
шүүдэр	ʃ uː t ɪ r
шүүс	ʃ uː s
шүүслэг	ʃ uː s ɮ ɪ k
шүүслэх	ʃ uː s ɮ ɪ ç
эв	i w̜
эзэн	i t͡s ɪ ŋ
элэг	i ɮ ɪ k
эмнэлэг	i m n ɪ ɮ ɪ k
эмээл	i m e ɮ
эр	i r
эрх	i r x
эрхийвч	i r ç i f t͡ɕ
эрхүү	i r x uː
эрч	i r̥ t͡ɕ
эх	i x
эхлэх	i ç ɬ ɪ ç
явдал	j a w̜ t ɐ ɮ
явц	j a f t͡s
явцуу	j a f t͡s o̙
ямаа	j a m a
ямар	j a m ɐ r
янжуур	j æ ɲ t͡ɕ o̙ r
ярих	j a rʲ ə x
ятга	j aʰ t ɐ q
үг	u k
үзэх	u t͡s ɪ ç
үзүүр	u t͡s u r
үйл	u e ɮ
үйлдвэр	u e ɮ t w̜ ɪ r
үйлдвэржих	u e ɮ t w̜ ɪ r t͡ɕ ɪ ç
үйлдвэрлэл	u e ɮ t w̜ ɪ r ɮ ɪ ɮ
үйлдвэрлэх	u e ɮ t w̜ ɪ r ɮ ɪ x
үйлдвэрчин	u e ɮ t w̜ ɪ r̥ t͡ɕ ɪ ŋ
үйлдэл	u e ɮ t ɪ ɮ
үйлдэх	u e ɮ t ɪ ç
үйлчлэх	u e ɬ t͡ɕ ɮ ɪ ç
үлээх	u ɮ e x
үнэ	u n
үнээ	u n e
үхэр	u ç ɪ r
өвдөг	ʊ w̜ t ʊ̈ k
өвөөлж	o w oː l d͡ʒ ĭ
өгөх	ʊ ɡ ʊ̈ x
өлсгөлөн	ʊ ɮ s ɣ ʊ̈ ɮ ʊ̈ ŋ
өмсөх	ʊ m s ʊ̈ x
өнчин	ʊ n̥ t͡ɕ ʊ̈ ŋ
өрөм	ʊ ɾ ʊ̈ m
өтгөн	ʊʰ t ɡ ʊ̈ ŋ
өчүүхэн	ʊʰ t͡ɕ u x ɪ ŋ
өөр	oː r
өөрчлөлт	oː r̥ t͡ɕ ɮ ʊ̈ ɬ t
өөрчлөх	oː r̥ t͡ɕ ɮ ʊ̈ x
өөх	oː x
өөхлөг	oː x ɮ ʊ̈ k
ᠤᠰᠤ	o̙ s
ᠪᠤᠤᠽ	b o̙ː t͡s
