ਬ	b ə
ਦ	d̪ ə
ਜ	d͡ʒ ə
ਏ	e
ੇ	e
ਈ	iː
ੀ	iː
ਯ	j ə
ਕ	k ə
ਘ	k ə̀
ਖ	kʰ ə
ਲ	l ə
ਮ	m ə
ਨ	n ə
ਓ	o
ੋ	o
ਪ	p ə
ਭ	p ə̀
ਫ	pʰ ə
ص	s ə
ਸ	s ə
ت	t
ت	t a
ਤ	t̪ ə
ਧ	t̪ ə̀
ਚ	t͡ʃ ə
ਥ	t̪ʰ ə
ਝ	t͡ʃ ə̀
ਛ	t͡ʃʰ ə
ਊ	uː
ੂ	uː
ਆ	äː
ਾ	äː
ٹ	ʈ
ਅ	ə
ਇ	ɪ
ਉ	ʊ
ਐ	ɛ
ਔ	ɔ
ਿ	ɪ
ੁ	ʊ
ੈ	ɛ
ੌ	ɔ
ٹ	ʈ a
ਗ	ɡ ə
ਙ	ŋ ə
ਞ	ɲ ə
ਟ	ʈ ə
ਡ	ɖ ə
ਣ	ɳ ə
ਰ	ɾ ə
ਵ	ʋ ə
ਹ	ɦ ə
ੜ	ɽ ə
ਢ	ʈ ə̀
ਠ	ʈʰ ə
ਫ਼	f ə
ਘਰ	k ə ɾ ˩ ˨
پر	p ə r
ਪਰ	p ə r
ਕ਼	q
رب	r ə b b
ور	v a r
ਖ਼	x ə
ਅੈ	ɛ
ਗ਼	ɣ ə
ਲ਼	ɭ ə
ਸ਼	ʃ ə
ਬਾਘ	b ɑ́ː ɡ
ਦਿਲ	d̪ ɪ l
دند	d̪ ə n d̪
ਦੰਦ	d̪ ə n d̪
ਕੰਨ	k ə nː
ਪੈਰ	p ɛː ɾ
ਭਾਈ	p ɑː ˩ ˨ iː
ਰੱਬ	r ə b b
ਤਾਂ	t̪ ɑ̃ː
ਅੱਜ	ə d͡ʒː
ਅੱਖ	ə kːʰ
ਵਾਲ	ʋ ɑː l
ਵਸਤੂ	b ə s t̪
ਬਾਂਹ	b ɑ́ː
ਜਵਾਬ	d ʒ ə ʋ aː b
ਦੋਸਤ	d̪ oː s t̪
ਦੋਸਤ	d̪ oː s ə t̪
ਇਹਦਾ	eː ˦ d̪ ɑː
ਘੋੜਾ	k oː ˨ ɽ ɑː ˨
لینا	l ɛː ɳ ɑː
ਲੈਣਾ	l ɛː ɳ ɑː
ਮੱਛੀ	m ə t t͡ʃʰ iː
ਮਾਸੀ	m ɑː s s iː
نہیں	n ə iː ˦
ਨਹੀਂ	n ə iː ˦
نہیں	n ə ˦ ɦ iː
ਨਹੀਂ	n ə ˦ ɦ iː
ਨਵਾਂ	n ə ʋ ɑ̃ː
پینا	p iː ɳ ɑː
ਪੀਣਾ	p iː ɳ ɑː
ਭਾਰਤ	p àː r ə t̪
ਪਤਲਾ	p ə t̪ l ɑː
ਪਿੱਠ	p ɪ ʈʰ
ਪਾਣੀ	p ɑː ɳ iː
ਭਾਰਾ	p ɑː ˩ ˨ ɾ ɑː
ਸਰੀਰ	s ə ɾ iː ɾ
صاحب	s ɑː ˥ b
ਸਾਰਾ	s ɑː ɾ ɑː
ਧੋਬੀ	t̪ oː ˨ b iː
ਜ਼‌‍	z ə
ਹੜ੍ਹ	ɦ a ɽ ʱ
ਘੋੜੀ	ɡ òː ɽ i
ਗਾਜਰ	ɡ ɑː d͡ʒ ə ɾ
ਬਿੰਦੀ	b ɪ n d̪ iː
ਲੂੰਬੜ	l uː m b ə ɽ
ਭਰੋਸਾ	p ə ˨ ɾ oː ˨ s ɑː
ਭਿੰਡੀ	p ɪ ɳ ˩ ˨ ɖ iː
پربھو	p ɾ ə́ b uː
ਪ੍ਰਭੂ	p ɾ ə́ b uː
بھائی	p ɑː ˩ ˨ iː
ਸੋਹਣਾ	s óː ɳ ɑː
ਸਾਹਿਬ	s ɑː ˦ ɦ ə b
ਸ਼ਲਗਮ	ʃ ə l ɡ ə m
وہوٹی	ʋ ɔ ʈ iː
ਵਹੁਟੀ	ʋ ɔ ʈ iː
ਜਗ੍ਹਾ	ɟ ə́ ɡ aː
ਲੂੰਬੜੀ	l uː m b ə ɽ i
ਲੂੰਬੜੀ	l uː m ɽ i
ਨਮਸਕਾਰ	n ə m ə s k ɑː ɾ
ਤੁਹਾਡਾ	t̪ ʊ ɦ ɑː ˨ ɖ ɑː
ਧੰਨਵਾਦ	t̪ ə̀ n̪ː ʋ ɑː d̪
واہگرو	ʋ ɑː ǽ ɡ ʊ r uː
ਦੁਬਿੰਦੀ	d̪ ʊ b ɪ n d̪ iː
ਵਾਹਿਗੁਰੂ	ʋ ɑː ǽ ɡ ʊ r uː
