مي	m e
نو	n ɑ wː
تل	t a lː
طب	tˤ a bː
زب	z ə bː
زك	zˤ u kː
آكو	aː k o
بنة	b a nː a
بزع	b zˤ ɑ ʕ
بزع	b ɑ zˤː ɑ ʕ
دوب	d uː b
دوى	d w e
فطز	f a tˤː ə zˤ
فقس	f a ɡː ə sˤ
فقس	f ɡ u sˤ
فقس	f ɡ ɑ sˤ
كيب	k iː b
كوش	k w ə ʃ
مزط	m a zˤː ə tˤ
مرش	m u r ə ʃ
سبس	s a bː ə s
صيد	sˤ eː d
صخف	sˤ ɑ χː ə f
طيز	tˤ iː zˤ
زوز	z oː z
زوز	zˤ oː zˤ
زيط	zˤ ɑ jː ə tˤ
عفج	ʕ a fː ə j
شبح	ʃ b a ħ
حیط	ħ eː tˤ
خطم	χ tˤ ɑ m
حكة	ħ u kː ɑ
حوت	ħ uː t
خوى	χ w e
خطم	χ ɑ tˤː ə m
قزة	ɡ ɑ zˤː ɑ
حار	ħ ɑː rː
شبو	ʃ əː u
بزول	b a zː uː l
بنين	b n iː n
بخشة	b o χ ʃ a
بوخة	b oː χ ɑ
بتات	b t aː t
بزار	b zˤ ɑː r
دلزة	d ə l z a
فركس	f a r k ə s
فترش	f a t r ə ʃ
فيسع	f iː s ɑ ʕ
فيسع	f iː sː ɑ ʕ
فرعة	f ɑ r ʕ ɑ
فقاع	f ə ɡː ɑː ʕ
هلبا	h a l b a
كوشة	k uː ʃ a
كلوط	k ɑ lˤː uː tˤ
كاغط	k ɑː ɣ ə tˤ
مداس	m d aː s
مغرف	m o ɣ r ə f
نغنغ	n a ɣ n a ɣ
نونة	n uː n a
نمنم	n ə m n ə m
روشن	r oː ʃ ə n
رشتة	r ə ʃ t a
راجى	r ɑː ʒ aː
سبسي	s ə b s i
تينة	t iː n a
وصيف	w sˤ iː f
واعر	w ɑː ʕ ə r
زلبح	z a l b a ħ
زامل	z aː m ə l
زبوب	z b uː b
زغرط	zˤ a ɣ rˤ ə tˤ
زبرة	zˤ u b r a
زازة	zˤ ɑː zˤ ɑ
شرين	ʃ a r j ə n
شرتع	ʃ a r t a ʕ
قعمز	ɡ a ʕ m ə z
شاهي	ʃ aː h i
شيشة	ʃ iː ʃ a
حكاك	ħ k aː k
شكون	ʃ k uː n
شلال	ʃ l aː l
قنين	ɡ n a jː ə n
غثيث	ɣ t iː t
قرقب	ɡ u r ɡ u bː
الزب	ə zˤː ɑ b
قطوس	ɡ ɑ tˤː uː s
غثيث	ɣ ə θ iː θ
خانب	χ ɑː n ə b
بلبوش	b a l b uː ʃ
بيباص	b iː b ɑː sˤ
دبدحة	d a b ə d ħ a
دلاعة	d ə lː aː ʕ a
دمالة	d ə mː aː l a
كرهبة	k a r a h b a
كاشيك	k aː ʃ iː k
كراهب	k r aː h ə b
كواغط	k w ɑː ɣ ə tˤ
لاقبي	l aː ɡ b i
مالقي	m aː l ɡ i
ميبون	m iː b uː n
مغارف	m ɣ aː r ə f
مندار	m ə n d ɑː r
رواشن	r w aː ʃ ə n
رشادة	r ʃ aː d a
سباسي	s b aː s i
صنورة	sˤ ɑ nː uː r a
تعفلق	t ʕ a f l ə ɡ
تزدان	t ə z d aː n
زمالة	z m aː l a
زقرلو	z ə ɡ r ə lː u
زربوط	zˤ ɑ r b uː tˤ
جبوجي	ʒ a bː uː ʒ i
شرشور	ʃ a r ʃ uː r
شوشاو	ʃ a w ʃ aː w
شيشمة	ʃ iː ʃ m a
خنانة	χ n aː n a
قصيبة	ɡ sˤ eː b a
جبارة	ʒ u bː aː r a
عوينة	ʕ w eː n a
قلفاط	ɡ ʊ l f ɑː tˤ
قنقيط	ɡ ə n ɡ iː tˤ
خرارة	χ ə rː ɑ r ɑ
قصيبة	ɡ ə sˤ sˤ eː b a
قطوسة	ɡ ɑ tˤː uː s a
شعبوط	ʃ ɑ ʕ b uː tˤ
شخشير	ʃ ɑ χ ʃ iː r
بلبوشة	b a l b uː ʃ a
فليتشة	f l eː t ʃ a
فكرونة	f ɑ k r uː n a
مربوعة	m ɑ r b uː ʕ a
سفناري	s f ə nː aː r i
زرقينة	zˤ ə r ɡ iː n a
شكشوكة	ʃ a k ʃ uː k a
شليوني	ʃ a l i oː n i
شرمولة	ʃ a r m uː l a
شلافطي	ʃ l ɑː f tˤ i
خنانات	χ n aː n aː t
حرارات	ħ r ɑː r ɑː t
شواشيو	ʃ w aː ʃ iː w
جلجلان	ʒ ə l ʒ l aː n
جلابية	ʒ ə lː aː b i jː a
قلالية	ɡ ə lː aː l i jː a
خربوشة	χ ɑ r b uː ʃ a
قرقابة	ɡ ə r ɡ aː b a
قرقطون	ɡ ɑ r ɡ tˤ uː n
قرجومة	ɡ ɑ r ʒ uː m a
شخاشير	ʃ χ ɑː ʃ iː r
بالعاني	b ə l ʕ aː n i
مالقيات	m aː l ɡ i jː aː t
سفنارية	s f ə nː aː r i j j a
سكنجبير	s k ə n ʒ b iː r
زلمومية	z a l m uː m i jː a
شيبيبوك	ʃ iː b iː b uː k
قلعاوية	ɡ ə l ʕ aː w i jː a
