က	k aˀ
ကရေၚ်	k ə r e a ŋ
က္သေဲ	k ə s e a
က္ၜၚ်	ɓ ɛ ŋ
ကျာ	c a
ကြုတ်	k r ɔ t
ကြုတ်	k r ɔ t
ကြုတ်	k r ɔ t
ကြုတ်	k ə r ɔ t
ကွေန်	k o n
ကွဲာ	k w a i
ကၞုဲ	n ɔ e
ကၟက်	m ɛ k
ကၠန်	k l ɔ n
ကၠိက်	k l o i k
ကၠီု	k l ɒ m
ကၠဵု	k l ɜ
ချေံ	cʰ e h
ဂအုဲ	h ə ʔ u i
ဂြိုပ်	k r ɜ̀ p
ဂြိုဟ်	k r ɜ̀ h
ဂၠုၚ်	k l ɜ̀ ŋ
ဂၠေံ	k l èˀ
စာၚ်	c a i ŋ
ဆီ	cʰ i m
ဆု	cʰ uˀ
ဇြုံ	s ù m
ဍာ်	ɗ a i k
ဍိုၚ်	ɗ a ŋ
တဆိပ်	k ə c h i p
တိရစ္ဆာန်	t ɔ eˀ r ò t cʰ a n
တ္ၚဲ	ŋ o a
တှ်	t ɔ h
တၞး	k ə n a h
တၟိ	k ə m ɔ eˀ
ထဝ်	tʰ ɔ
ထၟ	k ə m aˀ
ဒကာ	h ə k a
ဒမှော်	h ə m o k
ဒအာပ်	h ə ʔ a p
ဒအိုအ်	h ə ʔ ɒˀ
ဒုၚ်	t ɜ̀ ŋ
ဒၞေၚ်	n e a ŋ
ဒၠဴ	k l ɛ̀ a
ဓဂဵု	h ə k ɜ̀
ပါၚ်	p a i ŋ
ပိ	p ɔ eˀ
ပုၚ်	p ɜ ŋ
ဖရာပ်	h ə r a p
ဖအိုအ်	h ə ʔ ɒˀ
ဖေံ	pʰ eˀ
ဗဂဲ	h ə k ò a
ဗတဲာ	h ə t a i
ဗြဲ	p r ò a
ဗၜေံ	h ə ɓ eˀ
ဗၜဵု	h ə ɓ ɜ
မတ်	m ò t
မန်	m ò n
မိုဟ်	m ù h
မုဲ	m ù i
မြာ်	p ə r à i k
ယဲ	j ò a
ယဳု	j ɜ̀ m
လက်ဖက်	l ə pʰ ɛ k
လောပ်	l ù p
လ္ပံ	k ə p ɔˀ
ဝန်	w ò n
ဝါ	w ɛ̀ a
ဝေန်	w e̤ n
သတ်	s ɔ t
သိုက်	s a k
သုၚ်	s ɜ ŋ
သ္ဗံ	p òˀ
သ္အး	ʔ a h
သ္အး	h ə ʔ a h
သြိုၚ်	s a ŋ
သၚ်ကြာန်	s ɛ ŋ k r a n
သၞေၚ်	h n e a ŋ
သၞံၚ်	h n ɔ ŋ
အဒိုတ်	ʔ ə t ɜ̀ t
အမှဲ	ʔ ə h m o a
အယုက်	ʔ ə j ɜ̀ k
အသုဘ	ʔ ə s a oˀ pʰ ɛ̀ˀ
အဟာန်	ʔ ə h a n
အာကာသ်	ʔ ə k a h
အိက်	ʔ o i k
အုက်	ʔ ɜ k
အဲ	ʔ o a
အၚါ	ʔ ə ŋ ɛ̀ a
ဣန်	ʔ i n
ဥပမာ	ʔ uˀ p ə m a
ၜါ	ɓ a
ၜဴ	ɓ a o
ၝောံ	ɓ ɜ̀ˀ
