石蓴	ʔ aː s a
泡盛	ʔ aː m u i
暁	a k a t͡ɕ i t͡ɕ i
あがっ	ʔ a ɡ aː
暑さかまらさー	ʔ a t͡ɕ i s a k a m a ɾ a s aː
アメリカー	ʔ a m e ɾ i k aː
油	a n̩ d a
手	t iː
魚	ʔ i j u
魚	ʔ i u
戦	ʔ i k u s a
犬	ʔ i ŋ̍
起きみそーちー	ʔ u k i m i s oː t͡ɕ iː
朧月	ʔ u b u r u ʑ i t͡ɕ i
朧月夜	ʔ u b u r u ʑ i t͡ɕ uː
御所	ʔ u n̩ d͡ʑ u
神	k a mʲ i
胡瓜	k iː ʔ u i
警察	k iː s a t͡ɕ i ~ t͡ɕ iː s a t͡ɕ i
声	kʷ iː
蜘蛛	k uː b aː
言葉	k u t u b a
黒砂糖	k u ɾ u d͡ʑ aː t aː
広東瓜	kʷ a n̩ t u ʔ u i
桜	s a k u ɾ a
三線	s ã ɴ ɕ ĩ ɴ
煤	ɕ iː ɕ i
しちゃふぃじ	ɕ i t͡ɕ a ɸ i ʑ i
霜月	ɕ i m u t͡ɕ i t͡ɕ i
醤油	s oː j uː
ちゃんぷるー	t͡ɕ a ɴ p u ɾ uː
一雨	t͡ɕ u ʔ a m i
清らー	t ɕ u ɾ aː
今日拝なびら	t͡ɕ uː ɡ a n a b i ɾ a
露	t͡ɕ i j u
鶴	t͡ɕ i ɾ u
鼠	ʔʷ e n̩ t͡ɕ u
天道	t iː d a
七ち星	n a n a t͡ɕ i b u ɕ i
眠やー	n iː b u j aː
御拝でーびーる	n i ɸ eː d eː b i ɾ u
喉	n uː d iː
命	n u t͡ɕ i
針	h aː i
鍼	h aː i
はいさい	h a i s a i
菩薩	b uː s aː
南	ɸ eː
蝿瘡ー	ɸ eː ɡ a s aː
水	m i d͡ʑ i
大和酒	j a m a t u d͡ʑ a k i
世	j uː
我達	w a t t aː
我達	w a ɕ i t a
悪さいびーん	w a s s a i b iː ŋ̍
女子	w u n a ɡ u
女子	j i n a ɡ u
女子	ʷi n a ɡ u
拝なびら	ʷu ɡ a n a b i ɾ a
光	ɸ i t͡ɕ a i
光	ɸ i k a ɾ i
蛇	ʑ aː
蛇	ɸ iː b u
足甲	ɸ i s a n aː
雨	ʔ a m i
雲	k u m u
