అ	a
ఐ	a i
ై	a j
ఔ	a w
ౌ	a w
ఆ	aː
జ	d͡ʒ a
ె	e
ఏ	eː
ే	eː
ఈ	iː
ీ	iː
య	j a
ౢ	l̥
ౣ	l̥̄
ృ	r u
ౄ	r uː
ౠ	r uː
ఋ	r̥
స	s̪ a
చ	t͡ʃ a
థ	t̪ʰ a
ూ	uː
హ	x a
ళ	ɭ
ఙ	ŋ a
శ	ɕ a
ష	ʂ a
జర	- r a
అల	a l a
అట	a ʈ a
ఆన	aː n̪ a
ఆవ	aː ʋ a
ది	d i
ధీ	d ʱ iː
ఏట	eː ʈ a
ఇల	i l a
ఇట	i ʈ a
ఈక	iː k a
ఈగ	iː ɡ a
కల	k a l a
కో	k oː
కు	k u
లో	l oː
మన	m a n̪ a
మగ	m a ɡ a
మీ	m iː
నళ	n a ɭ a
ని	n i
నీ	n iː
పగ	p a ɡ a
పో	p oː
తల	t a l a
తన	t̪ a n̪ a
చీ	t͡ʃ iː
ఊట	uː ʈ a
టా	ʈ aː
టె	ʈ e
టే	ʈ eː
డి	ɖ i
గీ	ɡ iː
డు	ɖ u
వు	ʋ u
టూ	ʈ uː
ఠా	ʈʰ aː
ఠి	ʈʰ i
ఐదు	a i d̪ u
అతి	a t i -
అగు	a ɡ u
ఆకు	aː k u
ఆలి	aː l̪ i
ఆపద	aː p a d̪ a
ఆరు	aː r̪ u
ఆణి	aː ɳ i
బలి	b a l̪ i
బీర	b iː r̪ a
దుః	d̪ u ʱ
ఏడవ	eː ɖ a ʋ a
ఏడు	eː ɖ u
ఇతి	i t i
ఈదు	iː d̪ u
కలప	k a l̪ a p a
కను	k a n̪ u
కాన	k aː n̪ a
కొన	k o n̪ a
కోక	k oː k a
కోన	k oː n a
కోట	k oː ʈ a
కూన	k uː n̪ a
కూర	k uː r̪ a
లేగ	l̪ eː ɡ a
మది	m a d̪ i
మతి	m a t i
మణి	m a ɳ i
మాట	m aː ʈ a
మేక	m eː k a
నది	n̪ a d̪ i
నూక	n̪ uː k a
పది	p a d̪ i
పని	p a n̪ i
పతి	p a t i
పాప	p aː p a
పాట	p aː ʈ a
పేట	p eː ʈ a
పిన	p i n̪ a
పీట	p iː ʈ a
పుట	p u ʈ a
ఫణి	pʰ a ɳ i
సతి	s a t i
తొన	t̪ o n̪ a
చాప	t͡ʃ aː p a
చేప	t͡ʃ eː p a
ఉలి	u l̪ i
ఊడు	uː ɖ u
గతి	ɡ a t i
వేట	ʋ eː ʈ a
గోల	ɡ oː l a
గంగ	ɡ ã ŋ ɡ a
అబ్బ	a bː a
అక్క	a kː a
అప్ప	a pː a
అత్త	a tː a
అవని	a ʋ a n i
అడ్డ	a ɖː a
