サス	s a s u
あいこくしん	a i k o k ɯ̥ ɕ i ɴ
うち 	ɯ ˩ t ɕ i ˥
うち 	ɯ ˥ t ɕ i ˩
しょや 	ɕ o j a
そや 	s o j a
いちう	i t ɕ i u
ばんりょく	b a n r y o k u
みくだりはん	m i k u d a r i h a n
さんみ	s a m m i
さんみ	s a ɴ i
まるたごや	m a r u t a ɡ o j a
こんにった	k o n n i t t a
はっこう	h a k k oː
はっこう	h a k k oː
しゅつがん	s j u t s u ɡ a ɴ
ぶんこうとくせい	b u ɴ k o o t o k u s e e
ういざん	u i z a n
ういざん	h a t s u z a n
ういざん	ɕ o z a n
おはこ	o h a k o
せんぼん	s e ɴ b o ɴ
こうこう	k oː k oː
こうこう	k oː k uː
こもんじょ	k o m o n d ʑ o
みょうでん	m j oː d e n
さくり	s a k u r i
さくり	ɕ a k u r i
さくり	ɕ a k k u r i
さくる	s a k u r u
さくる	ɕ a k u r u
さえずり	s a e z u r i
さえずり	s a i z u r i
してんのう	ɕ i t e n n oː
かいぶん	k a i b u n
えんちょう	e n t ɕ oː
ほうしょう	h o o s j o o
たいきょく	t a i k j o k u
きけい	k i k e i
すき	s u k i
あたけぶね	a t a k e b u n e
かちょう	k a t͡ɕ o o
やたい	j a t a i
やたいみせ	j a t a i m i s e
とんじき	t o n d ʑ i k i
きか	k i k a
へいおん	h e i o n
へいおん	h eː o n
ゆかしい	j u k a ɕ iː
ひきまゆ	h i k i m a j u
おんたけ	o n t a k e
おんたけ	m i t a k e
ぎょい	ɡ j o̞ i
せいこうい	s e i k oː i
ごにゅう	ɡ o nʲ uː
こうきんせい	k oː k i n s e i
はいずみ	h a i z u m i
ほうにょうはん	h oː n j oː h a n
つむじ	t s u m u d ʑ i
つむじ	t s u m u d ʑ i ɡ e
つむじ	t s u d ʑ i
つむじ	t s u d ʑ i ɡ e
つむじ	s e m m oː
ぞくちょう	z o k u t͡ɕ o o
かきかえ	k a k i k a e
あずまじ	a z u m a d ʑ i
かくとう	k a k u t oː
たくあん	t a k u a n
たくあん	t a k u w a n
こんこう	k o n k oː
こんにゅう	k o ɴ n j uː
したたる	ɕ i t a t a ɽ u͍
まんだん	m a n d a n
げきこう	ɡ e k i k oː
げきおん	ɡ e k i o n
こみず	k o m i z u
のうおん	n oː o n
はんちょう	h a n t ɕ oː
さんご	s a ɴ ɡ o
しっそう	s i s s o o
ますら	m a s u r a
こうこうがい	k oː k oː ɡ a i
くみあい	k u m i a i
しめきり	ɕ i m e k i r i
そうし	s oː ɕ i
けつろ	k e t s ɯ r o
ちゅうもん	t ɕ uː m o n
こうわ	k oː w a
ちょうえつ	t y o o e t͡s u
ためらい	t a m e ɽ a i
なんこうがい	n a ɴ k oː ɡ a i
つうやく	t͡s u u j a k u
かてい	k a t eː
いぶん	i b u n
いせき	i s e k i
さといも	s a t o i m o
さとおや	s a t o o j a
へいそくおん	h e i s o k u o n
へいそくおん	h eː s o k u o n
へいさおん	h e i s a o n
へいさおん	h eː s a o n
そし	s o s i
おたけび	o t a k e b i
おたけび	o s a k e b i
がみ	ɡ a m i
やしない	j a ɕ i n a i
ぎょるいがくしゃ	ɡ j o ɽ u i ɡ a k u s j a
すしづめ	s u ɕ i z u m e
