ଙ	- ŋ
ଞ	- ɲ
ଆ	a
ବ	b ɔ
ଭ	b ʱ ɔ
ଦ	d ɔ
ଧ	d ʱ ɔ
ଜ	d͡ʒ ɔ
ଯ	d͡ʒ ɔ
ଝ	d͡ʒ ʱ ɔ
ଏ	e
ଃ	h
ହ	h ɔ
ଇ	i
ଈ	i
ୟ	j ɔ
କ	k ɔ
ଖ	kʰ ɔ
ଌ	l u
ଲ	l ɔ
ମ	m ɔ
ନ	n ɔ
ଓ	o
ପ	p ɔ
ଫ	pʰ ɔ
ଶ	s ɔ
ଷ	s ɔ
ସ	s ɔ
ତ	t ɔ
ଥ	tʰ ɔ
ଚ	t͡ʃ ɔ
ଛ	t͡ʃʰ ɔ
ଉ	u
ଊ	u
ୱ	w ɔ
ଅ	ɔ
ଐ	ɔ i̯
ଋ	ɾ u
ଔ	ɔ u̯
ଗ	ɡ ɔ
ଟ	ʈ ɔ
ଡ	ɖ ɔ
ଣ	ɳ ɔ
ର	ɾ ɔ
ଳ	ɭ ɔ
ଵ	ʋ ɔ
ଘ	ɡ ʱ ɔ
ଢ	ɖ ʱ ɔ
ଆଈ	a i
ଆଥ	a tʰ ɔ
ଆଉ	a u
ଆଠ	a ʈʰ ɔ
ବା	b a
ଦଶ	d ɔ s ɔ
ଜଳ	d͡ʒ ɔ ɭ ɔ
ଏକ	e k ɔ
ଫ଼	f ɔ
ହଁ	h ɔ̃ː
ମା	m a
ନଅ	n ɔ ɔ
ଫଳ	pʰ ɔ ɭ ɔ
କ଼	q ɔ
ଚକ	t͡ʃ ɔ k ɔ
ଛଅ	t͡ʃʰ ɔ ɔ
ଖ଼	x ɔ
ଜ଼	z ɔ
ଗ଼	ɣ ɔ
ଝ଼	ʒ ɔ
ଡ଼	ɽ ɔ
ଷ଼	ɻ ɔ
ଗଛ	ɡ ɔ t͡ʃʰ ɔ
ଢ଼	ɽ ʱ ɔ
ଘର	ɡ ʱ ɔ ɾ ɔ
ଆଖୁ	a kʰ u
ଆଳୁ	a ɭ u
ବାର	b a ɾ ɔ
ବାଘ	b a ɡ ʱ ɔ
ବହି	b ɔ h i
ବରଫ	b ɔ ɾ ɔ pʰ ɔ
ଦେବ	d e b ɔ
ଦୁଇ	d u i
ଜୀବ	d͡ʒ i b ɔ
ହାତ	h a t ɔ
ଇଟା	i ʈ a
କାନ	k a n ɔ
କାଚ	k a t͡ʃ ɔ
ମାଛ	m a t͡ʃʰ ɔ
ମେଘ	m e ɡ ʱ ɔ
ମୁଁ	m ũ
ନଦୀ	n ɔ d i
ନଗଦ	n ɔ ɡ ɔ d ɔ
ସାପ	s a p ɔ
ସାତ	s a t ɔ
ଶିବ	s i b ɔ
ଶୋଳ	s o ɭ ɔ
ସତର	s ɔ t ɔ ɾ ɔ
ତେର	t e ɾ ɔ
ଚୀନ	t͡ʃ i n ɔ
ଚୌଦ	t͡ʃ ɔ u̯ d ɔ
ଗାଈ	ɡ a i
ଅଦା	ɔ d a
ଗୋଆ	ɡ o a
ଔଷଧ	ɔ u̯ s ɔ d ʱ ɔ
ଅଟା	ɔ ʈ a
ଅଠର	ɔ ʈʰ ɔ ɾ ɔ
ଆକାଶ	a k a s ɔ
ଆରବୀ	a ɾ ɔ b i
ଭାଲୁ	b ʱ a l u
