ababa	aβaβa
ababábite	aβaβaβit̪e
ababillarse	aβaβiʎarse
ababillarse	aβaβiʝarse
ababol	aβaβol
abacá	aβaka
abacalera	aβakaleɾa
abacalero	aβakaleɾo
abacería	aβaθeɾia
abacería	aβaseɾia
abacero	aβaθeɾo
abacero	aβaseɾo
abacial	aβaθjal
abacial	aβasjal
ábaco	aβako
abacora	aβakoɾa
abacorada	aβakoɾaða
abacoradas	aβakoɾaðas
abacorado	aβakoɾaðo
abacorados	aβakoɾaðos
abacorar	aβakoɾaɾ
abad	aβað
abadán	aβaðãn
abadejo	aβaðexo
abadengo	aβaðẽŋɡo
abadernada	aβaðernaða
abadernadas	aβaðernaðas
abadernado	aβaðernaðo
abadernados	aβaðernaðos
abadernar	aβaðernaɾ
abadesa	aβaðesa
abadí	aβaði
abadía	aβaðia
abadiano	aβaðjano
abaja	aβaxa
abajada	aβaxaða
abajadas	aβaxaðas
abajadero	aβaxaðeɾo
abajado	aβaxaðo
abajados	aβaxaðos
abajar	aβaxaɾ
abajeña	aβaxeɲa
abajeño	aβaxeɲo
abajera	aβaxeɾa
abajo	aβaxo
abalanzado	aβalãn̟θaðo
abalanzado	aβalãnsaðo
abalanzar	aβalãn̟θaɾ
abalanzar	aβalãnsaɾ
abalconado	aβalkonaðo
abaldonada	aβal̪d̪onaða
abaldonadas	aβal̪d̪onaðas
abaldonado	aβal̪d̪onaðo
abaldonados	aβal̪d̪onaðos
abaleado	aβaleaðo
abalear	aβaleaɾ
abaleo	aβaleo
abalorio	aβaloɾjo
abaluartado	aβalwart̪aðo
abaluartar	aβalwart̪aɾ
abana	aβana
abanada	aβanaða
abañada	aβaɲaða
abanadas	aβanaðas
abañadas	aβaɲaðas
abanado	aβanaðo
abañado	aβaɲaðo
abanados	aβanaðos
abañados	aβaɲaðos
abanamos	aβanamos
abanar	aβanaɾ
abanáramos	aβanaɾamos
abanaríamos	aβanaɾiamos
abanas	aβanas
abancalada	aβãŋkalaða
abancaladas	aβãŋkalaðas
abancalado	aβãŋkalaðo
abancalados	aβãŋkalaðos
abancalar	aβãŋkalaɾ
abanderada	aβãn̪d̪eɾaða
abanderadas	aβãn̪d̪eɾaðas
abanderado	aβãn̪d̪eɾaðo
abanderados	aβãn̪d̪eɾaðos
abanderamiento	aβãn̪d̪eɾamjẽn̪t̪o
abanderar	aβãn̪d̪eɾaɾ
abanderés	aβãn̪d̪eɾes
abanderizada	aβãn̪d̪eɾiθaða
abanderizada	aβãn̪d̪eɾisaða
abanderizadas	aβãn̪d̪eɾiθaðas
abanderizadas	aβãn̪d̪eɾisaðas
abanderizado	aβãn̪d̪eɾiθaðo
abanderizado	aβãn̪d̪eɾisaðo
abanderizados	aβãn̪d̪eɾiθaðos
abanderizados	aβãn̪d̪eɾisaðos
abanderizar	aβãn̪d̪eɾiθaɾ
abanderizar	aβãn̪d̪eɾisaɾ
abandona	aβãn̪d̪ona
abandonada	aβãn̪d̪onaða
abandonadas	aβãn̪d̪onaðas
abandonado	aβãn̪d̪onaðo
abandonados	aβãn̪d̪onaðos
abandonamiento	aβãn̪d̪onamjẽn̪t̪o
abandonamos	aβãn̪d̪onamos
abandonando	aβãn̪d̪onãn̪d̪o
abandonar	aβãn̪d̪onaɾ
abandonáramos	aβãn̪d̪onaɾamos
abandonares	aβãn̪d̪onaɾes
abandonaríamos	aβãn̪d̪onaɾiamos
abandonas	aβãn̪d̪onas
abandonismo	aβãn̪d̪onizmo
abandonista	aβãn̪d̪onist̪a
abandono	aβãn̪d̪ono
abandonos	aβãn̪d̪onos
abanicada	aβanikaða
abanicadas	aβanikaðas
abanicado	aβanikaðo
abanicados	aβanikaðos
abanicar	aβanikaɾ
abanicazo	aβanikaθo
abanicazo	aβanikaso
abanico	aβaniko
abanillo	aβaniʎo
abanillo	aβaniʝo
abano	aβano
abanos	aβanos
abanto	aβãn̪t̪o
abaratada	aβaɾat̪aða
abaratadas	aβaɾat̪aðas
abaratado	aβaɾat̪aðo
abaratados	aβaɾat̪aðos
abaratamiento	aβaɾat̪amjẽn̪t̪o
abaratar	aβaɾat̪aɾ
abarbetada	aβarβet̪aða
abarbetadas	aβarβet̪aðas
abarbetado	aβarβet̪aðo
abarbetados	aβarβet̪aðos
abarbetar	aβarβet̪aɾ
abarca	aβarka
abarcada	aβarkaða
abarcadas	aβarkaðas
abarcado	aβarkaðo
abarcador	aβarkaðoɾ
abarcados	aβarkaðos
abarcamos	aβarkamos
abarcando	aβarkãn̪d̪o
abarcar	aβarkaɾ
abarcáramos	aβarkaɾamos
abarcaríamos	aβarkaɾiamos
abarloada	aβarloaða
abarloadas	aβarloaðas
abarloado	aβarloaðo
abarloados	aβarloaðos
abarloar	aβarloaɾ
abarquillada	aβarkiʎaða
abarquillada	aβarkiʝaða
