aberystwyth	abɛɹəstʊɨθ
abode	ʔəboʊːd̥̚
about	əbɐʊt
about	əbʌʊt
accend	æksɛnd
accommodate	əkʰɒmədeɪt
accommodate	əkʰɑmədeɪt
accommodator	əkɑmədeɪtɚ
accommodator	əkɒmədeɪtə
accreditation	əkɹɛdɪteɪʃən
accreditation	əkɹɛdɨteɪʃən
accreditation	əkɹɛdɨɾeɪʃən
acknowledge	əknɑːlədʒ
acknowledge	ɨknɑːlɨdʒ
acknowledge	əɡnɑːlədʒ
acknowledge	ɨɡnɑːlɨdʒ
adam	æɾm̩
adam	æɾəm
adam	æɾm̩
adam	æɾəm
added	æɾəd
added	æɾɪd
added	adəd
added	adɪd
added	æɾəd
added	æɾɪd
added	adəd
added	adɪd
additive	æɾətɪv
additive	æɾəɾɪv
adelaide	ædɜlæɪ̯d
adytum	-ɾəm
aelita	aɪ̯liɾə
aerose	iɹəʊz
agglutinin	əɡluːʔn̩ɪn
aha	ɑhɑ
aha	əhɑ
alacrity	əlækɹɨti
alban	albn̩
albicant	albɪkn̩t
alder	ɔːldə
alder	ɔldɚ
alder.	ɔːldə
alder.	ɔldɚ
alders	ɔːldəz
alders	ɔldɚz
alexander	ælɨɡzeəndɚ
alexander	ælɨɡzeəndə
alexander	ælɨɡzeəndɚ
alexander	ælɨɡzeəndə
alexanders	ælɨɡzeəndɚz
alexanders	ælɨɡzeəndəz
alexanders	ælɨɡzeəndɚz
alexanders	ælɨɡzeəndəz
alienation	eɪliəneɪʃən
alignment	əɫaɪnmənt
all	ɑɫ
allah	ʔalˤlˤɑːh
allah	ʔɑlˤlˤa
allergic	əlɜːdʒɪk
allergic	əlɝdʒɪk
allergic	əlɜːdʒɪk
allergic	əlɝdʒɪk
allergies	ælədʒiz
allergies	ælɚdʒiz
allergies	ælədʒiz
allergies	ælɚdʒiz
allergy	ælədʒi
allergy	ælɚdʒi
allergy	ælədʒi
allergy	ælɚdʒi
alliteration	əlɪɾəɹeɪʃən
almanac	ɔlmənæk
almanac	æl-
almanac	ɑlmənæk
almanac	æl-
almanac	ɔːlmənæk
almanac	ɒl-
alternately	ɔːltɜɹnətlɪ
amazing	əmeɪ̯zɪŋ
ambiverted	-ɾɪd
amity	æmɪɾi
amour	ɑmɔɹ
amphibious	æmfɪbiəs
analects	ænəlɛkts
andrew	eᵊndʒɹʊ̈u
andrew	ændʒɹʊ̈u
anselm	ænsɛlm
answer	eənsɚ
answer	eənsə
answering	eənsəɹɪŋ
answers	eənsɚz
answers	eənsəz
ant	ɛənt
ant	eənt
antarctica	æɾ̃ɑɹɾɪkə
ante	æntʰi
antre	ænɾɚ
aposematism	-ɾɪ-
app	ʔæʔp̚
apple	æpɫ̩
appled	æpɫ̩d
appointment	əpʰɔɪ̯nʔmɪnʔ
appointment	əpʰɔɪ̯̃ʔmɪnʔ
arborvitae	ɑɹbɚvaɪɾi
arborvitae	ɑɹbɚvəɪɾi
arthur	ɑɹθɚ
article	ɑːtʰɪkʰəɫ
article	ɑːɹɾɨkɫ
artifact	-ɾɪ-
artifact	-ɾə-
artina	ɑɹtʰinə
artisanal	äɹtəzænəl
asked	æsk̚t
asked	æst
assertion	əsɝʃᵊn
atom	æɾəm
attar	ætə
attar	æt̬əɹ
attar	æt̬ɑːɹ
attend	ətʰɛnd
attitude	æɾɪtud
attraction	ətɹækʃɪ̈n
attraction	ət͡ʃɹækʃɪ̈n
attributive	ətʃɹɪbjuɾɪv
attrition	ətɹɪʃən
augustan	ɔːɡʌstn̩
aula	ɔːla
authenticity	ɑθɛntɪsɪɾi
authenticity	ɑθəntɪsɪɾi
auto	ɔɾoʊ
auto	ɑɾoʊ
auto	ɑɾoʊ
automate	ɒɾoʊmeɪt
automatic	ɔɾəmæɾɪk
autumn	ɔɾɪ̈m
autumn	ɔɾm̩
avocado	ɑvəkɑɾoʊ
avocado	ævəkɑɾoʊ
ayuh	ˀeɪʌˀ
baa	bɑː
baa	bæ
baa	bɑ
baa	bæ̰ː
baa	bæ̰ˀæ̰ˀæ̰ˀæ̰ˀ
babbler	bæbələɹ
back	bæk
back	bak
back	-k̚
back	-ˀk
back	bax
bacterial	bæktɪəɹɪəɫ
badder	bæɾɚ
baedeker	beɪdɪkə
baedeker	beɪdəkəɹ
bagel	be̞ɪ̯ɡɫ̩
bagful	bæɡfʊɫ
baikal	baɪkɑːɫ
bail	beɪ̯əɫ
bail	beə̯ɫ
balancelle	bælənseɫ
bald	bɔːɫd
baldric	bɔːɫdɹɪk
bale	beɪ̯əɫ
bale	beə̯ɫ
