жил	ʒ i l
таш	t ɑ ʃ
әпсус	æ p s u s
әрмәнстан	ɛ r m ɛ n s t a n
ئا	a
ئات	ɑ t
ئاتمىش	ɑ t m i ʃ
ئادەم	ɑ d æ m
ئاسمان	ɑ s m ɑ n
ئاق	ɑ q
ئالتىنچى	ɑ l t i n t ʃ i
ئالتە	ɑ l t ɛ
ئالما	ɑ l m ɑ
ئانا	ɑ n ɑ
ئو	o
ئوتتۇز	o t t u z
ئوغۇل	o ʁ u l
ئون	o n
ئونىنچى	o n i n t ʃ i
ئى	i
ئىت	i t
ئىش	i ʃ
ئىشچى	i ʃ t ʃ i
ئىككى	i kː i
ئىككىنچى	i kː i n t͡ʃ i
ئىنجىل	i n d͡ʒ i l
ئىنەك	i n æ k
ئۆ	ø
ئۆي	ø j
ئۆيلەر	ø j l æ r
ئۆيلەر	ø j l æː
ئۇ	u
ئۇرۇش	u r u ʃ
ئۇلار	u l ɑ r
ئۇنى	u n i
ئۇنىڭغا	u n i ŋ ʁ ɑ
ئۈ	y
ئۈزۈم	y z y m
ئۈچ	y t͡ʃ
ئۈچىنچى	y t ʃ i n t ʃ i
ئې	e
ئېيىق	e j i q
ئە	ɛ
ئەل	æ l
ئەللىك	ɛ l l i k
ئەپسۇس	æ p s u s
ب	b
ب	b e
بازار	b ɑ z ɑː
بالا	b ɑ l ɑ
بور	b o r
بىر	b i r
بىرىنچى	b i r i n t͡ʃ i
بۇ	b u
بۇقا	b u q ɑ
بەش	b ɛ ʃ
بەشىنچى	b ɛ ʃ i n t ʃ i
ت	t
ت	t e
تاغ	t ɑ ʁ
تاماق	t ɑ m ɑ q
تاملار	tʰ a m l ɑː
تاملار	tʰ ɑ m l ɑ r
توقسان	t o q s ɑ n
توققۇز	t o q q u z
توققۇزىنچى	t o q q u z i n t ʃ i
تىيىن	t i j i n
تۆت	t ø t
تۆتىنچى	t ø t i n t ʃ i
تۆگە	t ø ɡ æ
تۈلكە	t y l k æ
تەخسە	t æ x s æ
تەرجىمە	t æ r d͡ʒ i m æ
ج	d͡ʒ
ج	d͡ʒ e
جۈمە	d ʒ y m ɛ
جەڭچى	d ʒ ɛ ŋ t ʃ i
خ	χ
خ	χ e
خوش	x o ʃ
خىت	χ i t
خىزمەتچى	χ i z m ɛ t t ʃ i
د	d
د	d e
دادا	d ɑ d ɑ
دۈشەنبە	d y ʃ ɛ m b ɛ
دەپتەر	d æ p t æ r
ر	r
ر	r e
ز	z
ز	z e
س	s
س	s e
سائەت	s a ʔ ɛ t
ساقچى	s ɑ q t ʃ i
سۇ	s u
سۈت	s y t
سۈلھ	s y l h
سەكسەن	s ɛ k s ɛ n
سەككىز	s ɛ k k i z
سەككىزىنچى	s ɛ k k i z i n t ʃ i
سەيشەنبە	s ɛ j ʃ ɛ m b ɛ
ش	ʃ
ش	ʃ e
شوپۇر	ʃ o p u r
شەنبە	ʃ ɛ m b ɛ
غ	ʁ
غ	ʁ e
ف	f
ف	f e
ق	q
ق	q e
قاراچاي	t͡ʃ ɑ j
قايسى	q ɑ j s i
قىرىق	q i r i q
قىز	q i z
قۇدۇق	q u d u q
قۇش	q u ʃ
قۇم	q u m
قەغەز	q æ ʁ æ z
قەلەم	q æ l æ m
ك	k
ك	k e
كارۋات	k ɑ r w ɑ t
كىتاب	k i t ɑ b
كىچىك	k i t͡ʃ i k
كۆز	k ø z
كۆل	k ø l
كەچۈرۈڭ	k e t ʃ i r i ŋ
كەچۈرۈڭ	k ɛ t ʃ y r y ŋ
ل	l
ل	l e
لۇغەت	l u ʁ æ t
لەڭمەن	l æ ʁ m ɑ n
م	m
م	m e
مايمۇن	m ɑ j m u n
مىليارد	m i l j ɑ r t
مىليون	m i l j o n
مىڭ	m i ŋ
مۇھەببەت	m u h ɛ p b ɛ t
مۈشۈك	m y ʃ y k
مەن	m æ n
مەھەممەت	m ɛ m ɛ t
ن	n
ن	n e
نۆل	n ø l
نۆلىنچى	n ø l i n t͡ʃ i
نېفىت	n e f i t
نېمە	n e m ɛ
ى	i
ي	j
ي	j e
ياخشى	j ɑ χ ʃ i
ياخشىمۇسىز	j ɑ χ ʃ i m u s i z
ياخشىمۇسىلەر	j ɑ χ ʃ i m u s i l ɛ r
ياق	j ɑ q
يالغان	j ɑ l ʁ ɑ n
يانفون	j ɑ ŋ p o n
يىل	j i l
يىلان	j i l ɑ n
يىگىرمە	j i ɡ i r m ɛ
يۇلتۇز	j u l t u z
يۈز	j y z
يېشىل	j e ʃ i l
يەتتىنچى	j ɛ t t i n t ʃ i
يەتتە	j ɛ t t ɛ
يەتمىش	j ɛ t m i ʃ
يەكشەنبە	j ɛ k ʃ ɛ m b ɛ
پ	p
پ	p e
پروفېسسور	p r o p e s s o r
پويىز	p o j i z
پىشلاق	p i ʃ l ɑ q
پەيشەنبە	p ɛ j ʃ ɛ m b ɛ
چ	t͡ʃ
چ	t͡ʃ e
چارشەنبە	t ʃ ɑ r ʃ ɛ m b ɛ
چاشكا	t͡ʃ ɑ ʃ k ɑ
چاي	t͡ʃ ɑ j
چوكا	t͡ʃ o k ɑ
چىش	t͡ʃ i ʃ
چېركاۋ	t͡ʃ e r k ɑ w
چېچەك	t͡ʃ e t͡ʃ æ k
ژ	ʒ
ژ	ʒ e
ژۇرنال	ʒ u r n ɑ l
ڭ	ŋ
ڭ	ŋ e
گ	ɡ
گ	ɡ e
گۈل	ɡ y l
گۈللەر	ɡ y l l æ r
گۈللەر	ɡ y l l æː
گېزىت	ɡ e z i t
ھ	h
ھ	h e
ھازىر	ɦ ɑ z ɪ r
ھازىرقى	ɦ ɑ z ɪ r q ɨ
ھايات	h ɑ j ɑ t
ھېكايە	h i k ɑ j æ
ھەئە	h ɛ ʔ ɛ
ھەيكەل	h æ j k æ l
ھەپتە	h æ p t æ
ۋ	w
ۋ	w e
ۋېلسىپىت	w e l s i p i t
