サス	s ä s ɯ̥ᵝ
あ	a̠
あ	a̠
ア	a̠
あ	a̠
あ	a̠
ああ	a̠ː
ああ	a̠ː
噫	a̠ː
アーカイブ	a̠ː k a̠ i b ɯ̟ᵝ
アーカンソー	a̠ː k ã̠ ɰ̃ s o̞ː
アーガイル	a̠ː ɡ a̠ i ɾ ɯ̟ᵝ
アーキビスト	a̠ː kʲ i bʲ i s ɨᵝ t o̞
アーク	a̠ː k ɯ̟ᵝ
アークろ	a̠ː k ɯ̟ᵝ ɾ o̞
アーケード	a̠ː k e̞ː d o̞
アーサー	a̠ː s a̠ː
アーチ	a̠ː t͡ɕ i
アーティストインレジデンス	a̠ː tʲ i s ɨᵝ t o̞ ĩ n ɾ e̞ ʑ i d ẽ̞ ɰ̃ s ɨᵝ
アーティチョーク	a̠ː tʲ i̥ t͡ɕ o̞ː k ɯ̟ᵝ
アードウルフ	a̠ː d o̞ ɯ̟ᵝ ɾ ɯ̟ᵝ ɸ ɯ̟ᵝ
アーモンド	a̠ː m õ̞ n d o̞
アールエヌエー	a̠ː ɾ ɯ̟ᵝ e̞ n ɯ̟ᵝ e̞ː
アールピージー	a̠ː ɾ ɯ̟ᵝ pʲ iː ʑ iː
あい	a̠ i
あい	a̠ i
あい	a̠ i
アイアイ	a̠ i a̠ i
あいあいがさ	a̠ i a̠ i ɡ a̠ s a̠
アイアン	a̠ i ã̠ ɴ
あいいろ	a̠ iː ɾ o̞
あいいん	a̠ ĩː ɴ
あいえき	a̠ i e̞ kʲ i
アイエスビーエヌ	a̠ i e̞ s ɨᵝ bʲ iː e̞ n ɯ̟ᵝ
アイオワ	a̠ i o̞ ɰᵝ a̠
あいか	a̠ i k a̠
あいかぎ	a̠ i k a̠ ɡʲ i
あいかた	a̠ i k a̠ t a̠
あいかわらず	a̠ i k a̠ ɰᵝ a̠ ɾ a̠ z ɨᵝ
あいがさ	a̠ i ɡ a̠ s a̠
あいがみ	a̠ i ɡ a̠ mʲ i
あいがめ	a̠ i ɡ a̠ m e̞
あいがん	a̠ i ɡ ã̠ ɴ
あいき	a̠ i kʲ i
あいきどう	a̠ i kʲ i d o̞ː
アイキュー	a̠ i kʲ ɨᵝː
あいくち	a̠ i k ɯ̟ᵝ t͡ɕ i
あいくち	a̠ i k ɯ̟ᵝ t͡ɕ i
あいくるしい	a̠ i k ɯ̟ᵝ ɾ ɯ̟ᵝ ɕ iː
あいけん	a̠ i k ẽ̞ ɴ
あいこ	a̠ i k o̞
あいこ	a̠ i k o̞
あいこう	a̠ i k o̞ː
あいこく	a̠ i k o̞ k ɯ̟ᵝ
あいこく	a̠ i k o̞ k ɯ̟ᵝ
あいこくしゃ	a̠ i k o̞ k ɯ̟̊ᵝ ɕ a̠
あいこくしゃ	a̠ i k o̞ k ɯ̟̊ᵝ ɕ a̠
あいこくしゅぎ	a̠ i k o̞ k ɯ̟ᵝ ɕ ɨᵝ ɡʲ i
あいこくしん	a̠ i k o̞ k ɯ̟ᵝ ɕ ĩ ɴ
あいこくしん	a̠ i k o̞ k ɯ̟ᵝ ɕ ĩ ɴ
あいこっか	a̠ i k o̞ k̚ k a̠
あいことば	a̠ i k o̞ t o̞ b a̠
アイコン	a̠ i k õ̞ ɴ
あいご	a̠ i ɡ o̞
あいさい	a̠ i s a̠ i
あいさつ	a̠ i s a̠ t͡s ɨᵝ
アイシービーエム	a̠ i ɕ iː bʲ iː e̞ m ɯ̟ᵝ
愛している	a̠ i ɕ i t e̞ː ɾ ɯ̟ᵝ
あいしゃ	a̠ i ɕ a̠
アイシャドー	a̠ i ɕ a̠ d o̞ː
あいしゅう	a̠ i ɕ ɨᵝː
あいしょう	a̠ i ɕ o̞ː
あいしょう	a̠ i ɕ o̞ː
あいしょうか	a̠ i ɕ o̞ː k a̠
アイシング	a̠ i ɕ ĩ ŋ ɡ ɯ̟ᵝ
あいじ	a̠ i ʑ i
あいじょう	a̠ i ʑ o̞ː
あいじょう	a̠ i ʑ o̞ː
あいじん	a̠ i ʑ ĩ ɴ
アイス	a̠ i s ɨᵝ
アイスランド	a̠ i s ɨᵝ ɾ ã̠ n d o̞
あいする	a̠ i s ɨᵝ ɾ ɯ̟ᵝ
あいそ	a̠ i s o̞
あいそう	a̠ i s o̞ː
あいぞう	a̠ i z o̞ː
あいぞうばん	a̠ i z o̞ː b ã̠ ɴ
あいぞめ	a̠ i z o̞ m e̞
あいたい	a̠ i t a̠ i
あいだ	a̠ i d a̠
あいだがら	a̠ i d a̠ ɡ a̠ ɾ a̠
あいち	a̠ i t͡ɕ i
あいちけん	a̠ i t͡ɕ i k ẽ̞ ɴ
あいつら	a̠ i t͡s ɨᵝ ɾ a̠
アイデンティティ	a̠ i d ẽ̞ n tʲ i tʲ i
アイドル	a̠ i d o̞ ɾ ɯ̟ᵝ
あいにく	a̠ i ɲ̟ i k ɯ̟ᵝ
アイヌ	a̠ i n ɯ̟ᵝ
アイピーアドレス	a̠ i pʲ iː a̠ d o̞ ɾ e̞ s ɨᵝ
アイフォーン	a̠ i ɸ õ̞ː ɴ
アイフォン	a̠ i ɸ õ̞ ɴ
あいぶ	a̠ i b ɯ̟ᵝ
アイホン	a̠ i h õ̞ ɴ
あいぼ	a̠ i b o̞
あいま	a̠ i m a̠
あいまい	a̠ i m a̠ i
アイマス	a̠ i m a̠ s ɨᵝ
アイマスク	a̠ i m a̠ s ɨ̥ᵝ k ɯ̟ᵝ
あいよめ	a̠ i j o̞ m e̞
アイロニー	a̠ i ɾ o̞ ɲ̟ iː
アイロン	a̠ i ɾ õ̞ ɴ
アインスタイニウム	a̠ ĩ ɰ̃ s ɨ̥ᵝ t a̠ i ɲ̟ i ɯ̟ᵝ m ɯ̟ᵝ
あう	a̠ ɯ̟ᵝ
アウグストゥス	a̠ ɯ̟ᵝ ɡ ɯ̟ᵝ s ɨ̥ᵝ t ɯ̟ᵝ s ɨᵝ
アウフヘーベン	a̠ ɯ̟ᵝ ɸ ɯ̟ᵝ h e̞ː b ẽ̞ ɴ
あうん	a̠ ɯ̟̃ᵝ ɴ
あえぐ	a̠ e̞ ɡ ɯ̟ᵝ
アエロフロート	a̠ e̞ ɾ o̞ ɸ ɯ̟ᵝ ɾ o̞ː t o̞
あえん	a̠ ẽ̞ ɴ
あおい	a̠ o̞ i
あおいろ	a̠ o̞ i ɾ o̞
あおうなばら	a̠ o̞ ɯ̟ᵝ n a̠ b a̠ ɾ a̠
あおうみがめ	a̠ o̞ ɯ̟ᵝ mʲ i ɡ a̠ m e̞
あおげいとう	a̠ o̞ ɡ e̞ː t o̞ː
あおさ	a̠ o̞ s a̠
アオザイ	a̠ o̞ z a̠ i
あおざめ	a̠ o̞ z a̠ m e̞
アオザメぞく	a̠ o̞ z a̠ m e̞ z o̞ k ɯ̟ᵝ
あおじゃしん	a̠ o̞ ʑ a̠ ɕ ĩ ɴ
あおせん	a̠ o̞ s ẽ̞ ɴ
あおぞら	a̠ o̞ z o̞ ɾ a̠
あおだいしょう	a̠ o̞ d a̠ i ɕ o̞ː
あおば	a̠ o̞ b a̠
あおもの	a̠ o̞ m o̞ n o̞
あおもり	a̠ o̞ m o̞ ɾʲ i
あおもりけん	a̠ o̞ m o̞ ɾʲ i k ẽ̞ ɴ
あおる	a̠ o̞ ɾ ɯ̟ᵝ
あか	a̠ k a̠
あか	a̠ k a̠
あか	a̠ k a̠
どう	d o̞ː
あかがね	a̠ k a̠ ɡ a̠ n e̞
あか	a̠ k a̠
あかうみがめ	a̠ k a̠ ɯ̟ᵝ mʲ i ɡ a̠ m e̞
あかぎつね	a̠ k a̠ ɡʲ i t͡s ɨᵝ n e̞
あかぐろい	a̠ k a̠ ɡ ɯ̟ᵝ ɾ o̞ i
あかげざる	a̠ k a̠ ɡ e̞ z a̠ ɾ ɯ̟ᵝ
あかし	a̠ k a̠ ɕ i
アカシア	a̠ k a̠ ɕ i a̠
あかシート	a̠ k a̠ ɕ iː t o̞
あかしか	a̠ k a̠ ɕ i̥ k a̠
あかじ	a̠ k a̠ ʑ i
あかせん	a̠ k a̠ s ẽ̞ ɴ
あかたては	a̠ k a̠ t a̠ t e̞ h a̠
あかたては	a̠ k a̠ t a̠ t e̞ h a̠
あかちゃける	a̠ k a̠ t͡ɕ a̠ k e̞ ɾ ɯ̟ᵝ
あかちゃん	a̠ k a̠ t͡ɕ ã̠ ɴ
あかつき	a̠ k a̠ t͡s ɨ̥ᵝ kʲ i
あかつめくさ	a̠ k a̠ t͡s ɨᵝ m e̞ k ɯ̟̊ᵝ s a̠
あかてん	a̠ k a̠ t ẽ̞ ɴ
アカデミー	a̠ k a̠ d e̞ mʲ iː
あかとんぼ	a̠ k a̠ t õ̞ m b o̞
あかなす	a̠ k a̠ n a̠ s ɨᵝ
あかぬけ	a̠ k a̠ n ɯ̟ᵝ k e̞
あかぬける	a̠ k a̠ n ɯ̟ᵝ k e̞ ɾ ɯ̟ᵝ
あかね	a̠ k a̠ n e̞
あかねずみ	a̠ k a̠ n e̞ z ɨᵝ mʲ i
あかはた	a̠ k a̠ h a̠ t a̠
あかはな	a̠ k a̠ h a̠ n a̠
あかはら	a̠ k a̠ h a̠ ɾ a̠
あかぶどうしゅ	a̠ k a̠ b ɯ̟ᵝ d o̞ː ɕ ɨᵝ
あかべこ	a̠ k a̠ b e̞ k o̞
あかぼうくじら	a̠ k a̠ b o̞ː k ɯ̟ᵝ ʑ i ɾ a̠
あかぼし	a̠ k a̠ b o̞ ɕ i
あかまつ	a̠ k a̠ m a̠ t͡s ɨᵝ
あからめる	a̠ k a̠ ɾ a̠ m e̞ ɾ ɯ̟ᵝ
あかり	a̠ k a̠ ɾʲ i
あかれんが	a̠ k a̠ ɾ ẽ̞ ŋ ɡ a̠
あかワイン	a̠ k a̠ ɰᵝ a̠ ĩ ɴ
あかん	a̠ k ã̠ ɴ
あかん	a̠ k ã̠ ɴ
あかんべえ	a̠ k ã̠ m b e̞ː
あかんぼう	a̠ k ã̠ m b o̞ː
あがく	a̠ ɡ a̠ k ɯ̟ᵝ
あがめる	a̠ ɡ a̠ m e̞ ɾ ɯ̟ᵝ
あき	a̠ kʲ i
あき	a̠ kʲ i
あきさめ	a̠ kʲ i s a̠ m e̞
あきす	a̠ kʲ i s ɨᵝ
あきた	a̠ kʲ i t a̠
