ізгі	ɘ z ɡ ɘ
абак	ɐ b a k
абсолютизм	ɐ p s ə lʲ ʉ tʲ i z m
авангард	ɐ v ɐ n ɡ a r d
автономия	ɐ f t ɐ n o mʲ ɪ j ə
автономиялы	ɐ f t ɐ n ə mʲ ɪ j ə l ə
автономиялық	ɐ f t ɐ n ə mʲ ɪ j ə l ə q
адрон	ɐ d r o n
акварель	ɐ k v ɐ rʲ e lʲ
акварельші	ɐ k v ɐ rʲ e lʲ ʃ i
албания	ɐ l b a nʲ ɪ j ə
алгебра	a l ɡʲ ɪ b r ə
алгоритм	ɐ l ɡ ɐ rʲ i t m
алкин	ɐ l kʲ i n
алты	a l t ɨ
алхамдулилла	a l x a m d ʊ w lʲ ɪ l ɑː
альтруизм	ɐ lʲ t r ʊ i z m
алюминий	ɐ lʲ ʉ mʲ i nʲ ɪ j
антибиотик	ɐ nʲ tʲ ɪ bʲ ɪ o tʲ ɪ k
антикоммунизм	a nʲ tʲ ɪ k ə m ʊ nʲ i z m
антиоксидант	a nʲ tʲ ɪ ə k sʲ ɪ d a n t
антипризма	ɐ nʲ tʲ ɪ p rʲ i z m ə
антрополог	ɐ n t r ɐ p o ɫ ə ɡ
антропология	ɐ n t r ə p ɐ l o ɡʲ ɪ j ə
антропологиялық	ɐ n t r ə p ɐ l o ɡʲ ɪ j ə l ə q
апельсин	ɐ pʲ ɪ lʲ sʲ i n
аргентина	ɐ r ɡʲ ɪ nʲ tʲ i n ə
арқан	ɑ r q ɑ n
аспан	ɑ s p ɑ n
аспап	ɑ s p ɑ p
ассалаумағалейкум	a s ɐ l a w m a ʕ ə lʲ e j k ʊ w m
ассонанс	ɐ s ɐ n a n s
астроном	ɐ s t r ɐ n o m
атаксия	ɐ t ɐ k sʲ i j ə
аутизм	ɐ ʊ tʲ i z m
ацетилен	ɐ t͡s ɨ tʲ ɪ lʲ e n
ағаш	a ʁ a ʃ
балық	b ɑ l ə q
банк	b a n k
банкет	b ɐ n kʲ e t
банкнот	b ɐ n k n o t
барбадос	b ɐ r b a d ə s
баскетбол	b ə s kʲ ɪ d b o l
бахрейн	b ɐ x rʲ e j n
бейсбол	bʲ ɪ j z b o l
беккерель	bʲ ɪ kʲ ɪ r ɛ lʲ
бериллий	bʲ ɪ rʲ i lʲ ɪ j
бес	bʲ e s
бихевиоризм	bʲ ɪ xʲ ɪ vʲ ɪ ɐ rʲ i z m
бруней	b r ʊ nʲ e j
валторна	v ɐ l t o r n ə
ватт	v a t
вебер	vʲ e bʲ ɪ r
гватемала	ɡ v ə t ɨ m a l ə
генерал	ɡ ɛ n ɛ r a ɫ
генетика	ɡʲ ɪ n ɛ tʲ ɪ k ə
геном	ɡʲ ɪ n o m
генри	ɡʲ e n rʲ ɪ
германий	ɡʲ ɪ r m a nʲ ɪ j
героин	ɡʲ ɪ r ɐ i n
герц	ɡʲ e r t͡s
гидромеханика	ɡʲ i d r ə mʲ ɪ x a nʲ ɪ k ə
гипербола	ɡʲ ɪ pʲ e r b ə l ə
гну	ɡ n u
годограф	ɡ ɐ d o ɡ r ə f
дармштадтий	d ɐ r m ʃ t a tʲː ɪ j
декларация	dʲ ɪ k l ɐ r a t͡s ɨ j ə
диамагнетизм	dʲ i ə m ə ɡ nʲ ɪ tʲ i z m
динозавр	d i n ɔ ʐ ɑː v ɾ
дирижабль	dʲ ɪ rʲ ɪ ʒ a b lʲ
дисплей	dʲ ɪ s p l ɛ j
дүниетаным	d ʉ n ɨ j e t ɐ n ə m
дөрт	d œ r t
дөрт	d ø r t
дөрт	d ɵ r t
дөрт	dʷ ʏ r t
е	ʲɛ
ж	d ʒ
жел	ʒ e l
желтоқсан	ʒ e l t o q s a n
жеті	ʒʲ e t i
жеті	d͡ʒ e t i
жолбарыс	ʒ o l b ɑ ɾ ɯ s
жохан	ʒ ɔ x a n
зиверт	zʲ i vʲ ɪ r t
импеданс	ɪ m pʲ ɪ d a n s
империализм	ɪ m pʲ ɪ rʲ ɪ ɐ lʲ i z m
интеграл	ɪ n t ɨ ɡ r a l
интерферон	ɪ n t ɨ r fʲ ɪ r o n
кабак	k ɐ b a k
кальмар	k ɑ l m ɑ r
канада	k ɐ n a d ə
кандела	k ɐ n d ɛ l ə
карта	k a r t ə
картечь	k ɐ r tʲ e t͡ɕ
катал	k ɐ t a l
кельвин	kʲ e lʲ vʲ ɪ n
коммунизм	k ə m ʊ nʲ i z m
космополитизм	k ə s m ə p ə lʲ ɪ tʲ i z m
криптон	k rʲ ɪ p t o n
ксилофон	k sʲ ɪ l ɐ f o n
куба	k u b ə
күкірт	k ʉ k i r t
күшән	k ʉ ʃ æ n
көкек	k œ kʲ e k̚
лемниската	lʲ ɪ m nʲ ɪ s k a t ə
либерализм	lʲ ɪ bʲ ɪ r ɐ lʲ i z m
лимон	lʲ ɪ m o n
лихтенштейн	lʲ ɪ x t ɨ n ʃ t ɛ j n
лоуренсий	l ə ʊ rʲ e n sʲ ɪ j
люкс	lʲ u k s
люксембург	lʲ ʊ k sʲ ɪ m b u r ɡ
люмен	lʲ ʉ mʲ ɪ n
магний	m a ɡ nʲ ɪ j
мадагаскар	m ə d ə ɡ ɐ s k a r
мамыр	m a m ɨ r
марафон	m ə r ɐ f o n
матай	m a t a j
материализм	m ə tʲ ɪ rʲ ɪ ɐ lʲ i z m
маусым	m a w s ɨ m
мезон	mʲ ɪ z o n
мейтнерий	mʲ ɪ j tʲ nʲ e rʲ ɪ j
мемлекет	mʲ ɪ mʲ lʲ ɪ kʲ e t
микрофон	mʲ ɪ k r ɐ f o n
миллион	mʲ ɪ lʲ ɪ o n
мнемоника	m nʲ ɪ m o nʲ ɪ k ə
монархия	m ɐ n a r xʲ ɪ ɪ̯ ə
мономер	m ə n ɐ mʲ e r
мүрде	m ʉ r dʲ e
мүрдеші	m ʉ r dʲ e ʃ ɘ
натрий	n a t rʲ ɪ j
науру	n ɐ u r ʊ
наурыз	n a w r ɨ z
нейтрон	nʲ ɪ j t r o n
норвегия	n ɐ r vʲ e ɡʲ ɪ j ə
ньютон	nʲ j ʊ t o n
нөл	n œ l
объект	ɐ b j e k t
опоссум	ɐ p o s ʊ m
оппортунизм	ɐ p ə r t ʊ nʲ i z m
пайғамбар	p a j ɣ a m b a r
парагвай	p ə r ɐ ɡ v a j
парадокс	p ə r ɐ d o k s
параметр	p ɐ r a mʲ ɪ t r
партизан	p ə r tʲ ɪ z a n
партизандық	p ə r tʲ ɪ z a n d ə q
партия	p a r tʲ ɪ j ə
пирамида	pʲ ɪ r ɐ mʲ i d ə
позитрон	p ə zʲ ɪ t r o n
призма	p rʲ i z m ə
прогестерон	p r ə ɡʲ ɪ s t ɛ r o n
прокурор	p r ə k ʊ r o r
пәкістан	p æ k ɘ s t ɑ n ~ p æ k ɪ s t ɑ n
пәкістан	p æ k i s t ɑ n ~ p æ k i s t a n
радиан	r ə dʲ ɪ a n
реализм	rʲ ɪ ɐ lʲ i z m
ресей	rʲ e sʲ e j
республика	ɾʲ ɪ s p u b lʲ ɪ k ə
сага	s a ɡ ə
сальвадор	s ə lʲ v ɐ d o r
самоа	s ɐ m o ə
сегіз	sʲ e ɡ i z
секстант	sʲ ɪ k s t a n t
селен	sʲ ɪ lʲ e n
сербия	sʲ e r bʲ ɪ j ə
сименс	sʲ i mʲ ɪ n s
словения	s l ɐ vʲ e nʲ ɪ j ə
стерадиан	s t ɛ r ə dʲ ɪ a n
су	s u
суринам	s ʊ rʲ ɪ n a m
сәлем	s æ lʲ ɘ m
талап	t ɑ ɫ ɑ p
тамақ	t ɑ m ɑ q
тамыз	t a m ɨ z
телефон	tʲ i lʲ i f o n
температура	tʲ ɪ m pʲ ɪ r ɐ t u r ə
термометр	tʲ ɪ r m o mʲ ɪ t r
