צי	t͡s i
ר׳	ʁ ɛ b
ר׳	ʁ ɛ b ə
־ין	- n̩
־ין	- ə n
אַן	a n
בעט	b i t
בעט	b ɛ t
בעט	b ɛ ɪ̯ t
איז	i z
קין	k a ɪ̯ n
קוש	k ʊ ʃ
ממש	m a m ə ʃ
מזל	m a z ɫ̩
נחת	n a χ ə s
שוך	s ʊ χ
טון	t iː n
טעג	t ɛ ɡ
ציל	t͡s ɪ l
שוך	ʃ i χ
רוח	ʁ i ə χ
רוח	ʁ iː ə χ
עסן	ɛ s n̩
איך	ɪ χ
שעה	ʃ ɔ
שוך	ʃ ʊ χ
רוח	ʁ ʊ ə χ
רשע	ʁ ɔ ʃ ə
בעטן	b i t n̩
בלום	b l ʊ m
באָד	b u d
באָד	b uː d
באָד	b ɔ d
בוים	b ɔ j m
בעטן	b ɛ t n̩
בעטן	b ɛ ɪ̯ t n̩
דרײַ	d ʁ a j
פֿיר	f i ʀ
פֿיש	f ɪ ʃ
הלכה	h a ɫ ɔ χ ə
הונט	h ʊ n t
הויז	h ɔ ɪ̯ z
ייִד	j iː t
ייִד	j ɪ d
יעצט	j ɛ t͡s t
קוקן	k u k n̩
קיין	k ɛ n
קינד	k ɪ n d
לשון	l ɔ ʃ n
מלאך	m a l ə χ
מיטל	m ɪ t l̩
ספֿר	s a ɪ̯ f ə ʁ
ספֿר	s ɛ ɪ̯ f ə ʁ
טויב	t e ɪ b
טויב	t o ʊ b
טאָג	t ɔ ɡ
טויב	t ɔ ɪ b
וווּ	v ʊ
זעקס	z ɛ k s
שדכן	ʃ a d χ n
איצט	ɪ t͡s t
גרין	ɡ ʁ i n
געלב	ɡ ɛ l b
חודש	χ ɔ ɪ̯ d ə ʃ
חודש	χ ɛ ɪ̯ d ə ʃ
־הייט	- h a ɪ t
־הייט	- h e ɪ t
־קייט	- k a ɪ t
־קייט	- k e ɪ t
עבֿרה	a v ɛ ɪ r ə
בוהײַ	b u h a ɪ̯
ברוין	b ʁ o j n
אויער	e ɪ ə ʁ
פֿאַר	f a ʁ
פֿרום	f r ʊ m
פֿינף	f ɪ n f
פֿערד	f ɛ r d
יעקבֿ	j a ŋ k ə v
קומען	k ʊ m ə n
מנורה	m n ɔ ɪ̯ r ə
נעבעך	n ɛ b ə χ
פּאָץ	p ɔ t s
רבֿקה	r ɪ v k ə
סידור	s ɪ d ə ʀ
צינדן	t s ɪ n d n̩
טונקל	t ʊ ŋ k l̩
ווײַס	v a j s
וועלן	v ɛ l n̩
זאָגן	z u ɡ ŋ̩
זאָגן	z uː ɡ ŋ̩
זאָגן	z ɔ ɡ ŋ̩
שלאָף	ʃ l ɔ f
שמאָק	ʃ m ɔ k
אָרעם	ɔ r ɛ m
לאָקש	ɫ ɔ k ʃ
אויער	ɔ ɪ ə ʁ
אויס־	ɔ ɪ̯ s
אַרמיי	a ɾ m a j
אַרמיי	a ɾ m ɛ ɪ
דאָלוי	d ɐ l o j
פֿירער	f i r ɛ r
פֿויגל	f ɔ j ɡ l
האָניק	h ɔ n ɪ k
אינדיק	i n d i k
ייִדיש	j ɪ d ɪ ʃ
ישׂראל	j ɪ s ʀ ɔ ə l
קווייט	k v ɛ j t
כּהונה	k ə h ɨ n ə
כּהונה	k ə h ɪ n ə
כּהונה	k ə h ʊ n ə
לאַטקע	l a t k ə
משפּחה	m ɪ ʃ p ɔ χ ə
משוגעת	m ə ʃ ʊ ɡ a s
נאָמען	n ɔ m ɛ n
שפּערל	s p ɛ ɾ l̩
סוכּות	s ɨ k ə s
סוכּות	s ɪ k ə s
סוכּות	s ʊ k ə s
זינגען	z ɪ n ɡ n̩
זוימען	z ɔ ɪ̯ m n̩
זוימען	z ɛ ɪ̯ m n̩
גאַנדז	ɡ a n d z
גאַנדז	ɡ a n t s
אָדלער	ɔ d l ɛ ʀ
שלימזל	ʃ l ɪ m a z l̩
שפּערל	ʃ p e j ɾ l̩
שפּיגל	ʃ p i ɡ l
שפּערל	ʃ p ɛ ɾ l̩
שוואַן	ʃ v a n
אָוונט	ɔ v n̩ t
אַוועק	ə v ɛ k
שווערד	ʃ v ɛ ʁ d
גאַנדז	ɡ ɔ n d z
געגעסן	ɡ ə ɡ ɛ s n̩
אויקען	ɔ ɪ̯ k ə n
אַפּריל	a p ʀ i l
פֿאָדעם	f ɔ d ə m
האַביכט	h a b ɪ χ t
קאַטשקע	k a t͡ʃ k ə
לעבעדיק	l ɛ b ə d ɪ k
מה־דאָך	m a d ə x
מאַלפּע	m a ɫ p ə
וווינען	v ɔ j n ə n
שנײַדער	ʃ n a d ə ʁ
שנײַדער	ʃ n a ɪ̯ d ə ʁ
שנײַדער	ʃ n aː d ə ʁ
אַשכּנזי	a ʃ k ə n a z i
בעל־הבית	b a l ə b ɔ s
דאַוונען	d a v n ə n
דאַוונען	d ɔ v n ə n
דאַוונען	d ɔ ɪ n ə n
קאָשמאַר	k ɔ ʃ m a r
מאַמינקע	m a m ɪ nʲ k ə
מאַמינקע	m a m ɪ ŋ k ə
תּפֿילין	t ə f ɨ l ə n
תּפֿילין	t ə f ɪ l ə n
גנבֿענען	ɡ a n v ɛ n ɛ n
שלאַנגען	ʃ l a ŋ ɡ ə n
שפּיטאָל	ʃ p i t u l
שפּיטאָל	ʃ p iː t uː l
שפּיטאָל	ʃ p ɪ t ɔ l
אייגנטום	ɛ ɪ ɡ n̩ t ʊ m
המן־טאַשן	h ɔ m ə n t a s n̩
המן־טאַשן	h ɔ m ə n t a ʃ n̩
המן־טאַשן	h ɔ m ə n t ə s
וואַלפֿיש	v a l f i ʃ
ראָש־השנה	ʁ e ɪ̯ ʃ ə ʃ ʊ n ə
שוועסטערל	ʃ v ɛ s t ə ʁ ɫ̩
ראָש־השנה	ʁ ɔ ʃ ə ʃ ɔ n ə
קאָנטינענט	k ɔ n t i n ɛ n t
לופֿטמענטש	ɫ ʊ f t m ɛ n t͡ʃ
פֿינצטערניש	f i n t͡s t ɛ ʀ n i ʃ
יום־כּיפּור	j ɔ ŋ k ɪ p ə r
אם־ירצה־השם	m ɪ ʁ t s ə ʃ ɛ m
אם־ירצה־השם	m ɛ ʁ t ʃ ɛ m
שלוש־סעודות	ʃ a l ə ʃ ʊ d ə s
אם־ירצה־השם	ɪ m j ɪ ʁ t s ə a ʃ ɛ m
קימפּעטאָרין	k ɪ m p ɛ t ɔ ʁ n̩
