a	aː
aachtel	aːχtəl
aalbes	aːlbəs
aangel	aːŋəl
aarbecht	aːʀbəɕt
aarbechter	aːʀbəɕtɐ
aarbechtsamt	aːʀbəʑdzɑmpt
aarbechtslos	aːbəɕtsloːs
aarmséileg	aːʀmzɜɪ̯ləɕ
aart	aːt
aart	aːχt
aartlech	aːtləɕ
aartlech	aːχt-
aaschbak	aːʒbaːk
abeezen	ɑbeːt͡sən
abenteuerlech	aːbentoɪ̯ɐləɕ
aberuffen	ɑbəʀufən
aberuffung	ɑbəʀufuŋ
abezuelen	ɑbət͡suə̯lən
abgascht	aːbɡɑʃt
abilden	ɑbildən
abiméieren	ɑbimɜɪ̯əʀən
ablécklech	ɑblekləɕ
abonnement	-mɑŋ
abonnement	ɑbonəmɑ̃ː
abrëll	ɑbʀəl
abseits	ɑbzɑɪ̯t͡s
absence	ɑpsɑ̃ːs
absichtlech	ɑbziɕtləɕ
absurd	ɑbzuχt
abuddelen	ɑbudələn
abus	ɑbyː
abéissen	ɑbɜɪ̯sən
accabléiert	ɑkɑblɜɪ̯ɐt
acceleratioun	ɑksələʀɑtsjəʊ̯n
achs	ɑks
achzeg	ɑχt͡səɕ
adder	ɑdɐ
adjektiv	ɑdʒæktiːf
adler	aːdlɐ
administrativ	ɑdministʀɑtiːf
adresse	ɑdʀæs
advent	ɑdvænt
adverb	ɑdvæʀp
aen	aːən
aendeckel	aːəndækəl
aenzeien	aːənt͡sɑɪ̯ən
afaassen	ɑfaːsən
afalen	ɑfaːlən
afen	aːfən
afennoss	aːfənos
afetten	ɑfætən
affekot	ɑfəkoːt
affer	ɑfɐ
afferen	ɑfəʀən
afferstack	ɑfɐʃtɑk
affiche	ɑfiʃ
affront	ɑfʀõː
afloss	ɑflos
agang	ɑɡɑŋ
agank	ɑɡɑŋk
agemaachtes	ɑɡəmaːχtəs
ageriicht	ɑɡəʀiːɕt
aggressiv	ɑɡʀæsiːf
agäng	aːɡæŋ
ahnen	aːnən
akademie	ɑkɑdəmiː
akaul	aːkɑʊ̯l
aker	aːkɐ
akerbau	aːkɐbɑʊ̯
akribesch	ɑkʁiːbəʃ
akrobatik	ɑkʀobaːtik
akt	ɑkt
aktuell	ɑktuæl
akupunktur	-tuə̯
akupunktur	ɑkupuŋktuːɐ
albanien	ɑlbaːnjən
aleeën	ɑleːən
alkohol	ɑlkohoːl
alkoholismus	ɑlkoholizmus
all	ɑl
alldag	ɑldaːχ
allee	ɑleː
allerhellegen	-ləʑən
allerhellegen	ɑlɐhæləjən
allerséilen	ɑlɐzɜɪ̯lən
alles	ɑləs
allmächteg	ɑlmæɕtəɕ
aloggen	ɑloɡən
alpdram	ɑlbdʀaːm
als	ɑlts
also	ɑlzo
alt	ɑlt
alter	ɑltɐ
alzem	ɑlt͡səm
ameis	aːmɑɪ̯s
amplaz	ɑmplaːt͡s
an	ɑn
ananas	ɑnɑnɑs
anchecken	ɑntʃækən
anchois	ɑ̃ʃwaː
andecken	ɑndækən
andeelen	ɑndeːlən
andeelung	ɑndeːluŋ
andeems	ɑndeːmps
andreiwen	ɑndʀɑɪ̯vən
androen	ɑndʀoːən
andéif	ɑndɜɪ̯f
aner	aːnɐ
anescht	aːnəʃt
angscht	ɑŋkʃt
animatioun	ɑnimɑtsjəʊ̯n
antigel	ɑntiʒæl
antigel	ɑ̃ːti-
apaart	ɑpaːt
apaart	ɑpaːχt
apdikt	ɑbdikt
apel	aːpəl
apelbatz	aːpəlbɑt͡s
aper	aːpɐ
aperhoer	aːpɐhoːɐ
aplaz	ɑplaːt͡s
apostroph	apostʀof
appartement	ɑpaːχtəmɑ̃ː
appartement	ɑpɑχtəmɑ̃ː
appell	ɑpæl
aprikos	ɑpʀikoːs
ar	aːχ
arithmetik	ɑʀidmeːtik
arroganz	ɑʀoɡɑnts
artichaut	ɑχtiʃoː
artillerie	ɑχtiləʀiː
aschléissen	ɑʃlɜɪ̯sən
aschätzen	ɑʃæt͡sən
asetzen	ɑzæt͡sən
assurance	ɑsyʀɑ̃ːs
astrologie	ɑstʀoloʒiː
aubergine	obæʀʒin
aubergine	obɐʒin
auder	ɑʊ̯dɐ
auer	ɑʊ̯ɐ
auermécher	ɑʊ̯ɐməɕɐ
august	ɑʊ̯ɡust
aus	æˑʊ̯s
ausbriechen	æˑʊ̯sbʀiə̯ɕən
ausdoen	æˑʊ̯sdoːen
ausdroen	æˑʊ̯sdʀoːən
ausgab	æˑʊ̯sɡaːp
ausginn	æˑʊ̯sɡin
auskommen	æˑʊskomən
ausleeën	æˑʊ̯sleːən
ausloggen	æˑʊ̯sloɡən
ausmaachen	æˑʊ̯smaːχən
ausruffzeechen	æˑʊ̯zʀuft͡seːɕən
ausschléissen	æˑʊ̯sʃlɜɪ̯sən
ausschwätzen	æˑʊ̯sʃwæt͡sən
aussetzen	æˑʊ̯szæt͡sən
aussetzen	æˑʊ̯sæt͡sən
auteur	otøːɐ
auto	ɑʊ̯to
autorisatioun	otoʀizɑt͡sjəʊ̯n
autoscourse	ɑʊ̯toskuχs
aviatioun	ɑviɑ-
aviatioun	ɑvjɑtsjəʊ̯n
avion	ɑvjoŋ
avion	ɑvjõː
awanderen	ɑvɑndəʀən
awanderung	ɑvɑndəʀuŋ
awar	ɑvaː
awar	ɑvaːχ
awer	aːvɐ
awunner	ɑvunɐ
baachnénga	baːʁneŋa
baarf	baːf
baarf	baːχf
baarmhäerzegkeet	baːʀmhɛə̯t͡səɕkeːt
baart	baːt
baart	baːχt
baatsch	baːt͡ʃ
badminton	bædmintən
baken	baːkən
ball	bɑl
bampiipsert	baːmpiːpsɐt
banann	bɑnɑn
band	bɑnt
bandscheif	bɑnt͡ʃɑɪ̯f
bank	bɑŋk
bankrott	bɑŋkʀot
bann	bɑn
bannen	bɑnən
bascht	bɑʃt
basketball	baːskədbɑl
bass	bɑs
batter	bɑtɐ
batz	bɑt͡s
bau	bæˑʊ̯
bauch	bæˑʊ̯χ
bauchspeicheldrüs	bæˑʊ̯χʃpɑɪ̯ɕəldʀyːs
bauen	bɑʊ̯ən
bauer	bɑʊ̯ɐ
bauerenhaff	bɑʊ̯əʀənhɑf
baussen	bæˑʊ̯sən
baussent	bæˑʊ̯sənt
beamten	bəɑmtən
becher	bæɕɐ
bedeckt	bədækt
bedeelegung	bədeːləʑuŋ
bedeiten	bədɑɪ̯tən
bedeitung	bədɑɪ̯tuŋ
bedruch	bədʀuχ
bedrécken	bədʀekən
beezen	beːt͡sən
befielen	bəfiə̯lən
begieren	bəɡiə̯ʀən
begierlech	-ɡiə̯ləɕ
begierlech	bəɡiːɐləɕ
begierlechkeet	-ɡiə̯ləɕ-
begierlechkeet	bəɡiːɐləɕkeːt
begleeden	bəɡleːdən
begräifen	bəɡʀæˑɪ̯fən
begréissen	bəɡʀɜɪ̯sən
begrëff	bəɡʀəf
begrënnen	bəɡʀənən
begéinen	bəɡɜɪ̯nən
behaapten	bəhaːptən
behuelen	bəhuə̯lən
behälter	bəhæltɐ
bei	bɑɪ
bei	bɑɪ̯
beicht	bɑɪ̯ɕt
beichtstull	bɑɪ̯ɕtʃtul
beidel	bɑɪ̯dəl
beim	bɑɪ̯m
beispill	bɑɪ̯ʃpil
bekassinn	bekɑsin
beleedegen	bəleːdəʑən
beleeën	bəleːən
beleidegen	bəlɑɪ̯dəʑən
belsch	bæltʃ
belschen	bælʃən
beléift	bəlɜɪ̯ft
bemierken	bəmiə̯kən
bemierkung	bəmiə̯kuŋ
beobachten	bəoːbɑχtən
bereien	bəʀɑɪ̯ən
beriichten	bəʀiːɕtən
beruff	bəʀuf
beréieren	bəʀɜɪ̯əʀən
beréierung	bəʀɜɪ̯əʀuŋ
beschléissen	bəʃlɜɪ̯sən
beschreiwen	bəʃʀɑɪ̯vən
beschränken	bəʃʀæŋkən
beschwéiert	bəʃwɜɪ̯ɐt
besetzen	bəzætsən
besonnesch	bəzonəʃ
bespriechen	bəʃpʀiə̯ɕən
besserung	bæsəʀuŋ
bestanddeel	bəʃtɑnddeːl
bestellen	bəʃtælən
bestiits	bəʃtiːts
bestit	bəʃtiːt
bestrofen	bəʃtʀoːfən
bestueden	bəʃtuə̯dən
bestuet	bəʃtuə̯t
besuch	bəzuχ
betounen	bətəʊ̯nən
bettseechesch	bædzeːɕəʃ
beuechten	bəuə̯ɕtən
bevëlkerung	bəfəlkəʀuŋ
bewonnerung	bəvonəʀuŋ
bewäis	bəvæˑɪ̯s
bezeechnen	bət͡seːɕnən
bezeechnung	bət͡seːɕnuŋ
bezeien	bət͡sɑɪ̯ən
bezuch	bət͡suχ
bezuelen	bət͡suə̯lən
bezweiwelen	bət͡swɑɪ̯vələn
bibel	biːbəl
