a	ɑː
abad	ɑː b ɑː d
abecede	ɑː b eː t͡ʃ eː d eː
abelgan	ɑː b e l j ɑ n
abelgan	ɑː b e l ɡ ɑ n
abeodan	ɑː b eː o̯ d ɑ n
aberendlic	ɑː b e r e n d l iː t ʃ
abidan	ɑː b iː d ɑ n
abraham	ɑ b r ɑ x ɑ m
abrastlian	ɑː b r ɑ s t l i ɑ n
abreoþan	ɑː b r eː o θ ɑ n
abroþen	ɑː b r o θ e n
abroþennys	ɑː b r o θ e n n y s
abufan	ɑː b u f ɑ n
ac	ɑ k
ac	ɑː k
acan	ɑ k ɑ n
accent	ɑ k k e n t
acennedlic	ɑː k e n n e d l iː t ʃ
acnyssan	ɑː k n y s s ɑ n
acol	ɑː k o l
acsian	ɑː k s i ɑ n
acumendlic	ɑː k u m e n d l iː t ʃ
acwelan	ɑː k w e l ɑ n
acweorna	ɑː k w e o̯ r n ɑ
acweorran	ɑː k w e o̯ r r ɑ n
acweþan	ɑː k w e θ ɑ n
acwinan	ɑː k w iː n ɑ n
acwincan	ɑː k w i n k ɑ n
acyrrednes	ɑː t͡ʃ y r r e d n e s
acƿelan	ɑː k w e l ɑ n
acƿeorna	ɑː k w e o̯ r n ɑ
acƿeorran	ɑː k w e o̯ r r ɑ n
acƿeþan	ɑː k w e θ ɑ n
acƿinan	ɑː k w iː n ɑ n
acƿincan	ɑː k w i n k ɑ n
ad	ɑː d
adeliht	ɑ d e l i h t
adesa	ɑ d e s ɑ
adilegian	ɑː d i l e ɡ i ɑ n
adilgian	ɑː d i l ɡ i ɑ n
adl	ɑː d l̩
adlig	ɑː d l i j
adrencan	ɑː d r e n t͡ʃ ɑ n
adreogan	ɑː d r eː o̯ ɡ ɑ n
adrincan	ɑː d r i n k ɑ n
adælan	ɑː d æː l ɑ n
afigen	ɑː f i j e n
afol	ɑ f o l
afor	ɑː f o r
afulic	ɑ f u l iː t ʃ
agan	ɑː ɡ ɑ n
agan	ɑː ɡ ɑː n
agen	ɑː ɡ e n
agengecyrran	ɑ j eː n j e t͡ʃ y r r ɑ n
agengehweorfan	ɑ j eː n j e h w e o̯ r f ɑ n
agengehƿeorfan	ɑ j eː n j e h w e o̯ r f ɑ n
agenslaga	ɑː ɡ e n s l ɑ ɡ ɑ
agenspræc	ɑː ɣ e n s p r æː t ʃ
agenung	ɑː ɡ e n u n ɡ
agiefan	ɑː j i y̯ f ɑ n
agifan	ɑː j i f ɑ n
aglæca	ɑː ɡ l æː k ɑ
agnettan	ɑː ɡ n e t t ɑ n
agnian	ɑː ɡ n i ɑ n
agrisan	ɑː ɡ r iː s ɑ n
ahabban	ɑː h ɑ b b ɑ n
ahatan	ɑː h ɑː t ɑ n
aheawan	ɑ h æː ɑ̯ w ɑ n
aheaƿan	ɑ h æː ɑ̯ w ɑ n
ahleoþrian	ɑː h l eː o̯ θ r i ɑ n
ahreran	ɑː h r eː r ɑ n
ahte	ɑː h t e
ahweorfan	ɑː h w e o̯ r f ɑ n
