Ⴁ	b
Ⴂ	ɡ
Ⴍ	ɔ
ა	ɑ
ააბარგებს	ɑ ɑ b ɑ r ɡ ɛ b s
ააგდებს	ɑ ɑ ɡ d ɛ b s
ააგო	ɑ ɑ ɡ ɔ
აალებადი	ɑ ɑ l ɛ b ɑ d i
აალებული	ɑ ɑ l ɛ b u l i
აამებს	ɑ ɑ m ɛ b s
აბა	ɑ b ɑ
აბაზანა	ɑ b ɑ z ɑ n ɑ
აბაზი	ɑ b ɑ z i
აბაკი	ɑ b ɑ kʼ i
აბამს	ɑ b ɑ m s
აბანო	ɑ b ɑ n ɔ
აბანოზი	ɑ b ɑ n ɔ z i
აბარგება	ɑ b ɑ r ɡ ɛ b ɑ
აბარებს	ɑ b ɑ r ɛ b s
აბატი	ɑ b ɑ tʼ ɪ
აბეზღებს	ɑ b ɛ z ɣ ɛ b s
აბელი	ɑ b ɛ l ɪ
აბზინდა	ɑ b z ɪ n d ɑ
აბი	ɑ b ɪ
აბიბინებს	ɑ b i b i n ɛ b s
აბინძურებს	ɑ b i n d z u r ɛ b s
აბლაგვებს	ɑ b l ɑ ɡ v ɛ b s
აბლაუტი	ɑ b l ɑ u tʼ ɪ
აბმა	ɑ b m ɑ
აბო	ɑ b ɔ
აბონემენტი	ɑ b ɔ n ɛ m ɛ n tʼ ɪ
აბონენტი	ɑ b ɔ n ɛ n tʼ ɪ
აბორიგენი	ɑ b ɔ r ɪ ɡ ɛ n ɪ
აბრაგი	ɑ b r ɑ ɡ ɪ
აბრაკადაბრა	ɑ b r ɑ kʼ ɑ d ɑ b r ɑ
აბრალებს	ɑ b r ɑ l ɛ b s
აბრამი	ɑ b r ɑ m ɪ
აბრევიატურა	ɑ b r ɛ v ɪ ɑ tʼ u r ɑ
აბრეშუმი	ɑ b r ɛ ʃ u m i
აბრუნებს	ɑ b r u n ɛ b s
აბრძანდება	ɑ b r d z ɑ n d ɛ b ɑ
აბსოლუტიზმი	ɑ b s ɔ l u tʼ i z m i
აბსოლუტურად	ɑ b s ɔ l u tʼ u r ɑ d
აბსოლუტური	ɑ b s ɔ l u tʼ u r ɪ
აბსტრაქტულად	ɑ b s tʼ r ɑ kʰ tʼ u l ɑ d
აბსტრაქტული	ɑ b s tʼ r ɑ kʰ tʼ u l ɪ
აბსტრაქცია	ɑ b s tʼ r ɑ kʰ t s ɪ ɑ
აბსურდულად	ɑ b s u r d u l ɑ d
აბსურდული	ɑ b s u r d u l i
აბსურდულობა	ɑ b s u r d u l ɔ b ɑ
აბურძგნილი	ɑ b u r d z ɡ n ɪ l ɪ
აბუსერიძე	ɑ b u s ɛ r i d z ɛ
აბშილავა	ɑ b ʃ i l ɑ v ɑ
აბჯარი	ɑ b d ʒ ɑ r i
აგავა	ɑ ɡ ɑ v ɑ
აგარა	ɑ ɡ ɑ r ɑ
აგბობს	ɑ ɡ b ɔ b s
აგდება	ɑ ɡ d ɛ b ɑ
აგდებს	ɑ ɡ d ɛ b s
აგდებულად	ɑ ɡ d ɛ b u l ɑ d
აგდებული	ɑ ɡ d ɛ b u l ɪ
აგება	ɑ ɡ ɛ b ɑ
აგებინებს	ɑ ɡ ɛ b i n ɛ b s
აგებს	ɑ ɡ ɛ b s
აგეგმვა	ɑ ɡ ɛ ɡ m v ɑ
აგენტად	ɑ ɡ ɛ n tʼ ɑ d
აგენტი	ɑ ɡ ɛ n tʼ ɪ
აგენტით	ɑ ɡ ɛ n tʼ ɪ
აგენტის	ɑ ɡ ɛ n tʼ ɪ
აგენტმა	ɑ ɡ ɛ n tʼ m a
აგენტო	ɑ ɡ ɛ n tʼ ɔ
აგენტს	ɑ ɡ ɛ n tʼ s
აგენტურა	ɑ ɡ ɛ n tʼ u r ɑ
აგვირგვინებს	ɑ ɡ v i r ɡ v i n ɛ b s
აგვისტო	ɑ ɡ v i s tʼ ɔ
აგვისტოდ	ɑ ɡ v ɪ s tʼ ɔ d
აგვისტოთი	ɑ ɡ v ɪ s tʼ ɔ tʰ ɪ
