abair	a p ɪ ɾʲ
ad	a t̪
adharc	ɤ ə ɾ k
agh	ɤ ɣ
àite	aːʰ tʲ ɪ
àlainn	aː ɫ̪ ɪ ɲ
aois	ɯː ʃ
aran	a ɾ a n
bata	p a h t ə
bàta	b̊ aːʰ t̪ ə
bean	b̥ ɛ n
beò	p ɛ̯ ɔː
bochd	p ɔ x k
bodhar	b̊ o ə ɾ
bog	b̊ o ɡ̊
bòidhchead	b ɔː ɪ xʲ a d
bòrd	b̊ ɔː ɹ d̪̊
briogais	b̊ ɾ i ɡ̊ ɪ ʃ
bròn	b̊ ɾ ɔː n
bùth	b̊ uː
caora	kʰ ɯː ɾ ə
cèile	kʰʲ eː l ɪ
ceist	kʰʲ e ʃ tʲ
chan	x a nʲ
cheist	ç e ʃ tʲ
cill	kʲ iː ʎ
cò	k oː
còig	k oː ɡ̊ʲ
coltach	k ɔ ɫ̪ ə x
còrd	k ɔː ɹ d̪̊
còta	kʰ ɔːʰ t̪ ə
creid	kʲʰ ɾʲ ɛ tʲ
crùbag	k ɾ uː b̊ a ɡ̊
cùis	kʰ uː ʃ
dàil	d̪̊ aː l
daor	t̪ ɯː ɾ
datha	t a h ə
dè	d̊ʲ eː
dealbh	tʲ a ɫ̪ a v
deoch	d̊ʲ ɔ x
dìreach	tʲ iː ɾʲ ə x
dlùth	d ɫ̪ uː
dragh	d̪̊ ɾ ɤ ɣ
dùil	d̪̊ uː l
e	ɛ
fada	f a d̪̊ ə
falamh	f a ɫ̪ ə v
faoileag	f ɯː l a ɡ̊
fèidh	f eː j
fhèin	h eː n
fionn	fʲ ũ n
fosgailte	f o s k ə lʲ tʲ ə
gnè	ɡ̊ ɾ ɛ̃
iad	i ə t̪
iad	ə t̪
ìm	iː m
ladhar	ɫ̪ ɤ ə ɾ
lagh	ɫ̪ ɤ ɣ
làmh	ɫ̪ ãː v
làr	ɫ̪ aː ɾ
leis	l e ʃ
leth	ʎ e h
leum	ʎ eː m
lios	l i s
loch	ɫ̪ ɔ x
loisg	ɫ̪ ɔ ʃ kʲ
mac	m aʰ k
mac	m a x k
math	m aː
math	m a h
màthair	m ãː h ɪ ɾʲ
mi	m i
mic	m iʰ kʲ
milis	m i l ɪ ʃ
mòr	m oː r
mòr	m oː ɾ
mór	m oː ɾ
mòrag	m oː ɾ a ɡ̊
mòran	m oː ɾ a n
muc	m uʰ k
nuadh	n u ə ɣ
òg	ɔː ɡ̊
ogha	o ə
pàipear	pʰ ɛːʰ p ə ɾʲ
pàipear	pʰ ã iːʰ p ə ɾʲ
pàirteachas	p aː rˠ ʃ d ə x ə s
pòg	p ɔː ɡ̊
reòiteag	rʲ o t͡ʃʲ a k
ri	ɾʲ i
ris	ɾʲ i ʃ
saor	s ɯː ɾ
sèimh	ʃ ɛ̃ː v
seòl	ʃ ɔː ɫ̪
sgìth	s ɡ̊ʲ iː
sibh	ʃ i v
sin	ʃ ɪ n
sìoda	ʃ iː d̪̊ ə
sìos	ʃ iː s
siud	ʃʲ u d
slànaighear	s l aː n a ɪʲ ɛ r
socair	s ɔʰ k ɪ ɾʲ
sona	s ɔ n ə
speach	ʃ pʲ a x
speal	s b̊ j a ɫ̪
spèis	s p ɛː ʃ
stiùir	ʃ d̊ʲ uː ɾʲ
tarbh	t̪ʰ a ɾ a v
teòclaid	t ʃʰ ɔː x k l̪ˠ ɪ tʲ
thug	h u ɡ̊
toil	t̪ ɔ l
toit	t̪ ɔʰ tʲ
tosd	t̪ʰ ɔ s̪ t̪
tost	t̪ʰ ɔ s̪ t̪
tric	t̪ r iʰ kʲ
tuit	t̪ uʰ tʲ
uiseag	ɯ ʃ a ɡ̊
ùr	uː ɾ
ùrlar	uː ɹ ɫ̪ ə ɾ
