акык	a k ə k
алаал	a l a a l
алав'в'и	a l a w w i
алат	a l a t
анутваны	a n u t v a n ə
аӈӄан	a ŋ q a n
в'ала	w a l a
в'апаӄ	w a p a q
в'апаӄав'в'и	w a p a q a w w i
в'апаӄат	w a p a q a t
в'унук	w u n u k
в'ытв'ыт	w ə t w ə t
виг'э	v i ʕ e
г'игылӈын	ʕ i ɣ ə l ŋ ə n
г'уямтав'илг'ув'в'и	ʕ u j a m t a w i l ʕ u w w i
г'уямтав'илг'ын	ʕ u j a m t a w i l ʕ ə n
г'уямтав'илг'ыт	ʕ u j a m t a w i l ʕ ə t
г'ытвыг'ыт	ʕ ə t v ə ʕ ə t
г'ытг'ын	ʕ ə t ʕ ə n
гыммы	ɣ ə m m ə
гытты	ɣ ə t t ə
ивык	i v ə k
итʔын	i t ʔ ə n
йылӄатык	j ə l q a t ə k
кукэвык	k u k e v ə k
кэӈын	k e ŋ ə n
лыӄлаӈ	l ə q l a ŋ
маруӄыл	m a r u q ə l
матор	m a t o r
мильут	m i lʲ u t
мимыл	m i m ə l
муру	m u r u
мыг'ул'ын	m ə ɣ u l ʔ ə n
мынгылӈын	m ə n ɣ ə l ŋ ə n
нымылʔын	n ə m ə l ʔ ə n
нынпыӄин	n ə n p ə q i n
пыг'унны	p ə ʕ u n n ə
пыӈлук	p ə ŋ l u k
рамкын	r a m k ə n
рараӈа	r a r a ŋ a
ратамран	r a t a m r a n
риририр	r i r i r i r
рыттув'в'и	r ə t t u w w i
рыттырыт	r ə t t ə r ə t
рыттыт	r ə t t ə t
саюк	s a j u k
тав'г'ал	t a w ʕ a l
тав'ыятык	t a w ə j a t ə k
татул	t a t u l
тилӄалык	t i l q a l ə k
титкытит	t i t k ə t i t
ту	t u
тукки	t u k k i
тумгытум	t u m ɣ ə t u m
тылгылӈын	t ə l ɣ ə l ŋ ə n
тыну	t ə n u
тысаюк	t ə s a j u k
уттыран	u t t ə r a n
ъылла	ʔ ə l l a
ъыллаъув'в'и	ʔ ə l l a ʔ u w w i
ъыллыгын	ʔ ə l l ə ɣ ə n
ъынныъын	ʔ ə n n ə ʔ ə n
ъынпыӄлавул	ʔ ə n p ə q l a v u l
ъынпыӈав'	ʔ ə n p ə ŋ a w
ы	ə
ывынъын	ə v ə n ʔ ə n
ынну	ə n n u
ыссэ	ə s s e
энгам	e n ɣ a m
эпав'в'и	e p a w w i
эпат	e p a t
эпаӈа	e p a ŋ a
юӈый	j u ŋ ə j
юӈюв'в'и	j u ŋ j u w w i
юӈют	j u ŋ j u t
юӈюӈ	j u ŋ j u ŋ
яваг'ытг'ын	j a v a ʕ ə t ʕ ə n
яӄяӄ	j a q j a q
ӄ	q
ӄитаӄит	q i t a q i t
ӄурав'в'и	q u r a w w i
ӄурат	q u r a t
ӄураӈа	q u r a ŋ a
ӄылавул	q ə l a v u l
ӄэяӄяӄ	q e j a q j a q
ӈ	ŋ
ӈавакык	ŋ a w a k ə k
