ҷ	d ʒ
ҳ	h
ӣ	i
ғ	ʁ
ӯ	ɵ
бе	b e
ба	b æ
бо	b ɔː
мӯ	m ɵ
мо	m ɔː
по	p ɔː
то	t ɔː
ту	t̪ u
он	ɔː n
ош	ɔː ʃ
буз	b u z
бод	b ɔː d
бол	b ɔː l
бом	b ɔː m
боғ	b ɔː ʁ
дил	d i l
дум	d u m
дам	d æ m
дар	d æ r
дӯш	d ɵ ʃ
кӯл	k ɵ l
кӯр	k ɵː r
ман	m æ n
мӯй	m ɵ j
мор	m ɔː r
ном	n ɔː m
пур	p u r
пар	p æ r
пой	p ɔː j
рег	r e ɡ
рӯд	r ɵ d
рӯз	r ɵː z
сар	s æ r
саг	s æ ɡ
чӯб	t ʃ ɵ b
вай	v a j
хун	x u n
хоб	x ɔː b
хос	x ɔː s
асп	æ s p
ғук	ʁ u k
гул	ɡ u l
гӯш	ɡ ɵ ʃ
шоҳ	ʃ ɔː h
шох	ʃ ɔː x
беша	b e ʃ æ
бинӣ	b i n iː
баҳр	b æ h r
дарё	d a r j ɔː
дӯст	d ɵ s t
кирм	k i r m
мағз	m a ʁ z
мева	m e v æ
моҳӣ	m ɔː h iː
наҳр	n æ h r
пушт	p u ʃ t
пӯст	p ɵː s t
қалб	q æ l b
реша	r e ʃ æ
санг	s æ ŋ
тухм	t u x m
чашм	t ʃ a ʃ m
уқоб	u q ɔː b
вақт	v a q t
вақт	v a χ t
вожа	v ɔː ʒ a
зону	z ɔː n u
жарф	ʒ a ɾ f
шумо	ʃ u m ɔː
гӯшт	ɡ ɵː ʃ t
охир	ɔː χ i ɾ
барра	b æ rː æ
борон	b ɔː r ɔː n
даҳон	d æ h ɔː n
ҷигар	d ʒ i ɡ æ r
кӯдак	k ɵ d æ k
корез	k ɔː ɾ eː z
музей	m u z e j
модар	m ɔː d æ r
намак	n æ m æ k
нохун	n ɔː x u n
пушти	p u ʃ t i
қонун	q ɔː n u n
рӯбоҳ	r ɵ b ɔː h
сабза	s æ b z æ
соиқа	s ɔː j i q a
тоҷик	t ɔː d ʒ i k
хоҳар	x ɔː h æ r
забон	z æ b ɔː n
зивок	z æ b ɔː n
офтоб	ɔ f t ɔ b
шикам	ʃ i k æ m
шимол	ʃ i m ɔː l
гурба	ɡ u r b a
бузург	b u z u r ɡ
дандон	d æ n d ɔː n
ҷангал	d ʒ æ n ɡ æ l
доштан	d ɔː ʃ t æ n
ҳамсоя	h a m s ɔː j a
қонунӣ	q ɔː n u n i j
саҳифа	s æ h i f a
тоҷикӣ	t ɔː d ʒ ɪ k iː
гандум	ɡ æ n d u m
гардан	ɡ æ r d æ n
гоидан	ɡ ɒː j iː d æ n
бародар	b a ɾ ɔː d a ɾ
ҷустуҷӯ	d ʒ u s t u d ʒ ɵː
дӯстона	d ɵː s t ɔː n æ
курбока	k u ɾ b ɔ k ɑ
тарҷума	t a ɾ d ʒ u m a
устухон	u s t u x ɔː n
афрохтан	a f ɾ ɔː x t a n
фурӯхтан	f u r ɵː x t a n
навиштан	n a v i ʃ t a n
парранда	p a ɾː a n d a
хатарнок	x a t a ɾ n ɔː k
арғамчин	æ r ʁ æ m t ʃ i n
ҷустуҷӯҳо	d ʒ u s t u d ʒ ɵː h ɔː
фурӯшанда	f u r ɵː ʃ a n d a
википедиа	v i k i p e d i a
парастидан	p a r a s t i d a n
тавонистан	t a v ɔː n i s t a n
тоҷикистон	t ɔː d ʒ i k i s t ɔː n
арманистон	æ r m æ n i s t ɔː n
ҳамҷинсгаро	h a m d ʒ i n s ɡ a r ɔː
ҳамҷинсгароӣ	h a m d ʒ i n s ɡ a r ɔː i j
шайтонпарастӣ	ʃ a j t o n p a ɾ a s t i
