ар	aː r
бэ	b a
дэ	d a
фэ	f a
фо	f a w
лы	l ə
пэ	p a
сэ	s a
цы	t͡s ə
чэ	t͡ʃ a
гэ	t͡ʃ a n t͡ʃ a
чы	t͡ʃ ə
вы	v ə
уэ	w a
уд	w ə d
уз	w ə z
хы	x ə
зэ	z a
шэ	ʃ a
щэ	ɕ a
ӏэ	ʔ a
лы	ɮ ə
шу	ʃ ə w
гу	ɡʷ ə
адэ	aː d a
бэн	b a n
бэв	b a v
блы	b l ə
бзэ	b z a
бзы	b z ə
бзу	b z ə w
блэ	b ɮ a
бий	b ə j
бый	b ə j
бын	b ə n
бгы	b ɣ ə
бжы	b ʒ ə
блы	b ɮ ə
дэн	d a n
дзэ	d͡z a
фэу	f a w
фоч	f o t͡ʃ
фты	f ə t ə
фыз	f ə z
фӏы	f ʼ ə
езы	j a z ə
ибэ	j ə b a
ины	j ə n ə
изы	j ə z ə
ижь	j ə ʑ
куэ	kʷ a
кӏэ	kʲ ʼ a
куу	kʷ ə w ə
лэн	l a n
мэз	m a z
нэф	n a f
нэз	n a z ə
пэж	p a ʒ
пэш	p a ʃ
псэ	p s a
псо	p s a w
псы	p s ə
пхэ	p x a
пщы	p ɕ ə
пуд	pʰ u d
сыр	s ə r
сыт	s ə t
тху	t xʷ ə
тӏы	t ʼ ə
цӏэ	t͡s ʼ a
лӏы	t͡ɬ ʼ ə
чыл	t͡ʃ ə ɮ
вэн	v a n
уэд	w a d
уэн	w a n
уэс	w a s ə
удз	w ə d͡z
удж	w ə d͡ʒ
унэ	w ə n a
хэт	x a t
хун	xʷ ə n
гъэ	ʁ a
жьэ	ʑ a
лъэ	ɬ a
хьэ	ħ a
жэм	ʒ a m
жэн	ʒ a n
лэн	ɮ a n
щэн	ɕ a n
жэщ	ʒ a ɕ
шае	ʃ aː j a
жан	ʒ aː n
анэ	ʔ aː n a
жей	ʒ e j
жьы	ʑ ə
лъы	ɬ ə
щӏы	ɕ ʼ a
щӏэ	ɕ ʼ a
лӏо	ɬ ʼ a w
шыд	ʃ ə d
гын	ɣ ə n
лыц	ɮ ə t͡s
жыг	ʒ ə ɣ
лӏы	ɬ ʼ ə
щыӏ	ɕ ə ʔ
хъу	χʷ ə
арап	aː r aː p
арму	aː r m ə w
ажал	aː ʒ aː l
бамэ	b aː m a
банэ	b aː n a
бацэ	b aː t͡s a
бажэ	b aː ʒ a
бдзэ	b d͡z a
бзын	b z ə n
бгъэ	b ʁ a
бжэн	b ʒ a n
быдэ	b ə d a
бжьэ	b ʑ ə
бжын	b ʒ ə n
блын	b ɮ ə n ə
бгъу	b ʁʷ ə
дэнэ	d a n a
дэгу	d a ɡʷ
дамэ	d aː m a
данэ	d aː n a
дауэ	d aː w a
делэ	d e l a
дыдж	d ə d͡ʒ
дыщэ	d ə ɕ a
дзэл	d͡z a ɮ
дзын	d͡z ə n
джэд	d͡ʒ a d
джэш	d͡ʒ a ʃ
джей	d͡ʒ e j
фащэ	f aː ɕ a
фӏэщ	f ʼ a ɕ
фӏей	f ʼ e j
фиин	f ə j a n
ипщэ	i p ɕ a
ефэн	j a f a n
есын	j a s ə n
етын	j a t ə n
ехын	j a x ə
ятӏэ	j aː t ʼ a
яжьэ	j aː ʑ a
икӏи	j ə t͡ʃ i
иӏэн	j ə ʔ a n
куэд	kʷ a d
лэпс	l a p s
модэ	m a w d a
макъ	m aː q a
махэ	m aː x a
мазэ	m aː z a
мащэ	m aː ɕ a
мыдэ	m ə d a
мывэ	m ə v a
мыщэ	m ə ɕ a
нэпс	n a p s
нэзы	n a z ə
нэхъ	n a χ
нэхь	n a ħ
нэщӏ	n a ɕ ʼ
напэ	n aː p a
нарт	n aː r t
нэху	n aː xʷ
нащэ	n aː ɕ a
нобэ	n oː b a
нтӏэ	n t ʼ a
ныбэ	n ə b a
нысэ	n ə s a
ныуэ	n ə w a
пасэ	p aː c a
пакъ	p aː q
пагэ	p aː ɣ a
пкъы	p q ə
псей	p s e j
пцӏы	p t͡s ʼ ə
пхъэ	p χ a
пхъы	p χ ə
плӏы	p ɬ ʼ ə
пщӏы	p ɕ ʼ ə
пхъу	p χʷ ə
къэб	q a b
къаз	q aː z
къуэ	qʷ a
къыу	qʷ ə w
кхъэ	q͡χ a
санэ	s aː n a
танэ	t aː n a
тхэн	t x a n
тхьэ	t ħ a
тынш	t ə n ʃ
тӏын	t ʼ ə n
тхъо	t χʷ a
чэнж	t͡ʃ a n ʒ
вынд	v ə n d
уэфӏ	w a f ʼ
уэшх	w a ʃ x
уафэ	w aː f a
уанэ	w aː n a
