а	ɑ
адам	ɑ d ɑ m
ауғанстан	ɑ w ʁ ɑ n s t ɑ n
ақыл	ɑ k ɯ l
б	b
байы	b ɑ j ə
баю	b ɑ j u
бірқазан	b ɘ r q ɑ z ɑ n
в	v
г	ɡ
гүлстан	ɡ y l s t a n
гүлстан	ɡ y l s t ɑ n
гүлстан	ɡ ʉ l s t ɑ n
д	d
деу	d ɪ̯ e w
дүкен	d ʉ kʲ e n
е	ʲe
ж	ʒ
жаман	d ʒ a m a n
жапония	ʒ ɑ p o n i j ɑ
жақсы	d ʒ a q s ɯ
жер	d ʒ e r
жомарт	ʒ o m ɑ r t
жоңышқа	ʒ o ŋ ə ʃ q ɑ
жүнісов	ʒ ʉ n ɪ s ɑ f
з	z
и	ə j
иық	i j ɨ q
иық	i j ɨ x
иық	ə j ə q
иық	ə j ə x
иық	ɪ j ɨ q
иық	ɪ j ɨ x
й	j
к	k
көже	k œ ʒ e
л	l
м	m
мал	m ɑ l
мемлекет	m e m l e k e t
моңғолия	m o ŋ ʁ o l i j ɑ
н	n
о	o
облыстық	o b l ə s t ə q
п	p
патшалық	p ɑ t ʃ ɑ l ə q
р	r
ресейлік	ɾʲ ɘ sʲ ɘ j l ɘ k
республикалық	ɾ e s p u b l i k a l ə q
с	s
сарбаз	s ɑ r b ɑ z
су	s ʊ w
сүгірбаев	s ʉ ɡ ɪ r b ɑ j e f
сәбіз	s æ b ɘ z
сәуле	s æ w lʲ e
т	t
тас	t ɑ s
туған	t ʊ w ɣ ɑ n
түркия	t ʉ r kʲ ɪ j ə
түсіну	t ʉ s ɘ n ʉ w
у	ʊ w
ф	f
х	x
ц	t͡s
ч	t͡ʃ
ш	ʃ
щ	ɕ
ы	ə
э	e
ю	j ʊ w
я	j ɑ
ё	ʲo
і	i
ішу	i ʃ u w
ішу	i ʃ uː
ішу	ɪ ʃ ʉ w
ғ	ɣ
қ	q
қазақ	q ɑ z ɑ q
қазақстан	q ɑ z ɑ q s t ɑ n
қазақстандық	q ɑ z ɑ q s t ɑ n d ə q
қазақы	q ɑ z ɑ q ə
қан	q ɑ n
қанат	q ɑ n ɑ t
қара	q ɑ ɾ ɑ
қарақ	q ɑ r ɑ q
қол	q o l
қымыз	q ə m ə z
қытай	q ə t a j
қытайлық	q ə t a j l ə q
құс	q ʊ s
ң	ŋ
ү	ʉ
үркер	y ɾ kʲ e ɾ
үркер	y ɾ kʲ æ ɾ
үркер	y ɾ kʲ ɛ ɾ
үркер	y ɾ kʲ ɪ ɾ
үркер	ʉ ɾ kʲ ɘ ɾ
ұ	ʊ
һ	h
ә	æ
ө	œ
өзбекстандық	ø z bʲ ɘ k s t ɑ n d ə q
