апак	ɑ p ɑ k
ардомс	ɑ r d ə m s
атям	ɑ tʲ ɑ m
аф	ɑ f
афоль	ɑ f ə lʲ
ацам	ɑ t͡s ɑ m
аш	ɑ ʃ
ваномс	v ɑ n ə m s
варжакснемс	v ɑ r d ʒ ɑ k s nʲ ə m s
варжакстомс	v ɑ r d ʒ ɑ k s t ə m s
варжамс	v ɑ r d ʒ ɑ m s
варжаф	v ɑ r d ʒ ɑ f
варжафкс	v ɑ r d ʒ ɑ f k s
васенце	v ɑ sʲ e nʲ t sʲ æ
вастс	v a s t s
вете	vʲ e tʲ æ
ветеце	vʲ e tʲ ə t sʲ æ
видьме	vʲ i dʲ mʲ æ
вирь	vʲ i rʲ
кандомс	k ɑ n d ə m s
касомс	k ɑ s ə m s
кафксоце	k ɑ f k s ə t sʲ æ
келу	kʲ e l u
кие	kʲ i
кие	kʲ i j æ
колма	k o l m ɑ
колмоце	k o l m ə t sʲ æ
кота	k o t ɑ
куд	k u d
кундамс	k u n d ɑ m s
кяль	kʲ æ lʲ
лем	lʲ æ m
лия	lʲ i j æ
лоськофтомс	l o sʲ k ə f t ə m s
лоськофтф	l o sʲ k ə f t f
лувомс	l u v ə m s
маряма	m ɑ rʲ ɑ m ɑ
марямс	m ɑ rʲ ɑ m s
мезе	m e zʲ æ
минь	mʲ i nʲ
молемс	m o lʲ ə m s
мон	m o n
ниле	nʲ i lʲ æ
омбоце	o m b ə t sʲ æ
орган	o r ɡ ɑ n
пакся	p ɑ k sʲ æ
перьф	p e rʲ f
перьфпяле	p e rʲ f pʲ æ lʲ ə
перьфпяль	p e rʲ f pʲ æ lʲ
пизем	pʲ i zʲ e m
пиле	pʲ i lʲ æ
пичемарь	pʲ i t ʃʲ æ m ɑ rʲ
пря	p rʲ æ
пяль	pʲ æ lʲ
пялькс	pʲ æ lʲ k s
сама	s ɑ m ɑ
самс	s ɑ m s
сельме	sʲ e lʲ mʲ æ
сельмоваржафкс	sʲ e lʲ m ə v ɑ r d ʒ ɑ f k s
сембе	sʲ e mʲ bʲ æ
симомбяль	sʲ i m ə m bʲ æ lʲ
симомс	sʲ i m ə m s
синь	sʲ i nʲ
сон	s o n
тинь	tʲ i nʲ
тол	t o l
тон	t o n
тонафнемс	t o n ɑ f nʲ ə m s
тонафтомс	t o n ɑ f t ə m s
тумс	t u m s
финц	f i n t s
фкя	fʲ kʲ æ
щам	ʃ t͡ʃ ɑ m
щамс	ʃ t͡ʃ ɑ m s
