аба	ɐ b a
абаджийка	ə b ɐ d ʒ i j k ə
абаджийство	ə b ɐ d ʒ i j s t v o
абаджия	ə b ɐ d ʒ i j ə
абдикира	ə b d i kʲ i r ə
абдикирай	ə b d i kʲ i r ə j
абдикирайки	ə b d i kʲ i r ə j kʲ i
абдикирайте	ə b d i kʲ i r ə j t ɛ
абдикирал	ə b d i kʲ i r ə ɫ
абдикирала	ə b d i kʲ i r ə ɫ ə
абдикиралата	ə b d i kʲ i r ə ɫ ə t ə
абдикирали	ə b d i kʲ i r ə lʲ i
абдикиралите	ə b d i kʲ i r ə lʲ i t ɛ
абдикиралия	ə b d i kʲ i r ə lʲ i j ə
абсолютен	ɐ p s̪ o lʲ u t̪ ɛ n̪
абсолютно	ɐ p s̪ o lʲ u t̪ n̪ o
абсурд	ɐ p s u r t
автомобил	ə f t o m o b i ɫ
агнец	ɐ ɡ n ɛ t͡s
ален	a ɫ ɛ n
анархия	ɐ n a r xʲ i j ə
анасон	ə n ɐ s ɔ n
ангелина	ə ŋ ɡ ɛ lʲ i n ə
анорексия	a n ɔ r ɛ k s i j a
арамия	ə r ɐ m i j ə
арзухал	ə r z u x a ɫ
атом	a t o m
афганистан	a v ɡ ə n i s t a n
багър	b a ɡ ə r
баклава	b ə k ɫ ɐ v a
бардак	b ɐ r d a k
бахар	b ɐ x a r
баща	b ɐ ʃ t a
бебе	b ɛ b ɛ
бежов	b ɛ ʒ o̟ f
безбожие	b ɛ z b ɔ ʒ i ɛ
безформен	b ɛ s f ɔ r m ɛ n
бей	b ɛ j
белег	b ɛ ɫ ɛ k
бодил	b o d i ɫ
бозав	b ɔ z ə f
брош	b r ɔ ʃ
брюква	b rʲ u̟ k v ə
була	b u ɫ ə
буля	b u lʲ ə
бутан	b u t a n
бутан	b u t ə n
бъбрек	b ɤ b r ɛ k
вакъл	v a k ə ɫ
ватог	v a t o k
ватра	v a t r ə
версия	v ɛ r s i j ə
водка	v ɔ t k ə
войвода	v o j v ɔ d ə
вран	v r a n
връв	v r ɤ f
вторник	f t ɔ r n i k
вуйчо	v u j t͡ʃ o̟
възлизалият	v ə z lʲ i z ə lʲ i j ə t
гей	ɡ ɛ j
гербераст	ɡ ɛ r b ɛ r a s t
глезен	ɡ ɫ ɛ z ɛ n
господин	ɡ o s p o d i n
града	ɡ r a d ə
града	ɡ r ɐ d a
гранив	ɡ r ɐ n i f
грив	ɡ r i f
гръбнак	ɡ r ə b n a k
гъстак	ɡ ə s t a k
дворец	d v o r ɛ t͡s
денес	d ɛ n ɛ s
дивизма	d i v i z m ə
дий	d i j
диканя	d i k a nʲ ə
дилянка	d i lʲ a̟ ŋ k ə
дремя	d r ɛ mʲ ə
дрибак	d r i b a k
дума	d u m ə
дявол	dʲ a̟ v o ɫ
дяволски	dʲ a̟ v o ɫ s kʲ i
европа	ɛ v r ɔ p ə
език	ɛ z i k
жиг	ʒ i k
жилище	ʒ i lʲ i ʃ t ɛ
зелен	z ɛ ɫ ɛ n
йерарх	j ɛ r a r x
йо	j ɔ
йод	j ɔ t
йоктолитър	j ɔ k t o lʲ i t ə r
йоктометър	j ɔ k t o m ɛ t ə r
йоталитър	j o t ɐ lʲ i t ə r
йотаметър	j o t ɐ m ɛ t ə r
как	k a k
калай	k ɐ ɫ a j
калий	k a lʲ i j
канап	k ɐ n a p
канджа	k a n d ʒ ə
карта	k a r t ə
кафяв	k ɐ fʲ a̟ f
керамика	k ɛ r a m i k ə
кисел	kʲ i s ɛ ɫ
кисело	kʲ i s ɛ ɫ o
клен	k ɫ ɛ n
ключ	k lʲ u̟ t͡ʃ
книга	k n i ɡ ə
книжен	k n i ʒ e n
козел	k o z ɛ ɫ
комар	k o m a r
комитет	k o m i t ɛ t
коноп	k o n ɔ p
копаница	k ɔ p ə n i t͡s ə
косатка	k o s a t k ə
котка	k ɔ t k ə
крава	k r a v ə
крал	k r a ɫ
кумбара	k ʊ m b ɐ r a
кърчаг	k ɤ r t͡ʃ a̟ k
лазурен	ɫ ɐ z u r ɛ n
лале	ɫ a ɫ ɛ
левурда	ɫ ɛ v u r d ə
левурда	ɫ ɛ v ʊ r d ə
лилав	lʲ i ɫ a f
липа	lʲ i p a
лисица	lʲ i s i t͡s ə
лъжица	ɫ ə ʒ i t͡s ə
магазин	m ɐ ɡ ɐ z i n
майка	m a j k ə
малина	m ɐ lʲ i n ə
мангуна	m ɐ ŋ ɡ u n ə
маса	m a s ə
ментовка	m ɛ n t ɔ f k ə
мирта	m i r t ə
млечнобял	m ɫ ɛ t͡ʃ n o bʲ a̟ ɫ
модър	m ɔ d ə r
мой	m ɔ j
мушама	m ʊ ʃ ɐ m a
мъгла	m ə ɡ ɫ a
нахален	n ɐ x a ɫ ɛ n
негър	n ɛ ɡ ɤ r
неделя	n ɛ d ɛ lʲ ə
носорог	n o s o r ɔ k
някои	nʲ ɐ k ɔ i
някой	nʲ ɐ k ɔ j
няколко	nʲ ɐ k ɔ ɫ k o
оман	o m a n
панджар	p ɐ n d ʒ a̟ r
папагал	p ə p ɐ ɡ a ɫ
патка	p a t k ə
паткан	p a t k a n
пащърнак	p ə ʃ t ə r n a k
пейзаж	p ɛ j z a ʃ
петък	p ɛ t ə k
печиво	p ɛ t͡ʃ i v o
плута	p ɫ u t ə
повей	p ɔ v ɛ j
поглеждам	p o ɡ ɫ ɛ ʒ d ə m
подбел	p ɔ d b ɛ ɫ
положение	p o ɫ o ʒ e n i ɛ
понеделник	p o n ɛ d ɛ ɫ n i k
праскова	p r a s k o v ə
пътека	p ə t ɛ k ə
резедав	r ɛ z ɛ d a f
резене	r ɛ z ɛ n ɛ
ренде	r ɛ n d ɛ
ресторан	r ɛ s t o r a n
речник	r ɛ t͡ʃ n i k
риж	r i ʃ
роза	r ɔ z ə
руд	r u t
румен	r u m ɛ n
руски	r u s kʲ i
ряпа	rʲ a̟ p ə
с	s
с	s ɤ
с	z
саксия	s ɐ k s i j ə
самун	s ɐ m u n
сарма	s ɐ r m a
свой	s v ɔ j
седмица	s ɛ d m i t͡s ə
селвия	s ɛ ɫ v i j ə
сера	s ɛ r ɤ
