a	ɑ
aagni	ɑː ɡ n i
b	b
c	t͡s
ceerkav	t͡s eː r k ɑ v
ceeʒʒaž	t͡s eː d͡zː ɑ ʒ
cââǥǥan	t͡s ɐː ɣː ɑ n
d	d
e	e
e	ɛ
f	f
fooma	f oː m ɑ
g	ɡ
garmaan	ɡ ɑ r m ɑː n
gåårad	ɡ ɔː r ɑ d
h	h
h	x
i	i
i	j
iirâšǩ	iː r ɐ ʃ c͡ç
j	ʝ
jååǥǥar	ʝ ɔː ɣː ɑ r
k	k
kluuǥǥai	k l uː ɣː ɑ i
koonǥõs	k oː n ɣ ɘ s
koǯǯ	k o d͡ʒː
kuõbǯǯ	k u̯ ɘ b d͡ʒː
kõʒʒ	k ɘ d͡zː
l	l
luõss	l u ɘ sː
m	m
manah	m ɑ n ɑ x
n	n
njauddâm	ɲ ɑ u dː ɐ m
njuhčč	ɲ u h t͡ʃː
o	o
p	p
papp	p ɑ pː
päärnaž	p aː r n ɑ ʒ
pååttaǩ	p ɔː tː ɑ c͡ç
r	r
s	s
smiâhh	s m i̯ ɐ xː
soorkõs	s oː r k ɘ s
sääldat	s aː l d ɑ t
t	t
truubšeǩ	t r uː b ʃ e c͡ç
u	u
u	w
v	v
villj	v i ʎː
võrr	v ɘ rː
võõri	v ɘː r i
z	z
â	ɐ
ä	a
äkk	a kː
å	ɔ
ååggašǩ	ɔː ɡː ɑ ʃ c͡ç
åållaž	ɔː lː ɑ ʒ
õ	ɘ
õõđ	ɘː ð
č	t͡ʃ
čiõlliǩ	t͡ʃ i ɘ lː i c͡ç
čäŋŋõõtti	t͡ʃ a ŋː ɘː tː i
čõrmm	t͡ʃ ɘ r mː
đ	ð
ŋ	ŋ
š	ʃ
škooulnekka	ʃ k oː u l n e kː ɑ
ž	ʒ
ǥ	ɣ
ǧ	ɟ͡ʝ
ǩ	c͡ç
ǩiõll	c͡ç i ɘ ɫː
ǯ	d͡ʒ
ʒ	d͡z
