reconstruction:gothic/𐌵𐌹𐍃𐍃	kʷ i s s
reconstruction:gothic/𐌲𐌿𐍄𐌰	ɡ u t a
reconstruction:gothic/𐌷𐌻𐌰𐌸𐌰𐌽	h l a θ a n
reconstruction:gothic/𐌻𐌴𐌹𐌸𐌰𐌽	l iː θ a n
reconstruction:gothic/𐍃𐌺𐌰𐍀𐌾𐌰𐌽	s k a p j a n
reconstruction:gothic/𐍅𐌿𐌻𐍆𐌹𐌻𐌰	w u l f i l a
𐌰𐍆	a ɸ
𐌹𐌺	i k
𐌹𐌽	i n
𐍃𐌰	s a
𐌿𐍃	u s
𐍈𐌴	ʍ eː
𐌸𐌿	θ uː
𐌾𐌿𐍄	j u t
𐌾𐌿𐍃	j uː s
𐌼𐌹𐌺	m i k
𐌼𐌹𐍃	m i s
𐍃𐌹𐌺	s i k
𐍃𐌹𐍃	s i s
𐌿𐌽𐍃	u n s
𐍅𐌹𐍃	w i s
𐍅𐌹𐍄	w i t
𐌸𐌰𐌽	θ a n
𐍈𐌰𐌽	ʍ a n
𐌸𐌰𐍂	θ a r
𐍈𐌰𐍂	ʍ a r
𐍈𐌰𐍃	ʍ a s
𐍈𐌰𐌸	ʍ a θ
𐌸𐌿𐌺	θ u k
𐌸𐌿𐍃	θ u s
𐌰𐌶𐌲𐍉	a z ɡ oː
𐌰𐌲𐌻𐍉	a ɣ l oː
𐌱𐌹𐌸𐌴	b i θ eː
𐌱𐌹𐍈𐌴	b i ʍ eː
𐌱𐌰𐌿𐌰	b ɔː a
𐌳𐌰𐌻𐌴	d a l eː
𐌳𐌿𐌸𐌴	d u θ eː
𐌳𐌰𐌹𐌲	d ɛː x
𐌹𐍄𐌰𐌽	i t a n
𐌹𐌱𐌰𐌹	i β ɛː
𐌵𐌰𐌼𐍄	kʷ a m t
𐌼𐌰𐌻𐍉	m a l oː
𐌼𐌰𐌸𐌰	m a θ a
𐌼𐌹𐌽𐍃	m i n s
𐌼𐌰𐌹𐍃	m ɛː s
𐍉𐌲𐌰𐌽	oː ɣ a n
𐍃𐌰𐌴𐌹	s a iː
𐍅𐌴𐌲𐍃	w eː x s
𐍅𐌴𐌹𐌽	w iː n
𐍅𐌴𐌹𐍃	w iː s
𐍅𐍉𐌳𐍃	w oː θ s
𐍆𐌹𐌻𐌿	ɸ i l u
𐍆𐌹𐌼𐍆	ɸ i m ɸ
𐌲𐍉𐌸𐍃	ɣ oː θ s
𐍆𐍂𐌰𐌼	ɸ r a m
𐌲𐌿𐌻𐌸	ɡ u l θ
𐌲𐌿𐌼𐌰	ɡ u m a
𐌸𐍅𐌰𐌷	θ w a x
𐌰𐌹𐌱𐍂	ɛː β r
𐌰𐌻𐌾𐌰𐌸	a l j a θ
𐌰𐍃𐍄𐌰𐌸	a s t a θ
𐌰𐌶𐍅𐌼𐌴	a z y m eː
𐌰𐌸𐌸𐌰𐌽	a θː a n
𐌱𐌹𐌸𐌴𐌷	b i θ eː x
𐌱𐌹𐌰𐌿𐌺	b i ɔː k
𐌱𐍂𐌿𐌺𐍃	b r uː k s
𐌱𐌰𐌿𐌰𐌽	b ɔː a n
𐌱𐌰𐌿𐌹𐌸	b ɔː i θ
𐌱𐌰𐌿𐌸𐍃	b ɔː θ s
𐌱𐌰𐌿𐌰𐌹	b ɔː ɛː
𐌳𐌰𐌻𐌰𐌸	d a l a θ
𐌳𐌹𐌲𐌰𐌽	d i ɡ a n
𐌳𐌿𐌷𐌸𐌴	d u h θ eː
𐌳𐌿𐌲𐌰𐌽	d u ɣ a n
𐌳𐌿𐌸𐌴𐌹	d u θ iː
𐌳𐌿𐌸𐌸𐌴	d u θ θ eː
𐌳𐌰𐌿𐍆𐍃	d ɔː f s
𐍆𐌰𐍂𐌰𐌽	f a r a n
𐍆𐌹𐌾𐌰𐌽	f i j a n
𐍆𐌿𐌲𐌻𐍃	f u ɣ l s
𐍆𐌰𐌹𐌷𐌿	f ɛ h u
𐍆𐌰𐌹𐌰𐌽	f ɛː a n
𐌷𐌰𐌱𐌰𐌽	h a b aː n
𐌷𐌰𐍄𐌰𐌽	h a t aː n
𐌷𐌹𐌻𐌼𐍃	h i l m s
𐌷𐌻𐌰𐌹𐍅	h l ɛː w
𐌷𐌿𐌽𐌳𐍃	h u n d s
𐌷𐌰𐌹𐍄𐌹	h ɛː t i
𐌷𐌰𐌹𐌸𐌹	h ɛː θ i
𐌹𐌶𐍅𐌰𐍂	i z w a r
𐌹𐌶𐍅𐌹𐍃	i z w i s
𐌹𐌲𐌵𐌰𐍂	i ŋ kʷ a r
𐌹𐌲𐌵𐌹𐍃	i ŋʷ kʷ i s
𐌴𐌹𐌸𐌰𐌽	iː θ a n
𐌾𐌰𐌱𐌰𐌹	j a β ɛː
𐌾𐌰𐌹𐌽𐍃	j ɛː n s
𐌺𐌰𐍂𐍉𐌽	k a r oː n
𐌺𐌰𐌿𐍂𐌽	k ɔ r n
𐌵𐌹𐌼𐌰𐌽	kʷ i m a n
𐌻𐌰𐌲𐌲𐍃	l a ŋ ɡ s
𐌻𐌹𐌸𐌿𐍃	l i θ u s
𐌼𐌰𐌲𐌰𐌽	m a ɣ a n
𐌼𐌴𐌹𐌽𐍃	m iː n s
𐌼𐌿𐌽𐌰𐌽	m u n a n
𐌽𐌹𐌼𐌰𐌽	n i m a n
𐍂𐌹𐌺𐌰𐌽	r i k a n
𐍂𐌴𐌹𐌺𐍃	r iː k s
𐍃𐌹𐍄𐌰𐌽	s i t a n
𐍃𐌹𐍄𐌻𐍃	s i t l̩ s
𐍃𐌹𐌱𐌿𐌽	s i β u n
𐍃𐌴𐌹𐌽𐍃	s iː n s
𐍃𐌺𐌿𐌻𐌰	s k u l a
𐍃𐍅𐌴𐌹𐌽	s w iː n
𐍃𐌰𐌹𐌷𐍃	s ɛ x s
𐍄𐌹𐌲𐌿𐍃	t i ɣ u s
𐌿𐌽𐍃𐌰𐍂	u n s a r
𐌿𐌽𐍃𐌹𐍃	u n s i s
𐌿𐌲𐌺𐌰𐍂	u ŋ k a r
𐌿𐌲𐌺𐌹𐍃	u ŋ k i s
𐍅𐌰𐌺𐌰𐌽	w a k a n
𐍅𐌰𐌲𐌲𐍃	w a ŋ ɡ s
𐍅𐌹𐍃𐌰𐌽	w i s a n
𐍅𐌹𐍄𐌰𐌽	w i t a n
𐍅𐌹𐍄𐌰𐌽	w i t aː n
𐍅𐌹𐍄𐍉𐌸	w i t oː θ
𐍅𐌹𐍄𐌰𐌹	w i t ɛː
𐍅𐌹𐌸𐍂𐌰	w i θ r a
𐍅𐌴𐌹𐌷𐍃	w iː x s
𐍅𐌿𐌻𐍆𐍃	w u l f s
𐍅𐌰𐌿𐍂𐌳	w ɔː r d
𐍈𐌰𐌳𐍂𐌴	ʍ a d r eː
𐌸𐌰𐌽𐌳𐌴	θ a n d eː
𐍈𐌰𐌸𐌰𐍂	ʍ a θ a r
𐌸𐌰𐌷𐍄𐌰	θ aː h t a
