a	ə
adamant	a d a m a n t
adhelergh	ə ð ɛ l h ə ɹ x
adhelergh	ə ð ɛ l h ə ɹ
adhyskans	a ð ɪ s k a n s
adhyski	a ð ɪ s k i
adhyskonieth	a ð ɪ s k ɔ n i ɛ θ
adhyskoniethel	a ð ɪ s k ɔ n i ɛ θ ɛ l
adhyskonydh	a ð ɪ s k ɔ n ɪ ð
adre	ə d ɹ eː
agas	æ ɡ ə s
agas	æ ɡ ə z
agensow	ə ɡ ɛ n z o ʊ
agria	ə ɡ ɹ iː ə
ahës	ə h eː z
ahës	ə h iː z
ahÿs	ə h iː z
ahÿs	ə h eː z
als	ɒ l z
als	æ l z
alwheth	æ l ʍ ə θ
amanyn	ə m æ n ɪ n
amanyn	ə m æ n ə n
amary	æ m ə ɾ i
avorow	ə v ɔ ɾ o ʊ
bay	b æ i
blejen	b l ɛ d͡ʒ ə n
blejennow	b l ə d͡ʒ ɛᵈ n o ʊ
blejyow	b l ɛ d͡ʒ o ʊ
bones	b ɔ n ə s
bones	b ɔ n ə z
bos	b ɔː z
brython	b r ə θ ɔ n
coth	k o θ
dydh	d iː ð
dywvregh	d i ʊ v r ə x
dëdh	d eː ð
dëdh	d iː ð
dÿdh	d iː ð
dÿdh	d eː ð
gell	ɡ ɛ lː
gohi	ɡ ɔ h i
golyow	ɡ ɔ l j o ʊ
gorm	ɡ ɔ r m
gwag	ɡ w æː ɡ
gwedh	ɡ w eː ð
gwern	ɡ w ɛ r n
gwragh	ɡ w ʁ ɑː χ
gwëdh	ɡ w eː ð
gwÿdh	ɡ w iː ð
hireth	h ɪ r ɛ θ
kei	k ə j
kemmyn	k ɛ m m ɪ n
kernewek	k ɛ r n ɛ w ɛ k
kernow	k ə r n o u
kernowak	k ə r n u ə k
kernowek	k ɛ r n ɔ w ɛ k
kernowek	k ə r n uː ɐ k
kernowyon	k ə r n o u j ɔ n
kuntilow	k ɐ n t iː l ɔː
lewpard	l ɛ ʊ p a r d
lewpard	l ɛ ʊ p ə r d
maghteth	m a x t ɛ θ
maghteth	m æʰ t ɐ θ
margh	m a ɾ x
maw	m æ ʊ
mergh	m ɛ ɹ x
nerth	n ɛ r θ
ostes	o s t ə s
perna	p e r n ə
pur	p yː r
pur	p iː r
pò	p ɔ
ros	ɹ oː z
sagh	s aː x
sagh	z æːʰ
skons	s k ɔ n s
tasow	t a z o
teylu	t ɛ ɪ l y
teylu	t ə ɪ l ɪ ʊ
tiger	t iː ɡ ɛ r
tiger	t iː ɡ ɐ r
tron	t r oː n
udn	ɪᵈ n
udn	ʏ n
unn	ʏ n
unn	ɪᵈ n
why	ʍ iː
why	ʍ ə ɪ
y	iː
ysel	ə z ɛ l
âls	ɒ l z
âls	æ l z
ès	ɛ z
