אַ	a
אַזיע	a z j ə
אַלע	a l ə
אַמעריקע	a m ɛ r i k ə
אַנדערע	a n d ə r ə
אָנרירן	ɔ n ʁ ɪ ʁ n
אַפֿריקע	a f r i k ə
אַקסל	a k s ə l
אַרגענטינע	a r ɡ ɛ n t i n ə
אויך	ɔ j x
אויס־	oː s
אויס־	o ʊ̯ s
אויס־	ɔ ɪ̯ s
אויסטראַליע	ɔ j s t r a l j ə
אויער	ɛ v ə ʁ
אויער	e ɪ ə ʁ
אויער	e ɪ v ə ʁ
אויער	ɛ ʊ̯ ə ʁ
אויף	ɔ j f
אויף	ɔ f
אויף	a f
אויקען	ɔ ɪ̯ k ŋ̩
אומעטום	ʊ m ə t ʊ m
אומעטום	ɨ m ə t ɨ m
אומעטום	ɪ m ə t ɪ m
און	ʊ n
און	ɪ n
און	ɨ n
אונדז	ʊ n d z
אונדז	ɪ n d z
אונדז	ɨ n d z
איבער	i b ə r
איבער	j i b ə r
איז	ɪ
אייראָפּע	ɛ j r ɔ p ə
אין	i n
באַר	b a ʁ
בויך	b ɔ ɪ χ
בוך	b ʊ χ
בוך	b iː χ
בוך	b i χ
ביאַלי	b j a l ɪ
ביבל	b ɪ b ə l
בייגל	b ɛ ɪ ɡ ə l
בייגל	b a ɪ ɡ ə l
ביר	b ɪ ʁ
בלאַט	b l a t
בלוט	b l ʊ t
בלוט	b l iː t
בלוי	b l ɔ ɪ
בלוי	b l ɔ
בלוי	b l oː
בלוי	b l o ʊ
בלוי	b l o ʊ
בלוי	b l ɔ ɪ
בליץ	b l ɪ t s
בלעטל	b l ɛ t ə l
בעט	b ɛ t
בער	b ɛ ʁ
ברויט	b ʁ e ɪ̯ t
ברויט	b ʁ ɔ ɪ̯ t
בריוו	b ʁ ɪ v
בריוו	b ʁ iː v
בריוו	b ʁ i v
גוט	ɡ ʊ t
גוט	ɡ ɪ t
גוטע	ɡ ʊ t ə
גוף	ɡ ʊ f
גוף	ɡ ɪ f
גנבֿ	ɡ a n ə f
גנבֿה	ɡ n ɛ ɪ v ə
גנבֿיש	ɡ a n ɛ ɪ v ɪ ʃ
געזאָגט	ɡ ə z ɔ k t
געפֿרעגט	ɡ ə f ʁ ɛ k t
גערויש	ɡ ə ʁ e ɪ ʃ
גערויש	ɡ ə ʁ ɔː ʃ
גערעדט	ɡ ə r ɛ t
גערעדט	ɡ ə ʁ ɛ t
גראָז	ɡ ʁ ɔ z
גראָז	ɡ ʁ uː s
גרויס	ɡ r ɔ j s
גריבענעס	ɡ ʁ ɪ b ə n ə s
גרענעץ	ɡ ʀ ɛ n ə t͡s
גרײַז	ɡ ʁ a ɪ z
גרײַז	ɡ ʁ aː z
גרײַז	ɡ ʁ a z
גײַסט	ɡ a ɪ s t
גײַסט	ɡ aː s t
גײַסט	ɡ a s t
גײַסטיק	ɡ a ɪ s t ɪ k
גײַסטיק	ɡ aː s t ɪ k
דאָס	d ɔ s
די	d i
דעם	d ɛ m
דער	d ɛ r
דרײַצן	d r a j t s n̩
דײַן	d a ɪ n
האָבן	h ɔ b n̩
האָבן	h ɔ b m̩
האַלדז	h a l d z
האַנט	h a n t
האָר	h ɔ ʁ
האָר	h ʊ ʁ
הויז	h oː z
הויז	h o ʊ̯ z
הויז	h ɔ ɪ̯ z
הויט	h e ɪ t
הויט	h ɔː t
הינטעלע	h ɪ n t ə l ə
העלפֿט	h ɛ l f t
הענט	h ɛ n t
הקדמה	h a ɡ d ɔ m ə
הײַנט	h a j n t
וואָס	v ɔ s
וואָס	v ʊ s
וואָסער	v ɔ s ə r
וואָסערע	v ɔ s ə r ə
וווּ	v u
וווּרשט	v ʊ ʁ ʃ t
וווּרשט	v ɪ ʁ ʃ t
וווּרשטל	v ʊ ʁ ʃ t ə l
וווּרשטל	v ɪ ʁ ʃ t ə l
ווילד	v ɪ l d
וויסן	v ɪ s n̩
וויפֿל	v i f l̩
ווערב	v ɛ ʁ b
ווײַן	v a j n
זאָגט	z ɔ k t
זאָגט	z uː k t
זאָגט	z u k t
זאָגן	z ʊ ɡ ŋ̩
זאַנג	z a ŋ ɡ
זון	z ʊ n
זון	z ɪ n
זון	z ɨ n
זון	z ʊ n
זון	z iː n
זון	z i n
זיבן	z i b m̩
זייער	z ɛ j ə r
זינגען	z ɪ ŋ ɡ ŋ̩
זיצטרין	z ɪ t s t ʁ ɪ n
זײַן	z a ɪ n
זײַנען	z a ɪ n ə n
חופּה	χ ʊ p ə
חופּה	χ ɪ p ə
חופּה	χ ɨ p ə
חזיר	χ a z ə ʁ
חלום	χ ɔ l ə m
חלום	χ uː l ə m
חלום	χ u l ə m
חן	χ ɛ ɪ̯ n
חן	χ a ɪ̯ n
טאַטע	t a t ə
טאָן	t ɔ n
־טום	t ʊ m
טייטן	t ɛ j t n̩
טשאָלנט	t ʃ ɔ l ə n t
טשאָלנט	t ʃ uː l ə n t
טשאָלנט	t ʃ u l ə n t
יאָ	j ɔ
יאָר	j ɔ ʁ
יאָר	j uː ʁ
יאָר	j u ʁ
יום־טובֿ	j ɔ n t ɪ f
ייִדן	j i d n̩
ישׂראל	j ɪ s ʀ ɔ ɪ̯ ɫ
לאַנג	l a ŋ ɡ
לאַנג	l a ɪ̯ ŋ ɡ
לאַקס	l a k s
ליבן	l i b m̩
ליד	l ɪ d
לייב	l ɛ ɪ b
לייב	l a ɪ b
לענדער	l ɛ n d ə r
לײַב	l a ɪ b
לײַב	l aː b
לײַב	l a b
מאָגן	m ɔ ɡ ə n
מאָגן	m ʊ ɡ ə n
מאַמע	m a m ə
מאַמע	m ɔ m ə
מאָנאָפּאָל	m ɔ n ɔ p ɔ l
מאַראַנץ	m a ʁ a n t s
מאַרך	m a ʁ χ
מוזיק	m ʊ z ɪ k
מוח	m ɔ ɪ ə χ
מוח	m e ɪ ə χ
מוטער	m ʊ t ə ʁ
מוטער	m ɪ t ə ʁ
מוטערשייד	m ʊ t ə ʁ ʃ ɛ ɪ d
מוטערשייד	m ɪ t ə ʁ ʃ a ɪ d
מויז	m ɔ j z
מיליאָן	m i l j ɔ n
מענטש	m ɛ n t͡ʃ
מעקסיקע	m ɛ k s i k ə
מער	m ɛ ʁ
משפּחהדיק	m ɪ ʃ p ɔ χ ə d ɪ k
משפּחהדיקן	m ɪ ʃ p ɔ χ ə d ɪ k ŋ̩
משפּחהדיקס	m ɪ ʃ p ɔ χ ə d ɪ k s
משפּחהדיקע	m ɪ ʃ p ɔ χ ə d ɪ k ə
משפּחהדיקער	m ɪ ʃ p ɔ χ ə d ɪ k ə ʁ
משפּחות	m ɪ ʃ p ɔ χ ə s
ניט	n i t
ניין	n ɛ j n
־ניש	n ɪ ʃ
נישט	n ɪ ʃ t
ס׳	s
ענגליש	ɛ ŋ ɡ l i ʃ
עס	ɛ s
עפּל	ɛ p ə l
פֿאָטער	f ɔ t ə ʁ
פֿאָטער	f ʊ t ə ʁ
פֿאָלק	f ɔ ɫ k
פֿאָלקס	f ɔ l k s
פֿאַראייניקט	f a r ɛ j n i k t
פּויק	p e ɪ k
פּויק	p ɔː k
פּורים	p ʊ ʁ ə m
פּורים	p iː ʁ ə m
פּורים	p i ʁ ə m
פּירגע	p ɪ r ɡ ə
פֿון	f ʊ n
פֿון	f ɪ n
פּנים	p ɔ n ə m
פּנים	p uː n ə m
פּנים	p u n ə m
פֿוס	f ʊ s
פֿוס	f ɪ s
פֿייגעלע	f e j ɡ ə l ə
פֿינגער	f ɪ ŋ ɡ ə ʁ
פֿינגערל	f ɪ ŋ ɡ ə ʁ ə l
פֿיסל	f ɪ s ə l
פֿלוים	f l e ɪ m
פֿלוים	f l ɔː m
פֿלייש	f l ɛ ɪ ʃ
פֿלייש	f l a ɪ ʃ
פֿערשקע	f ɛ ʁ ʃ k ə
פֿרוכט	f ʁ ʊ χ t
פֿרוכט	f ʁ ɪ χ t
פֿרום	f ʁ ʊ m
פֿרום	f ʁ ɪ m
פֿרום	f ʁ ɨ m
פֿרום	f ʁ ʊ m
פֿרום	f ʁ ɪ m
פֿרום	f ʁ ɨ m
פֿרעגן	f ʁ ɛ ɡ ŋ̩
פֿרעגן	f r ɛ ɡ ŋ̩
פֿײַפֿל	f aː f ɫ̩
פֿײַפֿל	f a ɪ̯ f ɫ̩
פֿײַפֿן	f aː f n̩
פֿײַפֿן	f a ɪ̯ f n̩
צאָן	t s ɔ n
צאָן	t s uː n
צאָן	t s u n
צוויי	t s v ɛ j
צוזאַמען	t͡s ʊ z a m ə n
צונג	t s ʊ ŋ ɡ
צונג	t s ɪ ŋ ɡ
צענטערס	t s ɛ n t ə r s
קאַנאַדע	k a n a d ə
קאָנטינענטן	k ɔ n t i n ɛ n t n̩
קאָנטע	k ɔ n t ə
קאַץ	k a t s
קו	k ʊ
קו	k iː
קוועטשן	k v ɛ t ʃ n̩
קומען	k ʊ m ə n
קומען	k ɪ m ə n
קומען	k ɨ m ə n
קומען	k ʊ m ə n
קומען	k ɪ m ə n
קומען	k ɨ m ə n
קוקן	k ʊ k ŋ̩
קורווע	k u r v ə
קורווע	k ʊ r v ə
קורווע	k ʊ ə v ə
קורווע	k ʊ ʁ v ə
קין	k ɪ n
קישקע	k ɪ ʃ k ə
קליין	k l e ɪ n
קלײַבן	k l a ɪ b n̩
קני	k n ɪ
קעז	k ɛ z
קרעפּל	k ʁ ɛ p ə l
ראַטעווען	ʁ a t ə v ə n
רבֿקה	r ɪ f k ə
רעד	r ɛ d
רעדט	r ɛ t
רעדט	ʁ ɛ t
רעדן	ʁ ɛ d n̩
רעדסט	r ɛ t s t
רעדסט	ʁ ɛ t s t
שאָטן	ʃ ɔ t n̩
שבת	ʃ a b ə s
שדכן	ʃ a t χ n̩
שטאָט	ʃ t ɔ t
שטאַפּל	ʃ t a p l̩
שטום	ʃ t ʊ m
שטום	ʃ t ɪ m
שטום	ʃ t ɨ m
שטופּן	ʃ t ʊ p m̩
שטעטל	ʃ t ɛ t l̩
שטעטל	ʃ t e ɪ t l̩
שטערן	ʃ t ɛ ʁ ə n
שייד	ʃ ɛ ɪ d
שייד	ʃ a ɪ d
שיר	ʃ ɪ ʁ
שלאַנג	ʃ l a ŋ ɡ
שלאַנג	ʃ l a ɪ̯ ŋ ɡ
שלום	ʃ ɔ l ə m
שלום	ʃ uː l ə m
שלום	ʃ u l ə m
שלעפּן	ʃ ɫ ɛ p m̩
שמאַלץ	ʃ m a ɫ t͡s
שמאַלציק	ʃ m a ɫ t͡s ɪ k
שמאַלציקן	ʃ m a ɫ t͡s ɪ k ŋ̩
שמאַלציקע	ʃ m a ɫ t͡s ɪ k ə
שמאַלציקער	ʃ m a ɫ t͡s ɪ k ə ʁ
שפּאַניש	ʃ p a n i ʃ
שפּראַך	ʃ p r a x
שפּריצן	ʃ p ʁ ɪ t͡s n̩
