ac	aːk
acah	aːkaʔ
acalli	aːkalːi
acaxtontli	aːkaʃtoːnt͡ɬi
acayotl	aːkajoːtɬ
acelli	aseːlli
achcohcoltin	at͡ʃkoʔkoːltin
achcolli	at͡ʃkoːlli
achcolli	aːt͡ʃkoːlli
achto	atʃto
achtontli	atʃtoːntɬi
achtopa	atʃtopa
acilli	asiːlli
acocilin	aːkoːsiːllin
acolhuah	aːkoːlwaʔ
ahaztli	aʔast͡ɬi
ahcan	aʔkaːn
ahcolli	aʔkolli
ahhua	aʔwa
ahhuatl	aʔwat͡ɬ
ahmiquiliztli	aʔmikilist͡ɬi
ahmo	aʔmoː
ahmolli	aʔmoːlli
ahtlanqui	aʔtɬanki
ahtlatl	aʔtɬatɬ
ahuacacuahuitl	aːwakakʷawit͡ɬ
ahuacatl	aːwakat͡ɬ
ahuacaxochitl	aːwakaʃoːt͡ʃit͡ɬ
ahuehuetl	aːweːweːtɬ
ahuillahtolli	aːwillaʔtoːlli
ahuitzotl	aːwitsoːtɬ
ahuiyani	aːwijani
ahuiyanicalli	aːwijanikalli
ahuiyanimeh	aːwijanimeʔ
aic	ajiːk
alo	alo
alomeh	alomeʔ
altepemeh	aːltepeːmeʔ
altepetenamitl	aːɬtepeːtenaːmit͡ɬ
altepetenancoyoctli	aːɬtepeːtenaːnkojokt͡ɬi
altepetenanquetza	aːɬtepeːtenaːnket͡sa
altepetl	aːltepeːt͡ɬ
amaquemehcan	aːmakeːmeʔkaːn
amatl	aːmatɬ
amehhuan	ameʔwaːn
amehhuantin	ameʔwaːntin
amintli	aːmiːntli
amiqui	aːmiki
amiqui	ɔmɪkɪ
amoxcalli	aːmoʃkalli
amoxnamacac	aːmoʃnamakak
amoxpohua	aːmoʃpoːwa
amoxpohualiztli	aːmoʃpoːwalist͡ɬi
amoxpohuani	aːmoʃpoːwani
amoxtli	aːmoʃt͡ɬi
aoctli	aːokt͡ɬi
aohtli	aːoʔtɬi
aoni	aːoniː
atemeh	atemeʔ
atemitl	atemit͡ɬ
atemmeh	aːtemmeʔ
atentli	aːteːnt͡ɬi
atl	aːt͡ɬ
atlacatl	aːtɬaːkatɬ
atlahcatl	aːtɬaʔkatɬ
atolli	aːtoːlli
atotolin	aːtoːtolin
axixcalli	aːʃiːʃkalːi
axixcomitl	aːʃiːʃkoːmit͡ɬ
axixtli	aːʃiːʃt͡ɬi
axolomeh	aːʃoːloːmeʔ
axolotl	aːʃoːloːtɬ
ayatl	aːjaːt͡ɬ
ayotochtli	ajotochtɬi
azcatl	aːskatɬ
azcayoh	aːskajoʔ
azolin	aːsoːlin
aztatzoneh	aːstatsoneʔ
aztatzontli	aːstatsontɬi
cacahuacentli	kakawasent͡ɬi
cahcatza	kaʔkat͡sa
cahua	kaːwa
cahuitl	kaːwitɬ
caleh	kaleʔ
calehqueh	kaleʔkeʔ
calpohua	kalpoːwa
calpohualli	kalpoːwalli
caltechoa	kaɬtet͡ʃoa
caltechtli	kaɬtet͡ʃt͡ɬi
caltia	kaltia
caltzalantli	kalt͡saːlant͡ɬi
campa	kaːmpa
can	kaːn
capotztic	kapot͡stik
caqui	kaki
caxitl	kaʃitɬ
caxtiltecatl	kaʃtiːlteːkatɬ
cecec	seseːk
cehcen	seʔsen
cemanahuatl	semanaːwatɬ
cemihcac	semiʔkak
cemiztitl	semistetɬ
