NG	e̞ n d͡ʑ i
OK	o̞ kʰ e̞ i
PC방	pʰ i ɕ͈ i b a̠ ŋ
ᆫ다	n d a̠
ᆫ데	n d e̞
ᆫ지	n d͡ʑ i
ᆯ게	ɭ k͈ e̞
ᆯ지	ɭ t͡ɕ͈ i
ᆸ니까	m n i k͈ a̠
ᆸ니다	m n i d a̠
ᆸ시다	p ɕ͈ i d a̠
ㄴㄴ	n o̞ n o̞
ㅄ	p j ʌ̹ ŋ ɕʰ i n
ㅇㄱㄹㅇ	i ɡ ʌ̹ ɾ e̞ a̠ ɭ
ㅇㅇ	i ɯ ŋ i ɯ ŋ
ㅈ	t͡ɕ
ㅈㅅ	t͡ɕ w e̞ sʰ o̞ ŋ
ㅋㅋㅋ	k x ɯ k x ɯ k x ɯ
ㅏ	a̠
ㅐ	ɛ̝
ㅑ	j a̠
ㅒ	j ɛ̝
ㅓ	ʌ̹
ㅔ	e̞
ㅕ	j ʌ̹
ㅖ	j e̞
ㅗ	o̞
ㅘ	w a̠
ㅙ	w ɛ
ㅚ	w e̞
ㅛ	j o
ㅜ	u
ㅝ	w ʌ̹
ㅞ	w e̞
ㅟ	w y
ㅠ	j u
ㅡ	ɯ
ㅢ	ɰ i
ㅣ	i
ㆍ	ʌ
가	k a̠
가	k a̠ː
가가우스어	k a̠ ɡ a̠ u sʰ ɯ ʌ̹
가감	k a̠ ɡ a̠ m
가강수량	k a̠ ɡ a̠ ŋ sʰ u ɾ j a̠ ŋ
가게	k a̠ː ɡ e̞
가격	k a̠ ɡ j ʌ̹ k̚
가계	k a̠ ɡ j e̞
가곡	k a̠ ɡ o̞ k̚
가공	k a̠ ɡ o̞ ŋ
가공품	k a̠ ɡ o̞ ŋ pʰ u m
가공하다	k a̠ ɡ o̞ ŋ ɦ a̠ d a̠
가관	k a̠ː ɡ w a̠ n
가구	k a̠ ɡ u
가극	k a̠ ɡ ɯ k̚
가금	k a̠ ɡ ɯ m
가까이	k a̠ k͈ a̠ i
가까이하다	k a̠ k͈ a̠ i ɦ a̠ d a̠
가깝다	k a̠ k͈ a̠ p̚ t͈ a̠
가꾸다	k a̠ k͈ u d a̠
가끔	k a̠ k͈ ɯ m
가끔씩	k a̠ k͈ ɯ m ɕ͈ i k̚
가나	k a̠ n a̠
가난	k a̠ n a̠ n
가난하다	k a̠ n a̠ n ɦ a̠ d a̠
가난히	k a̠ n a̠ n ʝ i
가내공업	k a̠ n e̞ ɡ o̞ ŋ ʌ̹ p̚
가는돌고기	k a̠ n ɯ n d o̞ ɭ ɡ o̞ ɡ i
가늘다	k a̠ n ɯ ɭ d a̠
가늠	k a̠ n ɯ m
가늠하다	k a̠ n ɯ m ɦ a̠ d a̠
가능	k a̠ː n ɯ ŋ
가능성	k a̠ː n ɯ ŋ s͈ ʌ̹ ŋ
가능하다	k a̠ː n ɯ ŋ ɦ a̠ d a̠
가닛	k a̠ n i t̚
가다	k a̠ d a̠
가돌리늄	k a̠ d o̞ ɭ ʎ i ɲ j u m
가두녀성	k a̠ d u ɲ j ʌ̹ sʰ ʌ̹ ŋ
가두다	k a̠ d u d a̠
가두리	k a̠ː d u ɾ i
가두배추	k a̠ d u b e̞ t͡ɕʰ u
가드	k a̠ d ɯ
가득	k a̠ d ɯ k̚
가득가득	k a̠ d ɯ k̚ k͈ a̠ d ɯ k̚
가득하다	k a̠ d ɯ kʰ a̠ d a̠
가득히	k a̠ d ɯ k ç i
가따까나	k a̠ t͈ a̠ k͈ a̠ n a̠
가라데	k a̠ ɾ a̠ d e̞
가라앉다	k a̠ ɾ a̠ a̠ n t͈ a̠
가라오케	k a̠ ɾ a̠ o̞ kʰ e̞
가락	k a̠ ɾ a̠ k̚
가락지	k a̠ ɾ a̠ k̚ t͡ɕ͈ i
가락지빵	k a̠ ɾ a̠ k̚ t͡ɕ͈ i p͈ a̠ ŋ
가람	k a̠ ɾ a̠ m
가랑비	k a̠ ɾ a̠ ŋ b i
가래	k a̠ ɾ e̞
가련하다	k a̠ː ɾ j ʌ̹ n ɦ a̠ d a̠
가련히	k a̠ ɾ j ʌ̹ n ʝ i
가렵다	k a̠ ɾ j ʌ̹ p̚ t͈ a̠
가령	k a̠ː ɾ j ʌ̹ ŋ
가로	k a̠ ɾ o̞
가로등	k a̠ ɾ o̞ d ɯ ŋ
가로막	k a̠ ɾ o̞ m a̠ k̚
가로채다	k a̠ ɾ o̞ t͡ɕʰ e̞ d a̠
가루	k a̠ ɾ u
가르다	k a̠ ɾ ɯ d a̠
가르치다	k a̠ ɾ ɯ t͡ɕʰ i d a̠
가르침	k a̠ ɾ ɯ t͡ɕʰ i m
가름	k a̠ ɾ ɯ m
가리개	k a̠ ɾ i ɡ e̞
가리다	k a̠ ɾ i d a̠
가리비	k a̠ ɾ i b i
가리키다	k a̠ ɾ i k ç i d a̠
가마	k a̠ m a̠
가마	k a̠ː m a̠
가마솥	k a̠ m a̠ sʰ o̞ t̚
가마우지	k a̠ m a̠ u d͡ʑ i
가마치	k a̠ m a̠ t͡ɕʰ i
가만	k a̠ m a̠ n
가만가만	k a̠ m a̠ n ɡ a̠ m a̠ n
가만두다	k a̠ m a̠ n d u d a̠
가만히	k a̠ m a̠ n ʝ i
가면	k a̠ː m j ʌ̹ n
가면극	k a̠ː m j ʌ̹ n ɡ ɯ k̚
가명	k a̠ː m j ʌ̹ ŋ
가무이야기	k a̠ m u i j a̠ ɡ i
가문	k a̠ m u n
가물가물	k a̠ m u ɭ ɡ a̠ m u ɭ
가물치	k a̠ m u ɭ t͡ɕʰ i
가뭄	k a̠ m u m
가미카제	k a̠ m i kʰ a̠ d͡ʑ e̞
가발	k a̠ b a̠ ɭ
가방	k a̠ b a̠ ŋ
가벌	k a̠ b ʌ̹ ɭ
가벼워지다	k a̠ b j ʌ̹ w ʌ̹ d͡ʑ i d a̠
가볍다	k a̠ b j ʌ̹ p̚ t͈ a̠
가보로네	k a̠ b o̞ ɾ o̞ n e̞
