أوتي	ˑuː t i
أوردي	o rː ɪ d i
إثيوبيا	a θˑ j uː b j ə
إنجليزي	ɪ ŋ ɡ ɪ l eː z i
ابلة	ə b lˤ ə
اجار	ə d͡ʒ ɑː r
اخترع	ɪ χ t ɪ r ə ʕ
اذون	ə ð uː n
استانس	ɪ s t a n ə s
استكان	ɪ s t ɪ k ɑː n
اشارة	ɪ ʃ ɑː r ə
اشكرة	ə ʃ k ə r ə
اصنصير	ə sˤ a n sˤ eː r
اغراض	ə ʁ r ɑː ðˤ
اقزوز	ɡ z oː z
اقزوز	ɪ ɡ z oː z
ال	ɪ
ال	ʕ ɪ l
الاحد	ɪ l ə ħ ə d
الاربعا	ɪ l ə r b ɪ ʕ ə
الحين	ə l ħ i n
الحين	ɪ l ħ i n
الدنمارك	d ɪ n ɪ m ɑ r k
اليمعة	ɪ l j ɪ m ʕ ə
اليوم	ɪ l y oː m
انت	ɪ n t
انت	ɪ n t i
انت	ɪ n t ə
انتي	ɪ n t i
انفش	ɪ n f ə ʃ
اهم	ʊ h ʊ m
اهمه	ʊ h m ə
اهو	ʊ h ʊ
اهوه	ʊ h w ə
اهي	ɪ h i
اهيه	ɪ h j ə
اچار	ə t͡ʃ ɑː r
باجلا	b ɑː d͡ʒ ɪ l l ə
بار	b ɑː r
باق	b ɑː ɡ
بالطو	b ɑː lˤ tˤ ʊ
بالول	b a a l u u l
باورة	b a a w r a
بردة	b ɐ r d ə
بردة	p ɐ r d ə
بريك	b r eː k
بطاط	b ʊ tˤ ɑː tˤ
بطل	b ə tˤ ə l
بطل	b ə tˤ ə lˤ
بطل	b ə tˤː ə l
بطل	b ə tˤː ə lˤ
بطل	b ʊ tˤ ʊ lˤ
بطيخ	b ə tˤː iː χ
بعدين	b ə ʕ d eː n
بلبلة	b ə l b ə l ə
بلش	b ə lː ə ʃ
بلنتي	b ə l ə n t i
بنسل	b ɪ n s ɪ l
بنسل	p ɪ n s ɪ l
بنطرون	b ə n tˤ ə r oː n
بهار	b h ɑː r
بهمن	b ə h m ə n
بوفيه	b o f e
بيبي	b e b i
بيمة	b iː m ə
بچى	b ɪ t͡ʃ ə
تأتأة	t ə ʔ t ə ʔ ə
تأتأة	t ə ʔ t ə ʔ ə t
تانكي	t ɑː n k i
تاير	t ɑ j ɪ r
تبريز	t ə b r i z
تجوري	t ə d͡ʒ uː r i
تحت	t ɐ ħ ə t
تدوده	t d oː d ə h
تدوده	t ə d oː d ə h
ترانزيت	t r ɑː n z eː t
تسبح	t ə s ə bː ə ħ
تقليد	t ə q l iː d
تقليد	t ə ʁ l iː d
تكانة	t ɪ k ɑː n ə
توست	t oː s t
توهق	t ə w ə hː ə ɡ
تيشيرت	t iː ʃ eː r t
تيلة	t iː l ə
تيلة	t iː l ə t
ثانية	θ ɑː n j ə
جار	d͡ʒ ɑ r
جاس	d͡ʒ ɑː s
جامة	d͡ʒ ɑː m ə
جامة	d͡ʒ ɑː m ə t
جبن	d͡ʒ ɪ b ɪ n
جدر	d͡ʒ ɪ d r
جدر	d͡ʒ ɪ d ɪ r
جعص	d͡ʒ ɪ ʕ sˤ
جليد	d͡ʒ ə l iː d
جمعية	d͡ʒ ə m ʕ iː j ə
جناية	d͡ʒ ɪ n ɑː j ə
جناية	d͡ʒ ɪ n ɑː j ə t
جنطة	d͡ʒ ə n tˤ ə
جنطة	d͡ʒ ə n tˤ ə t
جوتي	d͡ʒ uː t i
جونقر	d͡ʒ oː ŋ ɡ ə r
جيكر	d͡ʒ eː k ə r
حارة	ħ ɑː r ə
حارة	ħ ɑː rː ə
حاس	ħ ɑː s
حاش	ħ ɑː ʃ
حجاب	ħ d ʒ ɑː b
حجي	ħ ə d͡ʒː i
حرامي	ħ ə r ɑː m i
حريجة	ħ ə r i d͡ʒ ə
حريم	ħ ə r iː m
حش	ħ ə ʃ
