abo	a b ɔ
absolwent	a p s ɔ l v ɛ n t
absolwentka	a p s ɔ l v ɛ n t k a
afrika	a f rʲ i k a
ako	a k ɔ
albanarka	a l b a n a r k a
albanaŕ	a l b a n a rʲ
ale	a l ɛ
alojs	a l ɔ j s
awto	a w t ɔ
awtor	a w t ɔ r
azija	a z i j a
baba	b a b a
babce	b a p t͡s ɛ
banana	b a n a n a
bananu	b a n a n u
banka	b a n k a
bankach	b a n k a x
bankami	b a n k a mʲ i
banki	b a n kʲ i
banku	b a n k u
barana	b a r a n a
barlinja	b a r lʲ i nʲ a
barliń	b a r lʲ i nʲ
barwa	b a r v a
baz	b a s
baza	b a z a
baze	b a z ɛ
bazowy	b a z ɔ w ɨ
bcha	p x a
beja	b ɛ j a
bejach	b ɛ j a x
běch	bʲ ɪ x
běchmej	bʲ ɪ x m e j
běchmy	bʲ ɪ x m ɨ
běchu	bʲ ɪ x u
běły	bʲ ɪ w ɨ
běšćo	bʲ ɪ ɕ t͡ɕ ɔ
běšo	bʲ ɪ ʃ ɔ
běštej	bʲ ɪ ʃ t e j
běžaś	bʲ ɪ ʒ a ɕ
bit	bʲ i t
bjachaŕ	bʲ a x a rʲ
b́edro	bʲ ɛ d r ɔ
bjerjech	bʲ ɛ rʲ ɛ ç
bjerjechmej	bʲ ɛ rʲ ɛ ç m ɛ j
bjerjechmy	bʲ ɛ rʲ ɛ ç m ɨ
bjerjechu	bʲ ɛ rʲ ɛ ç u
bjerjecy	bʲ ɛ rʲ ɛ t͡s ɨ
bjerješćo	bʲ ɛ rʲ ɛ ɕ t͡ɕ ɔ
bjerješo	bʲ ɛ rʲ ɛ ʃ ɔ
bjerještej	bʲ ɛ rʲ ɛ ʃ t ɛ j
bjerjo	bʲ ɛ rʲ ɔ
bjerjom	bʲ ɛ rʲ ɔ m
bjerjomej	bʲ ɛ rʲ ɔ m ɛ j
bjerjomy	bʲ ɛ rʲ ɔ m ɨ
bjerjoš	bʲ ɛ rʲ ɔ ʃ
bjerjośo	bʲ ɛ rʲ ɔ ɕ ɔ
bjerjotej	bʲ ɛ rʲ ɔ t ɛ j
bjeŕ	bʲ ɛ rʲ
bjeŕśo	bʲ ɛ rʲ ɕ ɔ
bjeŕtej	bʲ ɛ rʲ t ɛ j
błogi	b ɔ ɡʲ i
błota	b w ɔ t a
błoto	b w ɔ t ɔ
blědy	b l ɪ d ɨ
blida	b l i d a
blido	b l i d ɔ
bliska	b l i s k a
bliski	b l i s kʲ i
bliskich	b l i s kʲ i x
bliskim	b l i s kʲ i m
bliskimi	b l i s kʲ i mʲ i
blisko	b l i s k ɔ
bob	b ɔ p
bobr	b ɔ b r
boce	b ɔ t͡s ɛ
boga	b ɔ ɡ a
bogaty	b ɔ ɡ a t ɨ
bój	b ɛ j
bójał	b ɛ j a w
bójaś	b ɛ j a ɕ
bóje	b ɛ j ɛ
bójm	b ɛ j m
bok	b ɔ k
ból	b ɨ l
ból	b ɛ l
ból	b ʊ l
