abe	a β e
atzàrgiu	a t͡s a r d͡ʒ u
babbu	β a b b u
batòrdighi	b a t ɔ r d i ɡ i
bentosu	b e n t o s u
bentosu	β e n t o s u
binti	b i n t i
binti	β i n t i
binu	b i n u
binu	β i n u
bìndighi	b i n d i ɡ i
bòidu	β ɔ i ð u
bòlere	β ɔ l e ɾ e
caddu	k a ɖ ɖ u
casteddu	k a s t e ɖ ɖ u
casteddu	k a s t e ɖ ɖ u
cazziàre	k a t͡s j a r e
chelu	k e l u
chentu	k e n t u
chimbe	k i m b e
coa	k ɔ a
connada	k o n n a ð a
connadu	k o n n a ð u
cuddu	k u ɖ ɖ u
deghe	d ɛ ɡ e
deghennoe	d e ɡ e n n ɔ e
degheoto	d e ɡ e ɔ t o
deghessete	d e ɡ e s s ɛ t e
deledda	d e l e ɖ ɖ a
domo	d ɔ m o
dulche	d u l k e
duos	d u o s
durche	d u ɾ k e
durcura	d u ɾ k u ɾ a
dòighi	d ɔ i ɡ i
ebba	ɛ b a
eo	ɛ o
essere	e s s e ɾ e
faeddada	f a e ɖ ɖ a d a
faeddare	f a e ɖ ɖ a ɾ e
faeddu	f a e ɖ ɖ u
faghidora	f a ɣ i ð ɔ ɾ a
faghidore	f a ɣ i ð ɔ ɾ e
fatu	f a t u
ferru	f e r u
frade	f ɾ a ð e
frore	f ɾ ɔ ɾ e
fàghere	f a ɣ e ɾ e
giaja	d͡ʒ a j a
giaju	d͡ʒ a j u
gurteddu	ɡ u ɾ t e ɖ ɖ u
ischire	i s k i ɾ e
istadu	i s t a d u
isteddu	i s t e ɖ u
istratzare	i s t ɾ a t͡s a ɾ e
istratzu	i s t ɾ a t͡s u
janna	j a n n a
limba	l i m b a
limbazu	l i m b a d͡z u
limbidentu	l i m b i d e n t u
limbàgiu	l i m b a d͡ʒ u
lughe	l u ɣ e
lughente	l u ɡ ɛ n t e
mama	m a m a
mannu	m a n n u
maridu	m a ɾ i ð u
muzere	m u d͡z e r e
noe	n ɔ e
nugoro	n u ɡ o r o
nuraghe	n u ɾ a ɣ e
orbaci	o ɾ b a t͡ʃ i
oro	ɔ ɾ o
oto	ɔ t o
paraulare	p a ɾ a u̯ l a ɾ e
paràula	p a ɾ a u l a
prenu	p ɾ e n u
prus	p ɾ u s
sa	s a
saba	s a β a
sambenariu	s a m b e n a r j u
sambenosu	s a m b e n o s u
sardigna	s a ɾ d i ɲ ɲ a
sardinnia	s a ɾ d i n n j a
sas	s a s
ses	s ɛ s
sete	s ɛ t e
sorre	s ɔ r e
sos	s o s
su	s u
sàmbene	s a m b e n e
sèighi	s ɛ i ɡ i
tataresa	t a t a ɾ e s a
tataresu	t a t a ɾ e s u
tatari	t a t a ɾ i
tempus	t e m p u s
trèighi	t r ɛ i ɡ i
tzia	t͡s i a
tzitade	t͡s i t a d e
tzitadinu	t͡s i t a d i n u
tziu	t͡s i u
tzùcaru	t͡s u k a ɾ u
unu	u n u
uscrare	u s k ɾ a ɾ e
vacàntzia	β a k a n t͡s j a
ègua	ɛ ɡ w a
èssere	ɛ s s e ɾ e
òmine	ɔ m i n e
ùndighi	u n d i ɡ i
