আ	a
া	aː
ব	b ɔ
ভ	b ʱ ɔ
ধ	d ʱ ɔ
দ	d̪ ɔ
জ	d͡ʒ ɔ
য	d͡ʒ ɔ
ঝ	d͡ʒ ʱ ɔ
এ	e
ে	e
ফ	f ɔ
হ	h ɔ
ই	i
ঈ	i
ি	i
ী	iː
ক	k ɔ
খ	k ʱ ɔ
ল	l ɔ
ম	m ɔ
ণ	n ɔ
ন	n ɔ
অ	o
ো	o
ঐ	o iː
ৈ	o iː
ঔ	o u
ৌ	o uː
প	p ɔ
ঋ	r iː
ৃ	r iː
র	r ɔ
শ	s ɔ
স	s ɔ
ত	t ɔ
থ	t ʱ ɔ
চ	t͡s ɔ
ছ	t͡sʰ ɔ
চ	t͡ɕ ɔ
চ	t͡ʃ ɔ
ছ	t͡ɕʰ ɔ
ছ	t͡ʃʰ ɔ
উ	u
ূ	uː
এ	æ
ে	æ
ং	ŋ
অ	ɔ
ো	ʊ
ৄ	ɽ iː
ৠ	ɽ iː
ৡ	ɭ iː
ৣ	ɭ iː
গ	ɡ ɔ
ঙ	ŋ ɔ
ট	ʈ ɔ
ড	ɖ ɔ
ফ	ɸ ɔ
শ	ʃ ɔ
ষ	ʃ ɔ
স	ʃ ɔ
ৰ	ɹ ɔ
ঘ	ɡ ʱ ɔ
ঠ	ʈ ʱ ɔ
ঢ	ɖ ʱ ɔ
আজ	a d ʒ
আখ	a kʰ
আর	a r
আর	a ɹ
বা	b ɑ
জল	d z ɔ l
জল	d ʒ ɔ l
ধন	d̪ ɔ n
ধন	d̪ ʱ ɔ n
য়	e ɔ
ফল	f ɔ l
য়	j ɔ
কত	k ɔ t̪ o
মত	m ɔ t̪ o
পা	p a
ফল	pʰ ɔ l
সৎ	s ɔ t̪
চা	t ʃ a
উট	u ʈ
জল	z ɔ l
সে	ʃ e
আম	ɑ m
ড়	ɽ ɔ
ঘর	ɡ ɔ ɹ
ঢ়	ɽ ʱ ɔ
ঘর	ɡ ʱ ɔ ɹ
ঘর	ɡ ʱ ɔ ɾ
আজব	a d ʒ o b
আইন	a i n
আলো	a l o
আছে	a s e
আছে	a t ʃʰ e
আতশ	a t̪ o ʃ
বাজ	b a d ʒ
বাদ	b a d̪
বাল	b a l
বাজ	b a z
বাঃ	b a ʱ
বাগ	b a ɡ
বাঘ	b a ɡ
বাহ	b a ʱ
বাঘ	b a ɡ ʱ
বোন	b o n
বগল	b o ɡ o l
ভাই	b ʱ a j
বলা	b ɔ l a
বরফ	b ɔ r ɔ f
বরফ	b ɔ r ɔ pʰ
বসা	b ɔ ʃ a
ভয়	b ʱ ɔ e̯
ভাল	b ʱ ɑ l o
বড়	b ɔ ɹ o
বড়	b ɔ ɽ o
জমি	d ʒ o m i
জোস	d ʒ o s
জোস	d ʒ o ʃ
দেশ	d̪ e ʃ
দফা	d̪ ɔ f a
দখল	d̪ ɔ kʰ o l
ফুল	f u l
হাঁ	h æ̃ː
ঈগল	i ɡ ɔ l
কাক	k a k
কদু	k o d̪ u
কবে	k oː b ɛ
কখন	k ɒ kʰ ɒ n
কলম	k ɔ l o m
কেন	k ɛ n oː
করা	k ɔ ɹ a
করা	k ɔ ɽ a
করা	k ɔ ɾ a
খান	kʰ a n
খুব	kʰ u b
লাভ	l a b ʱ
লাও	l a o
লাউ	l a u
লাশ	l a ʃ
লবণ	l ɔ b o n
মুখ	m u kʰ
মাল	m ɑ l
মলম	m ɔ l o m
মাছ	m ɑ s
মাছ	m ɑ t ʃʰ
মতো	m ɔ t̪ o
মরা	m ɔ ɹ a
মরা	m ɔ ɾ a
মরণ	m ɒ ɹ ɒ n
নাম	n a m
নকল	n ɔ k o l
নরম	n ɔ ɾ o m
ওঠা	o ʈʰ a
পরা	p ɔ ɹ a
পরা	p ɔ ɾ a
ফুল	pʰ u l
সাফ	s a f
সাফ	s a pʰ
সফর	s ɔ f o r
চুল	t s u l
চোখ	t ʃ o kʰ
চুল	t ʃ u l
ছবি	t ʃʰ o b i
তাজ	t̪ a d ʒ
তার	t̪ a r
তাই	t̪ a͡i
তেল	t̪ e l
তবে	t̪ ɔ b e
তবু	t̪ ɔ b u
তুই	t̪ ʊ i
তীর	t̪ ɪː ɾ
ভাল	v ɑ l o
এখন	æ kʰ ɔ n
হাত	ɦ a t̪
আদা	ɑ d̪ ɑ
ডিম	ɖ i m
ঋতু	ɾ i t̪ u
আমি	ɑ m iː
হোল	ɦ o l
গোশ	ɡ o ʃ
অথচ	ɔ t̪ʰ ɔ t͡ʃ
গুম	ɡ u m
সদর	ʃ ɔ d̪ o ɾ
সনদ	ʃ ɔ n o d̪
সাপ	ʃ ɑ p
সফর	ʃ ɔ pʰ o r
গাছ	ɡ ɑ s
গাছ	ɡ ɑ t ʃʰ
গরম	ɡ ɔ ɽ ɔ m
গরম	ɡ ɔ ɾ ɔ m
শহর	ʃ ɔ ɦ ɔ ɽ
শহর	ʃ ɔ ɦ ɔ ɾ
আজান	a d ʒ a n
আকাশ	a k a ʃ
আলাপ	a l a p
আসিফ	a s i f
আচরণ	a t ʃ o ɽ ɔ n
আচরণ	a t ʃ o ɾ ɔ n
আজান	a z a n
বাবা	b a b a
বজ্র	b a d ʒ
বাইট	b a i ʈ
বাকি	b a k i
বাকী	b a k i
বানর	b a n ɔ ɹ
বানর	b a n ɔ ɾ
ভারত	b a ɹ ɔ t̪
বেশী	b e ʃ i
বিনা	b i n a
বীচি	b i s i
বীচি	b i t s i
বীচি	b i t ʃ i
ব্লগ	b l ɔ ɡ
বোঝা	b o d ʒ ɑ
বোঝা	b o d ʒ ʱ ɑ
ভোদা	b o d̪ a
বোকা	b o k a
বোঝা	b o z ɑ
ভাজা	b ʱ a j a
ভালো	b ʱ a l o
ভাঙা	b ʱ a ŋ a
ভারত	b ʱ a ɾ ɔ t̪
বদলে	b ɔ d o l e
ভোদা	b ʱ o d̪ a
বঙ্গ	b ɔ ŋ ɡ ɔ
ভাষা	b ʱ ɑ ʃ ɑ
জাদু	d ʒ a d̪ u
জমিন	d ʒ o m i n
যুবক	d ʒ u b ɔ k
জবাই	d ʒ ɔ b a i
দেশি	d̪ e ʃ i
দেখা	d̪ æ kʰ a
দফতর	d̪ ɔ f t̪ o ɾ
দাঁত	d̪ ɑ t̪
দাঁত	d̪ ɑ̃ t̪
ফেলা	f ɛ l ɑ
কালো	k a l o
কাগজ	k a ɡ o d ʒ
কাগজ	k a ɡ o z
কিছু	k i s u
কিছু	k i t ʃʰ u
কমলা	k ɔ m l a
কমলা	k ɔ m o l a
কোমর	k ɔ m ɔ ɹ
খেলা	k ʱ æ l a
কাটা	k ɑ ʈ ɑ
কঠিন	k ɔ ʈʰ i n
খালি	kʰ a l i
খালী	kʰ a l i
খোলা	kʰ o l a
খুশি	kʰ u ʃ i
লালা	l a l a
লেবু	l e b u
লড়া	l ɔ ɹ a
লড়া	l ɔ ɽ a
লাগা	l ɑ ɡ ɑ
মানে	m a n e
মাছি	m a s i
মাছি	m a t ʃʰ i
মাথা	m a t̪ʰ a
মোরগ	m o r ɔ ɡ
মোটা	m o ʈ a
মরিচ	m o ɾ i t ʃ
মাখন	m ɑ kʰ ɔ n
নুনু	n u n u
নমাজ	n ɔ m a z
নতুন	n ɔ t̪ u n
নগ্ন	n ɔ ɡ n o
পাখি	p a kʰ i
পাছা	p a s a
পাছা	p a t ʃʰ a
পারা	p a ɹ a
পারা	p a ɽ a
পারা	p a ɾ a
পাঠা	p a ʈʰ a
পেখম	p e kʰ ɔ m
পদ্ম	p ɔ d̪ː ɔ
পড়া	p ɔ ɹ a
পড়া	p ɔ ɽ a
পানি	p ɑː n iː
ফেলা	pʰ ɛ l ɑ
রাজি	r a d ʒ i
রাজি	r a z i
রওনা	r ɔ o n a
ছেলে	s e l e
চোষা	t s o ʃ ɑ
চাকা	t ʃ a k a
চাটা	t ʃ a ʈ a
চিনি	t ʃ i n i
চোদা	t ʃ o d̪ a
চোষা	t ʃ o ʃ ɑ
চশমা	t ʃ ɔ ʃ m a
ছেলে	t ʃʰ e l e
তারা	t̪ a r a
তাজা	t̪ a z a
তিমি	t̪ i m i
ঠোঁট	tʰ o t
তোশক	t̪ o ʃ o k
তুমি	t̪ u m iː
ঠোঁট	tʰ u t
তবুও	t̪ ɔ b u o
তিনি	t̪ ɪ n̪ ɪ
থাকা	t̪ʰ ɑ k ɑ
উষ্ণ	u ʃ n o
ভালো	v a l o
ভাঙা	v a ŋ a
ভোদা	v o d̪ a
ভাষা	v ɑ ʃ ɑ
সাদা	ʃ a d̪ a
টানা	ʈ a n a
হাগা	ɦ a ɡ a
হাগু	ɦ a ɡ u
আদেশ	ɑ d̪ e ʃ
শেখা	ʃ e kʰ a
জীবন	ʒ i b ə ʊ n
রীতি	ɽ i t̪ i
রীতি	ɾ i t̪ i
অনেক	ɔ n e k
শোনা	ʃ o n ɑ
রোজা	ɾ o z a
গোশত	ɡ o ʃ t̪ o
অথবা	ɔ t̪ʰ ɔ b ɑ
টুপি	ʈ u p i
শুরু	ʃ u ɾ u
ঢাকা	ɖ ʱ a k a
সবজি	ʃ ɔ b d ʒ i
সবজি	ʃ ɔ b z i
সদাই	ʃ ɔ d̪ a i
